Data da opinião,Nota,Título,Conteúdo
23 de dez.,5,Excelente hospedagem,"Foram ótimos os dias que ficamos hospedados na Pousada Surucuá. Ficamos 3 dias em Bonito. Adoramos a organização da pousada, a limpeza, os quartos, café da manhã, tudo muito bom! Ótima localização!  Viajamos eu, meu esposo e minha filha de 2 anos, foi uma ótima experiência e com certeza iremos retornar para nos hospedar novamente. Recomendo!"
5 de dez.,5,Ótima hospedagem!,"Pousada excelente, bem localizada, limpa, quarto confortável, amplo, cama ótima. Equupe muito atenciosa e simpática, com destaque para a dona, sempre preocupada com o bem estar dos hóspedes.  O café da manhã é muito bom também, com bastante variedade.  A pousada tem uma área verde, que é agraciada todo final de tarde pelos inúmeros papagaios que cantam pousados nas árvores da pousada. É uma delícia!  Amamos tudo e certamente ficaremos hospedados novamente na pousada Surucuá!"
nov. de 2022,5,"Ótima experiência , aconchegante e excelente serviço.","Em realidade, se chama pousada mas é um hotel, só não tem restaurante além do cafe da manhã (ótimo!). Os quartos muito confortáveis e acomodam uma família de 4 pessoas sem problemas. Piscina muito boa e quiosque com redes para descansar muito legal. Internet funciona muito bem. A equipe extremamente atenciosa."
nov. de 2022,5,Lugar bonito e tranquilo,"O local é muito bonito, tem um jardim maravilhoso, e café da manhã/tarde excelentes. O quarto é grande, o local é silencioso (pelo menos durante a baixa temporada), e o atendimento é muito bom. Poderia ter um estacionamento coberto maior."
nov. de 2022,5,Pousadinha linda e tranquila,"Pousada excelente, tudo muito novo, limpo e organizado, café da manhã e chá da tarde maravilhoso, quarto e banheiro grande, claros, novos e limpos.  No fim da tarde tem uma revoada linda de passaros que vem dormir nas arvores da pousadas.  Sugestão para a pousada é colocar avisos de proibido usar caixas de som na área da piscina, durante minha estadia vi dois grupos usando essas caixas ao mesmo tempo com som alto isso tira a paz do local, outro assunto que precisa melhorar é que as 8 da manhã as moças da limpeza chegm fazendo barulho com o carrinho e conversas logo cedo.  no demais a pousada vale muito á pena."
nov. de 2022,5,Pousada maravilhosa,"Ótima experiência na Pousada Surucuá. O quarto espaçoso, arejado e confortável. O café da manhã com muitas opções. Além do chá da tarde com bolinhos. Voltaríamos com certeza. Atendimento ótimo. Parabéns."
nov. de 2022,5,Ótima Experiência,"Tivemos uma ótima experiência na Pousada Surucuá. A pousada nos pareceu muito bem cuidada. O quarto era espaçoso e confortável. O café da manhã com multiplas e variadas opções. Não perdíamos o chá da tarde, que adicionou uma cortesia muito gentil. Voltaríamos com certeza"
nov. de 2022,5,Pousada ótima,"Localização dentro da cidade, a poucos minutos do centro! Quartos amplos e limpos! O café da manhã estava delicioso! O atendimento excelente, com funcionários muito educados e prestativos. A pousada em si já tem o seu charme."
out. de 2022,5,Excelente Atendimento,"Atedimento e estrutura excelentes. Oferecem como cortesia um café da tarde. A equipe da Pousada super atenciosa. Um agradecimento especial à Fernanda. Super simpática, mostrou e informou tudo sobre a Pousada quando eu e minha família chegamos no local. Também é possível fechar passeios com eles - Agência de Turismo Surucuá."
out. de 2022,5,Excelente! Atendimento 10,"Tudo muito bom! Hospedagem, café da manhã, café da tarde. E atendimento excelente!  Parabéns pela limpeza e cordialidade.  Ambiente familiar, de fácil acesso e um bom estacionamento. Recomendo a todos.  Não tivemos problemas durante a hospedagem"
