Data da opinião,Nota,Título,Conteúdo
nov. de 2022,1,"Estrutura boa, atendimento péssimo","Bateram em nosso carro e fugiram, ninguém do hotel sequer quis nos atender para nos ajudar. A gerente não estava e a pessoa responsável que ficou em seu lugar com muito custo foi conversar com a gente não dando nenhum apoio. Pedimos para ela ao menos olhar nas câmeras para identificar o carro e nem isso ela fez. Puro descaso e incompetência. Resultado: ficamos no prejuízo"
ago. de 2022,5,Hospedagem surpreendente,"Adquiri o pacote romântico e apesar de ver as fotos quando chegamos no apartamento ficamos encantados com cada detalhe! Fomos muito bem atendidos e recebidos quando chegamos de madrugada após o casamento. O café da manhã é bem completo, enfim, quero voltar de novo!"
jul. de 2022,5,Ótima opção em Rondonópolis,"Ótima localização, em frente ao shopping com muitas opções de bares e restaurantes próximos. Staff muito atencioso, limpeza e conforto excelentes. Possui 3 elevadores, o que faz com que não haja congestionamento nos horarios de pico do hotel :-). Recomendo."
jun. de 2022,5,Muito bom!!!,"Excele atendimento desde o agendamento da reserva, café da manhã bem variado, excelente acomodações, são bem seguras e confortáveis. Tivemos um atraso apenas no nosso jantar, mas estava delicioso. Recomendo demais o hotel."
jun. de 2022,5,MUITO BOM,"Excele atendimento, toda equipe está de parabéns, café da manhã bem variado, acomodações seguras e confortáveis, na próxima vez que for viajar irei ficar lá novamente e também vou indicar para amigos, conhecidos e familiares."
jun. de 2022,5,Feedback,No geral bom satisfeito uma pena que a internet nao estava muito boa para acesso do evento que foi realizado no final de semana pelo Serviço Nacional de Aprendizagem do Cooperativismo no Estado de Mato Grosso.
jun. de 2022,5,Dia dos namorados,"Estive com minha esposa e meu filho de 1 ano , nos sentimos em casa pelo cuidado e dedicação, recepção excelente , meninos lindos e sorridente .  Camareira caprichosas e cuidadosas com tudo, comida boa e uma equipe unida para atender bem a todos ! Sem contar o lugar que é lindo , uma piscina perfeita com uma vista maravilhosa da cidade de Rondonópolis ❤️    Parabéns a todos"
abr. de 2022,5,Avaliação Josué excelente atendimento,"Excelente recepção, encaminhamento de local de trabalho, grande conhecimento, grande abordagem feliz, o que ninguém oferece em Rondonópolis, estão de parabéns, um diferencial em Rondonópolis, já é a terceira vez que hospedo em neste hotel"
abr. de 2022,1,Avaliação colaborador Josué,"Muito bom atendimento!! Recomendo para todos!!!  Ótimo, sempre solícito e às ordens, conto com ele para tudo em Rondonópolis, melhor funcionário que já me atendeu aqui, sou grato por ele, muito obrigado"
fev. de 2022,5,Confortável,"Hotel muito bem localizado, em frente ao shopping da cidade, restaurantes a poucos passos, mercado.  Hotel muito organizado, limpo, recepção pessoas educadas e prestativas.  Quarto amplo, frigobar, telefone, cofre, ar condicionado, Tv, banheiro limpo e grande.  Com piscina terraço, academia, brinquedoteca, café da manhã muito bom."
jan. de 2022,5,"Uma ótima estadia em Rondonopolis! Hotel muito bom, sem nada a reparar...","Hotel novo, localizado em frente ao shopping, ótimas opções de jantar na mesma avenida.  Quarto confortável, cama excelente e café da manhã em alto padrão.  Segue todas as normas de prevenção ao Covid 19 e a equipe super bem treinada.  Vale voltar nesse hotel."
dez. de 2021,1,PÉSSIMA EXPERIENCIA,"Atendimento ruim, tive disabor de ter agua sanitaria no telefone do quarto, o qual manchou toda a roupa que estava usando, o hotel sequer tinha uma touca descartavel, e solicitei uma nova toalha rosto, bem como a limpeza do telefone e não fui atendida, bem como as bebidas que pedi e não consumi puderam ser devolvidas. Não recomendo o Hotel.Fomos muito mal atendidos. E não tinha estacionamento, nosso carro ficou na rua"
nov. de 2021,1,Péssimo e sujo,"Banheiro sujo , tive que comprar desinfetante para poder tomar banho no box todo encardido de limo ! Toalhas velhas , ar condicionado barulhento . Hotel sem manutenção ! Há poucas vagas de garagem e uma pessoa largou o carro no meio impedindo saída não há manobrista e as chaves ficam com o hóspede . Café da manhã ruim com os alimentos secos e sem reposição . Piscina suja . Enfim hotel abandonado sem gerência e cuidados necessários ."
nov. de 2021,2,Desorganização total limpeza,"Fiquei 04 dias no hotel, mesmo pedindo para que o quarto fosse limpo, não houve limpeza, total descaso com o cliente, confesso que jamais esperava um nível tão ruim de atendimento com limpeza por parte do Ibis, até por que fico em vários pelo Brasil."
out. de 2021,1,Sem água e atendimento ruim,"Não tinha água nem pra fazer necessidade básicas, foi jogado de um quarto pra e já era quase uma da manhã, durmo sem tomar banho e fui mal atendido, pedi para pelo menos me explicaram o corrido so fugiram do assunto e pedi desconto falaram com todas as letras IMPOSSPIVEL."
ago. de 2021,3,"Quartos bons, vista linda mas café da manhã fraco","Hotel muito bonito, super bem falado. Diz que é melhor de rondonopolis. Realmente a vista cobertura com piscina é bem linda.  Os quartos são muito bons apesar de pequenos.  Porém na chegada check-in já rolou aglomeração pois só tinha uma atendente pra fazer check-in e atender telefone deu até dó sozinha fazendo tudo. Isso já gerou uma fila.  Café da manhã falta opções bem fraco. Podia ter tapioca, ovos feitos na hora fica sugestão."
ago. de 2021,5,Hospedagem,"Fiz uma hospedagem cm a familia e tivemos um atendimento diferenciado. Preço justo e lugar incrível.  A localização facilitou nossa rotina e no dia aproveitamos um jantar no restaurante do hotel, delicioso. Quero voltar."
ago. de 2021,5,Experiencia no comfort,"Localização e pontos de referencia me atendeu bem. Estrutura, limpeza e o atendimento foi primordial. Almoço e Jantar possui pratos incríveis,  O que eu mais gostei foi da área de lazer e brinquedoteca. Irei voltar"
jun. de 2021,5,Confortável com bom atendimento,"Escolhemos esse hotel porque meu esposo viaja muito a trabalho e gosta da rede. Estávamos só de passagem mas fomos muito bem surpreendidos, Atendimento prestativo e simpático, boas áreas para crianças, com brinquedoteca e piscina (a princípio nao pensei nesse hotel como sendo bom para crianças) e um café da manha extremamente variado e saboroso. Quartos confortáveis e bom serviços de quarto."
mai. de 2021,5,Uma surpresa em Rondonópolis,"Se antes se tratava de um Hotel apenas par descanso na viagem que prosseguia, o hotel surpreendeu positivamente. Recepção profissional e muito atenciosa, fazendo questão de informar bem e agradar ao hospede, bela vista da cidade, hotel novo com quartos limpos e completos. Wifi rapida, tv c vários canais, área comum impecável, café da manhã excelente. Um shopping em frente e uma vizinhança excelente."
abr. de 2021,5,Muito bom!!!,"Adorei o hotel, muito bem localizado, perto de vários restaurantes, shopping. Café da manhã excelente com muitos ítens, quarto muito bom, tudo muito limpo. Os funcionários são simpáticos e prestativos. Tudo que solicitei foi prontamente atendido. Piscina muito bonita, restaurante no local, álcool gel em várias partes, estacionamento gratuito. Recomendo."
abr. de 2021,5,Abertura do Restaurante Jambu,"Fui convidado para conhecer o cardápio de 2021 do restaurante Jambu, no Hotel. Os pratos além de estarem perfeitamente apresentáveis, deliciosos.a receptividade e o conforto do ambiente também foram fantásticos. Parabéns ao Chefe João."
fev. de 2021,1,Lamentável,"Hotel aparentemente legal e confortável com a recepção bonita, me hospedei na última semana de janeiro deste ano, porém ao chegar para o check-in não havia funcionários para pegar as malas da família (que eram muitas) tive que carregar no carrinho, levar até o quarto, descarregar, depois tive dar a volta na quadra para estacionar o carro pois como disse, não havia ninguém no hotel para fazer isso, a não ser o atendente do balcão, o quarto para três adultos era improvisado e bem apertado, além de estar cheirando (pouco mas perceptível) não havia nada no frigobar que também não refrigerava adequadamente, as bebidas ficam na recepção... O restaurante é estranho, a atendente pouco simpática, o cardápio ficava num QR code colado todo torto na mesa e o cardápio não era otimizado para dispositivos móveis, resumindo: um grande improviso. Café da manhã regular. Fico chateado por que foi o hotel que cobrou um preço Premium para entregar um serviço amador e de de beira de estrada. Lamentável."
jan. de 2021,1,Hotel sem compromisso no combate à Covid,"Hotel que coloca os hóspedes em risco de contaminação de Covid    1.O Booking ofereceu um upgrade de quartos executivos, mas são quartos em frente aos três elevadores, que fazem muito barulho. Ninguém quer essa bomba!  2. As camareiras gritavam, falavam palavrões e tocavam música durante a limpeza. E eu querendo apenas descansar. Usavam máscara abaixo do queixo. Tive que dar umas broncas e ligar para a gerência;  3. Quartos com péssima acústica. Faz eco o abrir e fechar de portas e conversas nos corredores. Dentro do quarto ouve-se os passos do hóspede de cima;  4. Quarto imundo. Poeira em baixo das camas, na mesa de trabalho, no criado mudo e etc. Tive que limpar. Não deixo camareira entrar no meu quarto nem a pau. Eu e meu marido tivemos falta de ar, pois somos alergicos;  5. Tudo o que você pede, seja para a cozinha ou governança tem que passar pelos recepcionistas. Então tudo é muito lento e com comunicação truncada;  6. Ar condicionado sem as telas filtrantes;  7. E a cereja do bolo: dentro dos banheiros existe uma janelinha que se liga aos outros banheiros. Sente-se cheiro de cigarro, ouve-se outro hóspede fazendo as necessidades e é claro, mistura o ar exalado dos hóspedes... Uma lástima em época de pandemia."
nov. de 2020,4,Conforto e praticidade,"Hotel bem localizado, próximo ao shopping. Possui acomodações confortáveis.  O café da manhã é bem variado e bem servido. Pela praticidade e localização atende muito bem qualquer perfil que necessite de conforto e facilidade de acesso.  Recomendo"
jul. de 2020,5,Hospedagem exemplar em tempos de pandemia,"Quarto muito limpo, todos, literalmente todos equipamentos, desde controles, toalhas, cobertores embalados em plástico. Orientações em todos os pontos estratégicos de acesso. Não só álcool gel para as mãos, mas também álcool líquido com pulverizador para higienização das bagagens.    Localização do hotel, excelente.    Café da manhã servido individualmente à escolha do hóspede, que não tem acesso, contato, com o buffet. Esta prática garante que os hóspedes não contaminem alimentos e pegadores. Este procedimento deveria ser obrigatória em todos os hotéis, infelizmente em todos os locais por onde passei no MT (Nova Mutum, Lucas do Rio Verde, Sorriso, etc.... até o Pará, nenhum oferece as mesmas condições. O Hotel e todos seus funcionários estão de PARABÉNS!"
jun. de 2020,5,Um primor!!!,Excelente hotel em Rondonópolis!!! Estivemos nesse hotel neste período de pandemia e de todos os outros que passamos foi o que mais segurança nos causou. Além disso o hotel é muito bom em todos os aspectos. Indico a todos sem receio de errar. Parabéns a todos!!!
mar. de 2020,5,Hotel Confort Rondonopolis MT,Excelente atendimento....cafe da manha especial....bem localizado...restaurante muito bom...suites maravilhosas..top master plus....voltarei breve se Deus quiser.....parabens ao pessoal da recepcao que prestou atendimento nota mil
jan. de 2020,5,Boa estadia,"Localizado em frente a um shopping center o Comfort Rondonópolis possui quartos amplos, limpos e agradáveis. Ducha quente e forte, cama confortável e o mais interessante, mesmo com o hotel cheio (estacionamento lotado) o silêncio no quarto foi notável. Quem já ficou em hotel barulhento sabe do que falo. Cafe da manha dentro do esperado. Otima estadia. Voltarei!"
jan. de 2020,4,"Hotel bom, mas com pequenos probleminhas.","Fiquei 4 dias hospedada no Comfort. A localização é boa e as duchas são excelentes, porém tiveram alguns probleminhas irritantes: a porta do meu quarto desmagnetizava o tempo todo, a borda infinita da piscina estava nojenta de tão suja e o café da manhã não varia nunca, é todos os dias exatamente as mesmas coisas. .."
jan. de 2020,4,Hospedagem com a Familia,"De forma geral o hotel é bom, porem um ponto a melhorar é o Checkin. Já nos hospedamos algumas vezes, porem sempre, mais sempre é muito demorado. Na última experiência ficamos mais de 25 minutos, e detalhe, mesmo não sendo a nossa primeira vez. Tem que melhorar isto URGENTE, fica a dica........"
dez. de 2019,4,Hotel bom muito bem localizado,"O hotel é bom. Custo benefício ótimo.    A localização é excelente, bem em frente ao shopping e próximo a vários restaurantes.    Atendimento do pessoal é bom, são gentis e atenciosos.    Comida boa, preços normais de hotéis.    Recomendo."
