Data da opinião,Nota,Título,Conteúdo
out. de 2022,5,Sempre bom,"Hotel bem localizado, próximo a um grande Shopping. Boas acomodações. Atendimento cordial. Pode levar o pet, inclusive no café da manhã. Os quartos são bem pequenos, mas todo IBIS é assim mesmo. Café da manhã muito bom. Vale a pena experimentar. Recomendo."
jun. de 2022,5,Atende ao que se espera!,"Excelente atendimento por parte dos funcionários da recepção: atenciosos e respeitosos. A estrutura atende ao esperado: ar condicionado, café da manhã e boa localização. Local com bom isolamento acústico."
mai. de 2022,5,Satisfeito!,"Mais uma vez a praticidade no atendimento se destaca. A experiência da hospedagem foi satisfatória, com ambientes higienizados e bem conservados. No entanto, o aparelho televisor do apartamento estava com defeito, distorcendo comprometedoramente as cores da imagem."
abr. de 2022,5,Excelente hotel,"Ajudaram a tornar a experiência mais perfeita! Nós ajudaram a se instalar e a definir ótimos passeios, só tenho a agradecer essa equipe maravilhosa!! Espero voltar algum dia para reviver esse sonho!!!"
mar. de 2022,5,Sempre me hospedo aqui,"Sempre me hospedo aqui, todos já me conhecem, muito organizado, limpo, cheiroso, espaçoso, moderno, atrativo, boa localização, no centro de Aracaju, atendimento prioritário, atenciosos, café da manhã perfeito."
dez. de 2021,5,Excelente,"Ótima localização, estacionamento amplo e gratuito, Check internet rápido, atendimento perfeito da recepcionista de nome Guadalupe, café da manhã com inúmeros itens, restaurante do hotel com opções para jantar"
nov. de 2021,5,Ótima hospedagem.,Atendimento nota 10 e o melhor serviço de buffet de café da manhã e jantar que já vi na rede IBIS.  Os funcionários são muito atenciosos e gentis.  Nunca gostei de parar para fazer avaliações mas esse hotel vale a pena comentar.
nov. de 2021,5,Bom,"Hotel confortável e Belo atendimento. Hotel é bem localizado, além de ter um ótimo café da manhã e ter uma limpeza excepcional. Recomendo bastante para quem for em Aracaju se hospedar no Ibis. Obrigado"
out. de 2021,2,Bom mas cama horrível,"O hotel é padrão da rede Ibis, mas eu não me lembro de um Ibis com uma cama tão ruim, saí de lá com muitas dores nas costas e dor de cabeça. O colchão era muito fino e ficava em cima da cama dura. O café da manhã estava ótimo, a localização é muito boa, tem estacionamento gratuito, o hotel em si bonito, mas a cama estragou a experiência"
out. de 2021,5,"""Melhor hotel da rede Ibis que já me hospedei no Brasil""",Grata surpresa quanto ao café da manhã em relação aos outros hotéis da mesma rede em outras cidades. Café da manhã gostoso e com várias opções.  Boa localização e atendimento. Estacionamento privativo.  O quarto estava limpo e no padrão da rede.  Tive uma boa estadia.
set. de 2021,5,Atendimento Excelente,"Gostaria de elogiar o atendimento do hotel, principalmente no café da manhã pela Josefa, que muito dedicada, simpática e querida nos faz sentir bem e prepara uma tapioca deliciosa.  Excelente café da manhã e qualidade no serviço."
set. de 2021,4,Um ótimo Ibis!,"Um Ibis melhor que os outros que já fiquei. Padrão, boa localização, bom cardápio de room service, atendimento muito bom tbm!  Café da manhã regular. Resumo: bom hotel, melhor com relação aos outros Ibis que conheço."
ago. de 2021,4,Bom custo benefício,"Bom custo benefício. Bom café da manhã, inclusive superior aos outros hotéis da rede. Bom local. Perto do Shopping Cidade. Bom atendimento. Bons protocolos de Covid. Achei falta de opções no bar do hotel."
jul. de 2021,2,Não me deixaram tomar café,"Cheguei à noite no hotel, fui para um quarto bem limpo e organizado. O chuveiro é ótimo, as toalhas estavam bem limpas. Um ponto negativo é que o restaurante é bem caro.  Pela manhã ia sair cedo para viajar, o café já estava no refeitório, porém me disseram que eu não podia "" mexer em nada"", pois só tinha direito ao madrugão, que consiste em um pão com queijo e presunto e café com leite. Se eu fosse saír bem cedo e o café não estivesse pronto ainda, tudo bem, mas já estava na mesa, eu paguei pelo café e não pude tomar porque ainda não era a hora do café. Achei isso um absurdo!"
mai. de 2021,3,Hotel regular,"Bom dia, estive no ibis grajeru, não sabia q tem 2 em aracaju, já na chegada me desagradou o cheiro. O quarta cheirava mofo, ainda bem q com a janela aberta melhorou. O edredon e travesseiro q estava guardado com cheiro de naftalina, o quarto é bem pq, box do banheiro tb, não tem toalhas de rosto nem touca de cabelo. Bastante barulhento tanto dia como a noite. O café da manhã na sexta bem ruim, pão francês amanhecido, poucas opções, leite frio. No sábado e domingo estava bem mlh. Mais não espere mt. Atendentes discretos , não mt simpáticos. Foi uma procura rápida não pesquisei mt , fiquei nesse pelo valor ,mas talvez se procurasse mlh poderia ter achado com o mm valor hotéis melhores."
