Data da opinião,Nota,Título,Conteúdo
29 de dez.,5,Muito bom!,"Tudo muito limpo, organizado, quarto confortável. Infelizmente a internet estava lenta, mas eu não colocaria isso como ponto negativo se você não está viajando a trabalho! Ótimo café da manhã! Todos muito gentis e prestativos!"
28 de dez.,5,Atendimento do Edvan,"Quero dizer que minha estadia foi perfeita! Desde a chegada até a saída! Hotel super bem localizado, café muito bom! E a finalização com o atendimento perfeito do Edvan! Parabéns pois minha há experiência foi perfeita"
26 de dez.,5,Acomodação agradável,A localização do hotel é excepcional. Ótimas opções de restaurante próximas e que podem ser acessadas até mesmo a pé. Sem contar que as acomodações são extremamente aconchegantes. O café da manhã é um ponto alto.
21 de dez.,5,Excelente opção de hospedagem,"Muito bem localizado, recepção perfeita pelo Sr. Edevam e Sra. Susane, é o hotel que nos hospedamos quando visitamos São Paulo. Os quartos são muito espaçosos, os serviços são muito bons e a vizinhança e a melhor da cidade. Recomendo!"
21 de dez.,5,Excelente hospedagem,"Hotel muito bem localizado, equipe de atendimento excelente e muito bem capacitada Todas nossas demandas foram atendidas de forma breve e solicita Agradeço em especial aos atendentes Edevan e Suzana, que foram responsáveis pelo excelente atendimento às nossas demandas Recomendo o hotel a quem for viajar, a localização é excelente e o bairro é muito seguro Café da manhã completo"
20 de dez.,4,Ótima localização,"Minha primeira experiência não havia sido boa, mas dessa vez a qualidade do serviço melhorou muito.  O café da manhã é bem gostoso.  O jantar servido no hotel tem algumas opções vegetarianas.  A localização é muito boa.  Os quartos nos andares mais altos são os melhores"
19 de dez.,5,Incrível.,"Um dos melhores hotéis que ja estive hospedado. Excelente atendimento, conforto, modernidade e cafe da manha. Sem duvidas voltarei mais vezes.  Muito bem localizado, perto de inúmeras opcoes de turismo e lazer."
17 de dez.,3,"Ótima localização, mas precisa melhorar","Excelente localização, quartos limpos, funcionários cordiais, faltaram toalhas no nosso banheiro várias vezes durante a nossa estadia, elevadores sempre com defeito e filas para usá-los. Café da manhã variado, mas detalhe para quem acorda cedo e é dos primeiros a chegar no café da manhã: o ovo e o cuscuz parecem ser requentados do dia anterior. No início do café esses itens estão sempre muito duros e ressecados."
15 de dez.,5,Reunião SP,"Atendimento impecável do Edvan. Conseguindo compreender e resolver as diversas situações que foram necessárias nos dias. Além da habitual cordialidade de todos. Café da manhã completo, com sucos, café, pães e limpeza."
12 de dez.,3,Alguns preços extorsivos no restaurante,"o hotel é mediano. Está um pouco cansado e precisando de reformas. Tem alguns problemas graves como os elevadores, que estão em número insuficiente e tiveram vários problemas com algumas pessoas nos dias de evento que estive por lá. O mais complicado, no entanto, foi cobrarem R$55 por uma salada de fruta pequena com aveia. Me senti muito lesado. Realmente não conferi o preço antes, mas ao assinar a nota não estava ainda o preço que foi atribuído depois. Um abuso!"
7 de dez.,5,Excelente localização,"Estada tranquila, equipe de atendimento bem treinada e bastante disponível.  Serviço de quarto muito bom.  Café da manhã impecável.  Localização extremamente estratégica para a minha finalidade durante a viagem."
