Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Melhor hospedagem no Jardins,"Hotel maravilhoso equipe bem treinada. Perto da Avenida Paulista, MASP tudo de bom. Sempre que vou a São Paulo fico neste hotel. Por quê pagar o preço de um 5 estrelas se neste hotel tem o serviço de 5 estrelas? Valeu e para a minha convenção da empresa me ofereceram uma sala de convenção por um valor irrisório. Muito obrigado!!!"
dez. de 2022,3,decepcionante!,"Pontos positivos : localização, café. Pontos negativos : estrutura precária,fotos não condizem com situação atual,no nosso quarto o forro das cortinas estavam com manchas de mofo,foi trocado o quarto e estava a mesma coisa. Preço é alto pelo que oferecem."
dez. de 2022,5,Uma boa pedida,"Vou em São Paulo, pelo menos, duas vezes ao ano e, sempre que possível, fico no hotel Royal. Além da excelente localização, o hotel possui uma equipe maravilhosa e um café da manhã delicioso. Um ponto muito positivo é a limpeza e o conforto. Todos são sempre muito atenciosos."
nov. de 2022,5,It is a great hotel I recommend,"Eu gostaria de agradecer o enorme tratamento que eu tive no hotel, eu adorei a minha estádia foi tudo incrível. O hotel é muito limpo e organizado os funcionários são muito educados e atenciosos e prestativos principalmente os recepcionistas José Erinaldo e Mikael os mensageiros.  o pessoal do salão do café da amanhã também. Eu super recomendo esta hospitalidade !!!"
out. de 2022,4,Ótima localização,"O hotel apresenta um bom serviço; os funcionários são atenciosos. O quarto é um pouco pequeno, mas atende as necessidades! Infelizmente, a sauna e a jacuzzi não estavam funcionando. A limpeza chama atenção!. Recomendo!"
out. de 2022,4,Atendimento diferenciado e ótima localização.,"Hotel muito bom. Ótimo atendimento. Os funcionários sempre gentis e atenciosos. Destaque para a Vanessa no restaurante no café da manhã sempre com um sorriso no rosto e cuidado com os hóspedes. A arrumação dos quartos ótima também com destaque para a Cláudia. Localização privilegiada, pois está perto da Av. Paulista. Experiência muito agradável. Vale muito a pena, principalmente para quem vai a turismo."
out. de 2022,5,Impecável!,"Do atendimento até a finalização da hospedagem, tudo impecável! Daiana e Priscila são perfeitas! Melhor hotel! A organização do departamento de grupos é invejável! A localização é maravilhosa seja para negócios ou passeio, possibilitando fácil acesso aos principais pontos da cidade. Recomendo muito!"
set. de 2022,4,Viagem SP!,"Hotel muito bom! Chuveiro ótimo, atendimento excelente, a academia poderia ser um pouco maior e o café da manhã com um pouco mais de variedade! A limpeza está dentro do padrão! A localização é muito boa! Bem próximo a Av. Paulista e do shopping cidade São Paulo! Farmácia e Mercado próximos, funcionários muito educados e prestativos !!!"
set. de 2022,3,Localização Top!,"Funcionários muito bem treinados e muito atenciosos. Localização excelente. Mas, móveis e o interior do edifício não correspondem ao que se espera de um Boutique Hotel. Se eu fosse o proprietário desse hotel, eu faria de tudo para renovar o mesmo e assim tornar o melhor hotel da região!"
set. de 2022,4,Muito bom,"Fui muito bem atendida. Equipe muito atenciosa. Quarto poderia ser um pouco mais novo, mas me atendeu perfeitamente. Voltaria com certeza.    Para eventos, a área destinada a coffee-break poderia ser mais ampla para que as pessoas pudessem transitar com mais facilidade."
