Data da opinião,Nota,Título,Conteúdo
28 de dez.,4,Localização excelente,"Todos os pontos pela localização! Metro ao lado, paulista virando a esquina e muitos restaurantes bons no entorno. Hotel padrão Budget, não espere mais que isso. Pelo custo/benefício em comparação com os hotéis da região, vale a pena!"
13 de dez.,4,Suficiente para uma noite,"Passamos só uma noite, pois tinha um compromisso no dia seguinte em um local próximo. Foi o suficiente. Quarto padrão Ibis: pequeno, sem frigobar, sem armários, porém limpo e silencioso. Toalhas e roupas de cama tudo OK. Ducha OK (nao é chuveiro, é aquela ducha manual que você pode deixar presa ou soltar). Não se esqueça de levar shampoo. Não tem secador de cabelos. Para falar com a recepção, há um telefone fora do quarto no mesmo andar. (não utilizei) Escolhi andar mais alto para não ter problemas com barulho. Café da manhã poderia ser um pouquinho melhor, porém maquina de café é boa! É bem localizado. Tem farmácia e hamburgueria por perto. Pagamos estacionamento no mesmo prédio."
6 de dez.,4,Vale pela localização. O hotel fica a poucos metros da estação de metrô Paulista o que facilita a chegada por Guarulhos,"Apesar de bem localizado e de ter um lobby moderno, agradável e contar com funcionários simpáticos e prestativos, o quarto está muito aquém do que se espera de um Ibis, mesmo se tratando de um Ibis Budget. O wc é formado por dois cômodos: em um bem claustrofóbico fica o sanitário e em outro o chuveiro. A pia fica do lado de fora. O rejunte do box estava tomado por mofo o que causa uma impressão muito ruim. O ar condicionado não tive coragem de ligar porque tinha uma aparência de bem Velho e dava para ver a sujeira pela grade. Claramente passou da hora de uma reforma ou pelo menos de uma manutenção melhor. Do mais, apesar de pequeno, o quarto é prático e serve bem a duas pessoas com uma mala pequena. Nem pense em três pessoas e três malas, não há a menor possibilidade. As tomadas…"
nov. de 2022,3,Boa localização e os demais itens ok,"Para o que é proposto, você usa mais é pra tomar banho e dormir. Padrão ibis, quarto pequeno, se for uma pessoa com muitas malas é inviável. Para um casal é aceitável, se for pra uma pessoa é mais confortável... se você sai cedo e volta de noite, é uma boa opção. Chuveiro ok, café da manhã me surpreendeu... Fica perto da Paulista. A localização é ótima!"
nov. de 2022,1,Pior experiência da Minha Vida,"Sou cliente fiel da rede Ibis, mais neste hotel tive a minha pior experiência. O atendente estava até mesmo com identificação de treinamento, no entanto seu gerente foi solicitado no momento do atendimento, e não mostrou nenhuma empatia, o atendimento foi muito abaixo do padrão, mesmo ele tendo o referido cargo. Também não apresentou conhecimento do Programa de Pontos, pois em contato com o Customer Service, ficou claro que ele poderia ter ""queimado"" meus pontos em múltiplos de 1.000 (mil), e quando questionado não o fez, fazendo assim com que fosse pago um valor maior do que se tivesse usado meus pontos. No que tange ao Welcome Drink, ele também não ofereceu uma segunda opção, uma vez que não tinha em estoque o produto oferecido pelo programa. Chuveiro com oscilação de…"
out. de 2022,3,Excelente custo-benefício,"O Hotel é muito bem localizado. Basicamente do lado do metrô Paulista e perto da Av. Paulista, supermercados, farmácias etc. Em relação ao quarto segue o padrão Íbis porém achei o banheiro um pouco mal cuidado com azulejos com sinal de mofo. Informação importante e que eu não me liguei e esqueci é sobre a ausência de frigobar no quarto. Roupas de camas e toalhas limpas. Funcionários sempre bem receptivos e educados. Sobre o café da manhã é OK, até me surpreendeu porque esperava algo bem simples e tinha opções de frutas, dois tipos de pães, pão de queijo, croissant, bolos, suco, iogurt e máquina de café. No geral pra quem vai curtir São Paulo sem passar muito tempo no quarto que foi meu caso e do meu marido vale super apenas pela localização e custo benefício."
set. de 2022,5,Hotel padrão IBIS muito bem localizado,"Ótima localização, ao lado da estação Consolação (linhas Verde e Amarela; colado na Paulista e no cinema Petra Belas Artes). Muito limpo e novo. Atendimento eficiente e gentil. Local do café da manhã amplo em comparação com outros da linha Budget."
set. de 2022,1,NUNCA MAIS,"Não tem espaço para nada dentro do quarto para 3 pessoas ...Impossivel acomodar malas de mão de 3 pessoas num espaço tão reduzido ; os quartos em pessimo estado de conservação ,azulejos sujos ;a única coisa que vale a pena é a localização !"
ago. de 2022,4,"Localização privilegiada, café da manhã restrito, preço ok.","Localização privilegiada, perto da Paulista e do metrô, com todo tipo de comércio e serviços bem próximo. Quarto padrão Íbis Budget, sem surpresas. Limpeza eficiente, camareiras educadíssimas. Ar condicionado eficiente, hotel disponibiza cobertores. O checkin é demorado, faltam funcionários e um sistema mais eficiente. Café da manhã okay, pode ter mais opções de frutas. O preço do quarto é um pouco acima do serviço oferecido."
ago. de 2022,4,Funcional e ótima localização,"Hotel simples e com o preço justo, um ótimo custo benefício. Localização muito boa, perto de uma estação do metrô e algumas opções de restaurantes pertos, sem necessidade de utilização de carro. Já penso em um retorno."
ago. de 2022,3,Poucos funcionários no balcão e restaurante gerando filas enormes e demora. Buffet a mesma situação.,"Cobrar para deixar sua bagagem foi um supresa desagradável, corredores dos quartos dá a impressão de sujo, devido a pintura já desgastada dos ambientes.  O banheiro e box da ducha minúsculos,a pia idem.....a sugestão é mostrar isso em fotos porque a sensação é que voce nao está em um hotel da rede Accor de tão ruim."
ago. de 2022,4,Excelente custo-benefício,"A localização é sensacional, café da manhã muito bom. Os quartos são razoáveis, compatíveis com os preços, só o banheiro que é extremamente pequeno, mas de resto tudo certinho. Eu e minha família passamos uma semana e não tivemos nenhum problema na estadia."
ago. de 2022,5,Excelente localização,"Hotel com a melhor localização, metrô, mercado, restaurantes…tudo que a avenida paulista oferece. Fantástico. Hotel Extremamente funcional. O único ponto a desejar é o café da manhã que poderia ser um pouco melhor."
ago. de 2022,4,viagem acadêmica,"hotel com excelente localização, preço confortável. Atendimento da equipe muito bom, pessoas prestativas e atenciosas. Limpeza do quarto atendeu a expectativa. Ressalvo apenas velocidade da internet que em determinados horários fica lenta."
