Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Hotel e Equipe SHOW,"Hotel fantástico! Acomodações lindas ( a cama de casal poderia ser um pouco mais durinha). Muita privacidade devido à separação de ambientes. Agradecemos a Clarice sempre prestativa na arrumação do quarto. No geral, a equipe é super atenciosa e muito dedicada!"
uma avaliação Ontem,5,Atendimento,"Boa tarde gostamos de mais do hotel, principalmente do atendimento em destaque aos recepcionistas Lucas e Douglas que foram super atenciosos e dedicados em nós atender hotel bem localizado experiência única em Gramado!"
uma avaliação Ontem,5,Exclusive Gramado,"Hotel muito bom, atendimento sensacional. Kaleu, Carlos e Cláudio foram fantásticos e nos acolheram muito durante todo o período de nossa viagem. Todos da família ficaram muito bem, as crianças e os adultos, show demais! Obrigado."
1 de jan.,5,Natal e Ano Novo,Foi uma semana mágica em família com o atendimento mais que especial da equipe Gramado Exclusive. Gostaria de destacar os funcionários Bruna Galera e Endrew que fizeram toda diferença. Hotel impecável. Ceias maravilhosas. Limpeza e conforto nota 10!
dez. de 2022,5,Final de ano em familia,"Hotel com excelentes instalações, tudo muito bem conservado e com aspecto novo! Atendimento excelente, café da manhã de primeira, como a cidade pede! Piscina aquecida com tamanho adequado e comporta toda a família! Essa foi nossa segunda vez no Exclusive e com certeza voltaremos!"
dez. de 2022,5,Viagem em família,"Hotel excelente, área de lazer ótima para crianças e adultos, café da manhã espetacular, ótima localização, restaurante no local de excelente qualidade! Lucas e Douglas muito prestativos, atenciosos e bem humorados!"
dez. de 2022,5,Hotel Exclusive Gramado - Nota 1000,"Hotel ótimo. O Lucas Douglas nos atendeu com muito zelo e educação. Um super hotel, elegante, com pessoas educadas e muita coisa boa p fazer. Academia, piscina, área infantil. Sensacional. Agradeço muito a hospedagem"
dez. de 2022,5,Natal e Ano Novo maravilhosos,"Hotel muito bom, café da manhã com várias opções, tudo novinho e maravilhoso. Atendentes simpáticos e eficientes. Vou citar uns nomes mas todos foram ótimos com a minha família. Lucas Douglas, Bruna Galera, Endrew, Pamella..."
dez. de 2022,5,Férias Gramado,"Ótimo ambiente, Ótimo atendimento, limpeza impecável, funcionários atencioso, educados, principalmente o funcionário Endrew e a camareira Clarice. Um dos melhores hotéis que já nos hospedamos. Café da manhã maravilhoso, organizado."
dez. de 2022,5,Férias,"Excelente atendimento. Ambiente familiar. Queremos agradecer em especial o Kaleu, a Lindsay e a Clarice.  Voltaremos em breve.  Obs: Poderiam evitar abordar os hóspedes com muita frequência para as reuniões."
dez. de 2022,5,Lazer,"Excelente serviço dos garçons,café maravilhoso tudo muito bem feito .  Eu e minha família amamos tudo e recomendo com certeza.fomos atendido pelo Douglas e Lucas muito atencioso e educados,há uma grande variedade de comida . Muito bommm"
dez. de 2022,5,Viagem lua de mel,"Hotel excelente, atendimento perfeito, café da manhã sensacional, os recepcionistas Lucas e Douglas muito atenciosos, nossa experiência foi incrível, cada funcionário muito experiente e atencioso. Amamos!"
dez. de 2022,5,Um ótimo hotel!,"Ótimo hotel, bom quarto, café da manhã com várias opções... A área social é muito boa também, com atraçõespara todasas idades (sauna,academia,videogame, área kids, e destaque para o atendimento dos funcionários, todos bem educados e prestativos!"
