Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Natal Luz em Gramado,"Excelente Hotel para família. Quarto grande, bom serviço, limpeza e atendimento. Equipe muito solícita.  Camas novas e banheiro espaçoso. Café da manhã bem diverso.  Ótima localização, perto do centro.  Ponto de melhoria é o excesso de insistência para chamar para evento de venda de multipropriedade da Laghetto."
dez. de 2022,3,Razoável custo benefício,"Atendimento de todos funcionários muito bom, estrutura do hotel razoavelmente boa, quarto não muito satisfatório, pois colchão de casal afundando, espelho do bwc velho e descascado, quarto reservado pela RCI constava como privado para 4/2, mas não foi o que me deram. Enfim, procuraria outras opções de hotéis."
dez. de 2022,5,Férias em Gramado,"Hotel excelente, localização perfeita e atendimento ee qualidade. Quartos muito confortável. Área de lazer completa, café da manhã impecável. Retornaremos em breve para outra hospedagem em outro período."
dez. de 2022,5,Excelente,"Excelente equipe de atendimento, da recepção, das áreas de lazer, restaurante e limpeza.  Gostamos muito da localização, do restaurante.  As crianças se divertiram no espaço infantil, brinquedos bem cuidados.  Recomendo."
dez. de 2022,5,Passeio,"Excelente atendimento, local muito limpo, alimentação otima, hotel bem localizado, proximo ao cebtro comercial e principais atracoes de Natal.  Estaremos de volta no proximo ano que ja entrou na nossa programação"
dez. de 2022,5,Excelência em atendimento!,"Funcionários extremamente cordiais, simpáticos e prestativo, localização excelente bem próximo a rua coberta ao lado da pizzaria dos piratas, praticamente em frente tem a parada do bus tour onde facilita mais ainda seus passeios, sempre tem um cafezinho e um chá na recepção quentinho te esperando a hora que for😉super indico"
dez. de 2022,5,Tratamento com excelência,"Ótima estadia. Ficamos no período de 9 a 17 de Dezembro de 2022. Funcionários do hotel sempre atenciosos e prestativos. Agradecemos a todos pelo carinho e atenção. Alexandre e a todos da recepção. Leandro e a todos do restaurante. Rafaela que tratou com muito carinho de nosso neto no Espaço Kids. Ao pessoal que deixou o quarto em ordem impecável no retorno ao hotel, camas arrumadas, toalhas limpas e ambientes sempre higienizados. Parabéns pelo ótimo atendimento de todos os envolvidos. Com certeza retornaremos em uma próxima visita a Gramado."
dez. de 2022,5,Zero defeitos,Zero defeitos. Hotel maravilhoso. Local perfeito. Perto de tudo. Café da manhã show. Atendimento. Limpeza. Recepçao. Serviço de quarto. Área de lazer. Volto com toda certeza. Tudo de bom! Show de bola.
dez. de 2022,5,"Viagem de férias em família, 7 adultos e 1 criança.","Ficamos hospedados em 2 quartos muito bons, a localização é bem central e perto de todas as atrações do centro de Gramado, a estrutura é muito boa, tanto restaurante como área de piscina e espaço kids."
dez. de 2022,4,Localização excelente.,"Hotel com um padrão muito bom. Fica numa localização excelente. Conseguimos ir para o Natal Luz caminhando , sem precisar de transporte . Experiência muito boa. O Sr. Luiz (garçon) se destaca pela simpatia e boa vontade em sempre servir . Negativo mesmo só a abordagem insistente para se comprar quotas de empreendimentos do grupo (mas isso só ocorre no primeiro dia)."
dez. de 2022,5,Muitíssimo satisfatório!,"Nota 1000 pode?  Desde a chegada a saída, tratamento impecável, educação e cordialidade excepcional!  O Leonardo (o gordinho da recepção) muito educado, prestativo e dinâmico! Obrigada gordinho da recepção rs adoramos e com toda certeza voltaremos.  Limpeza 10  Café da manhã 10  Quarto 10!  Excelente hotel! ☆☆☆☆☆"
dez. de 2022,5,Ótimo local!,"Hotel lindo, bem localizado, limpo, com equipe super educada e simpática. Restaurante e café da manhã ótimos, muita variedade. Piscina é tudo de bom, aquecida e muito agradável; e ainda tem saunas e aceita pets, o que deixa a estadia completa!"
dez. de 2022,5,Hospedagem maravilhosa,"Melhor experiência que tive em hospedagem, hotel extremamente limpo, atendimento impecável, com café da manhã novinho, piscina térmica na melhorar temperatura mesmo em dias quentes. Quando eu puder vou retornar ao mesmo."
dez. de 2022,5,Passeio,Hotel com atendimento nota 10  Hotel com quarto nota 10  Piscina 10  Pessoas 10  Café da manhã ótimo  Guardados ótimo  Localização ótima  Principalmente o Ediman  Da recepção !!  Malas levadas  Carro estacionado  Sem palavras  Tudo muito bom sem negativas
dez. de 2022,5,"Atendimento ótimo, ótima localização,","Hotel limpo e atendimento 100%. Todos os funcionários são extremamente atenciosos, solicitos! E a localização maravilhosa, conseguimos fazer 90% das atrações a pé sem esforço! Café da manhã delicioso! Voltaremos com certeza ao Hotel Pedras Altas!!"
dez. de 2022,5,Sensacional,"Melhor lugar! Estou encantado! Tudo impecável! Gostei demais. Sem palavras!!! Logo voltarei, amei o local. Café da manhã perfeito, piscina maravilhosa! Todos os serviços foram incríveis! Amei tudo!! Voltarei em breve!"
dez. de 2022,5,Excelente Hotel,"Parabéns a toda equipe do Hotel Laghetto Pedras Altas pelo excelente atendimento. A equipe é de primeira! O hotel é sensacional, e muito confortável, muito limpo! O café da manhã é excelente! Recomendo!"
dez. de 2022,5,Laghetto Pedras Altas,"Gostaria de parabenizar pelos serviços prestados a seus clientes, por toda a equipe:pessoal do restaurante, camareiras, auxiliar de manutenção, recepção (como são educados e gentis) e também a Licoli, que nos atendeu muito bem, com muita presteza!!!    Parabéns e Feliz Natal para todos vocês!!  Que Deus  abençoe a todos!!!    Helena Braga."
dez. de 2022,5,Laghetto Pedras Altas,"Parabenizo a equipe Laghetto pelo trabalho de excelência realizado a seus clientes!!!    Agradeço a simpatia de todos garçons, camareiras, pessoal da recepção (quanta simpatia e gentileza), Licoli e pessoal da manutenção!!!  Desejo um Feliz & Abençoado Natal!!    Rejany Brotas Bussular"
dez. de 2022,5,Lachetto Pedras Altas,"Parabéns equipe Lachetto Pedras Altas! De modo geral, recebemos tratamento de excelência. Desde o pessoal do restaurante, Cozinha, Recepção , Camareira e pessoal de apoio. Ah! Vale ressaltar a simpática e atenciosa Licoli que tanto colaborou para que nossa estadia fosse magnífica.  Meu muito obrigada! Um feliz Natal e um Ano Novo de paz e realizações.  Abraço,  Edna Santana da Silva"
dez. de 2022,5,"""Em casa ""❤","Pessoas atenciosas.  Ao Rudimar o meu agradecimento.  Rodrigo e Leandro (recepção) muito atenciosos.  Acomodações limpas, camareiras atentas e eficientes.  Recomendo hospedar nesse hotel.  No proximo passeio aqui hospedarei."
