Data da opinião,Nota,Título,Conteúdo
dez. de 2022,1,Horrível,"Passei a noite sendo picado por uma espécie de percevejo. Lençol cheio de sangue.  Acabei de reclamar para o recepcionista, q sequer se mostrou surpreso. Disse q já aconteceu, q pretendem detetizar. Tchau obrigado.  Sem fundamento."
dez. de 2022,3,Quarto muito pequeno,"Fiquei uma noite no hotel juntamente com minha esposa e filha. O hotel possui um preço de diária muito bom, entretanto o tamanho do quarto surpreendeu por ser muito pequeno, quase que não cabem as malas. A cama da minha filha fica acima da cama e casal. A pia é fora do banheiro. O chuveiro fica separado do sanitário. Não tem frigobar. Só vale a pena para poucos dias e se for para uma pessoa ou no máximo duas. Não reserve se vc for mais gordinho ou idoso. O café da manhã é bom (padrão ibis)."
dez. de 2022,5,Recomendo!,"Atendentes exemplares, quarto limpo e ótimo café da manhã. O check-out é o mais prático que já vi. O único problema foi a chave magnética, tive problema pela 2a vez. A equipe de atendimento tenta se mobilizar, mas a tecnologia que está sendo empregada dificulta bastante."
dez. de 2022,5,Recomendo!,"Estava com meu namorado e meu cachorrinho e fui muito bem acolhido, inclusive com o meu cachorrinho saindo no Instagram deles 😍 Quarto bem confortável, estacionamento super prático e atendimento excelente! Recomendo"
dez. de 2022,5,Maravilhoso local,"Sou profissional da hotelaria há mais de 12 anos e fiquei impressionada com o lugar. Limpeza impecável, cama maravilhosa, todos funcionários uma educação e gentileza que não se vê em todos lugares. E o que falar do café da manhã? Que delícia! Meu deus!! Parabéns aos gestores e equipe em geral!"
nov. de 2022,5,Entrega o que promete,"Ambiente impecavelmente limpo, equipe atenciosa, prestativa e educada.  Fiquei 4 dias e com certeza, na minha próxima viagem a Porto Alegre, ficarei hospedada novamente neste Ibis.  O hotel fica no Centro Histórico o que é facilita a locomoção a várias regiões de POA."
nov. de 2022,5,Melhor custo benefício e ainda ser muito bem tratada e mimada!!!,"Local de fácil acesso para tudo, bem localizado! Desde a entrada até a saída, fomos todos muito bem atendidos, o lado humanista de todos os colaboradores do hotel é algo inenarrável de tão acolhedor e prestativos que são. Quarto maravilhoso, uma vista linda, bem estruturado, ducha de banho maravilhosa! Hotel bem equipado, tem de tudo! Super confortável! Café da manhã maravilhoso como todos da rede accor! Tem também, próximo à recepção, uma lanchonete com tudo que precisamos para conveniência na estadia. Tem mesas de reuniões no hotel, wi-fi exemplar, sala com telão para entreter todos. Uma experiência maravilhosa! Voltaremos sempre! Podem ir também que irão se apaixonar por este hotel como eu!"
nov. de 2022,5,Hotel impecável,"Fui visitar a cidade com amigos e ficamos no Budget, pois já conhecia a rede. Repcionistas super simpáticos e prestativos, além da limpeza impecável e café da manhã padrao da rede, mas com opções frescas e atrativas. Super recomendo! ❤️"
nov. de 2022,5,Visita Íbis,"Excelente ambiente e equipe muito atenciosa, Desde o check in. Limpeza impecavel nos quartos e banheiro! Local bem localizado, próximo de meios de transporte e pontos turísticos. Super recomendo!!!!!!"
nov. de 2022,5,Hotel super atencioso com Pets,O hotel foi extremamente atencioso comigo e meu cachorrinho. Foi a primeira vez que levei meu pet para um hotel e simplesmente adorei a forma como fomos tratados. O hotel possui uma estrutura muito bonita e funcional. O café da manhã estava ótimo. Adorei minha experiência.
out. de 2022,5,"Praticidade, rapidez no atendimento, custo benefício","Supriu todas as minhas necessidades, boa localização, pouco barulho, segurança, bom café da manha e funcionarios simpaticos. Estacionamento, bom espaço no quarto.  Voltei mais de uma vez e é minha escolha nas viagens."
out. de 2022,5,Excelente atendimento,Excelente atendimento da equipe. Quarto muito bom e tudo novo. Localização de fácil acesso a vários lugares. Já fiquei várias vezes e sempre fui bem atendido. Equipe sempre solicita. Limpeza muito boa. Faltou apenas shampoo.
out. de 2022,5,Estadia no IBIS BUTGET,"Parabéns a equipe toda no Ibis. Excelente dias que estive lá. Voltarei sempre. Super recomendo nota 10. Limpeza impecável, atendimento imediato, estacionamento exclusivo e um festival de massas fabulosos. Parabéns"
set. de 2022,1,Não recomendo,"Ao chegar meu check in demorou quase 40 minutos. Havia vários hóspedes esperando e apenas um atendente! O quarto se mostro pequeno por fotos e descrição mas não imaginava ser tão minúsculo, para uma família (3 pessoas) não indico, ou as malas entram ou tu entra. O café da manhã achei bem sujo ao redor das mesas. Os quartos estavam limpos mas não há muita ventilação no ambiente."
set. de 2022,4,Padrão Ibis Budget,"Cumpre o que promete. Nada diferente das fotos e do padrão Ibis Budget. Fui com mais duas pessoas e não recomendo o quarto para mais dias ou para quem está com malas, pois o espaço é bem compacto. Hotel limpo e organizado. Oferecem estacionamento pago. Próximo a rodoviária. Não é muito recomendado andar nos arredores, principalmente a noite. Oferecem opção de cachorro quente a noite."
