Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Final de semana,"Adorei o hotel: quarto bem espaçoso, boa cama, tudo muito limpo.Bom café da manhã e equipe do hotel muito gentil. Ótima localização e preço muito bom!O estacionamento muito bem atendido pela equipe. Ótima piscina! Recomendo o hotel!"
nov. de 2022,1,Experiência horrível,"Fiz a reserva para duas pessoas com café da manhã e queriam me cobrar um café da manhã. Solicitei que eu pudesse resolver o imbróglio deles na recepção de forma reservada e me seguravam no restaurante me constragendo desnecessariamente. Havia barata no banheiro também e ao fim, mesmo que você tenha pago todas as taxas, eles cobram uma taxa de infraestrutura. Experiência horrível. Não voltarei mais!"
out. de 2022,1,Tarifa enganosa,"Entrei em contato com a central de reservas do hotel e o quarto com acessibilidade para uma senhora idosa e a cuidadora com duas camas de solteiro estava tarifado em R$297,00 Para minha surpresa na hora da saida depois de pago as tres diarias ,cobraram mais 198,00 por ela ter uma acompanhante!!! UM ABSURDO!!!!!!!  Minha estava na cidade para ir ao médico impossibilitada de sequer descer para tomar o cafe da manha que queriam ainda cobrar!!!! TOTAL DESCASO COM O CLIENTE"
out. de 2022,2,"Hotel muito velho, sem conservação e sem wi-fi disponível","Hotel muito velho. Se vangloriam por ser um dos hotéis mais antigos da cidade, mas não é bem conservado. Um dos maiores problemas que enfrentei foi a falta de sinal de internet no quarto. Viajei a trabalho e tive muita dificuldade por conta da falta de sinal. Episódio lamentável foi quando eu estava tomando café da manhã e quando fui me servir, os funcionários já estavam recolhendo a comida, mesmo com pessoas dentro do restaurante. Concordo que a porta seja fechada no horário marcado, mas enquanto hóspedes estiverem comendo, devem aguardar para retirada. Atitude muito grosseira. O requeijão servido estava azedo, pra piorar, e no dia seguinte foi servido novamente, até que um dos hóspedes reclamou w aí sim foi retirado."
ago. de 2022,3,""" O TEMPO NÃO PERDOA""","Essa já foi uma das melhores opções de hospedagem em Porto Alegre.  Já passou da hora do hotel iniciar um processo de modernização !  Os carpetes dos quartos já cumpriram seu papel , por mais que se limpe eles parecem sujos.  Armários velhos e com poeira , péssima iluminação no quarto e no banheiro  Café da manhã com strudel ""velho"" (não era do dia com certeza) sem contar com ovos mexidos ""gelados"" e pedir para fazer um ovo quente é considerado uma ofensa por parte da atendente !!!  O ponto alto continua sendo a localização , apesar da deterioração e decadência da região ."
jul. de 2022,5,Excelente opção de hospedagem no Centro de Porto Alegre,"Durante muitos anos foi o melhor hotel de Porto Alegre. Embora hoje tenha a concorrência de hotéis mais novos, segue como uma excelente opção de hospedagem na capital gaúcha.    É bem localizado, na região central da cidade, perto do chamado Centro Histórico. Outras atrações da cidade também ficam próximas, de carro.    As instalações são espaçosas e bonitas, evocando um estilo clássico. Antigo, mas não velho.    O atendimento é excelente, limpeza, bar, restaurante, café da manhã, tudo muito bom.    Todos os funcionários são prestativos e atenciosos. Gostaria de destacar o Luciano e o Antônio, da recepção, que me atenderam muito bem, do início ao fim da estadia."
abr. de 2022,1,Já era,"O hotel pode ter sido bom nos anos 80, agora não passa de um hotel decadente no centrão de Porto Alegre, alias uma zona péssima, cheio de pedintes e craquelentos. O checkin já começou errado, com a funcionária ignorando que eramos em 3 nao em 2 (um casal e uma criança). O quarto tem cheiro de mofo e se ouve todo o barulho sanitário dos demais quartos. Nao existem tomadas elétricas ao lado da cama, te obrigando a carregar o celular perto da porta de entrada. No restaurante o serviço foi péssimo, em especial com uma funcionária de má vontade quando solicitado as “canetinhas” para nossa filha brincar. O café da manhã é pobre, o secador de cabelos nao funcionava, a piscina nao tem aquecimento, e a jacuzzi está estragada. Nao perca tempo, procure um hotel novo em um bairro melhor."
abr. de 2022,4,"Amo o pão Sao Rafael, predileto nos meus cafés da manhã.","Adoro o Hotel, principalmente o café da manha, só fico nos apartamentos reformado, excelente colchoes, ducha deliciosa. Os funcionarios são otimos em especial o Fabiano Medeiros, extremamente educado, um excelente profissional!! Só me hospedo nele."
mar. de 2022,2,Hotel Antigo,"Hotel antigo, instalações barulhentas. Funcionários mal educados durante o café da manhã. Fiz a reserva sem café e fui tomar o café separado de minha esposa. Quando ela desceu disseram que ela não estava hospedada, sendo que paguei mais R$70,00 para dois cafés cobrado pela recepção. Incrível como os setores não se conversam e causam problemas."
mar. de 2022,5,Amei,Hotel maravilhoso. Atendimento impecável.  Me senti extremamente confortável em todos os ambientes.  Piscina com água agradável e visão do nascer do sol Espetacular.  Obrigada pelos ótimos momentos.  Espero retornar muito em breve.
mar. de 2022,5,Uma pernoite,"Excelentes acomodações, piscina e academia maravilhosa. Sem contar com o café da manhã e o menu de janta, nem se fala ! Cama muito confortável e super limpo!. Enfim o melhor de Porto Alegre com certeza."
fev. de 2022,2,"Hotel bom, mas deveriam checar processos e pessoas","Quarto ótimo, café da manhã ótimo. Na correria fiz a reserva pelo booking sem o café da manhã, alertado pelo atendente do check in que me ofertou e adicionei, fazem o pagamento na entrada, então tudo certo. No café da manhã não constava meu nome, mas quando eu estava me servindo uma mulher se aproximou e disse que não constava meu nome e eu não tinha pago o café da manhã, mas de uma forma constrangedora, me senti muito mal até pq tinha outras pessoas. Não sei se o cara que estava atrás dela era um segurança ou apenas coincidência que estava ali, mas gerou um sentimento muito ruim pela situação. Não virei mais no hotel que vínhamos seguido. Teria outras formas de abordagem, estava despreparada e o hotel deveria ter posto meu nome na lista já que dei entrada as 18h do dia anterior."
fev. de 2022,5,Plaza São Rafael Porto Alegre,"Serviço excelente, padrão diferenciado de atendimento. Comida muito boa e preços justos, além da localizaçao ser central, facil acesso aos principais bairros da cidade. Ficarei novamente, otima opçao de hospedagem."
jan. de 2022,5,"Hotel renovado, magnífico! Clássico de POA, cada vez melhor.","Somos clientes Plaza San Rafael há muitos anos. Fomos bem atendidos, tava ótima a estadia. Boa academia, vista, piscina,sauna, quartos confortáveis, grandes, lojas dentro do hotel são ótimas, café da manhã e atenção diferenciada pelo Plaza Vaccation."
jan. de 2022,5,Maravilhoso! Super recomendo!,"Hotel lindo, bem localizado, atendimento impecável, limpo, quarto lindo e amplo, espaço maravilhoso para quem vai a trabalho, internet boa e o café da manhã espetacular !    O espaço da academia é lindo, além do espaço das piscinas que é perfeito também!    Nota 10 em tudo !"
jan. de 2022,2,Precisam melhorar!!!,"O hotel esta localizado no centro de Porto Alegre, que por sinal além de caótico, não é nada bonito rs. O desembarque na porta do hotel é terrível, além de ser pequeno, faz fila, atrapalhando o transito na rua a frente, simplesmente horrível para qualquer motorista, deveriam dar um jeito de reformar essa entrada, há modos de arrumar. O estacionamento é bem caro, deveria ser mais barato, já que a diária do hotel é alta para hotéis do centro!! O hotel é antigo, mas não é por ser antigo que é ruim, ele ainda tem o charme de um 5 estrelas que foi, eles ainda conseguem passar isso, mas muita coisa deveria se modernizar, eles pararam um pouco no tempo! Os quartos são grandes e com ótimas camas, banheiro tem uma ótima ducha e tem bidê, que é bárbaro. Uma funcionária liga no momento em que chegamos no quarto, perguntando se esta tudo ok, muito educado deles nessa parte!! O carpete no chão é muito ruim, e já não se usa mais, passou da hora de trocarem isso por outro piso liso, existem vários tipos hj em dia, q trazem conforto!! O ar condicionado não gela, achei ruim. Pratos sujos no corredor são vistos e ficam ali por mais de 1 dia, e isso passa uma imagem de desorganização, mau limpeza e preguiça, etc de funcionários, ninguém merece ver pratos imundos no seu caminhar ao seu quarto. Café da manha bom, mas deveria ter mais opções de doces. A piscina tem uma bela vista, porem achei suja. Enfim o hotel não é ruim, mas tb não é tão bom, so precisa de mais carinho, pois está precisando se modernizar, o glamour dos anos 90 já passou, estamos em 2022, se quiserem recuperar, acho que ainda conseguem!!"
jan. de 2022,3,Esperava mais,"Quarto antigo com pouca ventilação. Janelas abrem o mínimo. Falta de tomada do lado esquerdo da cama.    Cobre leito precisando ser lavado. Colchão com cheiro ruim.    Café de excelente qualidade, porém a parte física deixa a desejar, eis que, as cadeiras são muito antigas, pesadas demais, não há como erguer para afastar da mesa, tem que arrastar, o que faz barulho dando a impressão de falta de educação.    Custo elevadíssimo do estacionamento."
jan. de 2022,5,Hospedagem excelente,"O quarto superou as expectativas, espaçoso e muito confortável. A piscina não estava boa e o jacuzzi estava em manutenção, mas tinha sido logo após o réveillon, não deu tempo de pegar num período bom. A academia é bem equipada, climatizada e com uma bela vista. Em geral foi uma excelente estadia."
jan. de 2022,1,Péssima estadia,"Desde da chegada eu tive problemas, nenhuma orientação sobre qual a localização dos quartos, pelo fato dos elevadores servirem apenas alguns quartos.  Piscina uma vergonha, água turva e hidro interditada sem nenhuma explicação e para fechar com chave de ouro o ar condicionado não funcionava e pedi para falar com o gerente, para minha surpresa a gerente de nome Marcia não fica no hotel, a rapaz da manutenção apareceu e disse que o ar funcionava normalmente Ro problema seria o sol da tarde, sendo que o quarto das minhas filhas ao lado do meu o ar estava gelando normal."
dez. de 2021,3,Custo benefício não vale a pena,"Check in demorado. Quarto antigo, algumas tomadas não funcionam e faltam próximas a cama. Chuveiro nota 2, o escoamento do box é deficitário e alagou tudo. Dificuldade para atender o telefone na recepção. O piso do quarto é carpete, o que dificulta a limpeza.  A cama era bem limpa e confortável. O sofá da recepção é muito bom."
dez. de 2021,4,Quem já foi rei nunca perde a majestade,"O Plaza é o Plaza!  Hotel bem localizado, silencioso, com quatro amplo e aconchegante e roupas de cama e banho limpas e cheirosas.  O salão de eventos, assim como a recepção são lindos e imponentes.  Os únicos pontos não tão positivos são o café da manhã, que é bem simples, e uma certa demora e desorganização na recepção, mas nada que estrague a hospedagem."
dez. de 2021,4,Bom hotel,"Um Bom hotel, com ótimo atendimento na recepção, quartos amplos ,camas podem ser maiores, chuveiro muito bom, Café da manhã excelente, preço justo um bom espaço de academia e piscina um bom restaurante . Apenas poderiam melhorar na questão estacionamento, caro R$ 35,00 por dia"
nov. de 2021,5,Me mimando❤️🥂,"Atendimento excelente, colaboradores atenciosos, acomodações muito confortáveis, desde o quarto a área da piscina, restaurante maravilhoso, deixo um elogio especial para Márcio, que nos atendeu com muita gentileza."
nov. de 2021,5,Descanso e paz,"Para quem, como eu, estava precisando de descanso, foi um ótima opção. Entretanto, se a ideia é percorrer uma distância curta via caminhada até os pontos turísticos da cidade, recomendo hospedagem em outro endereço. O café da manhã, se bem aproveitado, pode servir como almoço."
out. de 2021,1,Vergonha,"Já levei a minha cachorra que pesa 3 kg e até hoje sem estar avisado do valor específico me cobram 120 reais a mais pelo cachorro,a hotéis que nem cobram e outros que no máximo cobram 40 reais,se estivesse escrito ou descrito como fazem com o valor da garagem ou outros tudo certo,uma vergonha 😡😡😡"
out. de 2021,5,Boa estadia em um hotel clássico,"O hotel tem uma arquitetura e decoração clássica muito linda e bem conservada, o que proporciona um ambiente requintado.  O salão do restaurante é bem decorado e bem amplo, o que permite um distanciamento social nesses tempos de covid-19.  Os rapazes da recepção são muito gentis e solícitos, estão de parabéns.  Os pontos negativos vão apenas para a hidromassagem que não estava funcionando e o café da manhã é bom, mas poderia ser mais variado."
out. de 2021,2,"Antigo, mal conservado","Paguei mais caro por um péssimo quarto localizado no quarto andar. Cheirava a mofo, cortinas blackout não abriam. Colchão de molas ruim, banheiro antigo e sem ventilação ou exaustor. Vista para um paredão em ruínas. No chekin nos deram chaves de um quarto que não tinham arrumado depois da saída do hóspede anterior. O estacionamento,pago, levou o nosso carro antes do chekin, sem nos avisar e com nossas malas dentro. Ficamos desesperados com o submisso do veículo quando fomos buscar as malas. Hotel mal organizado, antigo e mal conservado."
out. de 2021,5,Tradicionalmente clássico e excelente,"Hotel com um estilo clássico muito raro de encontrar no Brasil. Linda decoração, funcionários eficientes, espaçoso, confortável e com preço correto. Adorei os lustres, os espelhos, os tapetes e muito mármore e madeira de alta qualidade. Me lembrou o Tropical Manaus, o Copacabana Palace e o Glória."
set. de 2021,5,Ida a Expointer.,"O hotel nós recebeu muito bem. Recebemos um upgrade no quarto pelo mesmo valor. Como saímos antecipado fomos ressarcidos pela diferença da diária e do estacionamento. Tudo perfeito, atendimento excelente. Voltaremos."
jul. de 2021,4,Boa localicazao e só,"Hotel relativamente caro. Piscina e terraço não acessível por motivo de pandemia. Café da manhã com poucas opções e servido a lá carte e não serv service também dado como desculpa a pandemia. Estacionamento junto ao hotel pagando valores a parte (28,00 a diária)"
jul. de 2021,5,Hospedagem maravilhosa,"Todos os funcionários são muito educados e simpáticos, sem falar do conforto que o hotel oferece. O café oferecido é super completo e de qualidade. O quarto que eu fiquei tinha as informações sobre horário de café, restaurante e algumas outras coisas. A hospedagem foi super agradável, espero voltar logo."
jun. de 2021,4,"Bom hotel, mas em localização ruim para turista","Localização: no centro de Porto Alegre, anos atrás seria bom, mas agora é bem complicado devido a falta de segurança.  Hotel: muito bom no geral.  Quartos: completos ( ar condicionado, frigobar, TV), com amplo espaço no quarto que me hospedei. Quarto silencioso.  Cama: muito confortável.  Banheiro: muito bom.  Café da manhã: muito bem servido, com muitas opções de comidas salgadas e doces e bebidas.  Estacionamento muito caro e demorado.  Escolhi o hotel por ter uma piscina de hidromassagem, mas ou ela estava totalmente estragada ou não quiseram ligar os jatos de água. Dos +- 60 pontos de jato de água, menos de 20 saiam água e que saiam eram sem qualquer pressão vide foto, solicitei ao hotel que ligasse por 3 vezes e não deram retorno, realmente uma decepção"
jun. de 2021,5,Muito bom,"O Plaza São Rafael é um hotel clássico, cheio de memória e arte. Está muito bem conservado, limpo, agradável e tem algo que poucos possuem: atendimento e serviços de alto padrão. Entrega acima da expectativa sempre."
jun. de 2021,5,Hotel nota 10!,"Hotel bem localizado no centro da capital gaúcha com toda infraestrutura que você precisa para se sentir confortável. Os quartos são grandes, banheiros grandes, móveis de madeira maciça proporcionando uma experiência única. O café da manhã é inigualável. Tem estacionamento, restaurante e cafeteria. Piscina com uma vista fantástica."
mai. de 2021,5,Ótima hospedagem!,"Os funcionários super atenciosos e com ótimas dicas da cidade! O hotel é bem localizado e dá pra conhecer vários pontos de POA à pé ou por valores bem em conta de Uber. Amamos a estrutura do quarto, super bem equipado. Todos estavam cumprindo as medidas de biossegurança e foi uma ótima estadia."
fev. de 2021,5,Muito bom!,"Lugar aconchegante e limpo, hotel com piscina pré aquecida com uma temperatura ótima para quem prática natação, e boa para a criançada, café da manhã bom em ambiente agradável.  profissionais de todas as áreas bem preparados,  Recomendo a experiência."
fev. de 2021,5,Excelente hotel,"O Plaza São Rafael é excelente. Não deixa espaço para qualquer reclamação. Instalações sempre muito limpas, apartamentos bem amplos, ótima cama e travesseiros, café da manhã muito bom e o atendimento, ah o atendimento é maravilhoso, todos os funcionários super gentis e educados."
fev. de 2021,5,Ótima surpresa,"Primeira vez no hotel, o atendimento foi muito bom, desde recepção ate o pessoal que guarda os carros, o quarto é de ótimo nível, com cama confortável, chuveiro de boa qualidade, pelo que percebi, eles se preocupam com o cliente.  Café da manhã muito variado e fresco.  Para mim, o hotel tem um alto padrão, recomendo."
jan. de 2021,5,Excelente hotel,"Excelente hotel, pessoas muito bem treinadas, com bom laser como academia completa e piscina, o serviço de quarto e na dependência do hotel muito bem higienizado.  Só tenho a agradecer a todos pela recepção e o Oscar que me tratou muito bem."
jan. de 2021,5,Hotel excelente,"Parabéns a todos que trabalham no hotel, excelente tratamento e precauções da pandemia COVID. Aconchegante com ótimos ambientes, academia, piscina e salas de conferência. Quartos super arrumado. Atendimento com bastante cordialidade. Recomendo."
jan. de 2021,4,Muito bom,"O hotel fica bem localizado.Quarto espaçoso com àgua de fonte própria, à disposição no frigobar.Piscina coberta e spa frio.Àgua saborizada na recepção.Restaurante com pratos acessiveis.Café simples servido por atendente."
jan. de 2021,5,Perfeito!,"Passei o ano novo com a minha namorada, atendimento de extrema qualidade! Apesar da pandemia o restaurante e as áreas de lazer estavam seguras. Café da manhã bem servido, acomodações confortáveis e limpas."
dez. de 2020,4,Hotel bom!,"Hotel com quartos grandes, uma ótima área de lazer com piscinas e uma vista linda da capital gaúcha, Atendimento muito bom, porém o café da manhã tem poucas opções para você se servir e também poucos lugares para tomar o café, por exemplo eu, tive que esperar 15 minutos até que desculpasse uma mesa. De resto tudo muito boom."
dez. de 2020,2,Plaza vive do seu passado e precisa urgente de investimentos,"Ficamos novamente no Plaza pois é nosso hotel tradicional em Porto Alegre. O hotel já vinha sofrendo com falta de investimentos em melhorias e reformas e a pandemia acelerou a curva de declínio. Aproveitaram para reduzir ainda mais o staff, serviços, café da manhã.  Tudo ficou ainda pior, sem condições de manter um mínimo padrão de qualidade.  Infelizmente não tem mais como se hospedar, já decidirmos em família procurar outro hotel em Porto Alegre"
dez. de 2020,4,"bom, mas precisa de reformas","Somos clientes do Plaza há uns 40 anos. O hotel ficou fechado durante muito tempo, nesta pandemia. Aproveitou para fazer algumas reformas. Ficamos numa ala que desconhecia, à esquerda de quem entra, quartos muito simples, antigos, muitos barulhos estranhos, de outros andares, vozes no corredor... Serviço ainda sofrível, faltando copos e toalhas, por exemplo. Esquecemos de pedir um quarto num andar mais alto..."
