Data da opinião,Nota,Título,Conteúdo
dez. de 2022,1,Falta de cuidado - atendimento lixo,"Estou com amigos e minha familia para curtir Gramado, mas infelizmente com esse hotel nao foi possivel. Esqueci de comprar leite para minha filha de 2 anos e desci para solicitar no restaurante, que estava fechado o dia inteiro. Solicitei ajuda para 2 rapazes jovens da recepcao e os dois pouco se preocuparam e apenas disseram para procurar mercado. Fiz buscas e todos fechados. Minha filha comecou a gritar copiosamente, desci encontrei outro rapaz mais interessado aparentemente, porem atrapalhado. Falei para buscar no restaurante do hotel , ele disse que iria resolver em minutos... subi para o quarto e o choro piorava, depois de 15 min desci, encontrei o rapaz no caminho e ele resolvendo outra coisa disse que depois me atenderia. Fui ate a recepcao e encontrei os mesmos dois rapazes do primeiro atendimento e , disse:por favor pega o leite no restaurante para minha filha, ela esta chorando muito. Um olhou para o outro e disse ahhh vamos ter que ficar procurando nos armarios dificil... nessa hora perdi a paciencia e falei alto, que nao era um atendimemto nada humanoe que faltava bom senso. Entao fui sem rumo busca lugares abertos e por sorte achei uma farmacia que tinha leite de caixinha. Por fim fui falar com o responsavel da noite que veio me da licao de moral .... conclusao faltou humanidade, bom senso, priorizacao, atendimento, matutidade, etc. Equipe jovem sem preparo nenhum. Pessimo lugar...fujam...."
dez. de 2022,1,Muito Ruim,"O Hotel possui uma equipe despreparada para atendimento ao público, principalmente no turno da noite. Pedimos informações e eles não sabem responder, não tem serviço de restaurante a noite, estacionamento ruim e com escada, sem serviço de manobrista e custando caro, fazem você subir com malas as escadas do estacionamento. Com crianças é uma péssima opção. Já fiquei em outros hotéis na cidade e certamente errei feio em escolher esse hoje."
dez. de 2022,3,Satisfatório.,"Os quartos e corredores do hotel são muito frios e barulhentos, deixando-os menos acolhedores. Obviamente estávamos em dias frios, mas um carpete nos corredores ajudaria com o isolamento acústico e sensação de temperatura."
nov. de 2022,5,Lugar excelente,"Super custo benefício, próximo do centro, café da manhã excelente. Academia e piscina aquecida. Fácil de localizar, área coberta para carro, atendimento muito bom. Lugar ótimo e valor justo para gramado."
out. de 2022,1,Decepcionante. Um final de semana de muita importância para mim acabou sendo decepcionante.,"Fiquei muito decepcionada. Quartos super velhos, mobílias do quarto rasgadas, a base da cama tinha buracos, pia do banheiro entupida. Até as raquetes da mesa de ping pong estavam em péssimas condições. Café da manhã ruim, pão seco e velho. toda vez que voltava da rua e tentava entrar no nosso quarto, eu precisava descer novamente na recepção pois a chave do quarto descodificava e não abria a porta, muitas vezes molhados da piscina e passando frio. Muito inconveniente. Estacionamento é cobrado à parte além de quererem cobrar uma taxa de 10% no check in do hotel. Era a comemoração dos meus 40 anos com a minha família que não via a 5 anos e queria ter comemorado num hotel de pelo menos 4 estrelas. Infelizmente eles se vendem como 4 estrelas, mas com toda certeza não são! Não recomendo."
out. de 2022,4,Bom custo benefício,"Bom hotel, excelente café da manhã, bons quartos, ótimo chuveiro. Não tem estacionamento, tem um serviço de estacionamento/manobrista $25 por dia. Atende bem , mas é possível estacionar na rua tambem.  Bom custo benefício, voltaria tranquilamente l.  Cama deixa a desejar."
out. de 2022,2,"Quarto ótimo, o que salvou!","A experiência começa a ser péssima na recepção, onde o hotel permite e deve ter algum tipo de parceria que mantêm consultores de vendas de um resort. Esses consultores abordam agressivamente todos os hóspedes que passam pela recepção. Ficam oferecendo jantar, vinho, querendo saber sua programação, querendo agendar a visita, insistindo, insistindo para acompanhar a gente em visita ao estande de vendas, se não bastasse eles também ficam na entrada do salão de café da manhã, horrível . Um inferno, cada entrada e saída do hotel era chato, um incômodo, tínhamos que ficar nos desviando, quase entrar disfarçados para não sermos abordados. Muito inconveniente!  A cereja do bolo é o café da manhã, péssimo! Não volto mais, eles enchem o buffet de comida para mostrar a variedade, mas são pães secos, velhos, quiches horríveis, sabores ruins, sem contar que com o hotel em lotação considerável, mantiveram apenas 2 pessoas apenas no salão para limpeza das mesas e reposição do buffet! Ou seja, fila, lotação, não tinha pratos limpos suficientes, mesas sujas, e faltando muitos itens no buffet.  Para fechar com chave de outro, o acesso aos quartos da outra torre é péssimo! Tínhamos que descer e subir com malas pesadas nas escadas.  Só o quarto e o chuveiro que conseguiram salvar.  Já ia me esquecendo: o estacionamento é pago, R$25,00 a diária. Nunca tive que pagar estacionamento em hotel, absurdo! Serviço péssimo!    O que salvou foi o quarto que é ótimo e o chuveiro bem forte e quente! Só! Mas isso encontraríamos facilmente em outro lugar."
out. de 2022,5,Hospedagem no hotel sky da Borges,"Melhor hotel que eu já fiquei...tudo que ele oferece não se paga! Além de uma incrível infraestrutura...O atendimento é excepcional...a colaboradora Tatiana da cozinha faz de tudo para o melhor bem estar dos hóspedes! Tenho intolerância ao leite e o hotel oferece opções de pães e inclusive queijo , requeijão e manteiga sem leite feitos de castanha de caju ou amêndoas da Liz! Eu e meu marido só iremos neste lugar! Sempre a melhor experiência ...eu tenho só agradecer a Deus por oportunidades de conhecer um local tão bom!"
set. de 2022,3,Precisa melhorar em alguns quesitos,"Pegamos a diária em uma promoção, por isso acredito que tenha válido a pena. Quarto bem grande e aconchegante. Área de lazer ótima, com piscina e sala de jogos. Café da manhã com varias opções e bem delicioso. Localização é excelente muito próximo aos principais pontos.    Aspectos que precisam melhorar: Mobília do quarto bem antiga, poderiam dar uma atualizada. Área da piscina estava meio abandonada, limpeza pouco precária nos pisos e teto. Estacionamento do hotel precisa ser pago a parte, achei algo decepcionante, tendo em vista que tinha diversos espaços internos para estacionar, e a maioria vazios. Acabamos deixando o carro na rua em frente do hotel."
set. de 2022,3,Razoável,"Pegamos a diária em uma promoção, por isso acredito que tenha válido a pena.. o preço normal está caro pelo que o hotel oferece. Ele é limpo, porém bem antigo, coisas que faltam acabamento no quarto, cortinas sujas ou rasgadas..  A piscina do hotel é o ponto alto, estava ótima e limpa. O café da manhã tinha uma variedade enorme mas não estava tão saboroso, estava Ok. Como ficamos apenas uma noite acredito que valeu a experiência."
set. de 2022,1,Pessima escolha,"O hotel foi uma péssima escolha. A começar pela cobrança de estacionamento e na demora para buscarem o carro, o que não acontece em outros hotéis da mesma rede na mesma cidade. O hotel recebeu times de futsal e por isso fechou quase todos os dias as piscinas para que elas treinassem e isso não foi avisado na reserva e nem na recepção. Meu quarto ficou abaixo do salão do café e como serviram refeições para os times arrastavam as mesas e cadeiras a noite, foi um inferno. Os elevadores demoravam muito e havia um cheio que vinha da porta que leva as escadas de fumaça horrível . Quando se chega no hotel o cheiro a comida do restaurante que fica próximo a recepção já te deixa fedendo, um cheiro horrível. Tinham vendedores de um empreendimento chamado GAV insuportáveis que te ofereciam todos os dias supostos brindes e incomodavam para visitar o escritório. Chegava e saia do hotel como se estivesse fugindo de alguém. Foi uma péssima escolha!"
ago. de 2022,5,Excelente!!!,"Vi vários comentários ruins nessa página sobre o hotel. Essa é minha primeira avaliação aqui, e vim só pra deixar registrado que esse hotel é excelente! Tudo é muito bom, a equipe, café da manhã, wifi, localização, quarto grande, piscina aquecida, resumindo, voltaria com certeza!!!!!"
