Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Excelente nota 10,"Excelente atendimento e hospedagem. Piscina aquecida e muito limpa, sala de jogos e lanche no local. Recepção educado e prestativo em todos os momentos. Adoeamos ficar espedados no hotel, foi umas das férias mais incríveis"
jan. de 2022,5,Excelente!!!! O melhor hotel!,"Simplesmente o melhor hotel de Foz. Segunda vez que me hospedo nele, e já estive em Foz por 6 vezes, mas nada bate o atendimento e estrutura do Del Rey. Destaque para o rapaz do bar da piscina, que esqueci o nome, simpatia em forma de pessoa, super atencioso. Minha irmã queria um drink que havia acabado um dos ingredientes e ele não sossegou até conseguir o licor de pêssego e entregar o drink. Muito atencioso! Adorei cada minuto da estadia. Tatiane a camareira deixava nosso quarto um brinco. Voltaremos a sétima vez e com certeza ficaremos no DelRey.  Precisamos tomar café da manhã mais cedo pois nossa viagem era as 05 da manhã e eles prontamente anteciparam o café para nós."
dez. de 2022,5,Avaliação,"Hotel ótimo.  Funcionários muito atenciosos.  Tudo muito limpo e organizado...  Café da manhã excelente.  Nota-se que passa por manutenção constante.  Resumindo, ótimo custo benefício...De todos os hotéis que fiquei em Foz do Iguaçu, o Del Rei é disparado o melhor da categoria.  Ganharam um cliente."
dez. de 2022,5,Natal em Foz,"A equipe do hotel presta um atendimento de excelência, o que na minha opinião é de extrema importância. Todos sempre receptivos e prestativos, onde a camareira Eliana se destacou com seu carinho, deixando em nossa cama, bichinhos feitos com as toalhas. O quarto sempre limpo e organizado. O atendimento na pelo pessoal da área da piscina é maravilhoso, tanto quanto do pessoal da recepção e do café da manhã. Estão de parabéns."
dez. de 2022,4,Boa estadia,"Viajamos para aproveitar as diversas opções de Foz do Iguaçu e o hotel foi nossa opção. Muito bom atendimento, limpeza e organização. Único ponto que não considero positivo é o suco no café da manhã. No mais, um excelente custo-benefício. Com certeza, recomendo positivamente o hotel."
dez. de 2022,5,Ótima escolha,"A equipe super prestativa. A cama e o chuveiro eram ótimos! O ar condicionado era muito bom. Café da manhã variado excelente! Piscina aquecida e água disponível de forma gratuita.    O cofre estava com o sistema digital quebrado e sem a chave do mesmo no quarto, que foi prontamente resolvido, mandaram fazer novas chaves para cofre, apesar de eu ser recomendado a não perder a chave do cofre sob pena de pagar R$ 100,00… mas nada que me deixou desconfortável ou que atrapalhou nossa viagem."
dez. de 2022,5,Viagem em familia,"Passei otimos momentos no hotel. Café da manhã impecável, limpeza do quarto idem e arrumadeira uma fofa... Todos foram muito solicitos.  Espaços organizados o hotel oferece serviços de passeios pagos a parte."
dez. de 2022,3,"O hotel é bom, mas houve pontos que considerei inaceitável","A estrutura é boa, café bom, mas esqueça se deseja tomar um bom suco no café - péssimos, tipo Q-suco. Não tive sorte no quarto. Este exalava um mau cheiro terrível de esgoto, provavelmente saindo do ralo do banheiro. E o que foi pior é que nada fizeram para resolver o problema. A fechadura de abertura da porta estava com defeito, mesmo substituindo o cartão de acesso. A pia do banheiro estava com problema de entupimento. Foi cobrada no check out uma taxa de turismo. Estranhei, pois já passei por vários e vários hotéis em Foz de Iguaçu e nunca tive que efetuar esse pagamento. Para finalizar, tinha uma lagartixa no banheiro. Prá mim, não incomodou, mas há tem que se incomode."
dez. de 2022,5,Foz Iguaçu,"Ótimo hotel, bonito e organizado  Equipe atenciosa e eficiente.  Limpeza impecável.  Drinques e piscina excelente .  Boa localização para acesso a Cidade Del Leste.  Mercado, restaurante e padaria nas proximidades"
dez. de 2022,5,Hotel dell rey,"Hotel muito bem localizado próximo de restaurantes, um lugar bem famíliar e tudo limpo organizado o bar Men Batista é o melhor que conheci até hoje me deu várias dicas da cidade com muita atenção e os drinks são os melhores eu recomendo a todos"
dez. de 2022,5,JOSÉ BATISTA (BAR MAN).,Nota 100 para o Bar Man o Sr. JOSÉ BATISTA.  Além de preparar drinks maravilhos e te uma excelente conversa sempre atento e zelo em seu trabalho.  Recomendo que quem for para o hotel Del Rey conheça esse homem sensacional.  Recomendo e logo retornarei fazer outra visita.
dez. de 2022,5,Acolhimento,"Agradeço a toda a equipe do Hotel Del Rey que são todos excepcionais. Excelente atendimento!  Muito atenciosos: recepção (Felipe e Diego), camareira (Veridiano), café da manhã, piscina (Daniel) enfim a todos as pessoas que são todos simpáticos e atenciosos."
dez. de 2022,4,Minha PRIMEIRA VEZ em Foz do Iguaçu,"Foi minha 1ª vez em Foz do Iguaçu, e eu fiz uma excelente escolha ao hospedar no Hotel Del Rey; equipe atenciosa, prestativa, hotel cheiroso; embora esteja próximo ao centro, o hotel fica em uma região tranquila e ao mesmo tempo próximo do centro comercial da cidade. O serviço de quarto é bom, a cama é espetacular e o café da manhã me agradou muito.    As ressalvas ficam com a TV, que é antiga e pega pouquíssimos canais (cerca de 6 canais) e a ducha que não é elétrica. Fora isso, amei me hospedar no Del Rey e sem dúvidas recomendo o hotel pelo ótimo custo benefício!"
dez. de 2022,5,Excelente Avaliação,"Ótima localização. Excelente atendimento, ótimo café da manhã, com muita variedade de pratos. Quartos bem arrumados e limpos.  Todos funcionários são solícitos, em especial o Batista. Cara muito bacana"
dez. de 2022,5,Atenção e carinho,"Essa imagem resume o carinho que tiveram comigo durante a estadia no Del Rey. Ao retornar do evento, a equipe do hotel se preocupou em acomodar meus carregadores de forma mais organizada no quarto.  Além disso, a recepção com uma carta escrita a mão de um dos diretores, uma foto minha com meu noivo para me confortar mais durante a minha estadia e um bolinho de erva mate.    O café da manhã é simplesmente incrível! A variedade e a comida saborosa me fizeram iniciar meu dia ainda mais animado!    Obrigado Del Rey pelos dias encantadores em Foz."
dez. de 2022,5,Viagem para Foz do Iguaçi,"No geral fomos muito bem atendidos! Ficamos satisfeitos! Todos os funcionários muito atenciosos e prestativos. Uma camareira muito caprichosa que encantou minha filha com suas ""esculturas de toalhas"", até olhos elas tinham! kkk"
dez. de 2022,5,Lua de mel,"Fomos muito bem recebidos pela equipe.    Quarto limpo, camareira atenciosa e criativa. Todos os dias uma arte nova.  Café da manhã diverso, convidativo, com opção saudável e regional.  Recepcionistas, atenciosos.  Localização perfeita com acesso fácil a terminal de onibus e supermercado, além de ser no centro dq cidade."
dez. de 2022,5,Excelente,"Hotel com excelente estrutura, excelentes profissionais com destaque para o Barman Batista e a camareira Edina que contribuíram para que nossa estadia fosse inesquecível. Super Recomendo o hotel, sem contar que está muito bem localizado."
dez. de 2022,5,Viagem Foz do Iguaçu,"Estive em Foz com a minha sobrinha e ficamos no hotel Del Rey. Muito bom, limpeza impecável (mérito da nossa camareira Edina) funcionários educados e ótima localização. Próximo ao hotel , tem um parque e o terminal rodoviário. O café da manhã também muito bom e sortido. Muito bom !"
dez. de 2022,5,Batista,"Excelente hotel.  Excelentes drinks feitos pelo Batista, com ótimo atendimento e cordialidade.  Ótima localização também, atendimento de primeira, quartos limpos e organizados.  Vale a pena a estadia no hotel."
nov. de 2022,4,Bom custo-benefício,"PONTOS POSITIVOS: A localização é central e tem uma padaria/restaurante ao lado. O café da manhã é farto e muito gostoso.  Os funcionários são atenciosos. A cama é confortável. A cobertura é interessante, com piscina, bar, sinuca e totó (o barman é excelente!). Tem um bom custo-benefício.  PONTOS NEGATIVOS: Excesso de envio de e-mails e não utilização dos dados solicitados para o cadastro no check-in.  Quarto muito pequeno e apertado. O vento do ar-condicionado fica direto na cama, mesmo com a mudança de direção. O banheiro também é bem apertado. Os travesseiros são muito moles e altos.  A acústica do corredor é ruim, o som dos hóspedes passando e falando invadem o quarto.  Não há o cartão de ""não perturbe"" para pendurar na maçaneta da porta (as camareiras entraram no meu quarto enquanto eu estava no banho)."
nov. de 2022,5,Experiência incrível,"Estadia excelente. Localização ótima. Camareira Edina é uma profissional incrível, cuida dos quartos com muito primor. Recepção é super prestativa. Ótimo café da manhã. Viagem incrível tanto pela cidade quanto pela hospedagem."
nov. de 2022,5,Hotel muito top....,"Me hospedei no hotel durante 3 meses , a trabalho,desde os meninos da recepção Felipe e equipe , as meninas da cozinha Rosimeri e equipe e o barman do hotel Batista .... todos são muito atencioso receptivos nós fazem sentir em casa. Com certeza indico e retornarei a me hospedar ..."
