Data da opinião,Nota,Título,Conteúdo
nov. de 2022,4,"Ibis Styles Centro Porto Alegre (rua Garibaldi, 833)","Café da manhã é bom, simples, sem muita variedade, mas gostoso. Tinham opções de pães (sem glúten, inclusive), iogurte natural, bolos, ovo mexido, salada de frutas, frutas fatiadas, chia, mel, doce de leite. Acho a cama muito dura, mas pode ser questão de costume mesmo. Tem alguns detalhes de acabamento nos apartamentos que poderiam ser reparados, mas como eu disse são detalhes pequenos, é só questão estética, então tudo certo. O chuveiro é um pouco difícil de ajustar a temperatura, e a torneira da pia do banheiro é muito dura e tinha resistência e fazia um barulho quando abria/fechava. Dos quartos que eu já fiquei nesse Ibis, nenhum tinha micro-ondas e nem ""cozinha"". Serviço de quarto (camareiras) bom também, nada a reclamar. Estacionamento é terceirizado, no próprio…"
nov. de 2022,5,Super recomendo!,"Check-in: Muito rápido e tranquilo, mesmo que eu já tivesse realizado a reserva com antecedência Quarto: Muito confortável e com um design super bom Refeições: Optamos por comer fora, mas havia bastante opção tanto no café da manhã, quanto no almoço. Check out: Rápido e prático, sem muita delongas e ainda o carro já estava nos aguardando para seguirmos nosso caminho. Geral: Muito organizado, pessoas educadas e simpáticas, atendimento rápido e super prático."
nov. de 2022,2,Fraco,". Quarto com ar sem funcionar . Banheiro com pia entupida . Banheiro com pia quase sem sair água . Sem toalha de rosto . Quarto barulhento, vizinhança incomoda com muito latido de cachorro. . Quarto sem black-out . Máquina de café sem funcionar no café da manhã. Em suma, minha experiência foi ruim."
set. de 2022,3,Custo benefício ruim,"O atendimento foi excelente. Mas o hotel por ser Styles é feio demais, sem propósito. Diferente do que se deseja indo à um Styles. Ao redor do hotel é degradante. Achei custo benefício ruim, Pois inclusive as bebidas tem que retirar na recepção. Tem carpet antigo nos corredores! A vantagem é que tem lanches e refeições ao longo do dia.Se fosse mais em conta daria pra relevar algumas coisas. Mais preferia pagar o preço e ter um hotel bonito e numa região mais segura, mais limpa, sem mendigos e usuários de drogas ao redor."
ago. de 2022,5,Avaliação,"Fomos muito bem recebidos e o hotel apresenta Instalações novas e limpas; possui facilidade de acesso, atendimento maravilhoso, estacionamento com agilidade e localização próxima ao centro e das vias de acesso a cidade."
jul. de 2022,3,Ibis styles poa,"Sempre gostei muito de me hospedar neste hotel pela sua excelente localização e custo benefício mas a sujeira está começando a tomar conta. Banheiro sujo é complicado. A cama me parece cada dia pior, colchão fino e duro. Tirando isso o bom atendimento dos funcionários merece destaque."
jul. de 2022,5,.,"Nota 1000 para o funcionário Anderson. Prestativo,educado, um querido……….. Este menino está atento à reposição, vai ao encontro dos clientes e torna um café gostoso e aconchegante pelo seu atendimento"
jul. de 2022,1,Inseguro e bairro perigoso. Procure algo melhor!,"As áreas comuns e quarto são dentro do padrão Ibis: chuveiro quente e quartos padronizados. Pedimos ajuda para encontrar uma farmácia e a recepção recomendou uma na esquina... Perguntamos se era seguro, e disseram que sim. A própria farmácia atende por uma janela, de porta fechada, por conta do risco/perigos da região. Todos os motoristas que nos atenderam disseram que o bairro é mal localizado e extremamente perigoso, principalmente para turistas. Ao fazer o check in entramos em um quarto que já tinha malas... Ao pedir orientação na recepção, recebemos outro quarto, nenhuma explicação nem pedido de desculpas. Cafe da manhã com poucas opções."
jul. de 2022,4,Tudo normal,"Bom custo x benefício. Mal localizado. Estacionamento com manobrista, porém com diária cara para hóspede. Café da manhã excelente. Funcionários sempre solícitos e educados. Bem organizado e boa higiene."
jun. de 2022,1,"TUDO deixou a desejar. Não trocaram toalhas do banheiro, não repuseram papel higiênico. Estava frio e não tinham cobertas.",Não avisaram os horários do café da manhã. Ficamos sem tomar café porque não fomos informados sobre o horário de encerramento do serviço. Demoraram demais para limpar o quarto. Já estive no Ibis em outras cidades. Desta vez foi uma decepção.
jun. de 2022,3,Desta vez pecou...,"Já estive diversas vezes neste hotel e sempre gostei muito, nesta última vez o ar condicionado não esquentou, passei frio durante a noite, e a roupa de cama era de tamanho menor que o necessário, o atendimento continuava muito bom, foi o que salvou!!"
jun. de 2022,5,Bom hotel com estacionamento no Centro de Poa,"Ficamos um dia na volta de Gramado e o hotel é padrão Ibis top. Linda decoração e staff atencioso. Jantar a 45,00 com comida gostosa e farta. Café da manhã também farto. Tem estacionamento a 23,00 por dia para hóspedes. Recomendo e voltaria."
jun. de 2022,4,Custo benefício,"Vale o custo benefício. Localizado próximo à rodoviária, proporciona facilidade para quem vai à cidade de ônibus, para estadia rápida. Atendimento dentro do esperado para um Styles do Ibis, sem qualquer maior elogio ou reclamação. O café da manhã é a parte, não incluso no valor da diária. Voltaria a me hospedar, caso necessário."
