Data da opinião,Nota,Título,Conteúdo
dez. de 2022,3,Qualidade vem caindo,"Há anos venho neste hotel e devo dizer, com tristeza, que a qualidade vem caindo. A limpeza está deficitária, o atendimento também está deixando a desejar. Não oferecem mais serviço de bar. O preço, entretanto, aumentou bastante. Uma pena mesmo."
dez. de 2022,3,Boa estadia mas não nos surpreendeu …,"Bom hotel porém tínhamos uma expectativa superior… ficamos um pouco decepcionamos com o quarto pois era de canto e o teto tinha uma queda que sinceramente atrapalhava, tirando isso, a limpeza era boa e o banheiro foi o ponto mais alto do quarto, além da limpeza …"
nov. de 2022,1,Ma conservação e manutenção /limpeza,"Péssimo ,quarto antigo ,sujo (não culpa da limpeza diária e sim da manutenção ),chuveiro ruim ,curtinhas caindo ,fiquei decepcionado No segundo dia haviam duas baratinhas no banheiro Uma pena ,e falamos na recepção e disseram ser um hotel 5 estrelas e que muitos gostavam. Enfim não indico"
nov. de 2022,3,Hotel com custo benefício razoável.,"Hotel razoável, bem limpo, organizado, simples mas atendeu o que buscavamos, tem boa localização, funcionários educados e atenciosos. Gostamos muito do banheiro, era bem amplo, água quente na torneira da pia, chuveiro forte, eles oferecem um frasco grande ( +- 400-500ml) de ""shower gel"" muito bom para cabelo/ corpo. Um ponto que nós somos muito exigentes é a cama, o colchão é razoavelmente confortável, achamos muito mole, se vc dorme mais que 6/8 h fica com dor nas costas, tinha apenas 2 travesseiros muito baixo, mas isso não foi problema pois eles forneceram mais quando solicitamos. Outro ponto que deixou a desejar foi o café da manhã no quesito qualidade, o café é fornecido na máquina de café da 3 corações, com opção de café curto coado, longo coado e capuccino, o café era…"
nov. de 2022,4,Férias,"Hotel bom, barato e perto de tudo... As viagens por app ficam em 10 reais para o Centro. No hotel, vc pode contar com o auxílio extremamente competente da Tavine, que trabalha para a GAV. Super bacana mesmo."
out. de 2022,3,Custo benefício razoável mas não pretendo voltar,"Reservamos um flat para 4 dias. Dizia ter sala, cozinha, 2 quartos e 2 banheiros. A princípio uma ótima opção e com bom valor em se tratando de Gramado. Porém, pra começar na cozinha faltava um microondas, que se é pra ter cozinha acredito que isso seja fundamental, ainda mais com uma criança. Cadeiras estofadas manchadas e sujas. Paredes sujas, com vários mosquitos mortos com sangue e tudo. O flat fica atrás do hotel, separado, e é gelado. Não tem calefação. Tem ar condicionado mas justamente o do quarto de casal (201) não esquenta, só frio. Um dos 2 banheiros tem um fedor gigantesco de esgoto vindo pelo ralo, mesmo fechando não resolveu. Mosquitos infinitos mesmo com portas e janelas totalmente fechadas, e isso em dias frios. Outro ponto desagradável, o hotel conta com uma…"
set. de 2022,4,Hotel bom!!,"O hotel tem uma localização muito boa, rua tranquila, o lago em frente não parece bem um lago e sim uma poça suja, o café da manhã muito bom apesar de ser bem simples, o quarto deixa a desejar, gramado por ser uma lugar bem frio, no quarto senti falta de um aquecedor, dormimos praticamente sem mexer da cama pq o quarto congelava, a limpeza não era das melhores mas sempre faziam. Retornaria sim por motivos da localização, mas o quarto não é confortável e nem chamativo a uma próxima hospedagem."
set. de 2022,4,Bom hotel fora do eixo central em bairro silencioso,"Quarto confortável mas tinha um barulho de motor ligado a noite inteira , não sei se do próprio hotel ou do vizinho , quarto 4002, se tiver sono leve peça quartos fora desse corredor. Café da manhã bom, poderia ter opção bacon pra melhorar o nível."
set. de 2022,5,Muito bom,"Hotel muito bom, gostamos do atendimentos dos recepcionistas no geral, muito simpáticos e prestativos, hotel muito limpo, café da manhã gostoso, apesar de ser simples! Em especial deixamos nosso agradecimento ao Promotor Gabriel, um rapaz excepcional, indicou ótimos passeios que não conhecíamos e nos convidou para conhecer um empreendimento da Gav e super indicamos a quem tiver oportunidade de conhecer, vale a pena o investimento, estamos super satisfeitos. Um ponto a melhorar no hotel são os travesseiros !!! Voltaremos com certeza !"
set. de 2022,5,Viagem a gramado.,"Hotel muito bom , Gabriel muito atencioso , gentil ,e muito carismático nota dez para este rapaz Quanto ao passeio estava tudo ótimo, gramado fora de época fica mais calmo tudo mais tranquilo sem filas e os serviços ficam mais atenciosos com os clientes."
