Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Recomendamos,"Sempre que vamos à Gramado nos hospedamos no Hotel Bertolucci, adoramos o atendimento. Sempre muito familiar e acolhedor. Café da manhã delicioso, quartos impecáveis e limpos. Ambiente perfumado e muito aconchegante. Recomendo 100%"
1 de jan.,4,"Simples , mas aconchegante.","O hotel é simples e um pouco antigo , mas tem boa localização, o staff é bastante atencioso, café da manhã é bom, fazem a limpeza diária e o quarto está sempre cheiroso.Vale pelo custo benefício . Recomendo!!! A única observação é que ele não é tão bonito quanto mostram no Instagram."
dez. de 2022,5,Agradecimento,Hotel aconchegante funcionários muitos educados e atenciosos café da manhã maravilhoso localização ótima camas macias e banheiros bem limpos estacionamento bem localizado em frente do hotel super indico
dez. de 2022,5,Ótimo atendimento,"Ótimo atendimento dos funcionários, pegamos um quarto mais simples e mesmo assim não perde o conforto.  Café da manhã excelente bem diversificado, ambiente aconchegante tranquilo.  Fica localizado em um bom lugar para ter acesso as atrações mais procuradas da cidade."
dez. de 2022,5,"Adoramos estar, em família, no Bertoluci hotel em Gramado!","Adoramos o aconchego do hotel, a recepção, todos os colaboradores atenciosos. Para quem precisa de mais detalhes, o café da manhã, o serviço de limpeza e localização são nota 10. Vale a pena ter esta experiência!"
dez. de 2022,5,Ótima experiência!,"Desde o atendimento até o capricho com que somos recebidos no quarto é excelente!  O pessoal da recepção são sempre atenciosos e genti; o café da manhã é super completo e delicioso e no Natal a decoração é lindíssima!  A estrutura do hotel é bem bonita, tudo novinho e possue um clima aconchegante.  A localização também é muito boa, ficando na Avenida das Hortências, entre o centro de Gramado e Canela.    Super recomendo a estádia e com certeza voltaria a me hospedar no Hotel Bertoluci."
dez. de 2022,5,Wonderful,"O atendimento e toda a equipe bem atenciosa, tornaram uma experiência muito incrível!  Se Deus permitir, voltarei novamente.  Eu e minha esposa desejamos tudo de bom para todos os funcionários e recomendamos para todos o local para passa as férias.❤️"
dez. de 2022,3,Bom,O quarto standart casal não foi uma boa escolha. Último andar estilo cabana( não informado no site) com 15 m2 da uma sensação abafamento. Roupas de cama amareladas. Café da manhã com música ao vivo bem agradável. Atendimento bom.
dez. de 2022,4,excelente,"estadia maravilhosa com minha familia, a calefação é ótima, proximo a excelentes restaurantes, chocolaterias, museu cera,automovel, carros, proximo a tudo, pertinho de canela e o café da manhã é outro diferencial do hotel"
dez. de 2022,5,"Hospedagem, atendimento, acomodações, café da manhã, tudo Justo e Perfeito.","Fomos muito bem recebidos, as acomodações muito acolhedoras, o hotel maravilhoso, as instalações sempre muito limpas e bem organizadas e o café da manhã, ah, que café da manhã, até com música ao vivo, tudo perfeito. TFA"
dez. de 2022,5,Muito bom!,"O hotel é muito bom, os funcionários são atenciosos e o café da manhã é delicioso, com um moço tocando viola aos finais de semana. Voltaríamos outras vezes com certeza :) uma pena que tiraram a salada de jogos, fora isso é ótimo!"
dez. de 2022,5,Hotel Maravilhoso,"Atendimento impecável é incrível, fiquei impressionada com tudo. Café da manhã e demais comidas oferecidas no cardápio ótimos e melhor ainda preço justo desde da comida as bebidas. Hotel perto de canela e demais pontos turísticos."
dez. de 2022,5,Experiência maravilhosa,"Ficamos 10 dias no Hotel Betoluci e fomos maravilhosamente bem atendidas, desde o check in até o check-out. Todos os funcionários atenciosos, solícitos e simpáticos, café da manhã farto e variado, além de delicioso. O quarto em que ficamos, embora não tenha sido o mais luxuoso que o hotel dispõe (essa escolha não compete ao hotel, mas a nós) era muito confortável, limpo, cheiroso, tudo funcionava perfeitamente, incluindo a internet, e a vista era de tirar o ar!  Recomendo o hotel de olhos fechados e voltarei!!!!"
nov. de 2022,5,Sensacional!,"Fomos muito bem recebidas.  Hotel maravilhoso, funcionários exemplares e sem falar do café da manhã! Tudo muito bom, adoramos!  Indicaremos com toda certeza aos nosso conterrâneos em Arqripina PÉ.  E voltaremos se Deus quiser em breve!  Obrigada ❤️"
nov. de 2022,5,Experiência Incrível!!!,"Excelente hotel ao meu ver. Viajei agora em novembro de 2022 com meu esposo e minha filha de 3 anos e amamos.  Funcionários do hotel muito educados, em especial a recepcionista Julia que é uma simpatia indescritível com todos os hóspedes.  Hotel com ótimas roupas de cama e toalhas sempre limpinhas trocadas diariamente ou à critério do hóspede. Sem falar do espaço kids, no qual minha filha queria trocar qualquer passeio externo só para poder ficar no espaço kids.  Café da manhã impecável com diversas opções para todos os gostos.  No ano que vem ficaremos lá novamente sem dúvidas."
nov. de 2022,5,Super Recomendo,"Local agradável. Acolhedor. Excelente atendimento e estrutura, comodidade. Realmente muito bom por toda a estrutura e facilidades que possui. Para famílias com crianças, sem dúvida é o lugar perfeito."
nov. de 2022,5,Ferias,"Bom dia ,  Exelente atendimento , funcionários muitos bons, cozinha ótima, só temos que agradecer pelo carinho e tratamendo de todos , acomodação muito boa tb , recepção muitos atenciosos, tudo de bom ..até breve !"
nov. de 2022,5,Excelente acomodações e atendimento!,"Ambiente agradável, quarto aconchegante, limpo e arrumado.  Atendimento na recepção sempre cordial e atencioso!  Serviço de quarto ótimo e sempre solícito.  Café da manhã bom e variado!  E excelente localização!"
nov. de 2022,5,Melhor hospedagem de gramado,"Excelente hospedagem. Assim como ano passado, este ano se superou. Tudo muito bem organizado, limpo e cheiroso. Atendentes prestativos e solistas. Já garanti a hospedagem de 2023 com o hotel Bertoluci"
nov. de 2022,5,"Simplesmente perfeito, ótimo atendimento, limpeza dos quartos, excelente café da manhã.nota 5","Muito bom em todos os aspectos, apesar de ser um pouco afastado do centro de Gramado, mas existem várias lojas próximas que facilita muito, na estrada que vai para canela. Tem algumas atrações próxima do hotel, como parque do caracol e plataforma de vidro.Nota 5"
nov. de 2022,5,Experiência maravilhosa!,"Hotel maravilhoso, aconchegante, funcionários excepcionais, sem exceção, todos super atenciosos e prestativos. Ambiente com calefação, café da manhã estilo colonial, bem variado e música ao vivo aos finais de semana. Estacionamento em frente, fácil acesso"
