Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Ótimo local,"Todos muito atenciosos, principalmente o recepcionista Alex. Um local agradável e de ótimo porte para a família. Terei prazer em recomendar o local para todos. Além da cidade, que apresenta diversos pontos turísticos para passeio. Tudo ótimo."
dez. de 2022,2,Falta de privacidade,"Hotel que sempre quis me hospedar e foi uma grande decepção. No primeiro dia chegamos por volta das 16:00 hrs, tomei um banho e de repente a porta abriu e era uma funcionária que disse achei que vcs não tinham chego ainda. Mas cadê a educação de bater a porta? No dia seguinte um homem insistente querendo nos levar para ver uma apresentação, eu com a bebê falei educadamente que não e o cara não parou de insistir e foi até no nosso caro e para completar decidiram trocar as camas dos quartos com hóspedes, não nos avisaram, quando chegamos o susto do quarto tudo revirado, tive que chamar a camareira que arrumou mais ou menos enquanto ficava com a bebê no colo dormindo. Falta de respeito com o hóspede, podiam ter pedido o melhor horário, que não íamos estar no hotel para fazer a troca e já em seguida arrumar o quarto, não trocar do andar inteiro pra depois querer arrumar as camas. Café da manhã é bom, vários funcionários atenciosos, piscina que é pra ser térmica, estava com a água gelada. Meu marido conversou com o gerente e espero que resolvam essas questões, e nós dêem um parecer...  Hotel é próximo ao centro...  Espero em breve poder avaliar melhor este hotel."
dez. de 2022,1,Falta de privacidade,"O hotel até que tem alguns pontos positivos mas em nosso primeiro dia de hospedagem uma funcionária entrou no nosso quarto sem bater na porta, algo inaceitável, sendo que minha esposa tinha acabado de saír do banho e no dia seguinte resolveram trocar a cama do quarto sem se quer nos avisar, voltamos do passeio cansados e com minha filha pequena dormindo e encontramos o quarto todo bagunçado e tivemos que ficar esperando até que alguém viesse arrumar...de muitos hotéis em que já estive em Gramado foi a pior experiência"
dez. de 2022,5,O hotel Toscana é muito bom!,"A vista incrível, localização boa (não é no centro de Gramado, mas é pertinho), o café da manhã é excepcional e todos os funcionários educados e atenciosos (Rafaela, nossa camareira foi incrivel). Voltaremos, com certeza."
dez. de 2022,5,Excelente estadia !,"Estivemos no hotel entre os dias 23-28 de dezembro de 2022. O hotel tem boa localização, os quartos são bem equipados e silenciosos. Damos destaque ao café da manhã, que tem opções para os diferentes paladares. As camareiras são bastante prestativas e o serviço de quarto também foi bem satisfatório. A recepção também nos auxiliou em todas as nossas necessidades. Recomendamos o hotel e certamente retornaremos."
dez. de 2022,2,Hotel de cadeia. Nada de excepcional.,"Primeiramente, fomos muito bem tratados pelos funcionários. Porém, Hotel com sinais do tempo, necessitando de reforma. Café da manhã com quantidade, mas pouca qualidade. Banheiro com espaço reduzido,muito pequeno.  Presença de vendedor de pacotes, frequente, no interior do hotel, muito desagradável!"
dez. de 2022,5,Ótimo hotel,"Hotel maravilhoso!!! Atendimento excepcional. Agradeço a cordialidade de todos funcionários em especial do recepcionista Alex.  Retornarei e indico para todos.  Cafe da manha impecável.  Cozinha maravilhosa, muito limpa e quartos bem arrumados ."
dez. de 2022,5,"Muito recomendado! Equipe extremamente simpática, sempre solícita! Café da manhã excelente, limpeza idem!","Equipe muito simpática, limpeza de todos os ambientes muito boa, boa localização, vista do quarto e do mirante maravilhosas. Restaurante funcionando o dia todo é um grande diferencial, com tudo muito bom. Café da manhã farto e gostoso tbm!"
dez. de 2022,5,Hotel maravilhoso,"Acabei de hospedar nesse maravilhoso hotel , quero agradecer a recepção q tivemos , o Alex q trabalha na recepção muito atencioso muito profissional parabéns pela atenção q tivemos , super indico esse hotel , parabéns a todos os funcionários principalmente ao Alex."
dez. de 2022,1,Hotel sujo e quartos em péssimo estado de conservação,"Os quartos são sujos, a arrumação sequer varre o quarto , a roupa de cama estava com cheiro ruim.O banheiro tinha lodo verde. Piso e tampa do vaso quebrados. Única coisa positiva foi o restaurante, que por sinal descobrimos ser terceirizado. Os garçons são maravilhosos. Pena que o hotel não vale o preço que cobram por ser sujo e em péssimo estado de conservação"
nov. de 2022,5,Elogio,"Gostaria de destacar o excelente atendimento que recebemos no Hotel Laguetto Toscana, em Gramado. Em tudo fomos bem recebidas, a estrutura do hotel muito agradável, os funcionários muito solícitos em todos os momentos que nos reportavamos a eles, e em especial o acolhimento do Sr Luis Cesar, do restaurante. Tivemos uma necessidade especial no dia do check-out e fomos atendidas com muito cuidado e gentileza. Só temos a agradecer e voltaremos mais vezes!!!!"
nov. de 2022,4,O hotel é antigo mas a estadia foi boa,"Viajei por pacote fechado em agência e apesar de ler algumas resenhas negativas sobre o hotel, na minha opinião os pontos positivos superam o negativos. O quarto onde ficamos era no quinto andar, voltado para o Vale do Quilombo. Estar no quarto e poder observar essa paisagem maravilhosa é uma dádiva. O chuveiro era bom, havia uma pia de cozinha, frigobar e microondas. Não havia louça, nem talheres, só dois copos. Mas pedi pratos e talheres no restaurante do hotel e fui atendida. Considerando que o valor da diária era razoável para os padrões de Gramado na alta temporada, recomendo esse hotel, que tem uma boa localização."
nov. de 2022,1,Decadente,"Hotel precisa urgentemente de uma reforma, é muito antigo e o custo da diaria é o mesmo de outros Laghettos que são muito melhores, a localização não compensa a estadia.  O café da manhã é básico, salvo pelos garçons que são atenciosos e simpáticos.  Não vi nenhuma vantagem em ficar hospedada nesse hotel, alias, a vontade de ficar no hotel era mínima."
out. de 2022,2,Experiência horrível em família,"Infelizmente esperava mais do hotel , já havia ficado em 2010 no Laguetto siena e a experiência foi ótima , dessa vez escolhi o Laguetto toscana pela proximidade do centro ser um pouco maior , mas o primeiro quarto deu um curto circuito acabou a luz e nos trocaram de quarto . Hoje sua 31 de outubro choveu muito e quarto que estou está com goteira , vamos ver agora o que vão fazer .. mas não volto nunca mais .está precisando de uma reforma o hotel ."
out. de 2022,5,Hotel Nota 10,"Estive hospedada por 10 dias agora no mês de outubro, no Lagheto Toscana,hotel simplesmente maravilhoso. Tudo muito limpo,café da manhã maravilhoso, funcionários super atenciosos,em especial os garçons do café da manhã. Muito educados e atenciosos."
