Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,surprendeu positivamente,"ótima localização,hotel muito limpo e café da manhã muito sortido. fiquei somente uma noite,estavamos em pequeno grupo,não tenho nada a reclamar,considero preço justo também. o hotel tem um bar bem interessante."
dez. de 2022,5,Muito bom,"Hotel muito bonito e completo, com várias opções de atividades como piscina. O café da manhã e super completo e conta com produtos da casa da ovelha. Atendentes simpáticos e bem preparados para dar dicas sobre a cidade. O hotel é bem limpo e as camas confortáveis demais. O banheiro também conta com cosméticos da casa da ovelha."
nov. de 2022,4,Conforto e localização formidável.,"Ótima localização, bom custo benefício, acomodação confortável e bem higienizada. Funcionário gentis e café da manhã com boas opções. Proximidades a um shopping center com supermercado. Disponibilidade de bons restaurantes pelas redondezas."
out. de 2022,5,Maravilhosa.,"Estadia foi maravilhosa. Colaboradores muito atenciosos. Café da manhã estava impecáve, possui ampla variedade. Quarto amplo e bem higienizado. Nem silencioso. Próximo a shopping e restaurantes. Ótimo custo benefício. Super indico"
out. de 2022,1,Péssimo atendimento no restaurante do hotel,"O restaurante nem estava cheio, após aguardar por exatamente 1 hora e 10 minutos por uma sopa, cancelei o pedido e tive que dormir com fome. Lamentável! E tive que ouvir que ""A la carte é complicado!"". OBS. Sou dono de operadora de turismo receptivo E chefe de cozinha. Já administrei um hotel e vários restaurantes, inclusive um de hotel. Sei como as coisas funcionam, e neste caso não tinha justificativa alguma. Atualização: Não dormi com fome porque meus amigos trouxeram algo para comer."
set. de 2022,4,Bom hotel na região central,"Quarto de bom tamanho, falta uma cafeteira e chaleira, funcionários atenciosos, bem localizado , café da manhã bem servido, piscina aquecida com hot tub integrado com água quentinha , boa academia, shopping e bons restaurantes próximos"
set. de 2022,3,Informaçao,"A equipe muito prestativa, simpaticos, educados, sem comentarios. Cafe da manha muito bom. Ja o Hotel em si, parece ter passado por alguma melhoria, porem deixa muito a desejar. A acustica é pessima vc escuta tudo do quarto ao lado, as paredes parecem ser feitas de drywall, acredito ter tido umidade e o papel de parede estavam soltando. A tampa no teto, q parece ser de acesso p o ar condicionado, da impressao q vai se descolar. Estacionamento pago e nao é barato. A localizaçao é otima, pois fica perto de Shopping e restaurantes. Resumindo é uma boa opçao porem tem q melhorar"
set. de 2022,3,Caro para o que oferece!,"Hotel fica abaixo da média, principalmente consideração a questão custo benefício (é caro para o que oferece). Apesar de ter o ponto forte de ser bem localizado e ter piscina térmica tivemos uma experiência ruim na piscina, já que ela estava suja (muito limo solto na água e o chão deslizando pela presença de limo). Além disso, ficamos em um quarto de ponta com uma sala para dormir meu filho e a internet não pegava no quarto, apenas na sala (chamamos a manutenção que não conseguiu resolver e disse que este é problema recorrente nos apartamentos de ponta, mas que como o hotel estava cheio eles não tinham um repetidor sobrando para fornecer). Travesseiros muito baixos tb.  O café da manhã tinha bastante variedade e era delicioso, mas tinham poucos funcionários para limpar as mesas e com isso demorava para liberar lugares no horário de movimento. O banho era quente e bom."
set. de 2022,4,Boa escolha,"Ótimo Hotel. Bem localizado, no centro e facil pra se locomover. Estrutura boa, quartos nota 8, e bom café da manha.. tem estacionamento privativo e vaga la fora pra carro maior - Dodge Ram. Atendimento bom e custo beneficio tambem. Tem piscina."
ago. de 2022,4,Ótima localização,"Hotel muito bom. Café da manhã bem variado . Restaurante a noite ótimo , comida deliciosa e atendentes muito educados e atenciosos . Equipe de recepção ótimas . Achei o espaço interno do apto um pouco apertado . estava bem limpo . A localização dele é excelente fica quase que em frente a um shopping e bem próximo ao centro , ao centro de eventos e a algumas atrações. Ótimos restaurantes também bem próximos."
