Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Melhor Localização!,"Equipe atenciosa a todos os detalhes, quartos confortáveis, café da manhã irretocável e melhor localização da cidade. Um hotel petit que faz você se sentir em casa! A Rua Coberta é praticamente ao lado do hotel!"
dez. de 2022,5,Experiência única!,"O Petit é nossa escolha número 1 em Gramado! Aconchegante e super bem localizado, café da manhã fantástico, equipe muito atenciosa e simpática! Os quartos são amplos e muito confortávei. O perfume do hotel é um diferencial. Voltaremos sempre que possível."
dez. de 2022,5,Dogfriend,"Maravilhoso!! Lugar perfeito para acomodar um pet. Café da manhã extraordinário. Ambiente completamente limpo e confortável. Muito bem localizado, ao lado da rua coberta. Só elogios para o local. Obrigada!"
dez. de 2022,5,Extraordinário!,"Eu e minha esposa gostamos muito da estadia no Hotel Petit. Um ambiente tranquilo e aconchegante, quartos confortáveis, café da manhã impecável com várias opções de cardápio. Localização privilegiada no coração ❤️ de Gramado. Logo na recepção você ja é muito bem atendido com funcionários atenciosos e prestativos. Voltaremos SIM em outra oportunidade."
dez. de 2022,4,È um hotel aconchegante e muito romântico.,"O hotel é próximo de tudo, café da manha de qualidade, quartos aconchegantes, funcionários gentis e educados, mas, eles não dispõem de funcionários na recepção no período das 23:00h às 7:00h, caso chegue no hotel nesse intervalo para check in é preciso saber como proceder (não fiz essa pergunta) e caso já esteja hospedado e venha mais tarde de algum evento a pessoa devera digitar a senha (disponibilizado no check in) da porta de entrada (torcer para que não ocorra falha nessa tecnologia) para entrar no hotel, e em caso de emergência eles deixam um aparelho de telefone na recepção para que a pessoa ligue para a outra filial deles para ser atendido/socorrido no que for necessário."
dez. de 2022,5,Hotel aconchegante e intimista,"Hotel aconchegante, intimista, com localização perfeita atrás da rua coberta na parte mais bonita da cidade. Equipe bastante cordial. Café da manhã mais que completo, com itens extras saborosos, que podem ser solicitados conforme o cardápio (destaque pro tradicional ovo no pão). E outro grande diferencial são os pacotes oferecidos para surpreender o seu par (no meu caso, solicitei espumante, porta-retratos com foto nossa, chocolates, bouquet.. foram muito apreciados). Por essas e outras, prefiro hotéis Boutique às grandes redes.. sem barulho, sem filas e atendimento personalizado."
dez. de 2022,5,Experiência incrível,"Atendimento impecável ! Hotel super confortável e tem um ótimo cuidado com os clientes … café da manhã irresistível e uma ótima localização ! Todos os dias levam água e bombons no quarto e a tarde dão um café da tarde com chá, café e um delicioso bolo."
dez. de 2022,5,Um sonho realizado,Fico muito agradecida a Deus e Nossa Senhora por terem nos proporcionado está viagem tão linda e maravilhosa viagem e nos ter dado a Pousada Pétit Chalé da Montanhas um local fantástico lindo e gostoso ambiente e funcionários muito atenciosos
dez. de 2022,5,Fabuloso,"Hotel limpo, aconchegante, super bem localizado (dá pra fazer tudo a pé), café da manhã maravilhoso com bastante variedade e itens feitos na hora. Destaque para os funcionários extremamente atenciosos. Garagem ótima."
dez. de 2022,5,Aconchego…,"Há algum tempo conhecemos o Petit Casa da Montanha. Desde a primeira vez que nos hospedamos a nossa estadia é como estar num pedaço de paraíso. Desde a reserva até a recepção amável de toda equipe, só temos a agradecer."
dez. de 2022,5,Acolhimento,"Excelente localização, super aconchegante, charmoso e romântico!!! Ótimo atendimento da funcionária Ana e do Jonatha. Café da manhã super farto. Tudo maravilhoso!!!! Voltaremos a Gramado e com certeza ficarei novamente no Petit. Estão de parabéns!!!!"
dez. de 2022,5,Isso sim é se hospedar com qualidade,"Checkin com Jonatan impecável. Simpático, comunicativo e atencioso. Hotel de excelente localização ao lado da rua coberta. Apartamento maravilhoso, super limpo, cama confortável, chuveiro ótimo, mimos como produtos Loccitane, água mineral e chocolate no quarto é o normal do hotel. Café da manhã não tem como descrever, só estando lá, maravilhoso. Vc nem lembra que ovo mexido e salsicha no molho é essencial em algum café da manhã. Doces, tortas, bolos, várias geleias, frutas vermelhas frescas, paes de fermentação natural, chás, …. até mimos para seu pet tem. Voltaria e recomendaria 1000 vezes."
dez. de 2022,5,Melhor experiência em Gramado,Atendimento excelente. Experiência única. Atendentes extremamente atenciosos e simpáticos. Café da manhã formidável. Todas as noites deixam água e bombons com a previsão do tempo do dia seguinte. Arrumação dos quartos ótima.
dez. de 2022,5,Excelente experiência!,"Excelente experiência! Melhor localização no Centro de Gramado, apenas a alguns passos da rua coberta e das melhores lojas. Clima aconchegante, com atendimento especial a idosos. Café da manhã impecável com várias opções e delicioso."
dez. de 2022,5,Passeio,"Equipe muito atenciosa, receptiva, solicita…assepsia do local impecável, café da manhã fabuloso, tudo muito agradável…Super recomendável…quarto aconchegante….Excelente localização, próximo a rua coberta…"
dez. de 2022,5,Perfeito em tudo! Vale mtoa Lena cada centavo!,"O local encanta do momento da reserva a despedida. Todos os detalhes são minimamente pensados. Tudo lindo, cheiroso, impecável, gostoso! Ambientes aconchegantes, cada detalhe incrível! Todas as manhãs tinha em nosso quarto um bilhete c a temperatura q iria fazer no outro dia, dado muito importante para quem nao é da região. Outro detalhe era quanto ao cuidado com os Clientes q iam sair mto cedo para passeio e n tinha o café aberto, sempre Ficava um kit de lanche com sabores perfeitos."
nov. de 2022,5,Bem recebidos,"Recepcionista Ana Paula nos recebeu muito bem. Hotel pequeno mas super aconchegante e acolhe pets (pena q não trouxemos a nossa). Café da manhã maravilhoso. Quartos bons. Em alguns momentos ao chegar no hotel sentindo um cheiro desagradável, provavelmente pelo fato da construção ser antiga. Não tem elevador, mas não limitou nossa estada."
nov. de 2022,5,Nota DEZ,"Já mandei a minha opinião anteriormente mas vou repetir: a minha avaliação é : Equipe nota 10 - competente, cordial, disponível, simpática;Espaço físico do hotel- espaçoso, agradável, equipamentos de ótima qualidade,serviços gerais competente. Chamou minha atenção a quantidade de apartamentos: o ambiente fica aconchegante. Também o café da manhã mereceu minha atenção: PERFEITO ! Nota 10 para o Pétit Hotel ! De agora em diante só vou à Gramado se tiver vaga para mim no Pétit !!!"
nov. de 2022,5,Hospedagem maravilhosa,"Excelente.... atendimento nota 10. Ana Paula, espetacular. Café da manhã maravilhoso. Ambiente agradável e charmoso. Pode ser recomendado e voltaria tranquilamente. Localização excelente. Central ...."
nov. de 2022,5,Hotel Petit Gramado,"Um hotel que nos emociona. Aconchego, charme, e um toque de casa da Vovó que faz toda a diferença. Um hotel pra toda família. Serviços de excelência, limpeza um café da manhã impecável. Super recomendo !!!!"
nov. de 2022,5,Atendimento de excelência,"Tudo perfeito. Localização no centro, atendimento sensacional, café da manhã perfeito com detalhes e cuidado que faz total diferença , limpeza impecável, funcionários educados e prestativos. Mimos oferecidos toda noite . Chá da tarde cortesia da casa, enfim sem defeitos."
nov. de 2022,5,Excelente local de se hospedar,"Tudo perfeito, especialmente o atendimento da Ana na recepção. Instalações,localização perfeita com louvor para o café da manhã. Custo de reposçao do frigobar caro, mas não denigre minha estadia. Voltarei com certeza ano que vem"
nov. de 2022,4,Petit Casa da Montanha - Um encanto!,"Petfriendly nota 10. Atendimento primoroso. Aplausos para Ana Paula que nos atendeu com toda atenção, educação, profissionalismo e cuidado! Equipe educada e prestativa. Acomodações confortáveis. Localização perfeita. A 50 metros da Rua Coberta! Café da manhã gracioso é muito bom! Falta um atendimento de cozinha para um lanche ou refeição. Gostamos muito!"
nov. de 2022,5,Tive uma excelente experiência com esse hotel.,"O hotel é aconchegante, muito limpo e cheiroso!! Os funcionários são muito atenciosos. O café da manhã é ótimo. O hotel é bem no centro de Gramado e, portanto, fica perto de tudo. Fica bem próximo à Rua Coberta. Em frente ao hotel fica uma farmácia 24horas."
nov. de 2022,5,Acolhedora,"Excelente hospedagem! Equipe super atenciosa, a Ana da recepção é ótima, sempre pronta a atender e muito prestativa. Localização perfeita, quarto aconchegante e com hospitalidade excepcional, café da manhã com diversos itens e de ótima qualidade. Com certeza voltarei."
nov. de 2022,5,Muito atenciosos,"Equipe super atenciosa, destaque para a Ana Paula da recepção sempre à disposição e muito prestativa. Excelente café da manhã, ótima localização, apartamentos aconchegantes e cuidado especial para pets."
nov. de 2022,5,Atenção aos detalhes,Estive hospedada em Gramado durante o Festuris e adorei esse hotel. Funcionários super atenciosos. Destaque para o Johnathan que foi extremamente atencioso comigo. Sem palavras pra agradecer. Com certeza ano que vem estaremos juntos novamente.
nov. de 2022,5,Localização perfeita,"Excelente pousada economica com hospitalidade de hotel 5 estrelas, característico do grupo Casa Hoteis!! E pode ussr a estrutura do Hotel Casa da Montanha! Excelente localização! Café da manhã muito bom, e staff super atencioso!"
out. de 2022,5,"Recomendo esse hotel, localização excelente, café ótimo, gentileza excelente, enfim foi uma maravilha.","O atendimento de todos foi excelente, destaca Ana Paula que tivemos mais contato e ela foi muito especial. A localização muito boa, o café excelente. Enfim foi tudo muito bom. Ficamos muito felizes por essa estadia."
out. de 2022,4,Ok,"Hotel muito bom, quarto pequeno mas confortável. Bem localizado Café da manhã fabuloso Faltam tomadas próximas à cabeceira da cama para carregar o celular Ana Paula da recepção, sempre muito atenciosa. Com certeza uma ótima opção de hospedagem"
