Data da opinião,Nota,Título,Conteúdo
dez. de 2022,4,Hotel bom,"Boa localização, com restaurante próximo, fica próximo a atração super carros. Poucos minutos de gramado e canela. Quartos limpos, oferece berço para as crianças, café da manhã bom também. Atendimento dentro dos padrões."
dez. de 2022,3,O Hotel Bom sem Grandes Destaques.,"É um hotel ok, mas sem grandes destaques. Eu esperava mais quando fiz a reserva, tendo em vista a estrutura que mostram no site.  Já na reserva tentei fazer uma remarcação (cancelar e reemitir) porque houve uma mudança brusca na tarifa. Eu consegui, porém o atendimento foi bem ruim. As atendentes via whatsApp e telefone foram bem mal educadas e com pouca vontade de ajudar.  Quanto ao hotel, eu gostei do tamanho do quarto e da piscina aquecida, porém pode melhorar no café da manhã (achei beeeem fraco), no conforto do quarto (misturador do chuveiro difícil de regular e pressão da água muito fraca, móveis achei meio básicos e decoração ruim). O parque e piscina externa não utilizei. O atendimento é ok.  Não tive problemas na hospedagem, mas só vale a pena se tiver com um preço bom ou em promoção. Com o preço original (em torno de R$700/diária), creio que tenham outras opções melhores em Gramado."
dez. de 2022,4,Hotel muito bom e aconhegante,"O Hotel fica no caminho para Canela, tem piscina quente, fria, sauna, café da manhã saboroso e um Bistrô em frente. Gostei muito da experiência e pretendo voltar. Gosto mais de ir em tempo ameno, nem muito quente e nem muito frio."
dez. de 2022,3,Hotel muito antigo,"Hotel precisa de uma reforma, ou uma manutenção nos quartos, muito antigo. Mas o atendimento é de excelência, funcionários bem atenciosos. Café da manhã bom para o padrão do hotel. Localização boa….."
dez. de 2022,5,Surpresa boa,"Estamos encerrando hoje nossa estadia (5/12/22) e confesso que o hotel me surpreendeu muito positivamente, cheguei aflita devido vários comentários negativos, mas não entendi o pq desses comentários… atendimento excelente, quantos limpos e cheirosos, lençol de boa qualidade, café da manhã bem completo, tudo muito gostoso!! A recepção do hotel é linda, mto aconchegante e tem uma cadeira de massagens que meu noivo aproveitou mto kkkkk eu e minha família amamos o local, e a localização tb é bastante boa!!"
nov. de 2022,1,Decepção master,"Hotel velho, tudo antigo, café meia boca, todos os dias mesmice, o colchão está com uma mola solta, sim era de molas soltas furava as costas, pedimos pra trocar de quarto, fomos pro outro. Outra bomba colchão murcho. Olha só decepção, a piscina era uma piada parecia uma daquelas de lage. Perguntamos ao recepcionista pq o hotel era tão ruim ele respondeu q a última reforma tinha sido há 20 anos hahahah. Só fiquem nesse hotel de a SUA OUTRA OPÇÃO FOR DORMIR NA RUA ."
nov. de 2022,4,Muito bom!,"Quando li algumas avaliações fiquei com medo mas fiquei muito satisfeita com o hotel. Ele é um pouco distante do centro mas dá pra pegar uber w táxi numa boa, tem estacionamento grande pra carros. A recepção do hotel é bonitinha, estilo gramado com lareira. Os funcionários são super simpáticos, principalmente o atendente Jeferson. O pessoal do café da manhã é extremamente gentil, deixando minha mãe diabética tomar café um pouquinho às 06:15. O hotel é antigo mas muito limpo, camas boas, toalhas brancas e cheirosas, o ar condicionado funciona super bem pra quem vem no Natal luz ou janeiro."
nov. de 2022,2,"Péssimo, não aconselho.","Por onde começar… vejamos, café da manhã é bem fraco, pouquíssimas opções além de ser um espaço bem menor do que o número de quartos.  Limpeza dos quartos deixa a desejar, pegamos um endredom sujo, deixamos no chão do banheiro junto as toalhas para lavar e quando voltamos, o endredom estava em cima da cama de volta !  Chuveiro péssimo, apenas um fio d’água e como se não bastasse, você tem que escolher, banho gelado ou fervendo.  Isolamento acústico dos quartos, absolutamente nenhum. Escutávamos as pessoas gargalharem a 1 da manhã e gritando bom dia no corredor já as 7h00, impossível de descansar. Possível inclusive ouvir telefone, descarga e pessoas conversando dos outros quartos.  Fora o descaso dos funcionários que ao informarmos os problemas que passávamos simplesmente nos respondiam que era assim mesmo. Lamentável. Não aconselho."
out. de 2022,4,Ótima experiência,"Estive com meu esposo e minha filha de 3 anos no hotel e gostamos muito da experiência. Como ponto alto, destaco a cama e roupa de cama muito confortáveis, o chuveiro bem quentinho, em geral tudo muito bonito, limpo e organizado, e o staff do hotel que é muito simpático! O café da manhã é muito bom, com muita variedade de alimentos. Em relação à localização, acho que a vantagem é que fica entre Granado e Canela, então facilita a ida para os passeios nas duas cidades, mas sempre precisa de carro para sair de lá, não dá para fazer muita coisa a pé perto do hotel. Tem alguns restaurantes e museus perto, mas, no geral, precisa de carro para ir para o centro de ambas as cidades. Como ponto negativo, achamos que falta tv a cabo ou uma smart tv para assistir streaming nas horas de descanso. Infelizmente, estávamos com uma agenda cheia e não aproveitamos as piscinas e área kids do hotel, gostaria de ter experimentado, mas não deu tempo, fica para a próxima."
jun. de 2022,5,Dias maravilhosos,"Sou Janaina Pires viajei com minha filha, ficamos muito satisfeitas com tudo que deu tempo de curtir, todos funcionários muito simpáticos. O Sr. Vanderlei de uma educação. Café maravilhoso, local fácil acesso. Muito obrigada a todos . Voltarei em breve"
