Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Fantástico,"Maravilhosa estadia, quarto impecável, café delicioso, e atendimento excelente, localização privilegiada, perto de tudo, nem precisa usar o carro, coisa que achei muito importante, box pro carro,... experiência ótima realmente."
1 de jan.,5,Pousada excelente!,"Nossa família se hospedou de 26/12 a 01/01. Fomos muito bem atendidos, desde o momento da reserva até a saída. Os funcionários são muito atenciosos, café da manhã excelente, limpeza e arrumação impecáveis. A localização é super próxima da Avenida Borges de Medeiros. Pousada linda. Recomendo."
dez. de 2022,5,Excepcional!!,"Simplesmente maravilhosa! Quartos e banheiro amplos, arejados, limpos e decorados com muito bom gosto. Localização perfeita, na área central e próxima de várias atrações turísticas e da principal avenida de Gramado. Fizemos quase tudo a pé. O café da manhã é excepcional, com muitas variedades, produtos frescos, caseiros,saborosos e todo dia acrescentavam itens diferentes. Ficamos 05 dias e não foi possível provar tudo!! Para completar a experiência, um atendimento impecável de toda equipe da pousada, com simpatia e muita disponibilidade. Recomendo e quando voltar, com certeza será minha escolha!"
dez. de 2022,5,Férias em família,"Pousada linda, bem localizada e limpa. O atendimento é maravilhoso, funcionários prestativos, organizados, respeitosos, gentis e ágeis. O café da manhã é ótimo. Nossa estadia foi excelente, nos fizeram sentir em casa, retornando a Gramado certamente nos hospedaremos lá novamente."
dez. de 2022,5,Pena que acabou….,"Que encanto de pousada, bem familiar, tudo bem limpinho, funcionários gentis, atenciosos, café da manhã muito bom, com bastante opções de pães, frutas, bolos, sucos….a pousada tem uma ótima localização podendo ir ao centro a pé, pois é tudo perto, restaurantes, rodoviária, rua torta….com certeza quando voltar a gramado não tenho dúvidas que irei me hospedar na pousada!!!"
dez. de 2022,5,Gramado em família,"Excelente desde a localização, acolhimento, limpeza e cordialidade dos funcionários! Ótimo café da manhã. Acomodação em quarto família tb excelente, para os cinco! Perto de restaurantes, das principais atrações, enfim, super indico!"
dez. de 2022,5,Voltarei com certeza!,"Ótima localização (próximo de tudo, dá pra fazer tudo a pé), café da manhã completo, excelente estrutura (quartos, academia, piscina, linda área externa), mas com certeza a melhor parte foi o atendimento e a atenção dada pela equipe."
dez. de 2022,5,Muito Boa!!,"A localização é excelente, perfeita - eu diria. Os quartos , impecáveis !!! Um atendimento diferenciado !!  Sugestão - colocar a máquina de café industrial. Ainda que pequena, pois achei o café disponibilizado no café da manhã, um pouco morno. E também, informar sobre a quantidade de lances de escada na descrição da Pousada - em vista da acessibilidade.  Fora isso, a estadia foi perfeita e eu recomendo DEMAIS esse local. Sobretudo pelo atendimento perfeito e a gentileza da equipe do hotel."
dez. de 2022,5,Estadia perfeita.,"A localização é muito boa, funcionários acolhedores, café saboroso, infraestrutura ótima e aconchegante. Super recomendo para quem busca algo com qualidade e bom preço. Oferece piscina aquecida , sauna e academia."
dez. de 2022,5,Maravilhosa,"Limpeza impecável, café da manhã delicioso e atendimento extremamente atencioso!  Pousada aconchegante, cheirosa, percebe se o carinho e dedicação nos detalhes!  A equipe é simpática e muito eficiente!  Um lugar com que combina com a atmosfera de Gramado!"
