Data da opinião,Nota,Título,Conteúdo
dez. de 2022,1,Decepção com atendimento e estado do hotel,"Esperava um atendimento de melhor qualidade. Efetuei a reserva para dois adultos e uma criança e chegando no hotel o quarto disponibilizado possuía apenas uma cama de casal, entramos em contato com a recepção e disseram que não teriam disponível naquele momento um quarto com mais uma cama, mas que instalariam uma cama auxiliar para minha filha e que precisaríamos não estar no quarto para montagem. Saímos para fazer um passeio e quando voltamos a cama auxiliar estava montada, porém sem roupa de cama e travesseiro para que pudesse ser utilizada. Ligamos para recepção e a resposta foi que precisariamos sair novamente do hotel para que a cama fosse arrumada. Tivemos que aguardar no corredor, cansados, para que fosse arrumada a cama.  Mais tarde, precisei ligar novamente a recepção e o telefone dava sempre ocupado, desci na recepção e esta estava vazia e com o telefone fora do gancho, e havia uma conversa atrás de uma divisória atrás do balcão.  O hotel necessita de algumas manutenções, metade das luzes do quarto não ligavam, as janelas não fecham direito o que passa todo o barulho do trânsito no entorno para o quarto e o chuveiro precisa urgente de substituição."
fev. de 2021,4,Excelente opção,"Sempre com um excelente atendimento, camas confortáveis, chuveiro ótimo e bom café da manhã. Recomendo. Possui piscina térmica ( boa opção para quem viaja com crianças ), área externa também com piscina. Recomendo."
nov. de 2022,5,Recomendo,"Me hospedei 2 dias no Intercity e fiquei muito satisfeita com o hotel. Quartos tem um tamanho bom, a cama é enorme e o chuveiro era maravilhoso. Vi algumas reclamações sobre o café da manhã, mas acredito que o hotel melhorou nesse ponto pois o café era sensacional, super completo e cheio de opções, as reposições eram feitas antes de acabar a comida. A piscina térmica era quente e a academia tinha muitos aparelhos novos. Enfim, tive uma ótima experiência e recomendo o hotel."
nov. de 2022,2,Sofrível…,"Precisa melhorar muito!!!  O quarto precisa de atualização. Aliás o hotel todo precisa passar por uma reforma. Também a limpeza deixou à desejar pois encontrei, pelo menos, 5 tipos diferentes de fios de cabelo no box.  O café da manhã melhorou desde a última vez que havia estado lá mas será bom aumentar o serviço no café … terminava suco, salada de frutas e etc e demoravam demais pra repor."
nov. de 2022,4,Muito bom,"Hotel com excelente estrutura, quartos amplos e modernos! Estacionamento é pago, 30R$ a diária.    Oque deixou a desejar foi o café da manhã! Reposição era muito lenta, sempre estava faltando alguma coisa!"
out. de 2022,2,Cobram adiantado no check-in e se negam a entregar a Nota no ato do pagamento.,"Hotel cobra adiantado, 100% da estadia no ato do check-in, o que por si só ja é errado, mas ainda se nega a entregar a nota fiscal no check-in, alegando que entregam no check-out incluindo eventuais extras.  Ora, ou cobram no check-in e dao a nf do valor cobrado no mesmo ato e fazem o mesmo procedimento na saida com despesas adicionais ou cobram tudo junto na saida e dando uma unica nota na saida. Mas não, querem cobrar adiantado mas nao entregar a nota quando se paga."
out. de 2022,4,Boa Opção em Caxias do Sul,"Hotel muito bem localizado, ao lado do Shopping Villagio, boa estrutura e quartos confortáveis. O único ponto que precisa ser melhorado é o café da manhã que é bem simples. Já fiquei em hoteis de menor porte com café da manhã de excelente qualidade."
set. de 2022,1,"Restaurante horrível, demora no atendimento , pedi um vinho q chegou após o jantar, hambúrguer horrível, atendimento Rui","Restaurante horrível, demorado, atendimento ruim, sem cardápio de bebidas, pedi um vinho q chegou após a janta , hambúrguer seco e sem todos ingredientes, não condiz com as 4 estrelas do hotel, ter q pedir guardanapo e talheres num restaurante ala carte, e a comida ficar esfriando até isso chegar e péssimo,  Comida mal feita e ruim"
ago. de 2022,4,Café da manhã,"Eu e meu marido fomos até o hotel para tomar café da manhã. Como temos o Prime Gourmet, aproveitamos para conhecer. O café em si é uma delícia, porém, com pouca variedade de alimentos. O local é muito limpo e organizado e os atendentes simpáticos."
ago. de 2022,3,Melhorias pontuais,"Atualmente o Intercity Caxias do Sul não condiz com a qualidade e conforto das hospedagens anteriores.  O café-da-manhã caiu bem a qualidade e em oferecimento de alimentos, como bolos, pães, frios e frutas.  Tem alguns quartos reformados e outros que precisam passar pela reforma para manter a qualidade.  O que continua valendo a hospedagem é a localização e a atenção do staff.  Voltem ao padrão Intercity anterior, pois pretendo voltar nos próximos meses e gostaria de reencontrar o padrão e qualidade Intercity de outrora ."
