Data da opinião,Nota,Título,Conteúdo
1 de jan.,2,Acomodações e café da manhã ruim. Não recomendo.,"O Cafe da manhã é muito fraco.  Quarto com mobília antiga e cheira mofo, tem banheira com box alto de vidro e tem q subir por um mini escada, nunca vi nada igual e perigoso.  Hotel com escadas íngremes e longas, as comidas são secas e sem gosto.  Quadra de areia bem descuidada, fazendinha desorganizada, sem piscina externa e a piscina aquecida é pequena."
nov. de 2022,4,Excelente opção no coração do Vale dos Vinhedos,"Hotel com bastante opções de lazer para crianças, atendimento dos funcionários é um diferencial, café da manhã excelente. Piscina e jacuzzi para relaxar, quadra de tênis (rápida) e poliesportiva. Dentro do mesmo terreno tem uma dos melhores restaurantes do Vale, o Mamma Gemma, e também o Pizza entre Vinhos, além do próprio restaurante do hotel que parte ser muito bom. A localização é excelente com as principais vinicolas a uma curta distância. As instalações são antigas precisam de algumas melhorias, principalmente a academia que tem poucos equipamentos e esteiras mais velhas. O quarto é muito espaçoso e confortável."
out. de 2022,5,Hospedagem sensacional,"Hotel muito bem localizado próximo a diversos restaurantes e vinícolas. Com uma estrutura muito boa, com estacionamento gratuito e acessibilidade. Possui trilhas, espaço kids, parque infantil interno e externo, animais soltos (pavão, galinha d'angola, etc.), museu do vinho, piscina interna, sauna, restaurante, etc. Quartos confortáveis, café da manhã excelente, atendimento simpático e educado. Custo benefício muito bom."
set. de 2022,4,Atende às expectativas!,"Como sempre em minhas avaliações, separo em pontos positivos e negativos.    Pontos positivos:    - Atendimento / Acolhimento dos funcionários. Precisamos ir a um restaurante próximo para jantar e estava chuviscando no momento, pedimos guarda chuvas e eles prontamente pegaram um carro e nos levaram ao restaurante.    - Cama e malharia boa.    - Equipamentos todos em pleno funcionamento.    - Localização no Vale dos Vinhedos excelente.    - Otimo café da manhã.    Pontos Negativos:    - Nem sei se seria um ponto negativo, mas sim uma observação. O hotel é um pouco antigo e merecia uma reforma. Principalmente nos banheiros.    Conclusão: Bom hotel, atende no que de é solicitado e voltaria com certeza."
ago. de 2022,5,Viagem ao Sul,"Viajamos para o sul com muita frequência. Um de nossos roteiros preferidos. Em Bento Gonçalves nos hospedamos no Villa Michelon, lugar agradável e maravilhoso. A proprietária Elaine é um pessoa incrível, gentil ao extremo, como toda a equipe. Recomendamos"
jul. de 2022,5,Excelente,"Não sei ao certo se foi a 5a ou 6a vez que nos hospedamos no Michellon. Voltamos sempre porque nos sentimos em casa ,adoramos e curtimos todo cantinho do hotel..  Nos sentimos em contato com a natureza, amanhecer ouvindo canto de pássaros, que e tao raro numa cidade grande como eu vivo. Adoro ver os pavões, ovelhinhas,gatinhos, crianças brincando.  Funcionários, sem exceção, educados e solícitos, dando dicas de passeio, enfim nos sentimos em casa e por isso anualmente quando visitamos Gramado não podemos deixar de visitar nossos amigos do Michellon.  Muitos restaurantes ao redor do hotel, muitas vinícolas e em poucos minutos você já esta no centro de Bento Gonçalves.  No hotel tem um restaurante,que serve uma deliciosa comida, a minha preferida e a sopa de capeletti que nunca provei mais saborosa.  Dica: comer capeletti frito no café Filo que fica pertinho do hotel."
jul. de 2022,4,Ótima opção com crianças,"Hotel tradicional com grande área verde e opções de lazer. Construído em blocos em diferentes níveis. Nem todos os quartos tem acesso pelo elevador. Quarto amplo,claro e limpo com estilo colonial. Com ar condicionado, ventilador de teto, frigobar, cofre. Roupa de cama e banho de boa qualidade. Boa ducha de banho, mas piso um pouco escorregadio. Entre as alas de quartos fica a recreação infantil e o som ecoa nos corredores. Café da manhã com boas opções, inclusive livres de glúten e lactose. Staff muito atencioso. Cálice de vinho de cortesia."
jul. de 2022,5,Ótima experiência,"Hotel com ótimas instalações e funcionários muito bem treinados e educados. Café da manhã sensacional, porém percebe-se que o hotel fica perdido se precisa se dedicar a famílias ou a eventos que são realizados no hotel. Ficaria totalmente completo se houvesse monitores para utilizar as instalações como fazendinha, brinquedoteca, quadras, dentre outros."
jul. de 2022,4,Boa opção no vale dos vinhedos,"Ótima estadia, ainda estávamos com restrições em função do Covid, hotel com 75% da lotação Instalações antigas, mas bem conservado, ficamos na suíte com banheira, quarto muito espaçoso com sacada, decoração especial por aniversário, foram muito atenciosos.Área externa ótima para caminhadas e atividades para as crianças, boa indicação para famílias."
jul. de 2022,2,Decepção,"O quarto é grande , as cobertas são de pelúcia sem capa, o banheiro alaga com o vapor, para acessar o chuveiro tem que entrar em um ofurô (fundo) com a abertura do box ao lado do vaso sanitário, o que dificulta muito. Não arrumaram nosso quarto, saimos as 8:30h e voltamos as 22h. O café da manhã é bem simples. E o elevador nao ia ao nosso andar. O lugar é bonito e bem localizado.  Quando nos hospedamos tinha uma empresa com vários funcionários fazendo barulho até de madrugada, deveriam ter separado os outros hóspedes e fechado uma ala só para a empresa."
jul. de 2022,3,BOA LOCALIZAÇÃO MAS MUITO ANTIGO E PRECISANDO DE MANUTENÇÃO,"Hotel razoável mas muito caro pelo que cobra. Funcionários gentis mas quarto com vários pontos de manutenção e banheiro também. Janelas empenadas, teto com mofo, bancada do banheiro descascando. Nitidamente precisando de manutenção! Alem disso a acústica é péssima! Estava tendo evento de grupo e conseguimos ouvir todo o barulho dos corredores do hotel. A tia da recreação infantil é maravilhosa mas sinceramente não sei se voltarei! Venha preparado para acordar cedo e não dormir por causa do barulho!!!"
jun. de 2022,4,UM HOTEL BEM FAMILIAR E AGRADÁVEL,"Um hotel agradável, bem familiar com quartos confortáveis e funcionários extremamente simpáticos  È muito bem localizado no vale dos vinhedos, com restaurante que funciona no almoço e jantar ,mas com vários restaurantes em sua volta  È Muito gostoso se hospedar neste hotel, sempre nos sentimos em casa"
mai. de 2022,5,"Hotel charmoso no meio do Vale dos Vinhedos.
Bom para crianças","O Hotel Villa Michelon fica em uma excelente localização dentro do Vale dos vinhedos perto de excelentes restaurantes e das principais vinícolas do Vale.    O Hotel tem um estilo colonial, bem charmoso, muito limpo e arrumado.    Fomos muito bem atendidos tanto na recepção quanto no serviço de quarto.    Fomos em uma época fria e achamos o quarto muito bem preparado para isso com cobertores, aquecedores e um delicioso banho quente.    Nossa viagem não incluía crianças, mas temos 3 filhos e notamos que o hotel está muito bem preparado para recebê-los.    Adoramos a experiência no hotel.  Ficamos 6 dias ao todo.  Nossa programação era passar o dia todo passeando, conhecendo as vinícolas. Mas o hotel é tão confortável, que decidimos passar o último dia curtindo a estrutura oferecida."
mai. de 2022,4,Bom custo benefício,"Hotel em ótima localização, bom café da manhã e jantar com custo alto, mas também bom! Local com plantações de bergamotas, kiwi, laranjas e com ótimos lugares para tirar fotos com a família e esposa. Em linhas gerais, bom custo benefício para tudo que oferece."
mai. de 2022,3,Ótima localização,"Possui pontos positivos e negativos.    O hotel é grande e conta com várias opções de lazer (piscina, quadras, trilhas e playground). Sua localização é ótima para quem deseja conhecer o Vale dos Vinhedos, pois fica perto de muitas vinícolas e restaurantes.    Quarto de bom tamanho, mas com pontos de bolor no teto; o banheiro é espaçoso, o chuveiro tem bastante água, mas box é pequeno e antigo.    A internet funciona sem problemas.    O café da manhã, embora com grande variedade, não agradou. Não havia iogurte natural e a maioria dos pães e bolos estava ressecado."
abr. de 2022,3,Local bonito mas precisa de uma modernização,"Este hotel fica em uma região bonita (Vale dos Vinhedos) com muito verde e um lago. O hotel é bem limpo, possui vários itens de lazer como piscina e espaço kids, mas é um hotel com mobiliário mais antigo que merecia ser renovado para ser mais atrativo. O café da manhã é muito bom. A TV do quarto não ligava com o controle sendo necessário procurar um botão atrás da TV. A internet é boa. Achei que faltou flexibilidade do staff do hotel na hora que pedi uma extensão de 30 minutos para o check out (12:00 para 12:30) pois minha aula acabava as 12:00 e precisava que um tempo para trocar de roupa para viagem. Consegui o pedido após pedir a intervenção da organização do congresso. Diante do que passei, não levaria minha familia para hospedar no hotel."
