Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Pousada maravilhosa,"Tudo excelente! Um pequeno ,e aconchegante, paraiso na Serra Gaúcha. Equipe impecável no atendimento. Disponivel, afetiva,sempre com um sorriso no rosto. Quartos lindos, café da manhã maravilhoso. Vou indicar para todos, e voltarei. Com certeza!"
dez. de 2022,5,Excelente,"Superou as expectativas, tudo muito preparado para receber bem seus hóspedes. Mínimos detalhes pensandos, harmonizados. Uma pousada fantástica. Seus colaboradores muito atenciosos, prestativos atenciosos. Super recomendo."
dez. de 2022,3,pode melhorar muito,"Problema se cheiro de esgoto no quarto, tomada no lado da cama não funciona. Se não tiver hóspedes chegando, poderiam liberar para check out um pouco mais tarde, ou uma sala de TV mais adequada ,caso queiramos ficar mais um pouco na pousada. O local que tem TV é muito desconfortável. O aquecimento da piscina não estava ligado, foi acionado após muita insistência com o recepcionista. Só foi possível banho no final do dia ."
dez. de 2022,5,Pousada muito charmosa,"Maravilhosa a experiência. Serviço nota 10 em uma pousada lindíssima. Voltaremos em breve. Localização estratégica, permite a ida ao centro de Canela a pé. Também muito fácil para os passeios a Gramado."
dez. de 2022,5,Estadia pousada Doce Canela,"A pousada é maravilhosa, 0 defeitos!! Ótimas instalações, tudo muito bem cuidado, café da manhã perfeito, atendimento excelente, em especial o do Eduardo Aguiar, que nos recebeu com tanta atenção. Sem dúvidas, escolheremos a pousada Doce Canela para uma próxima estadia em Gramado/Canela. Podem fechar sem medo!"
dez. de 2022,5,Passeio em família,"Lugar muito bonito, acomodações excelentes de fácil acesso aos parques e pontos turísticos da cidade de Canela e Gramado, ótimo lugar para se hospedar sem contar no ótimo atendimento, sempre atenciosos"
dez. de 2022,5,Excelente!,"Desde que chegamos fomos muito bem atendidos, todos os funcionários muito preocupados com nosso bem estar! Não há dúvidas de que vale muito a pena se hospedar nessa pousada, além de tudo também há a excelente proximidade dos pontos turísticos. Recomendo!"
dez. de 2022,5,Pousada sensacional!!!,"Tudo perfeito!! Desde a chegada, quarto localizado na casa principal (a pousada possui 3 casas com quartos), quarto gigante (suite master), com 2 ambientes separados (2 quartos), closet, banheiro imenso (possui até uma varanda coberta - sugiro colocar um ofurô nessa varanda). Possui frigobar e ar condicionado nos 2 ambientes.  Café da manhã com pães, frios, frutas, bolos. Pode pedir ovos, tapioca TB que fazem na hora.  Funcionários sempre prestativos e educados.  Estadia perfeita, sem reclamações.  Pousada possui piscina, estacionamento fechado. Ótima localização (7min do centro de Gramado e 5min do centro de Canela.  Jardim muito bem cuidado, arrumação do quarto ótima."
dez. de 2022,3,Total decepção no café da manhã.,"Café da manhã limitado. Reposição de frutas precária, Solicitei ovos mexidos, entretanto, antes não tivesse feito. Foi o pior ovo mexido da minha vida. Troquei por ovos fritos, outra lástima. Sucos de fruta quente, e nunca havia disponibilidade de gelo.  Muita beleza externa, mas o serviço deixa muito a desejar.  Não retornarei."
dez. de 2022,5,Muito aconchegante,"Adoramos nossa hospedagem na Doce Canela. Lugar lindo e aconchegante, onde é possível descansar depois de um dia longo de passeio. O café da manhã é fabuloso e os funcionários são muito atenciosos. O lugar é incrível!"
dez. de 2022,5,Lugar tranquilo,"Muito organizada e limpa, bem localizada, bem decorada, café da manhã com muitas variedades.  Bem perto de Canela, que está mais divertida se compararmos com Gramado.  Canela atualmente tem muitos restaurantes."
dez. de 2022,5,Perfeita em tudo!,"Estadia Excelente, a pousada é ótima e tudo é feito com muito capricho! Café da manhã muito caprichado e todos os detalhes da pousada são muito bem pensados, desde a decoração impecável até as essências usadas nos ambientes."
nov. de 2022,5,Sem palavras,"Uma experiência maravilhosa! Pedi o pacote Lavanda e foi um momento mágico na minha vida, minha mulher quando viu a decoração e o carinho colacado em casa detalhe se sentiu uma princesa de verdade, o que era meu objetivo. Ótimo lugar e ambiente. Recomendo."
nov. de 2022,5,Hospedagem encantadora,A hospedagem na pousada foi muito agradável. Atendimento sem igual. Limpeza excelente. Café da manhã delicioso e completo. Ótima localização com estacionamento. Muito sossego e tranquilidade para dormir mesmo com todos os eventos ocorrendo na região.
nov. de 2022,5,"Excelência, aconchego e gente bem humorada.","Pousada Doce Canela é um charme.  Linda, de um aconchego que nos faz se sentir em casa.  O café da manhã é muito farto, com saborosas tortas.  Piscina aquecida, jardins lindos e bem cuidados.  Biblioteca pra relaxar."
nov. de 2022,5,Muito bom,"A pousada é linda, bem decorada e muito charmosa. Café da manhã bem gostoso com bastante variedades. Funcionários são atenciosos e o atendimentos foi muito bom. Quarto limpo e confortável. Adorei me hospedar aqui."
nov. de 2022,5,Excepcional,"Excepcional! Um charme a parte, parece que você está dentro de uma casinha de boneca rs! Muito aconchegante, com calefação e muito cheiroso. Tirando o café da manhã maravilhoso, principalmente o iorgute com calda de frutas vermelhas…Recepção maravilhosa, fomos muito bem atendidos!!"
out. de 2022,5,Canela em 2 dias,"Lugar excelente para hospedagem em Canela ! Nos sentimos em casa. Recepção amigável e esclarecedora. Quarto confortável e bonito. Café da manhã delicioso, área externa linda. Voltando em Canela com certeza nos hospedaremos lá novamente."
