Data da opinião,Nota,Título,Conteúdo
dez. de 2022,2,Apenas para passagens rápidas,"Hotel temático, com o tema de aviação, possui um decoração elogiável, porém, deixa a desejar em alguns aspectos. Em questão de conforto, como em toda rede Ibis, trocaram os colchões e as camas estão tão duras quanto pedra (já utilizei hoteis da rede - do mesmo nível de preço - em outras situações e os colchões eram muito macios, trocaram de todos os hoteis). Achei um cabelo comprido na fronha do travesseiro, o que indica falhas na limpeza do quarto. Também não dispõe de menu com cardápio do restaurante; só descobri o QR Code na cabeceira da cama contendo informações após eu pedir o jantar por aplicativo de restaurante externo, sendo que o interno tinha preços melhores (como em toda rede Ibis os preços dos restaurantes são um absurdo, nem busquei me informar; mas este era uma exceção - os valores estavam num valor pagável). Elogiável deixar um mimo no quarto (um pequeno chocolate). Do meu quarto podia ver o centro de São Paulo, e sem o incômodo de ruídos. Não dá para ficar andando pelos arredores, não é seguro (principalmente à noite!): então as opções para refeição é o restaurante interno ou aplicativos. Não gostei da opção de venda de água mineral, pois não havia vasilhame plástico (apenas vidro e eu já estava fazendo o check-out). É um hotel destinado a passagens rápidas (para quem está chegando em São Paulo e pretende continuar viagem, por exemplo, ou vai ficar apenas um dia). Para quem pretende ficar vários dias, recomendo outras opções. O entorno é feio demais."
nov. de 2022,3,Razoável,"Já estive no hotel anteriormente, mas dessa vez não tive uma experiência boa.  Logo que cheguei no quarto indicado verifiquei que estava sujo, precisei solicitar a troca de apto.  Fiquei no 10° andar onde é extremamente barulhento. Alem dos dutos de ar, todos os movimentos nos corredores e elevadores são ouvidos de dentro do quarto.  Restaurante e café da manhã eram muito melhores na minha estada anterior..  Realmente deixou bastante a desejar, uma pena!    O atendimento é o ponto positivo desse hotel!"
set. de 2022,2,Não vale a pena.,"Por pouco a mais, vc fica em um hotel da rede bourbon com mto mais qualidade, conforto e serviços.  Não recomendo e sugiro que avalie muito bem outras opções com melhor custo benefício. Localização mto ruim e bem assustadora."
set. de 2022,3,Quarto que reservei com antecedência não estava disponível no momento do check-in,"Fiz uma reserva para um quarto com duas camas separadas, pois iria viajar com uma colega de trabalho. Chegando no hotel, no horário do check-in, a atendente me disse que o quarto ainda estava em processo de limpeza e que demoraria mais uns 40 minutos/ 1 hora para ser liberado. Sai para comer algo, e na volta (50 minutos depois), estava um outro atendente. O mesmo me disse que não haviam mais quartos com duas camas disponíveis e me deu a opção de um quarto com cama de casal, perguntando se nos incomodariamos de ser assim. Respondi que sim, que queria o quarto que eu reservei. Então o atendende liberou dois quartos com cama de casal separados, um para cada pessoa. Resumindo: deu certo, mas achei péssimo a atendente ter mentido para mim dizendo que o quarto já seria liberado (sendo que nem estava disponível - o quarto que eu reservei com antecedência!!). E ainda perdi tempo aguardando por isso, sendo que viajei a trabalho e tinha horários a cumprir, que tiveram que ser readaptados."
ago. de 2022,5,Facil acesso,"Muito proveitosa a minha estadia, local de facil acesso aos prinipais pontos de são paulo, otimo para eventos no anhembi exposição, facil acesso a taxis, uber , proximo ao metro e quase em frente a rodoviaria."
jul. de 2022,2,EQUIPE DE ATENDIMENTO E LIMPEZA PÉSSIMOS,"Muito ruim a equipe de recepção do hotel e a limpeza péssima fiquei dois dias hospedados e não fizeram limpeza no quarto, corredores sujos, dificuldade para liberar check in e check out, pior hotel da rede em atendimento que fiquei hospedado."
jul. de 2022,1,LGBTs não são bem-vindos!,"Na sexta-feira da minha chegada, o restaurante do hotel estava recebendo um grupo de homens engravatados com as mesas juntas, fazendo uma espécie de happy hour no restaurante. Eles faziam piadas homofóbicas e machistas, mas foram bem atendidos, afinal, não escolhemos os clientes, né? Tendo isso em mente, resolvi reunir os meus autores que hospedei no próprio hotel no dia seguinte no restaurante, visto que outro grupo havia feito isso e estava sendo bem atendido. Metade do restaurante estava VAZIO, mas a funcionária Laila, de forma grosseira, afirmou que não poderíamos juntar as mesas, pois haviam apenas 2 funcionárias (igual no dia anterior). Os homens engravatados puderam juntar suas mesas, comer, beber, rir e falar alto, enquanto meu grupo teve atendimento negado. A única coisa que diferia o meu grupo do grupo do dia anterior era o fato de estarmos usando máscaras, bandeiras e bottons LGBTQIAP+. Eu insisti para sermos atendidos, afinal, há placas pela recepção do hotel garantindo que é proibido qualquer tipo de discriminação. Fui até a recepção explicar o ocorrido e pedir que algo fosse feito, a funcionária Laila afirmou que não poderíamos juntar as mesas, pois havia apenas 2 pessoas atendendo e deveríamos nos sentar separados. Mas fica aqui a minha dúvida: qual é a diferença de atender 13 pessoas sentadas em 4 mesas afastadas e atender 13 pessoas em 4 mesas próximas? No fim, com extrema grosseria e na vontade, a funcionária afirmou que iria nos atender, mas que “não poderíamos reclamar se algum pedido viesse errado”. Meus convidados ficaram extremamente incomodados com o péssimo atendimento direcionado a nós e pediram para irmos a outro lugar, pois pela forma que fomos tratados ali, era bem provável recebermos comida cuspida ou coisa pior. Depois desse dia, fiquei mais 9 hospedada por lá e precisei mudar os meus planos de comer todos os dias no restaurante do hotel, pelo medo de ser discriminada novamente. A funcionária Thaymara, ao contrário, foi muito solícita, atenciosa e gentil conosco durante toda nossa hospedagem. O hotel precisa de mais funcionárias como ela.    Obs: na imagem abaixo, uma foro da funcionária que nos negou atendimento e nos tratou mal."
jul. de 2022,5,Ótima Hospedagem,"Todas as instalações, serviços e atendimento são da melhor qualidade.  Café da manhã satisfatório e proximidade com os meios de transporte.  O metro e a rodoviária ao lado.  Os funcionários preparados e solícitos."
jun. de 2022,2,pessima,"Pessimo atendimento , tudo muito demorado , uma molecada , brincando o tempo todo . Em tudo que precisa no hotel tem fila . Cafe da manha faltando ingredientes , mesas sujas , apenas uma atendente  não repoe os alimento do cafe da manha ."
mai. de 2022,3,Hotel ao lado do Tietê - rodoviária,"Hotel próximo ao terminal rodoviário do Tietê, o que é um fator positivo, também acaba sendo negativo, porque a região a noite, passa a impressão de insegurança.  Quartos são de bom tamanho, ar condicionado um pouco barulhento. Banheiro bom.  Tem um restaurante dentro do hotel, que apesar de caro, cumpre seu objetivo.  Café da manhã razoável com boas opções."
