Data da opinião,Nota,Título,Conteúdo
2 de jan.,5,Revelion 2022,"Revelion 2022  Passamos a noite da virada  Hotel muito limpo, suite que ficamos excelente vista , agrademos pelos mimos .  Banheiro muito limpo  Cama maravilhosa  Café da manhã muito bom, frutas , sucos e variedade de pães  Atendimento da recepção , Artur e Mayra foram muitos educados e prestativos estão de parabéns  Vamos voltar outras vezes  Obrigado"
1 de jan.,5,Experiência incrível,"Nunca fui tão bem tratada por uma equipe de hotelaria, no check-in tive a honra de conhecer o Oriel, uma pessoa super amável e pronto para dar dicas e explicar tudo sobre São Paulo, como foi nossa primeira visita a São Paulo não sabíamos muito os lugares e ele foi maravilhosamente educado e nos explicou com detalhes tudo !!  O hotel as camas são super macias, café da manhã cada dia um cardápio com frutas e salgados diferentes, foi uma experiência maravilhosa voltarei sempre a este hotel quando retornar a São Paulo ♥️"
dez. de 2022,3,Apenas regular,"O hotel tem bom atendimento, mas infelizmente a higienização é deficiente provocando problemas alérgicos. A internet no quarto é instável e o restaurante estava com atendimento limitado duas noites que precisamos jantar no hotel."
dez. de 2022,2,Mal cuidado,Telefones dos quartos não funcionam.  Atendimento restaurante extremamente demorado.  Refeição no quarto não chega e as pessoas da recepção nao tem autonomia para resolver um simples sanduíche de queijo para uma criança.  Academia bem fraca e sem manutenção.
dez. de 2022,5,Perfeito,"Fui a negocios em São Paulo e escolhi este Hotel pela localização. Amei. Muito perto da paulista e de todos os locais que eu precisava. Quarto moderno, lindo , cama super maravilhosa... banheiro muito bom.  Café da manha variado e equipe sempre a disposição. Recomendo."
nov. de 2022,5,Um hotel de negócios com ambiente familiar,O hotel possui um  Ambiente que mistura o familiar e o negócio. Nos sentimos trabalhando em casa. Todos os funcionários procuram lhe conhecer por seu nome e sempre estão 100% a sua disposição. Não há como ser melhor. Recomendo fortemente a opção deles em São Paulo.
nov. de 2022,5,Ótimo hotel e atendimento,"Hotel muito bom, quarto bem equipado e muito confortável, o café da manhã é maravilhoso, ótima localização. Queria também destacar que o atendimento do Julio foi impecável, muito cordial, atencioso e simpático.  Recomendo."
out. de 2022,5,Excelente Atendimento,"Ficamos 5 dias hospedados nesse hotel e fomos muito bem atendidos por todos, sem contar com a estrutura, cama e chuveiro então, uma maravilha, e o recepcionista (não sei se chama assim) Orion (me perdoe se escrevi errado rsss), super atencioso e gentil com todos  Espero voltar outras vezes."
out. de 2022,4,"Bem localizado, café da manhã variado, wifi instável","Hotel bem localizado, próximo à avenida Paulista e à Brigadeiro. O quarto é confortável, com uma cama grande, mesa, banheiro amplo e armários. O wifi é instável, o café da manhã é variado e o atendimento é bem eficiente. A relação custo benefício pode melhorar um pouco."
set. de 2022,5,Satisfação,"Atendimento exemplar de todos os setores. quarto confortável e amplo. Somente no banheiro tem alguns pontos que parecem mofo, mas nada que influencie na qualidade do hotel. a localização é muito boa, com shopping perto."
set. de 2022,5,Voltarei neste hotel,"Estivemos na cidade pra um congresso.  O hotel tem fácil acesso às linhas de metrô e ônibus, região com bastante uber e 99.  Pontos fortes do hotel:  Limpeza diária dos quartos e troca diária de toalhas  No banheiro, display na parede com shampoo e condicionador da phytoervas  Café da manhã bastante variado (com nutella, croissant, sucos)  Funcionários muito educados e prestativos."
set. de 2022,4,Vale Pela localização,"Boa localização paralela à paulista , padrão Mercure universal com lobby pequeno, bom atendimento no checkin, café da manhã razoável com tapiocas e omeletes inclusos à pedido , restaurante funciona almoço/ jantar , Wi-Fi razoável Estacionamento pago, quarto de tamanho pequeno/ razoável, pouco espaço para malas , cama boa , travesseiros de padrão inferior  , não bancada atrás da cama com cafeteira sem café , açúcar , etc disponível (?) , cofre , guarda roupas pequeno , 06 cabides , não tem ferro nem tábua de passar ( leve o seu) , limpeza meia-boca , amenidades do banheiro fraquíssimas , secador ruim , espelho de aumento, bancada de banheiro pequena , chuveiro com ralo desproporcional para o volume d’água ( acumula no box) , ar condicionado antigo mas , funcionava  Pela localização próximo da paulista , vale ."
set. de 2022,1,pessimo,"pior hotel que já fiquei! para realizar check in é pelo menos 1h . Nunca vi uma pessoa digitar tanto! não se hóspede aqui, no lobby tem gente atirada por todos os lados com malas, parece uma rodoviária"
ago. de 2022,5,Local perfeito!,O hotel encontra-se numa excelente localização. Possui cama grande e confortável. Café da manha completo. Super recomendo. Esta nao e a primeira vez que me hospedo nele. E voltarei todas as vezes que vier a SP.
