Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,2,Restaurante péssimo.,"O serviço de restaurante ruim para a qualidade do hotel. O hotel trianon merece um serviço de restaurante melhor. Rever a concessão.  O atendimento do restaurante precisa melhorar, os funcionários não atende de forma cordial e quando se pede uma informação são grosseiros e não respondem aos questinamentos. Somente um funcionário teve a prestteza de fornecer uma informação correta. Pelo telefone um pedido é um caos. A janta do dia 31 foi cancelada sem motivo algum, nem informaram no ramal do quarto que havia sido cancelado. Péssimo o serviço de restaurante do hotel. Há necessidade de rever a concessão deste restaurante urgentemente. Não recomendaria que hóspede usasse este serviço."
2 de jan.,5,Sao Silvestre 2022,"Atendimento 10, única coisa na minha opinião é um transfer que falta, o mais foi Maravilhoso . Quartos limpos , café da manha ótimo. Localização próximo a  Paulista, Se tivesse uma Van seria show. Mas estou satisfeita com os demais ambientes."
1 de jan.,5,Experiência incrível,Localização boa. Limpeza otima e quartos grandes. Café da manhã excelente! Diversificado de boa qualidade! Vimos os fogos da Paulista.  Restaurante bom com preço acessível. Funcionários cordiais.  Com certeza voltaremos!
dez. de 2022,4,Muito bom,"Hotel muito bom.  Ganhei a hospedagem para passar um final de semana, adorei.  Boa localizacao, perto da Av. Paulista.  Lugares bons para comer alguma coisa.  Pessoal super gentis, educados.  Unica coisa que nao tinha sido avisado era de uma taxa no check out.  Mas de resto foi perfeito."
dez. de 2022,5,Excelente localização!,"Muito bem localizado! Quartos limpos, cama e travesseiros confortáveis. Café da manhã muito diversificado. Gostei! Ideal para quem precisa utilizar o metrô para acessar os lugares. Estacionamento pago. Taxa de 20,00 reais a cada 24 horas."
dez. de 2022,5,Excelente,"Próximo do Parque Trianon, MASP na Av. Paulista e principalmente para quem usa transporte coletivo, há uma estação de metrô! Os quartos são amplos, limpeza excelente, café da manhã com muitas variedades! Todo serviço realizado pela recepção com simpatia e qualidade! Super recomendo"
dez. de 2022,4,Ótima localização e Funcionários receptivos,"Viagens a negócio, com apartamentos amplos e próximo à Av. Paulista.  Tive um problema no meu carro e a equipe de funcionários (seguranças e estacionamento) me ajudaram na ocorrência, dando todo suporte necessário mesmo eu já tendo feito o check-out!"
dez. de 2022,5,Uma escolha segura,"Boa localização, bons serviços, equipe atenciosa. Vale tanto para quem vai a passeio quanto a negócios. É uma escolha segura e sempre está entre as minhas primeiras opções quando vou a São Paulo. Retornarei com certeza."
dez. de 2022,3,Hotel Trianon,"Hotel atende bem para quem quer ficar próximo a Av Paulista, café da manhã razoável ,atendimento bem formal, falta empatia por parte da maioria dos funcionários. Cobram tudo que podem como extra, até um talher se vc pedir te cobram R$10,00 ...absurdo! difícil ter fidelidade desse jeito, no mais está ok."
dez. de 2022,4,Boa avaliação,"Hotel bom, atendimento bom, estacionamento com bom preço e serviço de Vallet muito bom, segurança atenta, quarto confortável e limpo, café da manhã bom.  Observação negativa:  Máquina de café não gostei."
nov. de 2022,4,Excelente,"limpeza, organização e localização. Uma semana de muita organização, limpeza impecável. Localização maravilhosa. Tivemos tranquilidade no sono. Só pecaram no tamanho do banheiro considerando te tínhamos um bebê que necessitava de banheira para o banho."
nov. de 2022,1,Pior experiência da minha vida Reservei um quarto de casal. Juntaram duas camas velhas de solteiro que me deram a pior d,"Reservei um quarto de casal. Juntaram duas camas velhas de solteiro que me causaram a pior dor na coluna que já experimentei. Quarto barulhento, móveis velhos , pedi para falar com o gerente que não me atendeu. Uma das PIORES experiências que eu já tive . Nem hotel uma estrela"
