Data da opinião,Nota,Título,Conteúdo
dez. de 2022,4,Muito bom. Preço compatível,"Hotel muito bem estruturado. Tudo muito bem conservado e limpo. Quarto bem espaçoso. Cama king excelente, confortável. Chuveiro muito bom. Restaurante no terreo, parece see bom, não comemos lá, mas pedidmos sucos e porção estava tudo ótimo.    Atendimento nota 10, desde a recepção, limpeza, restaurante. Preço razoavel e compativel com o hotel, cerca de R$390 por noite para o casal. Ótima opção. Super bem localizado (apesar de não termos saido muito)."
dez. de 2022,4,BOA OPCAO NA BERRINI,"bom hotel, proximo de tudo. recepcionistas muito gentis. quarto espacoso. so tive um problema com o lencol de cobrir - estava com uma mancha que parecia sangue que nao saiu direito na lavagem, mas logo que pedi a troca, foi feita."
dez. de 2022,3,Hotel que necessita de atualização,"tomadas ainda fora do padrão e não disponibilidade de adaptadores, quando desci para para ver se havia algum local perto para comprar vi que estavam vendendo na recepção. ai depois me ofereceram um outro quarto e 15 minutos depois conseguiram um adaptador. Não ter academia disponível tb é muito ruim."
dez. de 2022,5,Excelente opção!,"Hotel muito bom, pela região é um excelente custo/benefício! Quarto limpo, cama boa, chuveiro bom! Cortinas ótimas. Café da manhã muito satisfatório. Única crítica é que estavam sem mensageiro, nós mesmos que tivemos que subir e depois descer as malas, e no check in havia apenas uma atendente, muito prestativa, mas era notável a necessidade de outro funcionário ali."
dez. de 2022,5,Minha segunda casa em SP,"Atendimento e hospedagem impecáveis. Tudo muito linpo, confortável e organizado. Funcionários super gentis e educados. Perfeito! Sempre dou prioridade para me hospedar aqui quando preciso ficar em SP."
nov. de 2022,4,Excelente custo beneficio,"Quarto limpo, confortável, com frigobar. Café da manhã é bom, mas pode melhorar comparado com outros hotéis da mesma categoria. Atendimento eficiente dos funcionários. Destaco a pessoa do Sr. Alves no bar do hotel. Agradecemos pelos petiscos."
nov. de 2022,5,Perfeito,"O hotel meu surpreendeu, super bem localizado na área comercial da cidade de São Paulo, equipe super atenciosa e extremamente organizados. Única crítica seria sobre a iluminação nos quartos, fora isso é perfeito."
nov. de 2022,2,Problemas no checkin e em solicitações para o quarto,"Realizei a reserva com antecedência no site do próprio hotel e quando cheguei não encontravam, funcionário não estava treinado para lidar com a situação, ficou nitidamente nervoso, demorou muito sem nos dar qualquer explicação e somente conseguiu resolver depois de solicitar auxilio a outro funcionário mais experiente.  Entrei em contato 2 dias antes solicitando disponibilizar um espumante no quarto para comemoração de aniversário de casamento, ficaram de confirmar por email, porém não tive retorno.  No dia do checkin entrei em contato novamente para verificar a questão do espumante e fui informado que não poderiam fazer nada porque tinha que solicitar com antecedência de 2 dias e eu estava solicitando no mesmo dia, sendo que entrei em contato dentro do prazo. Problema não foi solucionado.  Banheiro muito antigo, quarto OK, porém não vale o valor pago pela diária."
nov. de 2022,2,Valor pago não corresponde ao serviço prestado,"Café da manhã com poucas opções, não fazem um simples omelete. Se precisar de taças ou copos você tem que pagar para usar. Em meu último dia de estadia não arrumaram meu quarto e não retiraram lixo nem trocaram as toalhas eu quem tive que solicitar esses serviços."
out. de 2022,3,Não vale o que cobram,"Hotel carece de reformas, quartos com aparência de velho, armários com cheiro ruim, banheiros mal higienizados, antigos, travesseiros fedem. Iluminação do quarto muito escura, isso quando funciona os abajures. O condicionador de ar funciona bem."
