Data da opinião,Nota,Título,Conteúdo
dez. de 2022,4,Surpresa,"Frequento há muitos anos este hotel, gosto pois é prático e bem localizado. Desta última vez me surpreendi ao solicitar um jantar no quarto, pedi que este fosse acompanhado de 2 taças. O restaurante informou que cobraria taxa de rolha pelo empréstimo. Desagradável a atitude. Outro ponto que me incomoda e já reclamei outras vezes: cortinas, que não dão conforto visual, mas, prometem e não melhoram."
dez. de 2022,5,Evento - atendimento excelente!!!,Fizemos um evento para nossos franqueados no hotel e o atendimento foi excepcional! Tanto na organização quanto durante fomos muito bem atendidos. A equipe toda foi muito gentil e atenciosa. Só temos a agradecer!
nov. de 2022,5,Excelência no atendimento,Atendimento excelente …. Sempre supera nossas expectativas. Obrigada a toda Equipe Radissom Em breve voltaremos para realização de nosso evento e hospedagem Café da manhã maravilhoso Localização privilegiada …. Equipe nota 1000 ……..
nov. de 2022,5,Atendimento excepcional!,"Tivemos um evento de um cliente no Radisson e fomos extremamente bem atendidos desde a recepção ao suporte para o evento, passando pela hospedagem e buffet. Recomendo fortemente aproveitar todos os serviços oferecidos pelo hotel."
out. de 2022,1,"Internet horrível, barulho e descaso com hóspede","Sem internet, barulho de obra, e zero disposição pra ajudar. Experiência horrível de verdade. Cheguei numa sexta às 5h da manhã, ja com erro na reserva ja que pedi cama de casal e fui pra um com cama de dois solteiros. Até aí tudo bem, podia ser erro do app de reserva. Mas nada podia ser feito segundo a simpática atendente. Pelo horário, e como tinha que trabalhar do hotel, decidi acordar mais tarde e não tomar café da manhã embaixo. Surpreendentemente, às 9h fui acordado com um barulho de furadeira e martelos no quinto andar (eu estava no segundo). E não parava. Eu tinha ja reunião de manhã. Liguei uma vez, me explicaram, ofereceram co working a partir de 13h30, ou tentariam me mudar de andar me dando upgrade. Isso era 10h30 da manhã. Vinicius, o mais legal dos atendentes,…"
set. de 2022,5,Apoio em reunião - Hotel Radisson,"Atendimento: Júnior/Sidiney, nos recepcionaram super bem, atencioso, ágio. Refeição Badebec - almoço sensacional baby bife e o risoto, coffee brack também. Lucas da parte técnica super atencioso e não tivemos nenhum problema na técnica."
set. de 2022,5,Excursão,"Hotel com excelente atendimento ,ambiente maravilhoso.bem localizado.não deixa nada a desejar.um café da manhã perfeito.acomodação maravilhosa.e comida Nosa que delicia.eu fiquei encantada 😍 tudo muito limpo e cheiroso"
set. de 2022,5,Super indico,"Tive uma excelente estadia no Radisson. Mto bem localizado, funcionários atenciosos e dedicados. Bom café da manhã, quartos confortáveis e arejados. Limpo e bem cuidado. Está localizado Entre a Consolação e Oscar Freire. Voltarei com certeza"
set. de 2022,5,Excepcional!!,"Me hospedei nesse mês de setembro e foi tudo ótimo! Instalações maravilhosas, café da manhã divino! Tudo muito limpo e organizado! Funcionários super educados. A academia é ótima! Piscina aquecida ! Wi-Fi de qualidade."
set. de 2022,5,Atendimento e localização espetaculares,"Quartos renovados no coração dos Jardins, com dezenas de restaurantes próximos. Estava a trabalho por uns dias depois minha esposa se uniu a mim na suíte business. Quarto amplo, varanda deliciosa para tomar um cafezinho e apreciar a vista. O staff é muito preparado e educado. Recomendo e voltarei."
ago. de 2022,1,Descaso e negligência.,"Neste momento, encontro- me na recepção do Hotel Radisson Oscar Freire aguardando a limpeza e a arrumação do apartamento em que estou hospedado. Às 17h, a camareira bateu à porta para realizar o serviço, mas expliquei que naquele momento o meu filho estava descansando. Pedi que ela voltasse às 18h. Saí às 18h30 e solicitei ao recepcionista que providenciasse a arrumação, inclusive com a troca da roupa de cama. Quando retornei, por volta das 20h45, o apartamento ainda não havia sido arrumado. Reiterei o pedido de arrumação na recepção e insisti na troca da roupa de cana. Às 21h o apartamento foi arrumado, contudo, sem a substituição dos lençóis e sem a reposição das toalhas. Agora são 21h36 e ainda encontro-me aguardando a realização do serviço. Uma observação: o apartamento…"
ago. de 2022,5,Evento realizado em Radisson Oscar Freire,"Desde o primeiro contato o hotel foi muito solicito, principalmente o atendimento do Junior do setor de eventos. Durante todo o evento, todas as nossas demandas foram sanadas, e sempre com muita educação e rapidez. Obrigada por todo a apoio Junior."
jul. de 2022,4,Custo benefício não compensa,"O hotel tem excelente localização, acomodação razoável, não Excelente. O custo benefício não vale a pena, o preço da diária é alto em relação ao que hotel oferece. Em São Paulo tem outras opções com preço quase pela metade. E com serviço e acomodações igual ou melhor"
jul. de 2022,5,Pratos e Atendimento,"Atendimento incrível, atenção nota Mil, pratos excelentes, música do restaurante muito boa, garçons super gente boa, e super atencioso ao cliente, atendimento e chegada do pedidos foram bem rápido e cliente muito bem recebido. Principalmente o pessoal do turno da noite, Sidnei, Juarez, João Vitor e o Supervisor Ângelo"
jun. de 2022,4,Custo benefício excelente.,A localização é perfeita. O atendimento da recepção é perfeito. A localização é única. Quartos amplos e confortáveis. Tanto para lazer como para trabalho. Pecou pelo serviço de quarto pois simplesmente não houve em que pese eu ter reclamado.
jun. de 2022,5,Um bom local nos jardins!!!,O hotel atendeu todas minhas expectativas. Desde a localização como pela gentileza de seus funcionários. Muito bom café da manhã. O Tamanho do qto excelente e camas confortáveis. Só o chuveiro que achei um pouco fraco e os produtos de higiene não gostei.
jun. de 2022,5,Atendimento,"Ótimo atendimento, funcionários competente , boa recepção, restaurante com ótima variação de comida e sobremesas . Os quartos são grandes e bem arrumado. O hotel oferece todo o conforto necessário para fazer um fim de semana com a família"
jun. de 2022,5,Excelente localização e equipe muito prestativa,"Localização execelente. O quarto é confortável, cama e lençóis macios e cheirinho de lavado, chuveiro quente e de ótimo volume. A cozinha compacta tem tudo o que é preciso, inclusive a chaleira elétrica, que fez a diferença nestes dias frios. Café da manhã, muito bom, variado com aquele ovo mexido de hotel no ponto, inclusive sem sal para cada um calibrar o tempero. Equipe de atendimento muito prestativa e atenta. Vale o valor da tarifa."
jun. de 2022,4,Boa opção na região badalada da Oscar Freire!,"Check-in rápido. Equipe atenciosa. Lobby confortável. Quarto grande, silencioso, com boas amenidades e bela vista. Cama confortável. Banheiro funcional, chuveiro forte com temperatura estável. Café da manhã variado mas não chamou atenção. Único problema que tivemos foi o cobertor embalado ainda úmido, com cheiro ruim. Pedimos pra trocar antes de dormir mas não fomos atendidos, inaceitável para um hotel desse nível."
jun. de 2022,5,Excelente,"Sugestão de melhora no café da manhã, colocando mais opções: por exemplo, colocando uma maior variedade de carne, massas e de frutas da estação. Uma outra sugestão seria diminuição de sal na carne e peixe."
jun. de 2022,5,"recepção incrível, quarto perfeito....hotel impecável","Foi a melhor escolha de ter ficado no hotel....localização perfeita, fora o atendimento perfeito, recepção todos super educados e atenciosos, quarto perfeito....parabéns vale muito a pena ter se hospedado"
jun. de 2022,4,Quarto KIDS incrível,"Excelente opção perto do aeroporto internacional e o quarto kids é sensacional.    Infelizmente, a experiência não ficou excelente devido a uma enorme fila no check in e também no café da manhã, onde faltava comida e o serviço de omelete/tapioca demorava bastante. O hotel tinha um evento corporativo e não se preparou adequadamente para o aumento de fluxo de pessoas nestes serviços."
jun. de 2022,5,Tudo excelente.,"Me hospedei neste hotel no final de semana do dia dos namorados. Tudo se saiu da melhor maneira possível. Equipe extremamente atenciosa e café da manhã muito bom. A localização, talvez, é a melhor de São Paulo. Recomendo fortemente a todos."
abr. de 2022,3,Cuidado com as fotos,"As fotos enganam. O hotel é antigo, se coloca como de luxo, mas está longe disso… É simples.    Staff não é muito atencioso, sentimos um pouco de má vontade no atendimento com hóspedes. Chegamos 19h para o check in e chegaram a ventilar que sequer o quarto estaria pronto… bastante desorganização.    A localização é boa e o café da manhã também. Ficamos em um quarto espaçoso, o que era bom."
mar. de 2022,1,"Decadência, triste constatação.","Este hotel já teve seus dias de glória. Hoje é velho e decadente, com sofrível serviço. O café da manhã é tumultuado e mal gerenciado. Dos três elevadores, só um funciona. Nos horários de pico, prepare-se para subir e descer as escadarias. Serviço de quarto só com muita insistência. Enfim, merece fechar para uma reforma geral."
fev. de 2022,5,Hospedagem incrível,"Fiquei hospedado durante 5 dias, e estou extremamente satisfeito, o hotel conseguiu suprir com todas as minhas necessidades, o café da manhã é excelente, ótimo atendimento na recepção, principalmente do recepcionista Vinícius que foi super atencioso e educado, me indicou lugares para conhecer em São Paulo, e acredito que isso faz a diferença na hospedagem."
fev. de 2022,5,Bem localizado e restaurante muito bom,"Adoramos conhecer o Radisson e tem alguns motivos especiais na qual iremos continuar frequentado, a localização é excelente, ao lado de muitos restaurantes e lojas, muito bom para um passeio ou mesmo uso do metro.    O staff fez a diferença, a recepção em especial, mas, o café da manhã e a gastronomia do restaurante que fica dentro do hotel nos surpreendeu, foi o local mais efetivamente seguro nos protocolos que já estivemos em São Paulo com serviço de buffet sem contato, comida e café da manhã perfeito e bem delicado, valores justos e tudo de bom gosto.    Voltaremos em breve especialmente por este quesito, qualidade do restaurante ."
