Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,otimo,"Adorável estadia, ótimo staff gentis e atenciosos, amei mais uma vez poder estar ai com vocês, piscina grande lugar tranquilo e muito limpo comida deliciosa, sempre bem atendida do inicio da reserva ate fim da estadia, super recomendo."
ago. de 2022,5,Excelente hotel,"Fiquei hospedada em julho e foi uma estadia maravilhosa. O café da manhã é muito bom, os doces são deliciosos. A cama muito confortável, quarto espaçoso, há roupões e o secador de cabelos é profissional (pra quem usa secador, sabe o quanto isso é importante). Também tem tábua de passar e um excelente ferro. Não há ducha higiênica, acho que é uma coisa que o hotel poderia providenciar. A academia é bem equipada e há uma piscina que não cheguei a usar. Os funcionários são super educados e simpáticos. O senhor da recepção (loiro de óculos) é extremamente gentil. Serviço de quarto 24h. O bairro é bem tranquilo. Shopping Pátio Higienópolis bem pertinho e estação de metrô (linha amarela - Higienópolis Mackenzie) também bem perto. Adorei minha estadia."
dez. de 2022,1,Casamento,Pessimo servico. Acabei de chegar. Tive que pagar uma taxa para early checkin. Porém a chave não funciona fiquei rodando no elevador em todos os andares sem conseguir entrar no quarto já fui na recepção duas vezes e a chave não funciona. Somente um funcionário na recepção e uma fila enorme para fazer check-in check-out
out. de 2022,2,Necessita de renovação,"Fiquei nesse hotel por duas noites. Excelente localização, quarto amplo e confortável; funcionários atenciosos e gentis. No entanto, o quarto em que fiquei necessita urgentemente de uma renovação. Não há tomadas USB; decoração nitidamente antiga. Banheiro antigo, o que se percebe pelas paredes, metais etc. Necessita urgentemente ser renovado."
out. de 2022,3,Conforto médio,"Hotel médio, infelizmente após a pandemia os preços subiram muito e o que é oferecido não é excepcional. As camas são confortáveis, os quartos tem tamanho bom, banheiros pequenos, roupa de cama e toalhas boas. Ponto muito negativo: não tem ducha higiênica. Atendimento médio."
jun. de 2022,3,Não vale quanto cobra,"Segunda vez que me hospedo neste hotel. Havia ficado nele em 2018, quando pertencia à rede Trip. Considero que é um hotel que cobra mais do que oferece. Só ficaria hospedada aqui novamente se realmente quisesse MUITO ficar nesta localização. Caso contrário, há muitas opões mais justas em Pinheiros ou Jardins.  No check-in, ficamos 30 minutos esperando numa fila até sermos atendidos, boa parte deste tempo a recepção ficou vazia, sem nenhum funcionário; aparentemente eles estavam com problemas de organização do trabalho e deixaram os hóspedes esperando, enquanto se reuniam. O banheiro é bem apertado e não tem ducha higiênica. Toalhas e roupa de cama e colchão são muito bons, mas os travesseiros são de qualidade duvidosa e não há muitas opções de altura de travesseiro (todos muito altos). O restaurante onde é servido o café da manhã é pequeno para o volume de hóspedes e na hora de pico não há mesas para todos. Qualidade dos produtos servidos no café da manhã é boa, mas não é espetacular (tudo é razoável, os sucos são todos artificiais, a padaria é bem mais ou menos); poderia melhorar. Fiquei no hotel porque tinha um evento a 400 metros do local, o que justificou a escolha do hotel."
fev. de 2022,5,Um carnaval diferente,"Procurei o hotel com o intuito de descansar no feriadão que deveria ser super agitado. A hospedagem foi MARA, desde o check in a todo o atendimento. O Café da manhã sem dúvida é um dos melhores que já vi, tem muita variedade, opções para todos os gostos. A Piscina é ótima para dias quentes como os que eu tive a sorte de aproveitar. Enfim, agradeço muito a equipe do Higienópolis by melia por toda a hospitalidade."
jan. de 2022,5,Estada maravilhosa!!!,"Ficamos muito felizes com a hospedagem no hotel Tryp Higienopolis, sobretudo pela cordialidade dos colaboradores e limpeza de todos ambientes. Também conta com um bom café da manhã. A localização é excelente, saiamos para caminhar no bairro, onde conhecemos o parque Buenos Aires e a praça Vialboim, ainda bem próximo tem um shopping com um ótimo mercado. Precisamos antecipar o retorno em um dia e fomos surpreendidos com a NÃO cobrança daquela diária. Recomendo a hospedagem no Tryp Higienópolis"
jan. de 2022,3,experiência no hotel registro,esperava mais de um hotel padrão Meliá (nada igual a experiência anterior que tivemos no jardins e no de moema bem abaixo a experiência)    aspectos positivos :  quarto ótimo (pegamos uma categoria acima do padrão) quarto com sacada  localização excelente  pessoal atencioso    aspectos negativos:  piscina não corresponde a foto da divulgação que da impressão de ser maior e nada convidativa  não oferecem business center tentei usar computador para fazer alteração na minha passagem e não tem este serviço  restaurante pequeno com  cardápio restrito  não tem bar ou outro local para descontrair  lobby pequeno    viemos passar ano novo e por azar pegamos tempo chuvoso e quando abria sol tentamos usar a piscina e na ocasião tinha dois cachorros soltos na área (hotel e pet friendly) e não conseguimos acesso  aí a experiência se reduziu a ficar no quarto    o hotel e bem legal para épocas onde as atrações estão abertas e para negócios  em épocas tipo ano novo fica restrito ao quarto se pegar chuva pq as instalações não ofertam alternativas
dez. de 2021,5,Nossa primeira opção em São Paulo sempre!,"Muito atenciosos. Amamos a experiência nesse hotel. Os quartos são confortáveis e muito limpos. Nos sentimos muito bem com toda a higienização que fazem para preparar o quarto antes de fazermos o check-in. O berço também é muito confortável, um plus para o nosso bebe."
dez. de 2021,4,Excelente para passear pelas redondezas .,"A unica coisa que estragou minha hospedagem foi o recepcionista daquele dia que foi muito grosso e desinteressado em explicar as instalaçoes do hotel ,so falava em pre autorizaçao , pre autorizaçao , pre autorizaçao , muito despreparado e sem paciencia NENHUMA !!! No mais tudo bom ... apto OK . piscina otima , cafe legal ."
