Data da opinião,Nota,Título,Conteúdo
dez. de 2022,1,Horrível,"Hotel com público alternativo, barulhento, alta rotatividade de pessoas, sem controle algum. Por ter um Club Lounge no Rooftop, a frequência de garotas de programa é altíssimo. Corredores com frequência de pessoas constantes, portas barulhentas, quartos minúsculos e acústica dos quartos horrível, parecia que o vizinho de quarto estava dentro do meu🤦🏼‍♀️ Localização boa em termos, pois para ir à pé a qualquer lugar é perigoso. Existem propostas muito melhores na proximidade Análise bem antes,...."
set. de 2022,2,Hotel bem razoável,"Único ponto forte a meu ver é a localização, pois no restante é bem abaixo da média em consideração ao preço cobrado. Quartos minúsculos e péssimo atendimento tanto na recepção quanto no serviço de quarto. Pedimos 02 garrafas de água e demoraram mais de 1 hora pra levar, detalhe na recepção não tinha água, ficamos a mercê do restaurante."
set. de 2022,3,Vale pela localização.,O ponto alto do hotel é a localização e a cortesia de todos os colaboradores! O restaurante que fica no terraço do hotel é top. Todavia o quarto é minúsculo e as toalhas de banho mais parecem panos de chão. Sério tem que trocar todas. O café da manhã é razoável.
set. de 2022,1,Aniversário,Gerente Marcos e sua equipe totalmente despreparado. Atendendo super Mecanico. Chegamos as 8:00 da manhã sabendo que minha esposa fazendo aniversário não fez qualquer questão de atender o cheirinho as 15:00 horas quarto pequeno abaixo do reservado. Total com péssimo atendimento. Muito preço e pouco atendimento. Staff fraco. Insensível ao cliente. Não volto mais e não indico. São Paulo tem uma gama de hotéis pelo Airbnb. Pesquise e ara não se decepcionar !
set. de 2022,5,Ótimo acolhimento e atenção!,"O Hotel é excelente, próximo da avenida paulista e principais eventos da cidade e a coordenadora de reservas Nelly é ótima. Tudo que foi pedido a Nelly atendeu prontamente, sempre entrando em contato. Parabéns!"
ago. de 2022,3,bem localizados mas com alguns poréns,"Ficamos no hotel pois minha esposa tinha um evento no centro de convenções rebouças; o hotel é muito bem localizado, recepção bacana e um ótimo restaurante mas vale frisar alguns detalhes: tenho 1,93m e o hotel é daquele estilo de quartos apertados e camas pequenas; o serviço de quarto demora muito (arrumaram nosso quarto as 16h e ainda esquecerem de trocar toalha (tivemos que esperar uns 20-30 min) e só deixaram 1 cobertor (bem fino para SP); a estrutura do quarto deixa a desejar ... já na primeira noite o secador do quarto quebrou e tivemos que solicitar um outro; avisaram na nossa chegada que o café da manhã ia até as 10:30 e foi (literalmente); no horário em ponto nos avisaram que estavam tirando as comidas do buffet para nosso espanto (e também de outros hóspedes)"
ago. de 2022,2,Decepcionante,"Sou lojista, venho com frequência a SP e Já fiquei algumas vezes(umas 8 ou 9x) neste hotel mas garanto que esta é a última.  Primeiro nos colocaram num quarto minúsculo com camas separadas. Foi exigido um “upgrade” de aproximadamente 650 reais para um quarto maior.  Um desastre. Os 650 reais mais caros do mundo.  O espaço do Box do banheiro estava mofado. A limpeza deixava a desejar. A ducha higiênica não funcionava. O piso do quarto afundava em algumas áreas onde andávamos. O barulho da boate no rooftop não deixa ngm dormir. Pedi pra trocar os lençóis, não foi acatado. No último dia, nem toalhas deixaram, chegamos às 23:30 de um jantar e tivemos de esperar que trouxessem.  Uma pena. O hotel despencou de qualidade. NÃO RECOMENDO."
ago. de 2022,4,Muito bom,"Hotel novo , funcionários solícitos .  Quarto pequeno, banheiro pequeno , mas tudo novinho e limpinho .  Pra quem terá algum evento no centro de eventos Rebouças, da pra ir a pé  Fica uma quadra da Oscar freire  Tem metro pertinho  Localização excelente"
ago. de 2022,5,Evento Corporativo no WZ Jardins,"Realizamos um evento corporativo no WZ Jardins e foi simplesmenta maravilhoso, todo o atendimento, estadia, educação dos colaboradores e tivemos uma surpresa por parte do hotel. Em breve estaremos de volta com outros eventos corporativos. Sucesso a todo o time WZ"
jul. de 2022,1,Gerente despreparado,"Sempre que viajamos deixamos nossas roupas sujas em uma sacola, embaixo da pia do banheiro. A camareira confundiu e colocou no lixo. Ficamos 4 dias esperando uma posição do hotel, hoje recebi um ligação do ‘gerente’, dizendo que não se responsabiliza pelo ocorrido e que eu estaria acusando o hotel de roubo. Esperava muito mais de um hotel dessa bandeira, decepcionante. E o banheiro fede a esgoto e as torneiras do chuveiro caem. Os colaboradores são educados e solícitos, o ‘gerente’, estúpido e despreparado, com certeza tem opções muito mais seguras nessa região"
