Data da opinião,Nota,Título,Conteúdo
dez. de 2022,3,Razoável e barato para família,"Este hotel é bem localizado, ele é perto de diversos pontos turísticos e de entretenimento. O preço não é alto e o café da manhã tem muitas opções, excelente! O tamanho dos quartos é bom. As camas são do tipo padrão (para pessoas grandes como eu, confesso que é desconfortável) Reparei que a pia do banheiro está com dois remendos devido a rachaduras/quebraduras aparentes. No geral a decoração e arquitetura do hotel é antiga. Todos os quatro elevadores funcionam bem, dentro do elevador tem um bom sistema de segurança, porém o trajeto dele é lento! A piscina é aquecida e tem um tamanho ok, porém há poucas boias e pouquíssimas cadeiras. Tem academia, porém alguns esquipamentos carecem de manutenção. Solicitei taças e um abridor para vinho, porém infelizmente não fui atendido, esse…"
dez. de 2022,3,Atendimento péssimo no Day Use,"Quando um hotel se propõe a ter Dayuse deveria dar exatamente o mesmo tratamento que dão hóspedes que pernoitam. Fomos mal atendidos, checkin extremamente mau humorado e não cordial (Claudinei). Quando solicitamos room service a experiência também foi péssima. A estrutura do hotel e quarto estava ok."
nov. de 2022,4,Escolha acertada,"Hotel com quarto espaçoso. Dormitório, ante-sala e banheiro separados por portas, o que permite alguma privacidade . Tem mini copa ( geladeira e microondas). A TV é giratória e serve para os 2 ambientes. Cama e chuveiros bons. Funcionários atenciosos. O café da manhã é bom e variado, mas os bolos não são bons. Não têm boa textura e são sem gosto. O hotel fica numa área valorizada e próxima da Rua Oscar Freire, porem fica numa subida. Para chegar ou sair a pé tem que estar bem fisicamente. Já fiquei outras vezes, pelos motivos positivos citados e por ter um bom custo-beneficio."
nov. de 2022,4,Ainda tenho mais 8 dias. Farei outra ao sair. Aloysio,"Staff é muito bom, gentil mas a pandemia fez uma rotação muito grande. Dependências são muito boas e academia ficou muito boa. Sugestões ~ Academia tem equipamentos muito antigos. O que sinto falta são os rolos para desestressar as costas e pernas. Venho ao hotel 3-4 vezes por ano e fico entre 5-7 dias neste hotel e 40 dias no ano no total de Mercure em Brasil. Aloysio A nota é 9, não dou 10 porque sempre podemos melhorar ."
nov. de 2022,5,Atendimento impecável,"Primeira vez neste hotel. Sempre nos hospedamos nos Mercure próximos à Av. Paulista, mas optamos por esta localização por causa de um show no Allianz Parque. Serviço excelente, conforto no quarto, TV telão, silêncio, atendimento impecável. Fizeram de tudo para que nos sentíssemos especiais nesta hospedagem. A comida do restaurante é fenomenal. Estão modernizando o hotel, o que acredito que o tornará ainda melhor."
set. de 2022,5,Excelente,"Localização do hotel excelente, fácil acesso a diversos pontos da cidade, recepção simpática.  Café da manhã poucas opções e alguns funcionários grossos, pedi uma tapioca cansei de esperar e fui embora, fora isso tudo certo o hotel é excelente, quarto confortável."
ago. de 2022,4,"Satisfeito, porém com ressalvas","O espaço e as instalações são muito bons, porém há detalhes na conservação do apartamento, como espaços entre o gesso (gretas na sanca) e as paredes. Também houve o problema de locar um quarto para casal com dois ocupantes e encontrar apenas uma única cadeira e uma só mesa de cabeceira. Fica a sugestão de se estender o horário café da manhã aos sábados e domingos e disponibilizar toalhas de papel para uso na mini cozinha. Uma cafeteira também seria muito bem vinda, mesmo cobrado o consumo de cápsulas, sachés ou café em refil."
jul. de 2022,2,ruim,"minha avaliação não foi boa, pois os lençóis saiam do colchão todas as noites, o banheiro com o box com aparência de sujo e iluminação horrível no quarto . confesso que não foi uma boa experiência e não gostaria de retornar a este hotel. acho que ele caiu muito a qualidade."
jul. de 2022,2,Piorou muito,"O atendimento já é ruim na hora que vc faz o checkin on line, com documentos escaneados d tudo, chega na recepção e não adianta nada, pedem tudo novamente…  Outra coisa bem ruim nos quartos é não ter mesa de cabeceira bilateral. Apenas uma pessoa do casal pode colocar celular, remédios ou água do lado da cama, o outro se vira, coloca no chão ou levanta pra buscar em outro lugar. Ridículo.  MAs o pior dos piores foi pedir papel higiênico a noite e obter como resposta que a governança foi embora, então não conseguiam trazer PAPEL HIGIÊNICO!!! Depois de mais de 2h, e 2 telefonemas depois, conseguiram trazer"
jun. de 2022,3,Boa localização e café da manhã somente!!! Check in péssimo! Atendimento demorado!!! Sem condições de indicar p/famílias,"Boa localização e café somente! Check in 1 hr para nos hospedar! atendimento nada acolhedor , reservamos quarto família e foi adaptado! Criança chegou com doce para comer no restaurante e foi impedida por não ter comprado no hotel 😩 Não recomendo para famílias!!!"
jun. de 2022,1,Horrível,"Decepção é pouco. Este hotel não deveria ter nenhuma estrela e a diária valer no máximo 100 reais. Quarto super simples, frio, sem aquecedor, black-out horrível, pedi um cobertor e me mandaram um cobertor velho fora de qualquer embalagem. O banheiro foi o pior. Uma vergonha!!! Tudo embolorado. Enfim, nunca mais. Não recomendo pra ninguém."
jun. de 2022,3,Precisando de reformas,"Hotel caiu um pouco desde a última estadia que foi há vários anos. Funcionários poderiam ser mais simpáticos e o quarto em que me hospedei estava precisando de uma reforma. Luz do teto não ascendia, banheiro com chão tendo piso riscado. Café da manhã qualidade mediana."
