Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Melhor experiência!,"Ótimo atendimento, desde a recepção ao serviço de quarto! Quarto aconchegante e limpo, café da manhã maravilhoso, garçons atenciosos e super educados, amamos a experiência, com toda certeza iremos retornar."
out. de 2022,5,Tradição de excelência que se mantém,"Hotel perfeito: instalações novas, equipe de colaboradores super competente, gentis e prestativos. Hotel com ótima localização, decoração fantástica. Café da manhã maravilhoso com várias opções para todos os gostos e exigências."
dez. de 2022,5,Viagem a passeio,"Hotel super gostoso, muitoooo limpo, equipe atenciosa, serviço de quarto rápido e gostoso! Queremos voltar para usar a piscina que não deu tempo. A cama é maravilhosa, quarto bom. Enfim, voltaremos com certeza!!!!"
dez. de 2022,5,Excelente Estadia,"O Atendimento é impecável, uma equipe de primeira num hotel muito acima do que já frequentamos em São Paulo! Nós moramos nessa cidade lotada de oportunidades para uma comemoração, o L`Hotel sem duvida é um lugar para se conhecer para os apaixonados!"
dez. de 2022,3,Esperava mais,"O Hotel é confortável, com uma cama grande, lençois 400 fios e travesseiros de plumas, kit de banho L'Occitane, toalhas grandes e macias... Porém a tv funcionava precariamente. O hotel informou que está alterando o sistema da TV, mas a minha desligava a cada 5 minutos. Não havia chinelo. Minha reserva foi realizada na data errada, precisei esperar um tempo enorme na recepção até liberarem o quarto. Atrasou a liberação do entregador. A chave do quarto desmagnetiza com muita facilidade se deixada próximo ao celular. Mensageiros do hotel com má vontade para carregar malas e outros pertences, repassando ao cliente a responsabilidade do transporte da bagagem. Equipe de eventos também deixou a desejar no organização."
dez. de 2022,5,Aniversário de Casamento,"Hotel de excelente localização, aconchegante e extremamente confortável. O bom atendimento de todos os funcionários é o ponto mais forte do L’Hotel. O café da manhã é simplesmente maravilhoso com uma grande variedade de alimentos frescos e atendimento perfeito!"
dez. de 2022,4,Maravilhoso,"Ótimo hotel só que eu não consegui dormir por caso da reforma. Café da manhã muito bom e o quarto limpo. Tudo mundo bem atencioso, ajuda com tudo pra passar um ótimo tempo. Obrigado por momento maravilhoso"
nov. de 2022,5,Atendimento e acolhimento ao cliente impecável,"Atendimento ao cliente impecável. Tive um  Problema de saúde de última hora e solicitei cancelamento, mesmo não tendo direito e fui extremamente bem atendido pela colaboradora Rafaela Rozinelli, setor de reservas. Ela entendeu meu caso com solicitação de documentos e fez o cancelamento de forma educada e com extrema empatia a minha situação . Mais gestos como esse em nossos servicos prestados. Estão de parabéns. Obrigado"
nov. de 2022,5,"Encontro do conforto, do atendimento diferenciado e da tranquilidade em um unico local.","Se você procura um hotel que te traga uma ótima experiencia, muito bem localizado, escolha o L'Hotel. A equipe inteira do é muito atenciosa e voltada para que o hóspede se sinta acolhido. O café é de primeira qualidade."
nov. de 2022,5,Hotel atento a detalhes,"Saliento a qualidade do atendimento da equipe. Todos muito educados e preocupados em atender a expectativa do hóspede. Uma equipe de fato atenta a detalhes, prestando um serviço pessoal/humanizado. Além do mais, a localização é excelente!"
nov. de 2022,5,Meu hotel preferido em São Paulo,"Normalmente quando em São Paulo, nas reuniões que fazemos na Abrac - Associação Brasileira das Concessionárias Chevrolet, nos hospedamos neste Hotel. Além de um excelente atendimento, um fantástico Café da Manhã, instalações impecáveis e ótima localização, um ambiente agradável, faz da minha estadia uma experiência a ser repetida com frequência."
nov. de 2022,5,Pure Brasil,"Ver meus comentários a respeito dos quartos. Fiquei hospedada no Executivo, e por mais que seja uma categoria baixa acho que faltaram cuidados com o quarto. São detalhes que tornam a estadia mais confortável, ainda mais por se tratar de um hotel 4 estrelas."
nov. de 2022,5,O melhor!,"A equipe é sensacional. Eles cuidam de vc em toda a estadia.Quarto impecável! Café da manhã espetacular. Com certeza um dos melhores hotéis de São Paulo!Localizado em região perfeita, praticamente na Paulista. Vale a pena um investimento maior para ficar hospedado no LHOTEL."
nov. de 2022,4,Fórmula 1 no Porto Bay,"Hotel extremamente limpo e cheiroso. Atendimento dos funcionários é irretocável. Parabéns pela equipe. Café da manhã incrível. Impossível não repetir os OVOS BENEDICT! Academia é um pouco pequena, porém bem limpa e com disponibilidade de toalhas e água. Em questão de localização o hotel é perfeito tb, valendo a pena acordar cedo no Domingo para dar aquela caminhada na Paulista. Além disso encontra-se a poucos metros de farmácias e também possui um shopping ao lado."
nov. de 2022,4,Precisa melhorar,"Manutenção com cuidado mais minucioso aos detalhes, atendimento um pouco mais atencioso, pequenos detalhes cativam o hóspede, perguntei se o champanhe do café estava gelado e aberto, falaram q podia abrir, perguntei se tinha canela no café, e simplesmente falaram que não. Falei na portaria que a balança do quarto estava sem pilha e nada foi feito"
out. de 2022,4,Um bom hotel 4 estrelas.,"Hotel bom, acho que está precisando de uma atualização nos quartos. São antigos, mas espaçosos e bem cuidados. O atendimento e muito bom, o staff sempre muito prestativo e atencioso. Tem todas as comodidades de um 4 estrelas, infelizmente, e não é culpa do hotel, a região da Paulista está muito degradada. O café da manhã é excelente."
out. de 2022,4,Ótimo Hotel!,"Gosto muito do L'Hotel.Já fiquei nele várias vezes.  Desta vez tivemos um problema, o Hotel está em obras e o barulho foi muito desagradável!  Acho que deveriam avisar os Hóspedes no momento da reserva!"
out. de 2022,5,Maravilhoso,"Me hospedei um tempo curto mas foi o suficiente para uma hospedagem virar uma experiência! Tudo perfeito desde o check in até o checkout! Quarto, restaurante, os funcionários todos super simpáticos, solícitos e acolhedores! Espero voltar em breve para passar um período e maior! 🥰"
out. de 2022,5,Hotel confortável e recepção amigavel,"A equipe é muito preparada, o hotel bastante limpo e os quartos muito bons. A localização tb eh excelente e tem acesso a diversos locais na região da Paulista. Os detalhes no quarto, como chinelos, roupões e mimos em geral valem a visita"
