Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Estadia para Conhecer São Paulo,"Excelente hotel para ficar hospedado próximo ao centro de São Paulo. Cama bem macia e confortável. Café da manhã razoável, com poucas opções, oferece piscina, mas não é aquecida e academia. Possui estacionamento para deixar o carro durante a estadia."
dez. de 2022,2,Um quatro estrelas que vale por uma apenas,"Experiência desastrosa no hotel Mercure Vila Olimpia. A cada vez que volto lá saio mais decepcionada com o serviço e as instalações. Como um hotel desses pode ser classificado como 4 estrelas?Tudo foi ruim: atendimento na recepção, no restaurante, toalhas de péssima qualidade e surradas, serviço de limpeza de quarto péssimo. Tudo foi ruim"
dez. de 2022,5,Excelente hotel numa excelente área,"Excelente acomodações, o staff é excelente, fui atendido pelo Sr. EDSON, que me fez sentir em casa! Todos os apartamentos que já fiquei nesse hotel são excelentes! O restaurante é café dentro do hotel São de excelente qualidade, com DJ e uma música também de bom gosto!"
nov. de 2022,2,"Padrão Mercure, mas com um porém bem grande no meu caso...","O hotel tem o padrão Mercure, quarto bom, cama boa, chuveiro bom, ar condicionado bom, isolamento acústico bom, café bom. O que me decepcionou bastante foi que cheguei por volta das 23h e meu check in demorou por volta de 1h porque o sistema que fiz a reserva (123milhas) não comunicou corretamente com o sistema do hotel. Isso deveria ser resolvido rapidamente. Enfim, deveriam ter um pouco mais de agilidade visto que estava cansado e com criança pequena aguardando na recepção."
nov. de 2022,4,Ótima localização,"Hotel muito bem localizado com várias opções de lojas e restaurantes nas proximidades. Quarto de bom tamanho, cama confortável. Banheiro pequeno mas com ótimo chuveiro. Nenhuma reclamação quanto à limpeza. Bom café da manhã e bom atendimento do staff do hotel."
nov. de 2022,5,Tapioca deliciosa da Neide no café da manhã.,"Amei o café da manhã, especialmente a tapioca que funcionária Neide preparou para mim. Além de deliciosa, ela foi feita com muito carinho. Quero agradecer imensamente a atenção que ela teve comigo. Gratidão."
out. de 2022,4,Ótima opção para famílias!,"Viajamos em 3 pessoas, por 2 noites, e escolhemos a suíte júnior. Foi uma ótima opção, pois são 2 dormitórios com um banheiro cada (um dos dormitórios com sofá cama), TV e ar-condicionado. A suite maior é bem ampla, com espaço mais do que suficiente para malas, frigobar e mesa de trabalho. A cama é confortável, mas o sofá-cama é um pouco duro para um adulto mais pesado.  Os banheiros são bons, ambos com secador de cabelo. Há shampoo, condicionador e sabonete da Phytoervas naqueles dispensers de parede. Senti falta de amenidades que já vi em outros Mercures, como touca de banho e hidratante pequeno.  A localização é excelente, mas é uma região bem movimentada. Então há barulho (em especial motos e aviões), apesar das janelas anti-ruído. Mas tenho sono leve e consegui dormir bem. O isolamento para o quarto adjacente também não é muito eficiente (conseguíamos ouvir um bebê), mas não atrapalhou o descanso também.  Os quartos são bem ventilados.  O hotel possui uma piscina bem grande, uma academia e um brinquedão para crianças. Sugiro a instalação de bancos para os pais sentarem enquanto cuidam das crianças.  O restaurante é bom e o preço é compatível com outros restaurantes da região.  O café da manhã é razoável (custa 42 reais por adulto). Possui boa variedade, mas comparado a outros hotéis equivalentes tem menor variedade de doces e pães. Pelo valor, a variedade poderia ser maior.  Há um estacionamento no hotel, para os hóspedes, não incluso na diária.  O atendimento, de uma forma geral, é muito bom."
set. de 2022,2,Hospedagem Mercure Olimpia,"Infelizmente acabei reservando 02 quartos neste hotel, e o atendimento desde a recepção foi péssima, em que pese ter feito o check-in online que não serviu para nada, e pior a recepcionista disse que isso não existe no Mercure. O próprio gerente (Hasan) atende muito mal. A limpeza do quarto é péssima, os vidros sujos.  O que surpreendeu foi o serviço dos manobristas, muito bom, estão de parabéns."
set. de 2022,4,Recepção pode melhorar,"Cheguei dia 12 /09 em torno das 17 h recepcionista mal educado me colocou no primeiro andar, pedi um andar mais alto pois iria ficar hospedada mais dias, disse que não tinha nenhum outro andar desocupado… poderia ao menos consultar o sistema"
set. de 2022,4,"Resolução, acolhimento e cordialidade",Hotel com atendimento muito bom  Café da manhã exemplar  Limpeza dos quartos regular  Cordialidade por parte de todos funcionários  Localização privilegiada  Custo benefício muito bom  Academia muito boa  Restaurante cardápio resumido mas bons vinhos
ago. de 2022,4,Localização excepcional!,"Gosto muito desse hotel! Tem ótima localização, serviço muito bom, um restaurante ótimo boa limpeza. Nessa estadia tive muitos problemas com a internet do hotel que estava muito ruim durante toda a estadia e tive que usar a maioria tempo o meu 4G. O funcionário Hasan da recepção tentou atenuar os problemas. Mas não é aceitável essa situação. Um outro ponto ruim desse hotel são os elevadores que são antigos e lentos."
ago. de 2022,5,Excelente,"Excelente, hotel muito bom, excelente hospedagem, camas confortáveis, limpeza nota 10, funcionários atenciosos, excelente café da manhã, em outra oportunidade retornarei e indico o hotel, localizações excelente, não encontrei nenhum ponto negativo."
ago. de 2022,3,Localização conveniente mas muito barulhento,"Localização interessante perto de restaurantes, shoppings, …  Hotel muito barulhento à noite com pessoas a gritar nos corredores, música alta em alguns quartos e atendimento abaixo da média da Accor mundial."
jul. de 2022,2,Péssimo,"Péssimo …reservei o melhor apto do hotel.  Apto não estava pronto as 17:30 no check-in . Esperei 40 minutos.  Limpeza…hospedei por 5 dias …apenas dois dias a camareira apareceu…1 kit de amenities para todos os dias. Áreas comuns estavam sujas.  Colaboradores não são simpáticos e bastante perdidos.  E o barulho de avião insuportável a partir das 6h.,  o dia inteiro.O prédio chega a balançar .  Este hotel totalmente fora do padrão Accor.  Não retornarei jamais."
jun. de 2022,2,A desejar,"Não sou muito exigente, mas vamos lá: um avião passa a cada 4/5 minutos. Cronometrei. Incomoda. Você escuta o que falam no quarto ao lado, ou se tem alguém no corredor. Não tem isolamento acústico . Itens de banheiro: traga seu sabonete e seu shampoo. Sabonete é micro. Box se for mais gordinho não entra. Não usei o café da manhã. Passei pelo restaurante para dar uma olhada - ok não vale os 42,00 p pessoa. Estacionamento 30,00/dia. O carpete do corredor velho. Quarto ok pequeno mas não é micro. Pedi travesseiros vieram prontamente. Recepção ok e o carro não demora muito. Sem opções legais no entorno para comer. Uma agua custa 9,00. Tem tomadas para carregar celular. 3 elevadores (1 não funciona) cabem 4 pessoas. Não foi um problema. Sempre dou uma boa avaliação.Desta vez não posso dar!"
abr. de 2022,4,Prático e funcional,"Nos hospedamos no Hotel apenas por uma noite para aproveitar um final de semana em São Paulo e ficamos bem satisfeitos em razão da localidade, das instalações e cordialidade dos prestadores de serviço. Café da manhã com itens básicos, que suprem o desjejum.  Acústica do quarto suficiente para se ter uma boa noite de sono."
abr. de 2022,4,Muito bom,"Bem localizado, limpo, estrutura boa e confortável para uma viagem de negócios ou lazer rápida. Como melhoria seria uma reforma no Lobby para deixar mais aconchegante e sofisticado, uma mudança nos elevadores que estão meio velhos, uma diversificação no café da manhã pq no 5° dia já estava enjoada de praticamente as mesmas coisas."
mar. de 2022,1,Falta de cordialidade.,"Chegamos no hotel umas 10:40. E fomos informados que o check-in era somente as 14:00.    Realizamos a reserva com bastante antecedência, para 03 pessoas, casal + filho de 9 anos, e para nossa surpresa não existia terceira cama ou cama extra, apenas um sofá cama. Como disse anteriormente a reserva fora feita com meses de antecedência, então houve falta de gestão, pois o hotel estava cheio devido a eventos na cidades nesse final de semana, o que nos prejudicou diretamente, pois ficamos em quarto duplo com um sofá cama desconfortável.    Péssima localização para quem deseja fazer turismo por São Paulo, precisando de carro ou Uber para absolutamente tudo. Não existe estação de metrô próxima ao hotel. Mesmo para ir em algum restaurante, 900m do hotel, precisa chamar um transporte, pois no prériodo da noite a região oferece perigo.    Na véspera do aniversário do meu filho, que foi informado no ato da reserva e a atendente disse que daria um brinde pra comemorar data especial, fui a recepção perguntando se o brinde poderia ser um mini bolo ou cupcake apenas para bater os parabéns de meu filho e fui grosseiramente atendido pelo recepcionista do turno noturno (um estrangeiro). Essa questão foi resolvida pelos funcionários do restaurante, terceirizado, responsáveis pelo café da manhã e demais refeições. Que são muito educados e sempre solícitos a qualquer demanda.    Tudo que solicitávamos na recepção do hotel era simplesmente NÃO, NÃO PODEMOS. O cúmulo foi solicitar uma toalha de rosto para ir a um parque aquático com nosso filho, e alegarem não poder fornecer toalha. Respondo pelos meus atos e se tivéssemos perdido a toalha nesse passeio pagaria o valor sem questionar.    Não tivemos uma boa estadia e experiência nesse hotel. Foram 6 noites. Não desejo retornar ao mesmo."
jan. de 2022,4,"dentro do esperado, muito bom","Dentro do esperado padrão Mercure, muito bom, desde a recepção até o Check-Out, o único ponto de melhoria é a demora na entrega dos veículos pelo time responsável. o Time é muito bom , restaurante, café da manhã é muito bom, mas poderiam respeitar mais o horário de início"
jan. de 2022,5,Hotel com ótimo custo e benefício.,"Hotel muito bem administrado. Tudo muito limpo e funcionando bem. Destaco os funcionários Hasan Aliel e Alexandre, muito atenciosos e preocupados com o bem estar dos hóspedes. Café da manhã bom e atendimento eficiente. Único ponto negativo foi a recepcionista STEPHANIE, despreparada para atendimento aos hóspedes."
