Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Alto padrão de qualidade e melhor custo-benefício,"Já me hospedei várias vezes no hotel. Na maioria das vezes, fui passear em São Paulo em fins de semana. Dessa vez peguei o quarto mais básico e particularmente achei bem melhor do que os quartos superiores das minhas alternativas em SP, até mesmo os de faixas de preço superiores. Já passei anos viajando a trabalho e acho que o hotel tem diferenciais que o colocam à frente dos demais Pullman e de outros conceituados: ferro de passar roupa nos quartos; banheira nos quartos mais simples; o visual e a iluminação de muito bom gosto do lobby, bar, restaurante, corredores e quartos; a cordialidade e a disposição de todo o pessoal. O que chama mais a atenção é o perfeccionismo, ou seja, a preocupação/cuidado com os detalhes que possam ser o fator limitante do conforto, além da…"
dez. de 2022,5,Minha casa em SP,"Atendimento excepcional, da recepção Douglas ao café Lúcio , turma toda excelente sempre que venho a Sp a preferência e ficar no Pullman vila Olímpia e olha que tenho filhos que moram aqui. Bem localizado, café excelente, quarto sempre limpo , cama boa e chuveiro realmente uma ducha"
dez. de 2022,5,atendimento excepcional,"Amo esse hotel. A Vaneska de guest services foi muito atenciosa e arrumou o quarto cheio de mimos para a minha filha de 5 anos, que sempre que vai briga para ir embora e pede pra ficar mais... Os djs no jantar sao otimos, mas falta uns pratos kids no restaurante. Assisti ao 2o jogo da copa la e estava com decor, lembrancinhas, super animado. O gerente (esqueci o nome dele) eh super atencioso assim como o Lucio e os outros funcionarios do cafe da manha. Como sempre vou ao teatro claro, no shopping vila olimpia, a localizacao eh perfeita. E a banheira eh sempre sucesso com a minha filha. Com certeza voltaremos! AH, fomos no spa e mesmo nao tendo massagem infantil as meninas se viraram e fizeram uma experiencia com spa dos pes e mini massagem para a minha filha. Alem de…"
nov. de 2022,5,"Equipe competente ,acolhedora e hotel maravilhoso!!!","O hotel é sensacional !! A gerente Carol é um amor!Supera qq expectativa de um hospede!! Sempre educada,prestativa e disposta a proporcionar a melhor experiência possivel .Sua equipe tb maravilhosa!!!O hotel tem um staff de primeira !!!"
nov. de 2022,5,Ótimo atendimento e acomodação.,"Atendimento e acomodação excelente! Alto nível da chegada a saída. Quarto muito bem arrumado, perfumado e limpo, com todos os itens necessários para uma ótima hospedagem. Fomos muito bem atendidos pelos recepcionistas e pela equipe da cozinha, sempre dispostos a tirar quaisquer dúvidas."
nov. de 2022,3,"Hotel executivo, para família deixa a desejar","Quando fizemos a reserva no site apareceu na foto do quarto uma cama de casal e outra de solteiro, quando fizemos o check-in por volta das 15hs fomos avisados que posteriormente seria montada uma cama de campanha para a criança. Realmente é um hotel com uma boa localização, mas não é o hotel ideal para quem vai a passeio com família."
out. de 2022,5,Simplesmente esplêndido,"Passei só uma noite e a experiência foi completa, conforto, lazer, culinária, tudo nota 10.  Ênfase no atendimento do Henrique, da Mariana e do Noé, essa equipe é show."
out. de 2022,5,Excelente atendimento,"Gostaria de deixar meu super elogio pelo atendimento da Mariana desde o meu checkin até checkout, atendimento excepcional. E também a Rhaissa que durante a estadia me atende prontamente na minha solicitação. Excelente atendimento"
out. de 2022,5,Diferenciado e divertido.,"Diferenciado, hotel vem evoluindo muito, a cada pouso aqui vejo que muitas mudanças estão ocorrendo, o time de colaboradores muito atento e sempre dispostos a ajudar, realmente a atmosfera voltou e que VIBE, a musica , a comida sensacional e o bar dão a sensação de acolhimento."
set. de 2022,5,SP Business trip,"Deluxe room, bright clean and spacious bedroom  Great staff at the front desk.    Quarto Deluxe , muito espaçoso , limpo e claro ,  Equipe de recepção check in muito educada e cordial  Café da manhã funcional e na semana começaram implementar novidades ."
set. de 2022,5,Excelente,"Hotel muito bonito, quarto espaçoso e muito confortável, bem silencioso, excelente café da manhã. O atendimento é impecável, todos os funcionários são muito cordiais e simpáticos, em especial o Henrique, da recepção, que é sempre muito atencioso, educado, nos faz sentir muito bem-vindos ao hotel. Localização muito boa também, vários restaurantes e shoppings próximos."
set. de 2022,3,Não é 5 estrelas,"Essa é a minha segunda estadia e não volto mais! Sem maleiro, garçonete no café da manhã sem educação, perguntou grosseiramente: “vcs aguentávamos alguma coisa?”, check out sem pro ativismo - nem perguntaram se havia estacionado p pagar só depois q pedimos o carro q o motorista perguntou se pagamos na recepção -, a faxineira não trocou os copos, a salada no roon service me fez muito mal, mesmo! Nossa, só de pensar q fiquei na dúvida entre “isso” e o Mofarrej, só lamento!"
set. de 2022,1,PULLMANN VILA OLIMPIA CENSURA reclamações em rede sociais e ACCOR e ALL permite,"Há 2 meses passei reclamações sobre PÉSSIMOS serviços e atendimentos no PULLMANN VILA OLIMPIA (incluindo ""atendimento"" da coordenadora de qualidade do hotel, nesse mesmo tempo foi aberto chamados junto ao programa de ""fidelização ACCOR, ALL , que até o momento está sem o devido tratamento das demandas entre elas 08121954, 07912076 pelo CUSTUMER CARE ALL (11) 3878-8024, informam que não há prazo para feedback.    O perfil do PULLMANN VILA OLIMPIA no INSTAGRAM bloqueou as considerações e isso se chama CENSURA e segue pouco preocupada com a opinião de quem paga caro e não tem o serviço, o cliente..  depois não podemos jantar no HUB pois foi informado que não seria possível, relatei a concierge do hotel informou que o gerente ou responsável não foi encontrado para responder sobre a dificuldade/constrangimento de acesso ao evento, as falhas do restaurante pedidos, demora para servir drinks, não havia serviço para janta somente para aperitivos e a comida estava estragada e etc (Paulo, Diego, Sofia).    Afinal o que está acontecendo, nunca vi tanta bagunça desde o convite para o evento até mesmo a logística do Pullman vila Olímpia para atender os associados All."
ago. de 2022,5,Equipe do Restaurante,"Atendimento excelente, eu e minha família fomos muito bem recebidos pela equipe que nos deram todo o cuidado, no restaurante e recepção. Obrigado pelo atendimento me sentir em casa Jaqueline, Lúcio, Larissa e chef Matias vocês tornaram a manhã do café mais gostoso com a simpatia e carisma.    A comida estava ótima, tudo bem feito e super saboroso. Recomendo!"
ago. de 2022,5,Qualidade em tudo,"O que mais chama a atenção no Pullman é o atendimento. Todos os funcionários são muito solícitos e gentis, principalmente a turma do Restaurante HUB e do bar. O café da manhã tem alimentos de qualidade e a limpeza e conforto dos quartos também têm nota 10."
ago. de 2022,5,Atendimento,"Fomos recebidos pelo Erick na recepção, que fez um atendimento como a muito tempo não tínhamos em um hotel.  Acomodações, café da manhã, tudo otimo, nossa estadia foi perfeita, parabéns Pulman e obrigada.  São Paulo continua linda."
ago. de 2022,5,Hotel maravilhoso. Atendimento excepcional.,Fomos muito bem recebidos pelo querido Victor que fez o que pode para nossa estadia ser perfeita. Café da manhã muito bom e completo. Gabriel tbm nos atendeu muito bom no bar.  Adoramos e já estamos ansiosos pra voltar. Será sempre nosso hotel quando estivermos em São Paulo  Nota 10 para o conforto da cama. A ducha tem uma ótima pressão.  Voltaremos a nos hospedar no Pullman Vila Olímpia
ago. de 2022,5,Atendimento maravilhoso.,"O hotel é muito bem localizado, em uma região nobre de São Paulo.  O atendimento foi simplesmente perfeito, em especial o Nunes e a Carol da recepção!  Outro ponto importante foi o restaurante, com pratos muito bons!  Enfim, recomendo!"
jul. de 2022,5,Acolhimento impecável,"Atendimento nota 10!  Fomos prontamente atendidos ao solicitarmos travesseiros extras e taças de vinho.    O quarto é muito confortável, banho bom, produtinhos L’OCCITANE e água mineral de cortesia.    O café da manhã é excelente, ótima variedade de tudo e serviço de itens quentes preparados pela cozinha muito bom. Como era sábado, tinha até um espumante geladinho à disposição.    Mas o melhor foi a surpresa que recebemos! Uma linda homenagem à nossa história como casal, com fotos nossas, velas e chocolates, além de um recado muito carinhoso.    No check out fomos muito bem atendidos pelo Matheus, que apanhou nossas bagagens e cuidou delas até a chegada do carro, providenciando tudo pra gente."
jul. de 2022,5,Excelente estadia e atendimento impecável!,"Sempre que viajo a trabalho tenho dificuldade em escolher o hotel, já que existem tantas opções em SP. Costumo ficar na Vila Olímpia por ser mais próximo do escritório e desta última vez escolhi o Pullman! Me senti tão bem atendida, em especial pelo acolhimento gentil e super atencioso do Victor na recepção, que não tenho mais dúvidas: sempre que puder ficarei no Pullman! Inclusive já marquei minha próxima reserva!"
