Data da opinião,Nota,Título,Conteúdo
dez. de 2022,1,Péssimo cuidado com o cliente,Tivemos 6 reservas pagas de forma antecipada. No dia do check in constavam apenas 5 no sistema. Não fizeram questão nenhuma de resolver. Chegamos de madrugada e tivemos que improvisar para não termos que dormir na rua. Muito ruim.
nov. de 2022,1,"Hotel velho, limpeza ruim, café da manhã ruim","O hotel é muito antigo, a limpeza é ruim, o café da manhã é péssimo. A acústica é bem ruim, acordei no meio da noite muitas vezes. Considerando que o preço da diária foi altíssima, algo como R$ 1.200, definitivamente não vale a pena e não voltarei."
out. de 2022,4,Bom e confortável,"Achamos caro, optamos pela localização e avaliaçoes de hospedes. Quarto confortável, amplo, boa ducha, bem limpo, bons lençois e bom secador de cabelo, bom café da manhã, hall bem amplo, com pequena mesa de sinuca. Um dos três elevadores é temático, mt interessante, gostamos."
set. de 2022,4,"Bem localizado, opção interessante, detalhes a ajustar","Boa localização. Equipe muito atenciosa. Restaurante atende muito bem. Café da manhã muito bom. Possui andares com uma decoração artística muito interessante, vale conhecer. O quarto que ocupei precisa de cuidados de manutenção: rejuntes da área de box do banheiro escuros, aparentando sujos e luminária de cabeceira com defeito e piscando. Limpeza estava adequada."
set. de 2022,1,Propaganda enganosa,"No anúncio as acomodações são vendidas como tendo “ar condicionado”. No próprio site do hotel diz que os quartos “possuem tratamento acústico e térmico”. Os quartos NAO POSSUEM AR CONDICIONADO, TAMBÉM NÃO TEM TRATAMENTO TÉRMICO. Só tem ar frio. Se você for no inverno como eu vai passar frio. Passei frio na estadia, não tem ar quente. Fazia 14 graus e chovia durante a minha estadia, não consegui controla nem a temperatura nem a umidade, logo não há “tratamento térmico” nos quarto."
set. de 2022,5,Pestana SP,"Tive uma experiência incrível no hotel, super aconchegante e bonito. Os funcionários são excelentes profissionais em exclusivo na recepção tanto na porta da manhã quando da noite, as profissionais deram show de atendimento e isso já melhorou ainda mais a experiência que tive. Tirei várias fotos nos corredores temáticos e no elevador neon. Sobre a localização, local calma bom para uns passeios, perto de vários locais bonitos para visita e da av. Paulista."
ago. de 2022,5,Espetacular!,"A hospedagem foi perfeita! Fiquei em um quarto temático do Rio de Janeiro, bonito demais! Além disso, também tem outras áreas decoradas, como os andares temáticos, lindos!  O atendimento foi ótimo, todos os funcionários educados e solícitos. A estrutura do hotel é maravilhosa, não tive nenhum problema. A localização é boa, bem perto da Avenida Paulista e do Parque Ibirapuera. Recomendo bastante!"
ago. de 2022,2,DECEPCIONANTE,"quartos umidos sem ventilacao natural, janelas lacradas, cama ruim, travesseiro ruim, cheiro de mofo, limpeza de banheiro a desejar, tudo velho bem anos 80...  evento paralelo no hotel bem barulhento, iluminacao ruim. hotel precisa urgente de uma reforma."
ago. de 2022,5,Estadia agradável!,"o hotel, tem um diferencial nos 7 e 8 andar, amostras de artes, bom tamanho nos corredores e fomos bem recepcionados, guardadores de carro bem prestativos, tamaho de quartos bem razoavel e ar condicionado ok"
ago. de 2022,1,Pessima experiência. Hotel velho e sujo.,"Hotel velho, com manutenção precária e extremamente sujo. Toalhas ásperas, banheiro antigo (com bide) e pequeno para o tamanho do quarto (com 2 camas de casal e 1 de solteiro).  O chao do quarto era tao sujo que nao podia andar descalça. Veja a foto do meu pé postada! Reclamei desse fato na recepção e nada foi feito.  Os corredores do 6 andar onde fiquei extremamente sujos, com pedaços de papel no chao, visivel no tapete cinza mescla.  A camareira jogou a minha touca de cabelo (que levei de casa) no lixo, e sequer repos com uma do hotel.  Enfim, nao recomendo."
jul. de 2022,4,Muito Bom,"Ótima localização, quarto amplo, check-in e check-out tranquilo, café da manhã excelente, muita variedade, o atendente Daniel muito simpático e prestativo, uma pena a área da piscina estar abandonada,"
jul. de 2022,3,Regular apenas.,"Check-in e out tranquilo. Localização boa, mas a rua nem tanto. Apresenta sinais de desgaste em vários itens. Quando fomos tinham manchas no corredor, dando um aspecto feio. Café da manhã honesto. Pela faixa de preço vs o que o hotel oferece, razoável apenas."
jul. de 2022,3,Ficou muito a desejar!,"Hotel Pestana São Paulo precisa trocar os colchões muito antigo, e com o desgaste excessivo. Por ser um hotel 4 estrelas a gerente/diretoria já deveriam ter tomado uma atitude.  Fui duas vezes na recepção e nada fizeram, nem livro de reclamações ou elogios tem no hotel.  A limpeza do quarto ficou muito a desejar."
jun. de 2022,5,excelente custo benefício,o hotel apesar de ser antigo é bastante conservado. adoramos a temática de alguns andares e o elevador escuro com cores vibrantes. o café da manhã é excelente. localização boa de fácil acesso às melhores regiões de são paulo.
jun. de 2022,3,Para o preço da diária o serviço oferecido deveria ser muito melhor,"O serviço oferecido é médio para as diárias caras. Não há problema em cobrar quando o que se oferece está de acordo ou, de preferência, acima.  Café da manhã poderia ser mais variado e no sábado e domingo deveria ser mais. farto. Havia muitas pessoas e não houve reposição de alimentos.  Os atendentes do horário da manhã não são solícitos. Pelo contrário, são ríspidos e não respeitam a ordem da fila. Além de serem muito morosos, deixando clientes em pé muito tempo e a fila grande."
mai. de 2022,5,Excelente localização e café da manhã extraordinário!,"Ficamos extremamente satisfeitos com a qualidade e variedade do café da manhã oferecido aos hospedes.  Localização do hotel estratégica: ficando perto de bares, restaurantes, estação de metrô e há poucos minutos do aeroporto de Congonhas."
mai. de 2022,1,Scam,"Estadia de 7 noites mas saímos logo na primeira noite (falta de condições do quarto para ter uma bebé, e era twin beds em vez de double). É muito antigo o hotel com baixas condições, longe de ser um 4 estrelas, pelo menos pelo standard europeu.    Fizemos checkout logo a seguir ao primeiro dia. Na recepção o Bruno referiu que o reembolso poderia demorar vários dias, no entanto a mesma não aconteceu passados 2 meses. Apesar de ter entrado em contacto por email ninguém respondeu a não ser um ticket automático."
mai. de 2022,5,Hotel excelente!,Apreciei muito a minha estadia no Hotel Pestana! Fui bem recebida e atendida em todos os momentos. Todos os dias o quarto foi limpo e arrumado com cuidado e segurança. O café da manhã é muito bom (muito bom mesmo)! Parabéns a toda a equipe!
mai. de 2022,4,"O padrão seria bom, mas precisa de reforma. Só o nome não mantém o hotel...","Preciso de reforma.  O hotel é bem localizado, o atendimento é bom. Quarto amplo, cama boa, travesseiros ótimos, ar condicionado bom, TV mais ou menos.  O banheiro é bom, chuveiro muito bom, defeito que fica dentro da banheira.  O problema é que está quase tudo velho, precisando de manutenção. Os corredores são velhos, carpetes velhos, parecem sujos.  Não consegui tomar café da manhã, apesar de incluso, começa tarde, às 6:30h.  No geral ficaria novamente, a depender do preço."
mai. de 2022,4,Boa opção de hospedagem!,"Estivemos hospedados por três dias neste hotel! O hotel parece um pouco antigo, com algumas instalações que precisam de uma repaginada.  Ficamos hospedados no sétimo andar, que é todo grafitado e colorido.  O quarto é grande e o banheiro também, porem com mobiliário um pouco datado.  O check in foi rápido, o café da manhã é bem completo e a localização é boa, próximo a Av. Paulista!"
abr. de 2022,5,Excelente hotel,"7o andar estava grafitado! Muito legal, uma experiência diferente! Quarto grande e confortável, estacionamento pago. Excelente Café da manhã com muita variedade e fartura! Todos os funcionará muito simpáticos e atenciosos! Cama macia, chuveiro com muita água quente. Banheira precisa de tira limo nos cantos."
abr. de 2022,1,Pessimo hotel em todos os sentidos,"Fiquei hospedada em um grupo de 5 apartamentos no período de 31/3 a 3/04/22 e achei o hotel pessimo em todos os sentidos!!! Atendimento grosseiro, hotel com pessima localização, vizinhança horrivel, hotel velho, piso peguento, hotel fedorento, quarto barulhento, minha experiencia e a do grupo foi horrivel!!! nunca mais me hospedo. A única coisa que gostei foi o elevador que sempre chegava rápido, somente isso."
