Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Estadia perfeita.,Somos viajantes frequentes e costumamos nos hospedar nos melhores hotéis em nossas viagens. Ficamos encantados com a recepção e toda a estrutura e organização do hotel. Especialmente pelo atendimento do Augusto no Check in e durante a estadia. Meus parabéns para o Augusto e toda a equipe! Com certeza retornaremos em breve! Recomendamos esse Hotel como um 5 estrelas de fato!
mai. de 2022,5,"Atendimento, Conforto e segurança.","Hotel muito bem localizado e com um atendimento excelente, elogios ao Sr. Nunes que com muita presteza e educação sempre nos orientando e exalando muita confiança. Os quartos são muito bem montados e estruturados com camas e roupas de cama tudo limpo, nos dias de hoje como temos vários equipamentos de tecnologia foram coladas inúmeras tomadas nas dependências do quarto facilitando o carregamento e o uso dos nossos telefones e notebook, a limpeza e a elegância do banheiro são muito boas, a equipe de limpeza dos quartos sempre solicitas e competentes é de muito boa qualidade. O café da manhã é muito bom e a equipe sempre repondo não deixando faltar nada aos hospedes, com muita maestria e seguindo as regras sanitárias nos deixa bem a vontade para desfrutar a gastronomia…"
2 de jan.,5,Excelente Hotel,"Hotel com excelente localização, próximo aos principais shoppings de SP, atendimento nota 10, da recepção ao serviço de limpeza, café da manha completo. Sem duvida será minha 1a opção em hospedagem no centro de São Paulo."
dez. de 2022,5,Ótima,"Ótima localização, próximo ao JK Iguatemi e restaurantes. Ótimo café da manhã com ampla variedade. Camas e travesseiros confortáveis. Boa academia e atendentes super atenciosos. Com certeza voltarei outras vezes."
dez. de 2022,5,Excepcional atendimento e estadia,"O chuveiro é excelente. A cama macia, o café da manhã ótimo. Mas o atendimento do recepcionista Hugo foi excelente, nos ajudou muito com o late check out que liberou para nós, pois pudemos acompanhar nosso filho em campeonato de natação. Já o atendimento do João assistente foi acima do esperado pois trabalha com muito amor e dedicação. Obrigado e até a próxima"
dez. de 2022,5,Ótimo Hotel,"Ótima localização, participamos da corrida da Track & Field do Shopping JK e o hotel fica muito próximo do Shopping, trazendo bastante comodidade. Café da amanhã muito bom, funcionários muito prestativos e gentis. Paulo da recepção foi muito atencioso, quartos limpos, chuveiro muito bom!"
dez. de 2022,4,"Hotel muito bom, mas tem alguns defeitos.","Hotel muito bem localizado, quarto grande e acolhedor, camas confortáveis, muitas opções para café da manhã, boa televisão, com boas opções de canais, e possui um frigobar. Mas a porta do banheiro é transparente, sem privacidade para quem tomar banho, e quando cheguei, tinha água aberta de hóspedes que estavam ali já faz tempo, e não limparam."
dez. de 2022,5,Experiência do cliente 5 estrelas,"Uma das melhores experiência do cliente que já tive em hotéis desse estilo .    Desde a chegada no hotel , recepção , maleiros , camareiras , restaurante. Tudo impecável ! Recomendo para todos . Passei 8 dias no hotel a trabalho , mas chegava tinha um recado da camareira Tamires preocupada com meu “escalda pés “ , o João no front e o Augusto sempre muito solícitos.    Me senti em casa todos esses dias ."
dez. de 2022,5,Excelente hotel,"Excelente hotel!!! Tivemos uma estadia perfeita, sem qualquer contratempo. Funcionários gentis e prestativos, café da manhã delicioso e bem variado, quarto confortável. Área de lazer bem completa com piscina aquecida e coberta além de uma academia super equipada! Sem dúvidas uma ótima opção em Sampa!"
nov. de 2022,1,Não atende telefone dos hóspedes. Imagine o resto.,"Péssimo hotel. Você reserva, paga com antecedência e precisa entrar em contato com o hotel, mas ninguém te atende. Te colocam em uma espera automática e depois derrubam a ligação. Hotel de quinta categoria. Não recomendo. Absolutamente inaceitável."
nov. de 2022,2,Cuidado para não ter valor cobrado diferente da reserva!,"A recepção do hotel fez confusão com a nossa reserva e valores. Foi tumultuada a nossa chegada até resolvermos quem iria ficar em cada quarto. Eles ainda cobraram valor diferente do que eu havia reservado pelo Booking. Tive que mostrar minha reserva pelo site e, só então, abateram o valor final. Eles ainda registraram no site como ""no show"", indicando que eu não me hospedei no hotel. Eles são muito confusos na parte financeira. CUIDADO!!!"
nov. de 2022,5,Agradecimento,"Quero agradecer a toda a equipe do hotel que nos atendeu super bem e em especial ao gerente Paulo que foi tão educado, cortez e teve tanto carinho com nossa filha na estadia. As acomodações são muito confortáveis."
nov. de 2022,5,Ótima estada no Radisson,"Estrutura ótima, atendimento ótimo, da recepção o pessoal extremamente atencioso. Café da manhã nota 10, toda a infra do quarto muito confortável. Localização boa, em frente ao shopping. Recomendo a estada no Radisson Vila Olimpia."
nov. de 2022,5,Excelente atendimento,"Equipe da recepção e manobristas muito prestativos e atenciosos. Não medem esforços para nos ajudar e nos deixar satisfeitos. Fico há mais de 2 anos, todos os meses, no Radisson e não tenho o que reclamar."
nov. de 2022,5,FDS em SP para casais,"Hotel extremamente confortável (principalmente a cama), café da manhã incrível e dependências modernas. Fomos muito bem atendidos! A localização também é excelente! Amamos e voltaríamos com certeza!"
nov. de 2022,5,Família/Formatura Rafael,"Foi maravilhosa como sempre, pela segunda vez que estamos em um eventos de familia, Paulo Jorge, sempre nos atendendo com muita atenção e carinho, isso faz toda diferença para o nosso evento, voltaremos agora para comemorar o casamento, e contamos com ajuda do Paulo Jorge."
nov. de 2022,4,Bom atendimento,"Hotel com bom atendimento. O restaurante precisaria ter uma logística de atendimento melhor. Os pratos dos amigos da mesa não chegam juntos e tiveram um intervalo grande entre um e outro . No geral, gostei do atendimento do hotel e da gentileza dos funcionários.  O funcionário Paulo Jorge é excepcional."
nov. de 2022,5,"Sensacional !!! Acomodação, atendimento na recepção, café da manhã maravilhoso !!!","Sensacional, excelente localização, funcionários educados e solícitos, café da manhã maravilhoso, limpeza do quarto, quartos espaçosos, toda equipe bem atenciosa, academia excelente, a recepção tem um cheiro incrível !!! Vale a pena a experiência deste hotel !!!"
nov. de 2022,5,Excelente atendimento,"Excelente atendimento com funcionários prestativos e atenciosos, ótimo café da manhã super completo, quarto confortável, cama e travesseiros, bom pra quem precisa trabalhar com cadeira e mesa para computador"
nov. de 2022,5,Hotel espetacular,"Hotel formidável com quartos grandes, cama muito confortável e excelente tamanho além da limpeza impecável, atendimento e cortesia dos funcionários nota 10, café da manhã completo e restaurante ótimo. Localização perfeita próximo a tudo que interessa em SP."
nov. de 2022,5,"Excepcional em todos os serviços principalmente na qualidade do quarto, atendimento dos funcionários, gentileza e cordialidade","Ótima localização, excelente atendimento, café da manhã sem igual, o quarto muito confortável, as dependências do hotel, com vários serviços como piscina, academia, sala de reunião, tudo muito bem cuidado, além de estacionamento 24h, e quando se precisa de solicitar um carro tem espaço interno para o motorista para sem necessidade de ficar na rua"
out. de 2022,5,Vir em família,"Gostei muito os atendentes são bastante atenciosos principalmente a Daniela Hugo Bruno João e Eduardo. Hotel muito bom, minhas filhas adoraram a piscina. Voltarei novamente. Recomendo para vir em familia"
out. de 2022,5,Viagem de 1 dia,Excelente estadia num hotel bem equipado e moderno que superou as expectativas. Na recepção fomos muito bem atendidos pelo João. Há 2 piscinas sendo uma externa com agua mais fria e uma cascata de pedra e uma coberta que é semiolímpica de 3 raias para os praticantes de natação. Há um aroma característico do hotel que te faz querer estar nas dependências porque traz toque de calma e plenitude.
out. de 2022,3,Custo benefício ruim,"Os quartos são super barulhentos! Se escuta o tempo todo gente falando nos corredores, portas batendo inclusive de madrugada. Os quartos com duas camas queen na verdade tem duas camas de viúvo, ou seja não fica confortável para 3-4 pessoas. Além disso apesar do blackout a porta de vidro do banheiro de blackout na báscula torna o quarto super claro logo que o sol nasce! Não foi uma boa experiência. Apesar disso o quarto é bem limpo, chuveiro muito bom, atendimento cordial e bom café da manhã."
out. de 2022,5,Recomendo!,"Hotel muito bem localizado, café da manhã excelente, quarto amplo e limpo. Staff atencioso, elogiando especialmente o João. Piscina aquecida, sauna seca, duas águas diárias de cortesia e café expresso no lobby"
out. de 2022,5,Excelente. Voltaremos,"Excelente. Otimo atendimento. Profissionais muito atenciosos, sobretudo com.idosos. Cafe da manhã completo. E o melhor, aceita pet, o que é um diferencial em hoteis dessa categoria na cidade de Sao Paulo."
out. de 2022,5,Nota 10,"Equipe do hotel muito gentil. Em especial a Daniela, João, Hugo, Junior e Bruno.    Pessoal do restaurante também é muito bom!    Nada negativo para falar, tanto que vou voltar em novembro.    Voltarei novamente."
set. de 2022,1,"Se para reserva ta assim, eu imagino a estadia..","Bom dia a todos,    Não moramos no Brasil e sempre que vamos de ferias ficamos na rede Accor, decidimos mudar para conhecer outro estilo de hotel. Depois de muita pesquisa decidi o Radisson Vila Olimpia . AI que vem o stress..... Mandei mais de 4 e-mails para fazer a reserva, cada hora é uma pessoa que responde com resposta diferente (a mesma pergunta ), o hotel não tem um padrão... AI fico imaginando , se para fazer a reserva que voce está pagando está dando um stress desnecessário, eu fico imaginando a estadia, Resumo: desistimos desse hotel porque é fria..."
set. de 2022,4,Otima localização e entrega otimo custo x benefício,"Hotel ótima localização. Check in e check out rapidos, instalações do quarto em conformidade com o custo x benefício pagos, cafe da manha amplo e com bastante opções e com alguma opções extras basgando solicitar aos garçons. Atendimento e cortesia dos funcionarios é um diferencial. De um modo geral vale muito a pena por estes pontos."
set. de 2022,5,AVALIAÇÃO - PRIMEIRA HOSPEDAGEM.,"Excelente estrutura. Ambiente confortável. Atendimento impecável. Todos muitos solícitos e atenciosos. Em especial o João, extremamente educado, gentil e prestativo.  Espero retornar em breve. Muito obrigada, equipe Radisson."
