Data da opinião,Nota,Título,Conteúdo
2 de jan.,5,Excelente,"Wi-Fi só funcionava com a tv desligada , poderia melhora mto essa questão Área de lazer em reforma , compre do que é para melhoria No checkin me falaram q era cama de solteiro e na reserva foi de casal, mas resolveram imediato . No mais tudo ótimo. Voltaria"
set. de 2022,5,Ótima opção,"Voltei a me hospedar no hotel onde já havia ficado em 2019 e 2020 com minha esposa. O serviço continua impecável e a localização privilegiada. Fui experimentar ficar na apto Supreme desse vez, pois estava só , mas precisei fazer o upgrade para o Gran Premium, onde já havia ficado. O Supreme precisa realmente de uma repaginada, pois esta já meio datado. Já o Gran Premium continua confortável e espaçoso. Gostei muito da academia, que ainda não conhecia e dessa vez não tenho nenhum reparo a fazer ao café da manhã. Enfim, continuo achando uma excelente opção de hospedagem em São Paulo."
dez. de 2022,5,Funcionários Exemplares,"Nos dias em que viajei para o Meliá Jardim Europa, o que mais me encantou foram os ótimos funcionários, com destaque para Suzy, Alex, Marcos, Fabrícia, João e, para mim, a que mais se destacou: Joelma, do serviço de quarto do 6° andar. Todo o atendimento oferecido por todos eles me satisfizeram muito, ao ponto de cogitar ainda mais retornar ao local."
dez. de 2022,2,UM HOTEL EM PLENA DECADÊNCIA,"Me hospedo no Meliá Joao Cachoeira há mais de 10 anos e é nítida a decadência e a o crescente descaso da governança e operação. Cheguei ao quarto e o banheiro estava completamente molhado, internet é ruim e lenta (2022???), durante a parte da tarde dá pane nos cartões magnéticos e ninguém consegue entrar nos quartos (já tinha acontecido outras vezes), minibar é reposto de forma irregular, não tinha sabonete na pia do banheiro, nem porta-escova de dentes (sequer copo), toalhas boas para fazer esfoliação, corredores sujos (e eu estava no piso Grand Premium), luzes do quarto nao funcionavam corretamente. Não me disseram, na recepçao, que eu teria, pelo fato de estar no Grand Premium, acesso ao café de manha na sala Level reservada. E ao final, sequer perguntaram como tinha sido a…"
nov. de 2022,5,Estadia curta mas excelente!!,"Excelente hotel, organizado, ambiente gostoso de ficar desde o saguao ao quarto. Experiencia poderia ter sido arramnhada pelo 123milhas que vendeu quarto de casal com cafe da manha, mas reservou quarto de solteiro sem cafe da manha, mas contanos com a presteza e dedicacao dos colaboradores Sergio da recepcao da noite dia dia 25/11 e do Wilker do cafe da manha no dia 26/11. que nos proporcionaram uma otima noite em cama de casal e um delicioso cafe da manha. Parabens ao Melia JDM Europa e aos colaboradores que o atestam."
nov. de 2022,1,A recepção já é horrível. Apenas duas pessoas para atender. Hotel que não vale o preço,Preço de Meliá e serviço fraquíssimo. Falta contratar funcionários e os que estão aqui não dão conta. Chega a ser ridículo. Melhor ficar no Íbis! Os funcionários da recepção sabem que a administração está errada mas eles mesmos não dão conta.
nov. de 2022,2,5 estrelas somente para quartos reformados,"Somos hóspedes frequentes do hotel. Usamos inclusive, o programa de fidelidade do Meliá.  Dessa vez ficamos decepcionados. Recebemos uma ligação para fazer um “UP Grade” 3 dias antes do nosso check-in. Como havíamos pagado uma tarifa alta, resolvemos confiar na bandeira Meliá 5 estrelas. Então recusei tal oferta….  Porém quando chegamos na recepção, fomos surpreendidos negativamente. Disseram que nossa tarifa não cobria a parte reformada do hotel, e ficaríamos no 4º andar, uma parte antiga do hotel. E para nossa surpresa nunca tínhamos ficado nessa parte que não é 5 estelas do hotel Meliá Jadim Europa. A categoria que eles titulam não reformada, tem um banheiro com um padrão muito abaixo de um hotel 5 estrelas, e os da parte reformada do hotel… aspecto sujo, rejunte com limo, piso de madeira descascando, toalhas encardidas e peças do banheiro quebradas….   Para o nosso castigo de não ter aceitado o tal “UP GRADE” não tinham pantufas e roupões, o que é de costume apresentado aos hóspedes de andares mais altos. Lençóis nada cheirosos e travesseiros surrados fazem parte do castigo de não ter aceitado o famoso “up grade” da parte reformada…. Ou seja já sabem os próximos hóspedes a ver essa mensagem… hotel só tem serviço 5 estrelas para a parte reformada   Lebre-se SÓ É 5 estralas para quem fica na parte reformada."
out. de 2022,1,Horrível,"Não usem as fotos nem o índice da avaliação daqui como referência.  Horrível, predes sujas, reboco soltando, rodapés esfarelando.  Parece um hotel de beira de estrada.  Quarto com cheiro de garo molhado.  Colchões velhos e moles (visível que já passaram do tempo de troca.  Banheiros horríveis.  Eu acho que devem ter pago para as outras pessoas avaliarem positivamente ou algo parecido, pois qualquer pessoa com o mínimo de bom censo não avaliaria isso aqui com mais de 2 estrelas (2 para estar de  Muito bom humor."
out. de 2022,1,Experiência muito ruim. Não indico.,"Atendimento da recepção muito ruim. Quarto com cheiro desagradável, velho, diferente das fotos, a pia não escorria água, entupia. Solicitei a troca de quarto na noite que chegamos, só obtive sucesso no outro dia mais de meio dia. Muita divergência de informação, no check out, se eu não me atento, não iam fazer o estorno do valor que precisei passar quando cheguei, cobraram consumo a mais no frigobar."
set. de 2022,1,Decadente,"Hotel com tarifa de 5 estrelas e serviço de 1 estrela. Estava na tarifa premium king.  Quarto velho, com cheiro , banheiro com vazamento. Atendentes sem presteza, com exceção dos funcionários do café da manhã.  Check in e check out bem demorado .  Péssimo. O pior da rede ."
set. de 2022,3,Precisa ser modernizado.,"Tv não funcionou e técnico não apareceu! Refeição no quarto REPROVÁVEL. Banheiro minúsculo. Check-in demorado. Atendimento muito bom, localização ótima, mas precisa ser modernizado. Se não for promoção, não vale o preço! Café da manhã sem nada especial."
