Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,1,Decepção,"Decepção total com a estadia. Quarto cheio de infiltração, nada funciona direito. Banheiro com banheira, ou seja, quem tem algum tipo de problema para entrar se lasca. Café da manhã ruim para um hotel caro e pela localização que está. Cobram até pelo gelo que pedem. Criamos uma expectativa que não foi nada atendida. Não consigo entender também sobre os hotéis colocarem água disponível em frigobar com sódio elevadíssimo."
uma avaliação Ontem,2,Impossível Voltar - Péssima Experiência,"Minha péssima experiência começou com a entrada que depois do check-in ao entrar no quarto vejo que o mesmo não tinha sido limpo, ainda estava com toda a bagunça do último hóspede. No dia seguinte, saio para passear com a família e ao retornar no fim do dia, novamente o quarto não está arrumado/limpo, tenho que solicitar a recepção para que o façam rapidamente. Mesmo com estes problemas tento aumentar em 1 dia minha estadia, mesmo o hotel estando vazio, não me deixam fazer pela mesma tarifa que eu tinha as reservas, resultado, reservei no Novotel, por um preço melhor e uma qualidade maior. No check-out, verificaram que me cobraram a menos no check-in, verifiquei que era isso mesmo e efetuei o pgto da diferença. Dois dias depois de sair do hotel entram em contato que esqueceram…"
dez. de 2022,5,UM ÓTIMO HOTEL !,"Ótima localização; quartos novos, amplos e confortáveis; chuveiro beleza; funcionários gentis e atenciosos; wi-fi excelente; café da manhã sem muita variedade, porém, satisfatório e mais do que suficiente. Recomendo muito ! Voltarei outras vezes, sem dúvida!"
out. de 2022,5,Perto da Paulista,"Ótimo hotel, com estrutura excelente. Banheira nos quartos, o que possibilita relaxar após o dia de férias / trabalho. O café da manhã é delicioso e a equipe super atenciosa. Não é tão perto da Paulista, então, prepare o Uber. Perto de Shopping e do Carrefour. Quem quer um sushi perfeito, fica perto do Mori Ota também"
out. de 2022,4,Fim de semana com Amigos em SP,Atendimento ok! Nada a reclamar. Localização Perfeita. Perto de bons restaurantes e casa nortunas. Bairro seguro. Acomodação otima. Custo benefício otimo. Muito bem cuidado. Foi uma experiência agradável.
out. de 2022,4,Básico bom,"Check in rápido , preço justo, ótima academia , frigobar bem abastecido , serviço de quarto bom e localização excelente .  Pontos negativos : café da manhã muito básico , mesas sem jogos americano ) apartamento camas de solteiro com colchão ruim , toalhas muito gastas."
set. de 2022,4,Ótima Opção próximo à Paulista,"Hotel com ótima estrutura e localização, a poucas quadras da Avenida Paulista. Atendimento muito cordial do staff. Quarto muito confortável, com mesinha de trabalho e varanda, além de banheira na suíte. Ficamos bastante satisfeitos."
ago. de 2022,5,Excelente estrutura e localização,"O atendimento é muito cordial, os quartos são enormes e bastante confortáveis e o café da manhã é ótimo. Eles possuem depósito de malas onde gentilmente acomodaram nossas bagagens antes do início da nossa diária. O banheiro é confortável e os chuveiros tem boa pressão e temperatura de água."
ago. de 2022,5,Hotel muito bom e bem localizado!,"Hotel muito bom! Ótima localização com fácil acesso à paulista, shopping, mercado e tem até um feira bem próximo do hotel. O café da manhã tem várias opções, é muito bem servido! Os quartos são bem aconchegantes e iluminados, e as camas super confortáveis! O espaço pra colocar as roupas é bem grande também! Fiquei em um quarto executivo e era bem grande. Muito bom!"
ago. de 2022,5,"Praticidade, conforto e custo beneficio","Hotel com excelente localização, perto de excelentes restaurantes, oferece conforto nos quartos, excelente atendimento, estacionamento e cafe da manha opcional e disponvel com qualidade, farmacias e mercadinhos proximos, aliado a tranquilidade do bairro."
jul. de 2022,3,Bom,"Bem localizado, mas numa região onde td é bem caro! O hotel em si é reformado... acho que poderiam atualizar mais no geral, tudo meio antigo no quarto... o café achei bem básico. Comida do restaurante razoável tbem. Atendimento bom no geral."
jun. de 2022,4,Excelente localização,"Hotel com uma excelente localização e em um bairro maravilhoso.  Pontos positivos: Gostamos muito dos funcionários, são extremamente atenciosos e prestativos e o café da manhã superbacana.    Pontos negativos: Na real não interferiu em nada nossa estadia. Mas, o mobiliário é antigo(porém, bem úteis e conservadissímos.  Tivemos dois probleminhas e foram resolvidos de forma tão rápida que não abalou em nada nosso dia e só mostrou o quanto os funcionários estão bem preparados.    Com toda certeza, voltaremos."
jun. de 2022,1,Quarto com chão imundo e o pior café da manhã que já tive o desprazer de pagar.,"Hotel caro e péssimo. Paguei R$419 na diária.  O quarto é grande, a cama barulhenta, ar condicionado velho, e o chão estava imundo, digo imundo mesmo, andei descalço e meu pé ficou preto, só varem e não passam nem pano.  O café da manhã foi uma grande vergonha, simplesmente pior que muito hotel de quinta categoria, começando pelo suco, que era suco artificial daqueles em pó, NÃO oferecem nem suco natural.  Pouquíssimas opções de pães e 1 tipo de bolo somente, não tinha manteiga, não tinha leite disponível, tive que comer sem garfo porque simplesmente não colocava, parece que não tinha ninguém pra lavar, o atendimento era péssimo, faltava 1h para encerrar o café e o cara de pau do atendente disse que estava ruim daquele jeito por conta do horário, não tinha pratos disponíveis, faltou copo, foi um caos, uma grande falta de respeito pagar tão caro por um quarto sujo e um café da manhã de hotel beira de estrada.  Nunca mais me hospedo nesta rede."
jun. de 2022,3,Não vale o preço e mofo,"O hotel em si fica bem localizado, mas infelizmente os quartos são antigos, chão com grandes desníveis, parece que você sobe e desce uma pequena montanha. Mas o pior de tudo é o banheiro com uma marca de mofo imensa. Infelizmente não vale o preço pago, quarto 1211."
jun. de 2022,3,Uma má experiência.,"O Hotel pode, mesmo que provisório, não ter um restaurante. Contudo não ter um bar, o qual no mínimo sirva um café, não tem muita lógica. É descaso com o cliente. O hotel outrora foi muito mais limpo, conservado e principalmente focado no atendimento ao cliente."
jun. de 2022,5,Excelente experiência,"Hotel com excelente localização.    Dá para ir caminhando tanto até a Avenida Paulista como ao Parque Ibirapuera tranquilamente, bem seguro.    Ao lado do hotel tem uma farmácia 24hrs e uma padaria (Santa Etienne) também 24hrs que é espetacular.    O quarto e banheiro são bem amplos e limpos e os atendentes são bem prestativos e atenciosos.    Certamente recomendo e voltarei a me hospedar."
mai. de 2022,2,A única coisa que compensa é a localização!,"A única coisa que compensa nesse hotel e a localização porque ele e muito próximo a paulista, No mais, nada vale a pena! As camas não cabem seu corpo inteiro. O hotel e bem antigo. O café da manha é pessimo. Os paes servidos são duros, Os ovos ressecados . Não ha restaurante. Sempre voce precisa pegar uber para fazer as refeições. proximos a ele nao ha farmacia, nem padaria."
mai. de 2022,2,Péssima experiência.,"O quarto é Velho, com as paredes sujas.  As camas de solteiro são muito pequenas, solicitei troca de cama de quarto mas o hotel não permitiu.  O hotel não tem serviço de quarto para refeições. O ar condicionado é velho e faz muito barulho.  Comprei pelo Decolar e não deixou claro que a compra era de solteiro."
abr. de 2022,2,Deveriam melhorar na limpeza e conservação dos quartos.,"Foi a primeira vez que me hospedei nesta rede, este final de semana que passou, e fiquei bem decepcionado.  O Quarto 107 no primeiro andar, foi desde poeira, traças nas paredes e cortinas, ar condicionado que não desliga, banheira suja que não funciona, até roupas íntimas de hóspedes caídas no telhado da piscina abaixo da sacada.  Mandei Fotos no e-mail encontrado no site para efetuar reservas, porém sem retorno.  Decepção total!"
mar. de 2022,2,Não vale,"A localização é boa, mas os pontos positivos param por aí. A sensação é de que o hotel está bem largado e sem manutenção. Quartos mal cuidados, com acabamentos já aos pedaços. No mais, a toalha é ruim, as cobertas são finas, o atendimento é pouco educado e despreparado."
nov. de 2021,1,Decepcionante,"Hotel em decadência, tv que sai fora do ar, banheiro com banheira velha e chuveiro baixo. Quem é alto não toma banho direito. Idoso ou quem problema de mobilidade não deve ficar lá. No café da manhã peguei um prato sujo, o café era horrível e meu marido pegou um pão achando que tinha açucar de confeiteiro. Ledo engano, era farinha, muita farinha branca em cima do pão.  Nos decepcionamos pois conhecemos outros qualitys que é bem melhor que este."
out. de 2021,2,Péssimo atendimento e compreensão.,"Acabei de chegar (13h15) com meus pais idosos de 75 anos para o checkin, a Recepicionista disse q só poderia fazer as 14h, tentei com muita gentileza pedir que ela me antecipasse em exatamente 45 min, a mesma me informou que somente poderia fazer se eu pagasse meia diária, tentei argumentar mas a mesma foi inflexível.    Decepcionado com esse atendimento."
out. de 2021,1,Hotel caríssimo e pessimo,"Hotel péssimo, cheiro do quarto de coisa velha, mofada, sofá encardido, lençóis cheiram a pura cândida. Pra ajudar tem um sensor no quarto que fica piscando a noite toda, parece uma balada, não te deixa dormir. Barulhento. Atendimento ruim na recepção, muito lento, pouco automatizado, não acham sua reserva, não tem check in online."
set. de 2021,4,A limpeza podia ser melhor,"Bom quarto, espaçoso, porém bem antigo. Achei que a limpeza dos banheiros poderia ser melhor vaso sanitário e azulejos encardidos.    Roupa de cama e cama de boa qualidade, possui uma sacadinha que ventila bem o quarto, café da manhã bom, com poucas opções mas suficiente para começar o dia.    Bem localizado, perto de bons shoppings e vários locais para ir a pé."
set. de 2021,3,Minha única reclamação é o café.,"Não sei se eu dei sorte, mas minha única reclamação com este hotel é o café da manhã, que de fato é fraco. Não há variação dos itens, que por sinal são bem poucos. Já viajei bastante e o café do Quality Jardins é bem sofrível. De resto, não tenho queixas. O meu quarto estava bem limpo e foi limpo pela camareira todos os dias da minha estada, com a troca inclusive de toalhas e roupa de cama( o que achei curioso isso ocorrer em tempos de pandemia). O quarto aliás é espaçoso e confortável, não tenho queixas. Não tenho queixas também com relação ao atendimento de modo geral."
ago. de 2021,2,Triste!,"Considerando que os quartos são ok, apesar da manutenção não estar a contento, nos passou a ideia que esta unidade está em decadência ou prestes a fechar. Restaurante sem taças de vinho e com itens faltantes do cardápio. Os funcionários visivelmente constrangidos, mas tentando atender sem estrutura.  Qualidade da refeição disponível estava ruim."
jun. de 2021,2,HOTEL PARA ANÕES!,"Com todo o respeito a quem tem inanição, este hotel deveria reduzir os preços de suas diárias, pois atende um público de pessoas com menos de 1,60 de altura. Não existem camas Queen ou King nos apartamentos. O banheiro tem uma ducha na parede com uma pequena banheira dentro do box, o que dificulta até mesmo a entrada de pessoas idosas e obesas. Se você é grande como eu, ainda consegue tomar banho inclinando o tronco. De bom tem o café da manhã. Mas ... desconforto é imperdoável"
jun. de 2021,2,Hotel velho e quarto terrível,"Estamos chocados com a falta de qualidade em tudo. O quarto com cara de velho, cortinas sujas e fedidas, aparência do quarto péssima. Banheiro cheio de limbo, uma televisão que é velha com imagem de péssima qualidade. Roupa de cama e toalhas com cheiro de limpeza ruim.  Não tem roupão, edredom para um dia frio. Simplesmente fora do esperado! Não vale!"
mai. de 2021,3,Poderia melhorar e muito o café da manhã.,"Deixou a desejar no café da manhã. Pela categoria do hotel, localização, etc, pensei que fosse um buffet que representasse a marca. Mas me decepcionei. Em relação ao café, não indicaria o hotel. Fiquei em uma cama de casal que o colchão estava via isso, com declive enorme, o que atrapalhou a qualidade do meu sono. Nos demais quesitos, vale a pena."
mai. de 2021,1,Pior café da manhã que já vivenciamos,"Pior café da manhã que já tivemos, passamos no máximo 15 minutos no café por não ter variedade. O hotel acha que os clientes só comem pão. Só dava variedade daqueles pães bolinha. Fizeram massinha de mini panquecas mas esqueceram o que íamos colocar na panqueca, coloquei no prato mas não havia com o que comer. Os ovos estavam frios. O pão francês disponível em pouca quantidade estava duro e branco, quando fomos tentar ver se apareceu algo de diferente notamos que o pão francês já não tinha mais e não foi reposto. Havia frios, manteiga, sucos, e pouca variedade de frutas. A máquina do café só havia opção de curto e longo e água somente. A salsicha cheia de folhas de louro e fria, e havia uma “torta” de “frios” casca dura, fria e acredito q era ( sabor frios) pq nem dividindo ao meio a “torta” dava pra identificar frios na mesma. Apenas um atendente para recolher os utensílios, ir à cozinha levar, voltar para abastecer, ou seja era muita coisa, o rapaz coitado trabalha por 3 ali. Enfim não adianta ter o quarto legal, atendimento ok, e o café da manhã péssimo. O hotel tem que pensar como uma engrenagem “uma pecinha depende da outra”. Se a pessoa quiser ir ao hotel só pra dormir e ir embora ok, mas definitivamente se quiser viver a experiência de um hotel não é esse que ela vai experimentar o que é realmente. E coitado de quem for pela primeira vez em um hotel e experienciar isso e achar que atendimento de hotel é assim pq não é, já tivemos experiência em o  Hotel até mais um pouco mais simples que esse onde o café da manhã não deixa nada a desejar. Estava incluso no valor mas vimos q se fosse pagar sairia 28 por pessoa e não vale nem 10 reais ."
mai. de 2021,5,excelente,"excelente serviço levando-se em consideração a uma estadia de trabalho, conseguiu manter um padrão de qualidade, mesmo na vigência de pandemia, que compromete os serviços de forma geral, altamente recomendado"
