Data da opinião,Nota,Título,Conteúdo
2 de jan.,2,Hotel ruim,"Limpeza ruim, roupa de cama estava suja tivemos q pedir para trocar, barulho do avião pois está ao lado da pista do aeroporto, café da manhã estava ok. Atendimento foi bom. O primeiro quarto cheirava cigarro, tivemos q pedir pra trocar de quarto."
dez. de 2022,3,Péssimo custo x benefício,"Quarto parecendo um calabouço - número 205. O sistema de TV do hotel simplesmente não funciona! Fiquei por quatro vezes, em quartos diferentes, e em nenhum deles os canais sintonizavam em nada! Em tempos de Copa do Mundo ficar sem TV é péssimo! Atendimento tenebroso por duas senhoritas na recepção. Parece que você está pedindo um favor. O quarto é antigo, sem luz de cabeceira, e somente uma lâmpada amarela e fraca. Móveis antigos. O banho do quarto ao lado fica colado à parede da cabeceira da cama neste quarto: todos os banhos são ouvidos! É um péssimo custo x benefício para os viajantes. Somente o serviço de restaurante e copa é impecável, o que não permite que eu dê a pior nota ao hotel."
nov. de 2022,1,horrível,"Atendimento das recepcionistas super educadas, mas o quarto... tinha bolas de sujeira com cabelo, o corredor cheio de reparos, banheiro sujo, não tinha sabonete, shampo..como era apenas uma noite (cheguei as 22:00 e fomos embora as 06:30) não reclamamos, apesar de pagar R$450,00 praticamente! o café é bom, até ai tudo bem. Quando cheguei no meu destino me dei falta de um sapato, liguei e falei com a Ingrid (todos são super simpaticos), porém a resposta que tive foi que a governanta não encontrou nada no quarto, no mínimo estranho. Fiquei bem decepcionada e com certeza não voltarei."
nov. de 2022,1,Pior experiência do mundo!,"No check in recebi a chave de um quarto que não foi limpo… toalhas jogadas no banheiro, cobertor revirado. No segundo quarto, muita sujeira nas bancadas - comida do hóspede anterior e formigas. O box, uma imundície. TV e ar condicionado sem funcionamento. Não é um hotel, é um cárcere privado. Fiquei com nojo. Não volto nunca mais. Nota: não reclamei do segundo quarto porque vi que infelizmente era o padrão de lá: pulgueiro."
nov. de 2022,5,Atendimento que ganha o cliente,"Adorei a experiência no Slim, principalmente por quão gentis são os recepcionistas Fernanda, que fiquei impressionado com o inglês dela e o Gabriel, ambos super atenciosos. Tive que perguntar pra outra recepcionista em outro horário para saber o nome deles e avaliar."
set. de 2022,3,Precisa de umas melhorias,"Hotel com uma localização muito boa e prática, ao lado do aeroporto. Quarto mediano, lençóis velhos e desgastados; chuveiro muita pressão com pouca queda de agua. O café é bom possui algumas opções de frutas, bolos e salgados. Os funcionários são bem cordiais e prestativos. Hotel que você consegue dormir até as 6:00 da manhã, após esse horário abre o aeroporto é quase impossível continuar descansando, a acústica deixa a desejar."
set. de 2022,1,Quantos imundos e barulhentos,"Péssimo! Nunca fiquei em ligar tão sujo, estava imundo. Poeira, roupa de cama amarela e suada e tinha muito cabelo, então pedi para mudar de quarto o segundo quarto a roupa de cama estava aceitável… mas no caso tinha fezes!!! Acreditem fezes sem dar descarga, enfim eu joguei sabonete, shampoo e tudo mais pq já vi que não existe limpeza, fora o barulho de encanamento e da rodovia, tem zero vedação acústica… enfim não recomendo a ninguém!"
set. de 2022,4,Nota 10 para recepção e ZERO para pessoal da limpeza.,"Nota 10 para os funcionários da recepção e do restaurante, são simpáticos, atenciosos e sempre com um sorriso no rosto. Só tenho que agradecer a acolhida e a ajuda que me deram qdo precisei, só não cito nomes, pq posso esquecer algum e correr o risco de algum ficar de fora.  Localização excelente, quarto com tamanho ideal.    Nota zero para os funcionários da limpeza, que ficam fazendo barulho e conversando alto no corredor, devendo ser por isso que os azulejos dos boxes dos banheiros são sujos no rejunte, chegando a ser preto e nojento, infelizmente não tirei nenhuma foto para registrar.  Isso realmente tem que melhorar."
ago. de 2022,2,Não consegui descansar,"Quarto cheirando a tinta, precisei deixar a janela aberta para tentar suportar o cheiro, daí não dormia por conta do barulho dos aviões. Roupa de cama inadequada para o colchão. Travesseiro mais parecia uma pedra de tão duro. Faltava cobertor no quarto, faltava toalha.  Chuveiro bem ruim….  Quarto espaçoso.  Não tem serviço de quarto, vc pode pedir a refeição mas tem que ir retirar no restaurante.  Não possui mais translado para o aeroporto."
ago. de 2022,1,Sujo e barulho absurdo,"Fiquei hospedada de 01/08/22 a 04/08/22 , foi o pior hotel que já fiquei, extremamente sujo, quarto e banheiros cheios de cabelo e sujeiras, a cama horrível, roupa de cama ate transparente de tão velha, estava frio e pedi cobertor e fui informada que não tinha.  O banheiro era o caos total, área de box extremamente pequena, a agua ou ficava gelada ou quente, não tinha como temperar, o banheiro estava um nojo.  O barulho do aeroporto é ensurdecedor nos quartos, a acústica é terrível, além de escutar o quarto , corredores..  Só funcionava um elevador, ficávamos muito tempo aguardando.  Nem de graça vale se hospedar."
jul. de 2022,1,"Nojento, sujo, chiqueiro","Hotel mais sujo e nojento que eu já me hospedei!  Absurdo, banheiro sujo, roupa de cama nojenta, um horror!!  JAMAIS coloco o pé aqui!  Solicitei a recepção que limpassem meu quarto e nem se quer foram,  Todos nos corredores falam a mesma coisa, um nojo total! Não foi azar de ser meu quarto!"
jun. de 2022,3,Hotel com quartos simples,"Na primeira vista o hotel parece ser excelente, mas o acesso ao quarto onde fiquei, era pelo elevador de serviços e o quarto super simples, sem nenhuma informação como contato da recepção, horários do café da manhã e restaurante.  Lado bom dois quarteirões do aeroporto e o preço era mais em conta."
mai. de 2022,2,Não gostei do hotel.,"Não gostei do hotel.  O chuveiro a todo momento saia uma água gelada, mesmo depois de regular as torneiras quente e o frio, não havia um cobertor no quarto apesar do frio de 5° e a comida do almoço era bem fraca.  O acesso ao quarto era somente pelo elevador de serviços, o mesmo demorava muito para chegar e quando chegava quase sempre estava lotado de gente."
mai. de 2022,1,Cuidado!!! Overbooking,"Pior experiência, depois de mais de 6h de viagem chegamos ao Hotel próximo das 22h20 para fazermos o check-in para poder descansar até as 4h para pegar voo em Congonhas. Em resumo não tinha quarto disponível apesar de ter reserva garantida, não conseguiram acomodar em outro hotel, só conseguimos uma cama próximo das 1h da manhã, por conta da ajuda do segurança que ajudou a limpar e colocar lençóis limpos no apartamento.    Entendi que o problema é de gestão e não nas pessoas que estavam lá trabalhando, pois realmente eu ouvi eles ligando para outros hotéis da rede onde não conseguiam resolver, bem como ligando para hotéis de redes concorrentes, porém parece que estes não permitiam o faturamento para Slaviero. O ponto ruim do funcionário do atendimento é que ele tentou me induzir a cancelar e que ele colocaria uma observação para não cobrar a multa de mim ( veja o absurdo que seria o hotel estar em over e eu ainda teria que pagar uma multa) a minha reserva e eu pagar para o outro hotel, porém o valor seria bem maior e eu sairia no prejuízo, infelizmente acho que não era índole do colaborador mas sim a orientação que foi passada pela sua administração.    Pelo que pude entender tiveram falta de funcionários, pois o atendente tentava ligar para chamar alguém e essa pessoa não atendia e no final acharam quartos disponíveis porém não limpos, onde o segurança ( aquele que normalmente fica ali fora da porta) junto com outro rapaz foram com carinho de limpeza e fizeram oque puderam para nós podermos descansar algumas horas. Essa situação foi com mais de 10 pessoas e pelo que entendi não foi o primeiro dia que aconteceu"
