Data da opinião,Nota,Título,Conteúdo
1 de jan.,5,Leonardo Ramos - Gran Estanplaza Berrini,"Iniciar um ano com um café da manhã maravilhoso, atendimento 6 estrelas, em um hotel 5 estrelas, ao som de piano, somente sendo um presente de Deus. PARABÉNS LÉO, brilhante, PARABÉNS equipe maravilhosa do café, jantar ou recepção- Michele- que mais aparentava ser a ser um gerente, somente quem AMA seu trabalho, para atender tão bem."
1 de jan.,5,Café da manhã do hotel e músico são tops!!,"O hotel oferece um café da manhã sensacional! O pianista é muito bom e deixa e a música dele deixa o ambiente ainda melhor!! Vale ressaltar a arquitetura do lugar, tudo muito lindo. Voltarei com certeza. Foi uma ótima experiência."
dez. de 2022,5,Gran Estanplaza Berrini,"Otima estrutura, quartos, cafe da manha, equipe, limpeza. Ja fomos 2 vezes ao hotel e continuamos indicando. Quartos amplos e confortaveis limpos, wifi com boa coneccao, cafe da manha com muita variedade e qualidade, equipe muito atenciosa e prestativa."
dez. de 2022,5,Café de Natal,"Tudo perfeito nos mínimos detalhes. Desde a recepção com muita simpatia, presteza e eficiência. Os ambientes são funcionais mas sem perder o charme e o aconchego. Os cardápios são diversificados, sofisticados e saborosos denotando muito capricho na preparação."
dez. de 2022,5,Café da manhã SENSACIONAL,"O melhor café da manhã, ao som do pianista magnífico Léo, muito talentoso, atencioso e simpático. O buffet completo com ótimas opções de frutas, pães e bolos, tem a cozinha show que prepara na hora omeletes e tapiocas. Ótimas opções de sucos e danones."
dez. de 2022,5,Maravilhoso,"Tomar o café da manhã ao som de um bom piano é uma experiência incrível e um grande diferencial. O pianista Leonardo da um show de talento e simpatia.. Minha filha caçula foi quem mais curtiu, até pediu música. Amamos!!!!"
dez. de 2022,5,Aniversário de casamento,"Sensacional o atendimento, ambiente, música e comida. Casamos no hotel há 11 anos atrás e hoje estamos comemorando nosso 11 aniversário de casamento. O hotel continua muito sensacional. Leonardo no piano é muito bom, toca vários tipos de músicas e ritimos atendendo a todos os tipos e estilos de gostos musicais."
dez. de 2022,5,Excelente experiência,"Atendimento, cordialidade de todos os funcionários,  Tomar um café da manhã fantástico ouvindo um excelente pianista, uma experiência única.  Linda arquitetura do Hotel e localização estratégica  Recomendo"
dez. de 2022,5,Show,"Música suave, vários estilos!! Perfeito!!!  Nós da Zurich Filial de São José do Rio Preto sentamos ao lado do pianista e tomamos um café ao som do Leonardo!!! Melhor café da semana!!  Amanhã na nossa despedida da convenção de vendas iremos novamente repetir este café ao som de piano!!!"
dez. de 2022,4,Ótima localização,"Hotel com excelente localização com atendimento ótimo e ótima estrutura. O café da manhã acho que poderia ser melhor pelo nível do hotel. O Quarto é bom, com ótima cama e local para trabalhar com conforto. Achei um pouco barulhento com ruídos vindo da rua."
nov. de 2022,5,Uma das melhores experiências em hospedagem,"O hotel é simplesmente fantástico, desde o atendimento na recepção, a estrutura e decoração clássica e elegante, sem contar o pianista Léo que torna os cafés da manhã ainda mais agradáveis! Uma experiência incrível, recomendo!"
nov. de 2022,5,Pianista do café,"Léo é excelente! Música de boa qualidade e uma educação exemplar. Café de boníssima qualidade, todos muito educados e prestativos. Amamos a nossa estadia! Com certeza recomendaremos e viremos mais vezes"
nov. de 2022,5,Excelente,"Estadia excelente, quarto maravilhoso!!  Localizado ótima.  Comida espetacular.  Café da manhã incrível ao som do pianista Leonardo Ramos, as manhãs ficaram muito mais especiais, deu toda a diferença no ambiente do café.  Recomendo."
nov. de 2022,5,Música no café da manhã,"O hotel além de bem localizado o ponto forte está no café da manhã, com ótimas opções e variedade, o ponto alto está no pianista Leo que toca diariamente um excelente repertório, e assim começando o dia com boas energias."
nov. de 2022,5,Piano no café de domingo,"Comemoramos 5 anos juntos no hotel esse fim de semana. Tudo muito limpo, ótimo atendimento. Para finalizar, tivemos a ótima experiência de desfrutar o café da manhã do domingo com música ao vivo. Leonardo, o pianista, muuuuito bom e atencioso. Gostamos muito! Parabéns!"
nov. de 2022,5,Sensacional,"Hotel impecável. Café da manhã maravilhoso. Funcionários educados e prestativos.  O piano no café da manhã, sensacional.  Super indico a estadia, tudo muito bem organizado, todos extremamente gentis.  Melhor estadia que passei em São Paulo."
nov. de 2022,5,Aconchegante e excelente café da manhã,Ótima recepção e hospedagem. Equipe competente e um café da manhã maravilhoso. A família gostou e aprovou. Localização maravilhosa tanto para negócios quanto para alimentação e lazer. 👏🏼👏🏼👏🏼 retornaria ao mesmo hotel com minha família sem qualquer questão a ser apresentada.
