Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Hostel incrível!,"Vim passar um tempo em SP e fazer amizades, vim pro lugar certo, o espaço é super descontraído, todos os dias tem eventos e a equipe é incrivelmente boa! o Hostel é bonito e os quartos são tranquilos para dormir"
dez. de 2022,5,"O nome já diz tudo, me senti em casa!","Minha primeira experiência com hostel, tinha um certo medinho de ficar em hostel, imaginava um lugar totalmente diferente do que encontrei aqui, ao entrar no hostel já fui super bem recepcionado, fiz varias amizades, com certeza um lugar que voltarei!"
out. de 2022,5,Melhor opção em SP,"A estrutura do Ô é excelente, conta com bar e opções de comida que são uma delícia, as camas tem uma persiana que trás mais privacidade mesmo no quarto compartilhado, adorei! Mas para a equipe faltam palavras! Galera do bem, alto astral, vibram amor :) Não vejo a hora de voltar, além da localização ser excelente, perto de tudo e com excelente opções de restaurantes e bares na mesma rua."
out. de 2022,5,"Você se sente em casa! As pessoas que trabalham no hostel sao incríveis, uma energia singular. Tudo muito organizado ❤️","Roupas de cama limpinhas e cheirosas, cozinha magnífica, banheiros limpos e com secador de cabelo. Nos finais de semana tem baladinha, free shot e todo mundo acaba ficando amigo! A energia desse hostel me marcou muito, minha casa em Sampa é aqui 💙"
out. de 2022,5,"Ô de Casa, vem que tá em casa","Como um bom pernambucano aqui é MASSA. Melhor localização, melhor pessoas com ênfase para a melhor recepção de Helaine, melhores drinks Lucas Dias ( A máquina), e com o melhor da festa (anima até enterro) GuiTommy. É a melhor que tá tendo, não sou que falo , é o povo que tá dizendo. Localização em pinheiros, perto de tudo e de todos"
out. de 2022,5,"Melhor hostel de São Paulo, incrível","Quarto super aconchegante, atendimento nota mil, funcionários maravilhosos e lindos, bebida muito gostosa, as festas a noite são muito animadas, o ambiente compartilhado é muito diferente e verde, os banheiros são bem limpinhos,"
out. de 2022,5,Minha primeira vez na Ô DE CASA e eu AMEI,Muito bom. Uma experiência INCRÍVEL é super prazeirosa  ambiente tranquilo e super divertido. Fora do tradicional de hotel. Uma pegada super “COOL”  E a parte de ter um bar junto com a hospedagem é o mais gosto
out. de 2022,5,Melhor hostel de SP,"Atendimento sempre massa da galera, um salve especial pro Salo, Gi e Mari. O bar do hostel é bem legal e reune sempre a galera. Vale a pena colar aqui para tomar umas caipirinhas/vinho/cervejinha 💛 💛"
out. de 2022,5,O lugar que todo mundo precisa conhecer!,"A entrada colorida entrada da casinha é um portal. Ao entrar, a boa música brasileiro sempre tocando já dá o tom da experiência. Com um bar aberto para uma das principais ruas da animada Vila Madalena, o Hostel se tornou um ponto de encontro de turistas e paulistanos, gente que vai experimentar um dos deliciosos lanches, tomar bons drinks ou uma cerveja sempre gelada e trocar ideia, experiências e vivências! A equipe é um capítulo a parte. Receptivos e animados, fazem você se sentir em casa já na hora do check-in. A estrutura da casa é incrível e a manutenção é constante. Toda vez que me hospedo tem alguma novidade, um detalhe pensado pra melhorar ainda mais a estadia. Tem quartos para todos os gostos e bolsos. Os compartilhados são muito confortáveis, com opção de camas que dão mais privacidade com cortinas e lockers, alem de um pequeno cofre em cada cama para coisas de mais valor. Os privativos são ótimos, muito bem decorados e ideais para amigos, casais e até para quem está viajando a trabalho, com direito até a mesinha e sofá, criando uma sala privativa no quarto. Plantas por todos os lados garantem que, mesmo estando no meio da metrópole, a gente acorde com passaros cantando. Seja em grupo, casal ou viagem solo, com certeza vale a pena se hospedar e ver de perto porque eles são premiados há anos entre os melhores hostels do mundo."
out. de 2022,5,Melhor experiência de estadia 💜,"O lugar é maravilhoso! Muito bem localizado, uma oportunidade incrível pra conhecer novas pessoas e os funcionários são MUITO educados! Com certeza vou voltar! O hostel tem um espaço aconchegante! Adorei 💜"
out. de 2022,5,Melhor hostel,"O melhor ambiente, pessoas incríveis e experiência única. Melhor local para criar vários momentos, histórias. Local seguro, com diversas opções de lazer e entretenimento. Vale muito a pena se hospedar aqui."
set. de 2022,5,Hostel Ô de Casa,Hostel confortável! Amigável! Ambiente super limpo e atendimento MUITOOOO BOM! Atenciosos e preocupados com o seu conforto e risada! 🤪 bar com bebidas e comidas ótimas!  Voltei e sempre voltarei! VALE MUITO!
set. de 2022,5,Trem bão é coisa boa,Muito bom o atendimento em todos os aspectos. Estrutura e a galera que trabalha são 10/10. Parabéns aos envolvidos e um salve especial pra amiga que faz o almoço delícia no Hostel. Abraço pra galera do O de Casa.
set. de 2022,5,Hostel Ô de Casa,"Experiência incrível. Hostel muito animado, ótima localização, programações durante o dia e noite. Staff muito acolhedor. Banheiros bem limpos. Voltarei em breve com toda certeza, virou minha casa em Sp. Recomendo!!"
set. de 2022,5,Lugar favorito de SP,"Não tem como pensar em SP sem pensar no Ô de Casa. Melhor equipe que te faz se sentir a vontade, ambiente lindo demais e bar sensacional. Destaque para o terraço e a cachoeira, que por sinal nunca fui em um hostel com uma igual!"
set. de 2022,5,Melhor hostel de São Paulooo!,"Não me canso desse lugar, já virou minha casinha de são paulo! Bar com os melhores drinks, os melhores djs e, claro, o melhor staff da vida! Recomendo super para todos os viajantes solo desse Brasil, vocês com certeza terão companhia para rolezar por sp!"
set. de 2022,5,Minha estadia,"Passei dois dias no hostel a trabalho e foi perfeito pra mim! Ótima localização, bastante estabelecimentos comerciais por perto, então você se vira bem sem carro.  Tem vários ambientes pra você relaxar e trabalhar, ótimo atendimento e comidinhas :)"
set. de 2022,5,Divertido,"Tanto o hostel quanto o ambiente do bar são muito divertidos e conhecer pessoas é muito fácil. Adoro o ambiente e todos os staffs são muito amigáveis. Um beijo especial para o Lucas e para a Gi, eles são incríveis :)"
set. de 2022,5,Melhor hostel do Brasil,"Pra começar, a localização é muito boa! O staff é muito prestativo e solícito. O bar tem vários tipos de lanches e a cerveja tá sempre gelada, sem contar o café gratuito na parte da manhã. O lugar é excelente pra quem quer conhecer gente diferente, inclusive de outros países. Tem DJs em vários dias da semana e na parte da noite fazem uns jogos, como beer pong. Recomendo demais!"
set. de 2022,5,Melhor hostel de SP,"Vim para SP com um turma de faculdade e não poderíamos ter escolhido um hostel melhor desde o atendimento inicial, os espaços internos com áreas verdes e terraço tornam o ambiente mt mais aconchegante, a localização dele na Vila Madalena proporcionando que os hóspedes possam fazer mts coisas a pé e por fim não poderia deixar de elogiar o bar e os funcionários pq a vibe que eles passam tornam toda a experiência ainda melhor (jogos, bebidas, karaokê).    Com certeza eu voltarei!"
set. de 2022,5,Maravilhoso,"Na chegada ate a saída o aolhimento de casa mesmo. Tudo limpo e organizado, os quartos, banheiros e areas clmuns. Atendimento excepcional de todo o stadd. Nota 1000! Café da manhã uma delícia, com ótimas opções e preços justos. Amei tudo, a galera e a vibe incriveis"
set. de 2022,5,Melhor experiência em SP,"Vim para SP em outro Hostel, mas conhecendo o O DE CASA, me mudei para cá na hora!l    Lugar aconchegante, com áreas verdes e cascata, opções de quartos e um bar que não deixa nada a desejar para qualquer bar da Vila Madalena.    A mesa de beeebong faz sucesso com suas disputas valendo cerveja. Tive meus momentos de glória!!! Kkk    Pessoal que trabalha são muito prestativos e animados! Parabéns rapaziada, pelo ótimo atendimento.    Certamente, em breve, estou de volta!"
set. de 2022,5,Melhor hostel de SP,"A localização na Vila Madalena é perfeita para fazer passeios a pé, sem gastar muito com transporte. Ótima recepção do início ao fim, boa estrutura e condição dos quartos, assim como dos espaços de convivência. Perfeito para uma experiência divertida e espontânea."
set. de 2022,5,Top,Top de mais o lugar voltarei sempre que estiver em São Paulo é tão bom que nem dá vontade de ir embora show estão de parabéns    Obg especial ao tomi parabéns a todos envolvidos foi uma das minhas melhores experiências
set. de 2022,5,Viagem de negócios,"Excelente, nota 10! Ótima localização com inúmeros bares, restaurantes e muita animação na vila madalena, o bar do hostel é sensacional, integra todos os hóspedes, não tem como se sentir sozinho hospedado no Ô! A equipe é topissima, sempre pronta para nós atender!!! Quarto com ar-condicionado e aconchegante, muitos travesseiros!!! realmente me senti em casa! Espetacular"
set. de 2022,5,O hostel mais top,Lugar muito lindo. Como Designer de Interiores achei uma graça e muito bem aproveitado os espaços; um estilo dinâmico e feito com histórias para contar. Muito funcional e equipe top. Segunda vez que me hospedo aqui por 1 semana. Voltarei.
set. de 2022,5,Experiência incrível,"Uma experiência incrível nesse hostel, a galera com a vibe muitoooo boa, os quartos arrumadinhos, fui super bem atendida em todos os setores... Já é o meu lugar favorito para ficar em São Paulo, pretendo voltar sempre!!"
set. de 2022,5,Maravilhoso!,"Passei 6 dias aqui e foram incríveis! O pessoal que trabalha aqui é super solícito, sempre dispostos a ajudar. Lugar muito animado, o bar é maravilhoso.. A caipirinha é uma das melhores que já tomei. Certamente voltarei pra cá novamente"
set. de 2022,5,Hostel mais lindo,"Hostel muito bom, acomodações ótimas e o ambiente do bar proporciona uma interação entre hóspedes que é sensacional. Hostel mais animado de SP. Por ter muita gente de fora proporciona ainda a oportunidade de melhorar o conhecimento em outras línguas."
