Data da opinião,Nota,Título,Conteúdo
2 de jan.,5,"Ótimo hotel, bem no coração do Itaim","Hotel no coração do Itaim, região repleta de bares e lugares para sair a noite. O hotel em si é muito bom, confortável, aconchegante, funcionários educados e cordiais, com a ressalva que o checkin é lento, mas isso parece ser um problema em todos os hotéis do país, infelizmente. O quarto é amplo e muito confortável, dá para se ter uma ótima noite de sono. O banheiro é ainda melhor, amplo, moderno com boa ducha, gostei muito. O café da manhã é sensacional, não tinha tanta variedade mas eram produtos de alta qualidade, muito selecionados, eu adorei. Os andares são bem servidos de elevadores, que funcionam bem e são rápidos, assim como o wifi. Fiquei hospedado para negócios, não tive tempo para desfrutar mais das instalações e da região, uma pena."
ago. de 2022,5,Ótimo atendimento!,Estive no hotel cm meus amigos e tivemos um EXCELENTE atendimento pelo querido Antônio melhor atendimento que já tive em hotelaria mto Obrigada Antônio pelo atendimento pratos maravilhosos restaurante cm ambiente mto bom
jul. de 2022,2,Estresse total!,"Achei que estaria fazendo uma boa escolha, visto que vinha tenho hospedagens boas em outras unidades da rede, porém do dia da chegada até hoje ( ainda estou hospedado) foi só estresse. Ninguém te ajuda com a bagagem, mesmo sendo muita. Não fiquem no 2201, fica abaixo da academia, treme tudo e muito barulho, a água do chuveiro não esquenta e é instável. Foi um estresse para trocar de apto, trocamos e a água do chuveiro ainda não esquentava. Vai manutenção e arruma. No outro dia, minha família saiu, e novamente água fria na volta…. Não da, o que era pré ser legal se tornou um super estresse. Ahhh e ainda estou hospedado, meu check out será 21/07. Volto aqui pra contar como serão esses últimos dias de hospedagem."
jul. de 2022,2,Serviço a desejar,"Tudo estava indo normal, ficamos 2 dias no hotel. Mas a limpeza do quarto não aconteceu. Estávamos arrumando pra sair no período da tarde quando vieram,pedimos pra vir apos. E deixamos avisamos na Recepção. No final da noite qdo voltamos para o hotel,o quarto permanecia sujo."
jul. de 2022,2,Limpeza a desejar,"O prédio é muito bonito. O quarto é pequeno, mas antigo, nada de excepcional. Cama bastante confortável. Café da manhã com variedade e qualidade. Ficou a desejar a questão da limpeza do quarto. Estávamos dormindo quando iriam fazer a limpeza. Então quando acordamos e saímos do hotel, pedimos para que a limpeza fosse feita, além de termos deixado na porta do quarto o aviso para limpar. Depois de horas, voltamos e a limpeza não tinha sido feita, o que foi péssimo. Por isso, não ficaríamos hospedados aqui novamente."
jul. de 2022,3,Custo benefício ruim,"Este hotel ao qual me refiro hoje tem nome de Innside By Melià porém parece que era antigamente algo com Try.. e ainda não mudou o nome em seu endereço.. então já começou errado já que tem outro hotel com mesmo nome de Inssude by Melia muito perto e muito superior então tinha q especificar qual é.. mas enfim funcionários cordiais .. mas café da manhã muito fraco pela diária cobrada ( a única coisa q vi de diferente foi máquinas de café expresso e café coado para o próprio usuário servir a vontade .. o restante muito simples , banheiro falta itens de um 4 estrela .. não ter uma touca de banho achei demais … o hotel está sendo reformado segundo informações e com isto colocam preços exorbitantes para aqueles que foram reformados .. a localização è boa para quem quer ficar na região , muito bares , restaurantes, farmácias , mini supermercados.. mas não sei se isto vale a pena o preço q pagamos pelo quarto .. estacionamento caro ..até voltaria mas com preço de diárias adequadas ao oferecido"
jun. de 2022,2,Hotel velho e atendimento antipático,"Apesar de possuir uma ótima localização e parecer bonito nas fotos, NÃO fique neste hotel.  Os quartos estão bem velhos e o atendimento é SUPER lento e meio antipático.  Caso o hotel seja sua única opção, opte pelos quartos dos dois últimos andares que são quartos reformados. Os demais são PÉSSIMOS, muito velhos. Cortinas com aspecto de sujas, quartos escuros, banheiros decadentes.  O café da manhã é razoável, meio bagunçado e sem nada de especial. Conta com o básico do básico.  Sobre o atendimento, vale destacar o único atendente extremamente gentil e preocupado com o rápido atendimento dos clientes, Eduardo. Se todos tivessem sido como ele, talvez minha impressão tivesse sido um pouco melhor.  Ah, para piorar cheguei às 15h e meu quarto ainda não estava disponível. Inaceitável."
jun. de 2022,3,Não vale o preço,"Boa localização. Atendimento também. Sauna não funcionava, pedi para ligarem, mas não ligaram. Café-da-manhã básico. Paguei 600 reais na diária, mas creio que valeria no máximo 400. Por esta faixa há melhores hotéis em SP. Academia sem muitas opções."
mai. de 2022,2,Muito ruim,"Quarto antigo, banheiro ruim com louças antigas e desgastadas, split ultra barulhento com temperatura instável, liga e desliga o tempo todo, não condiz com as fotos de um quarto reformado; hotel em reforma, café da manhã muito razoável. Atendimento antipático."
mai. de 2022,3,"Hotel bom, boa localização, limpo, boa cama, ducha ótima, lençóis e toalhas em bom estado e macios. Faltou touca.","Quarto que ficamos foi o 802, as janelas não tinham uma boa proteção contra ruídos, porque escutamos avião, movimento e barulho da rua. O café da manhã simples porém bom. Pedimos jantar no quarto e estava muito boa a comida. Gostamos muito do atendimento dos funcionários. O nosso quarto precisa só de uma pintura. Mas no geral gostei da hospedagem!"
