Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,1,Grosseria com cachorro e terrivel experiência,"Não é um hotel petfriendly. Mesmo eles tendo um jardim, o cachorro só pode ficar no colo. Para piorar, ninguem me avisou a regra e fui constrangida pela gerente de operações, que ameaçou multa. Se eu soubesse disso nem tinha me hospedado. A comida no deville é ruim, lazer ruim, tem muitos hoteis melhores em porto alegre. Não entre nessa fria."
28 de dez.,5,Ótima experiência,"Ótima acomodação e serviço. Funcionários prestativos e educados, sempre dispostos a atenderem sua solicitação. Localização excelente. Café da manhã muito bom, variedade e qualidade. Recomendo e retornarei sempre que precisar."
26 de dez.,5,Excelente Custo Benefício,No geral excelente estadia (localização atendimento instalações infraestrutura e o restaurante). Transfer leva e trás aeroporto gratuito. Destaque pra time do front desk muito solícitos e atenciosos. Menu do restaurante c/ótimas opções
25 de dez.,4,Exaustão do restaurante péssima!,O exaustor do restaurante não funciona a contento. O hotel fica com mau cheiro de fritura desde a recepção até o pavimento do quarto. Terrível isto! É só fazer a manutenção periódica. O colchão da cama fica a desejar. Tem uma baixa no meio.
24 de dez.,5,Excelente,"Hotel com localização e atendimento 100% recomendável  Quartos bons, espaçosos, confortável, limpos e aconchegantes  Bom para família  Serviço de transporte grátis para o aeroporto ida e volta excelente."
22 de dez.,5,Excelente,"Fiquei super satisfeita com minha passagem pelo hotel, o ambiente é muito agradável as instalações são muito aconchegantes, os funcionários muito eficientes e solícitos, tudo muito limpo e organizado."
22 de dez.,5,experiencia,"foi maravilhosa e com certeza indicarei para os amigos, sendo que minha hospedagem foi a trabalho.mas pretendo retornar a passeio acompanhada do marido. minha hospedagem foi pelo Senar  com treinamento,"
22 de dez.,5,Deville excelente!,"Hotel muito bom, sempre fico no Deville quando vou a Porto Alegre. As crianças adoram ficar no Deville, hotel muito confortável, cordial, sempre prestativos. Comida também excelente. Atendimento rápido. Estacionamento no local, fácil acesso."
19 de dez.,2,Custo beneficio não compensa,"Não recomendo para quem precisa passar um período curto. Café fraco, Restaurante caro, Cobram gelo do cliente, Ducha do vaso suja, Cuba da pia do banheiro rachada. quarto 538. Televisão instável, Unica coisa boa foi a cama. Ambiente do sagão com poltronas onde a mesa de centro estava suja. Falta de alguém para controlar a limpeza depois de utilizada. Fui para passar uma noite romantica e me decepcionei muito com a decadência do hotel. Tá na hora de reformar os quartos. Para quem vai passar uma noite romantica poderia ter um cuidado redrobado na esciolha de um quarto perfeito, O que não ocorreu. Não voltarei mais a este hotel. O tinha como referência e me desapontei assim como a minha acompanhante."
18 de dez.,2,"Hotel 5 estrelas no passado, hoje está entre 3 e 4 estrelas no máximo",Decepcionado de uma maneira geral.  Check in demorado  Aptos precisando de manutenção  Café da manhã muito fraco  O tempo passou e parece que a administração do hotel não se preocupou.  Meus comentários são no intuito de melhorar o serviço
