Data da opinião,Nota,Título,Conteúdo
dez. de 2022,3,"Nada demais, precisa melhorar","hotel localizacao boa, funcionarios do check in e check out precisam melhorar. deixam cortesia no quarto e sequer avisam, nao e claro o papel da cortesia, perguntam depois se foi boa. sinceramente tem hoteis melhores"
mai. de 2022,5,Recomendo,"Hotel excelente em infraestrutura, atendimento e localização. Quartos com tamanho ótimo para família e com zelo impecável com a limpeza e troca de enxoval. Recomendo a diária com café da manhã no quarto incluída."
dez. de 2022,3,Problema no estacionamento,Ao chegar no hotel não tinha vaga de estacionamento. Tive que levar meu carro longe e voltar a pé para o hotel. No checkout a mesma coisa. Sorte que não estava chovendo. Pena que não pude reclamar com a pessoa responsável pois não se encontrava no momento. Hotel desse nivel no mínimo deveria avisar que o carro ficaria estacionado longe do hotel. Uns 500 m
dez. de 2022,3,"Em linhas gerais bom, mas precisa melhorar atendimento da recepção","Em linhas gerais bom, mas precisa melhorar atendimento e organização da recepção. Todos os anos volto para o hotel. Mas este ano a experiencia nao foi boa. Time de recepção me passou muitas informações incorretas e desencontradas. Causou transtorno. Tivemos problemas com ar condicionado."
dez. de 2022,2,Ok,"A atendente da recepção me tratou com certo descaso logo que cheguei, aproximadamente ao meio dia. O check-in era as 15h mas queria preencher todos os formulários e acertar o valor, mas ela simplesmente respondeu que o check-in era só as 15h e iria dar prioridade ao check-out, depois virou e começou a atender outra pessoa. De noite, um morador de rua tentou entrar e fez uma cena, minha filha estava comigo e começou a chorar, tivemos que acalmá-la. Também tive que pedir diversas vezes para montarem a cama extra para a minha filha. A impressão que ficou é que fui tratado como se eles fossem os clientes e não o contrário."
dez. de 2022,5,SURPRESO COM O ATENDIMENTO,"O Hotel está localizado num ótimo endereço, bem perto do shopping Batel. Tudo muito organizado. O café da manhã seria toda uma. Postagem a parte. Tudo gostoso e nada industrial. Agora o atendimento do hotel merece a minha postagem. Nota mil"
dez. de 2022,5,Excelência no atendimento!,"Ficar esses dias no Radisson tem sido uma experiência maravilhosa! A localização é excelente, as instalações são muito limpas e confortáveis, o café da manhã é farto e ossos colaboradores são extremamente simpáticos. Registro aqui um agradecimento especial à Miriam, Lenon e Odilon que nos atenderam com muita presteza e alegria!"
dez. de 2022,4,Muito bom!,"Tudo muito bom; faltou apenas algo que encantasse. Poderia ter sido o atendimento na recepção; o kit de produtos para banheiro; um chocolate de cortesia; instruções simpáticas (na piscina, onde subimos à noite, as luzes estavam apagadas e não havia nenhuma informação sobre como acendê-las ou que número chamar). Coisas simples, mas que às vezes fazem toda a diferença."
dez. de 2022,5,Ótima estadia,"Hotel confortável, com excelente atendimento. Quarto com um ótimo tamanho, foi excelente para minha família. Localização excelente, com vários restaurantes próximos. Ficaria hospedada nele novamente em uma próxima viagem."
dez. de 2022,5,Atendimento impecável!,"Hotel muito confortável, atendimento de toda equipe perfeito! O hotel estava lotado e não deixaram de nos atender muitíssimo bem!  Quarto confortável, roupa de cama e toalhas de banho de alta qualidade!"
dez. de 2022,5,Hotel perfeito em Curitiba,"Hotel muito bem localizado, quarto amplo e limpo. Restaurante do hotel é excelente! Tenho restrição alimentar e fui muito bem atendida. Tem opção de menu kids e as crianças amaram.  Atendimento dos funcionários excelente desde manobristas, recepção e restaurante."
nov. de 2022,2,Cada dia pior!,"Chuveiro terrível, luzes queimadas, camareira não limpa o quarto mesmo depois de você pedir, o berço é uma lona azul barulhenta e a cama extra tem a base de uma madeira toda descascada e rasgada. Cheguei e não tinha a cama extra nem o berço, mesmo eu ter solicitado direto na recepção antes de sair de casa. Horrível!"
nov. de 2022,5,"Excelente experiência - Atendimento, conforto, alimentação e limpeza.","Excelente localização em frente à arborizada e bem conservada Praça do Japão e muito perto do Shopping Batel. Dá para ir a pé. Quarto confortável, bem decorado e bem conservado. Ótima limpeza. Ótimo restaurante e café da manhã."
nov. de 2022,5,Excelente,"Equipe muito atenciosa e acolhedora. Ótima localização. Excelente café da manhã e estrutura geral... quarto, restaurante, academia e piscina. Com certeza voltaremos. Funcionária que nos recebeu no sábado a noite foi muito prestativa ao resolver um problema que tivemos com reserva."
nov. de 2022,5,Recepção excepcional!,"Fomos muito bem atendidos por toda a equipe do hotel, que foi prestativa, gentil e atenciosa. Comemorávamos um aniversário e a funcionária Ana Paula organizou um bolo surpresa. Ficamos muito felizes e agradecidos com o gesto! Obrigado!!"
nov. de 2022,5,Momento de repouso em família.,"O Hotel é muito bom, boa localização, café da manhã maravilhoso, cama super confortável, staff muito prestativo. O banheiro espaçoso e o chuveiro bem forte. Todo o dia o quarto estava muito cheiroso. Todo o pessoal muito eficiente."
out. de 2022,5,Excelente atendimento.,"O atendimento é excelente, sempre prestativos, atenciosos e eficientes. Com destaque para recepcionista Thauane que se empenhou em solucionar um imprevisto que tivemos com um item de estima do meu filho.  O restaurante também é muito bom, a feijoada de sábado, deliciosa.  Recomendo e certamente voltarei.    Obrigada."
out. de 2022,5,Atendimento Nota 10,"Excelente atendimento em todas as áreas, desde a recepção, restaurante e principalmente no bar. O atendente Julio, muito prestativo e simpático, e além disso, sabe servir bons drinks! Café da manhã maravilhoso! Adorei a decoração de Halloween!"
out. de 2022,4,Não é 5 estrelas!,Ótimo atendimento! Café da manhã maravilhoso. Mas o hall dos quartos precisa de reforma e as toalhas de banho são muito ruins. As toalhas são finas e chegam a estar rotas. Faltam lixeiras no banheiro e perto do lavatório. Falta iluminação dentro do banheiro.
out. de 2022,5,Supresa em Curitiba!,"Fiquei surpresa positivamente com o Radisson Batel. Café da manhã maravilhoso, funcionários atenciosos, ambientes com a decoração harmoniosa, quarto confortável, ótima internet, chuveiro muito bom, cama muito macia. Infelizmente não consegui tempo para aproveitar o SPA."
out. de 2022,5,ótimo serviço e localização.,"Além do hotel estar localizado em um local estratégico do melhor bairro de Curitiba, o staff é extremamente atencioso e o serviço é ótimo. Todas as minhas demandas foram atendidas com muito carinho pela equipe."
out. de 2022,3,Os banheiros nao condizem com a modernidade do hotel e do apartamento,"Fiquei uma noite apenas com minha familia. O hotel é super bem localizado, o apartamento em si é bem bonito e amplo, porem os banheiros dos apartamentos… nem parece que você esta no mesmo hotel.  São velhos, feios, a ducha é antiquada e não tem controle de pressão de água… Nem cogito de retornar a esse hotel se estiver com a minha familia, não consegui nem dar banho no meu filho de tão forte que sai a água.  Fora isso o hotel é ótimo, cafe da manha TOP e boas instalações."
out. de 2022,2,Taxa de serviço abusiva,"Na hora do check out cobraram “taxa de serviço “ no valor de 120 reais sendo que o recepcionista do hotel nos garantiu que era uma “taxa obrigatória segundo uma nova lei aprovada” achei muito estranho e não encontrei nada na internet sobre essa nova “lei”, fiquei muito decepcionado sendo que já pagamos caro pela diária e éramos clientes recorrentes…"
out. de 2022,5,Hotel entregou tudo o que prometeu,"Nossa estadia foi rápida, porém muito proveitosa. O hotel oferece bom nível de serviços, com profissionais educados e atenciosos. Foi um final de semana muito proveitoso, para que a reunião com familiares em Curitiba fosse a melhor possível. Quarto amplo, limpo, bem arrumado, serviço impecável. A piscina... bem, não utilizamos, mas é bem maior nas fotos que na realidade. Mas, está valendo. Academia bem equipada"
out. de 2022,5,Excelente,"Hotel muito confortável, equipe simpática e prestativa. Café da manhã com muitas opções e bem servido. Camas confortáveis. Televisão a cabo funcionando bem. Limpeza do apartamento bem adequada. Recomendo o hotel"
out. de 2022,5,Estadia confortável,"Muito limpo e confortável, com equipe prestativa. Café da manhã com várias opções quentes e frias. Quarto e cama muito confortáveis. Funcionários atenciosos e prestativos. Ótima estadia, recomendo...."
set. de 2022,5,Surpresa boa,"Instalações confortáveis, ótimo cafe-da-manha e restaurante. Contudo, o que mais nos chamou a atenção do foi o serviço e atendimento impecável de de todos os funcionários; todos muito gentis, educados e preparados para as funções. A localização é estratégica, fácil acesso para qualquer região da cidade."
set. de 2022,2,Não voltaremos.,"Decepção com falhas sucessivas ao longo da estadia. Checkin virtual não funcionou, a chegar ao hotel tivemos que fazer presencial e perdemos mais tempo, na recepção sem perguntar o valor que acertamos com o Booking nos deram uma conta de um valor muito mais alto, reclamei e refizeram as contas pra baixo, queriam cobrar também um valor de consumo antecipado que não é informado no Booking, recusei. Nos levaram finalmente ao quarto errado, reclamei pois pagamos luxo de frente pra praça do Japão e nos deram um superior mais barato de vista lateral, resolveram o problema após descer a recepção e esperar a troca de quarto. O hotel terceiriza os manobristas. Péssimo atendimento no início, até bagagem tirei do carro. Após três tentativas consegui falar com a gerência sobre a frustração com tantos problemas logo na chegada . Em dado momento dois dos três elevadores não funcionavam. A piscina no último andar com as portas abertas, o frio entrando e água fria. Tentaram me convencer que ela não é aquecida mas sim climatizada dez graus acima da exterior. Cuidado! Não é quente ok? Na saída mais uma tentativa de cobrar uma TAXA de doação a prefeitura que era opcional mas não me informaram, só depois que conferi a conta de gastos e usar calculadora descobri e mandei retirar. Enfim, muita coisa errada pra cinco dias. Não voltaremos e não recomendo. CONFIRAM TUDO EM DETALHES NA ENTRADA E NA SAÍDA."
set. de 2022,5,Ótima estadia,"o hotel tem cama boa, chuveiro excelente, quarto de tamanho bom e internet funciona bem também.  o que não gostei muito foi a pia fora do banheiro.  o hall também merecia uma revitalizada, passa um ar de antigo.  Bem próximo ao shopping patio batel e em frente a praça do japão."
