Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Café da manhã no restaurante Tarsila,"Minha experiência foi ótima. Todos os funcionários foram extremamente educados e gentis, foi uma ótima experiência. O buffet de café tinha muitas opções. Com certeza voltarei mais vezes. Essa avaliação com mínimo de 200 carácteres é inconveniente."
dez. de 2022,5,Excelente experiência!,"O restaurante Tarsila, do hotel, é excelente. Buffet ótimo, tudo muito fresquinho e atendimento impecável! Garçons muito atenciosos e recepção atenta ao cliente.  Ótima experiência. Hotel muito bem localizado. Vale a pena conferir!!!"
dez. de 2022,5,Excelente!,"Estive no Restaurante Tarsila para uma confraternização de final de ano agora em dezembro de 2022. Lindo ambiente, atendimento super atencioso e comida saborosa!!! Certamente retornarei mais vezes. Recomendo!"
nov. de 2022,1,Decepcionada,"Essa rede de hotéis dispõe de hotéis maravilhosos ao redor do mundo, menos em SP, que é super péssimo. Velho, ambientes barulhentos, bem longe de 5 estrelas. Isso porque tinham me dado o apartamento já reformado. Fiquei bem triste de no Brasil tratarem os visitantes dessa forma, e cobrarem um valor super alto. Prejudicou minha estadia em SP."
out. de 2022,2,Fora do padrão Intercontinental,"MUITO LONGE do padrão que se exige do alto preço cobrado. Parece que parou no tempo, apesar das boas tentativas de maquiar a idade da estrutura. SÃO PAULO já oferece muitas opções a preço bem mais competitivo e de nível e modernidade BEM maiores. Serviço prestativo tenta compensar, mas “pegadinhas” como só ter preço do frigobar via QRCode enquanto há vários outros impressos disponíveis no quarto, um telefone antiquado (bateria descarregada) e falta de um abridor de garrafas enqto na geladeira só se encontram garrafas de vidro com chapinha, deixam clara a desatenção com detalhes não tão desprezíveis assim. Em suma: staff legal e só. Nada que uma pousada do Nordeste não ofereça à farta. Mas longe, muito longe, de um hotel metropolitano com diárias de R$ 2.000,00 reais!"
out. de 2022,5,Surpresa agradável,Foi uma surpresa agradável encontrar na vizinhança um restaurante com um buffet tão delicioso. Deu uma vontade irresistível de repetir o prato. Criança é tratada com muita atenção e carinho. E a conta? Deu para pagar ...
out. de 2022,5,Café da manhã delicioso,"Uma experiência muito gostosa poder tomar café da manhã no restaurante Tarsila. Grande variedade no buffet além de opções que o chef faz na hora. Waffle maravilhoso! E o atendimento muito bom! Garçons muito educados, ambiente calmo e aconchegante."
ago. de 2022,4,Hotel muito bom!!,"Hotel muito bom, quarto amplo, banheiro bom , cama/roupa de cama bom, café da manha ok  Pelo preço esperava um pouco mais, mas entregou o esperado, limpeza e comodidade, pessoal atencioso, jantamos um dia no hotel"
jul. de 2022,5,Ótimo para Business,"Este hotel é muito confortável! Atendimento nota mil. Quarto impecável, cama deliciosa, café da manhã delicioso, assim como o café da manhã e jantar. Isolamento acústico excelente. As Salas de reuniões são espaçosas. Limpeza muito boa."
jul. de 2022,5,Me tornei habitué do Intercontinental São Paulo!,"Tenho ficado uma vez por mês no Intercontinental São Paulo, desde que recomecei a viajar a negócios para SP, em dezembro de 2021.  Me tornei hóspede recorrente pela estrutura do hotel, localização, conforto, qualidade da cozinha e - principalmente - extrema competência e cordialidade da equipe.  Seja no balcão de checkin, seja no café da manhã, no atendimento no lobby/bar no fim de tarde, seja a arrumação do quarto... em todas as frentes de atendimento ao hóspede, o staff do hotel Intercontinental São Paulo é o verdadeiro diferencial!  Portanto, por toda essa qualidade e competência do time, somadas à uma estrutura ótima, já tenho reservas para minhas futuras viagens para São Paulo. E mais: recomendo o Intercontinental São Paulo para todos os viajantes que tiverem a oportunidade de escolher esse excelente hotel!"
