Data da opinião,Nota,Título,Conteúdo
dez. de 2022,4,Bom hotel,"Cama confortável, limpeza boa, quarto silencioso, o cafe da manhã bom, o cafe poderia ter opções de cafe coado) a localização é muito boa, o pessoal da recepção são educados. Um pinto negativo é o estacionamento que deveria estar incluso na diaria."
nov. de 2022,5,Eficiência e rapidez no check in e equipe muito atenciosa e educada.,"Eficiência e rapidez no check in e equipe muito atenciosa e educada.  Quartos espaçosos, frigobar completo, banheiro com chuveiro cheio de pressão ;-)  Elevador panorâmico e café da manhã completo !  Rua calma com muitos bares próximos."
dez. de 2022,1,Péssima experiência,"Olá, este email é para manifestar minha indignação com o atendimento prestado pelo Meliá Tatuapé.  Sábado dia 10 de dezembro , estivemos eu Rose de Oliveira e meu marido, Miguel, hospedados nesse hotel.  Saí de uma ressonância no Hospital Santa Catarina e por morar em Santos e ao mesmo tempo estar acompanhando uma competição de minha filha no Parque São Jorge, resolvemos nos hospedar na rede, pois ela também estava hospedada aí com a equipe de 18 atletas.  Ao chegarmos, o cansaço tomava conta de mim e de meu marido, eu por estar ainda sob efeito do exame e meu marido que tem 70 anos é médico e estava cansado de dirigir.  Percebi num determinado momento em que estávamos sendo atendidos,que uma funcionária que estava ao lado de um rapaz, começou a digitar.Ela digitava, ele respondia, ela digitava, ele respondia e riam. Ela só não contou que eu consegui olhar pela lente do óculos dela que me mostrou que falavam de nós dois e riam.  Percebendo a chacota conosco, eu então interrompi e disse à ela: Nossa, que lindo, vocês conversam teclando!. No momento em que eu disse isso, ela ficou super sem graça e então começou a conversar com o rapaz, como duas pessoas normais e educadas fariam. Aquilo me incomodou muito, mas para não criar caso, resolvemos subir e dormir. Como não estávamos preparados para ficar em São Paulo, não levamos nossos pertences, como necessáire, etc.  Ao entrar no banheiro, nem uma escova de dentes, nem uma pasta, nada que fosse uma comodidade para os clientes que pagaram no ato do check in.  Ao questionarmos a recepção sobre isso, nos responderam que isso é o padrão Meliá.  Ora, se isso é padrão de vocês, precisam repensar essas questões. No mínimo pensar que algumas pessoas se hospedam numa emergência, como foi o nosso caso.  Em momento algum se mostraram incomodados com isso.  Na hora do jantar, outra decepção. O restaurante estava fechado às 22 horas. Então resolvemos pedir fora, uma pizza e deixei claro que eu precisava de talheres e guardanapos pelo menos, mas o Hotel disse que também não fornecia.  Água no frigobar? Nem pensar... Apenas Red Bull e refrigerante. Em toda a minha vida de viagens, nunca vi esse tipo de coisa. Decepção atrás de decepção.  Viemos embora, reclamei no check out, mas pelo jeito não adiantou nada.  Hoje ligaram para a equipe de natação das crianças, dizendo que deixaram de pagar um espaguete. A comida demorou mais de duas horas para chegar, fizeram uma enorme confusão com os pratos e hoje recebemos a informação que estávamos devendo um prato. Aí eu pergunto: no check out não cobraram, estava tudo certo e hoje notaram que alguém (que não foi da equipecom certeza)deixou de pagar um espaguete.  Não nos negamos a pagar nada desde o check in e fizemos tudo como manda o figurino. Somos pessoas idôneas e jamais ficaríamos devendo um prato de comida(por sinal, mal feito).  Eu sou radialista e trabalho no Jornal O Estado de São Paulo e se não pedirem desculpas,pelos ocorridos, será motivo de divulgação. Repito, isso foi confusão de vocês, não nossa.  Procurei um canal para reclamar, uma ouvidoria, como vocês não tem, tentei ligar o dia todo e o telefone só dava ocupado.  Liguei na central relatando tudo o que passamos, espero consideração, no mínimo, que não venham cobrar esse prato. Isso é no mínimo ridículo.  Onde já se viu um Hotel que se diz 4 estrelas, não ter nem pasta de dentes?  Se providências não forem tomadas, isso tudo será ventilado na imprensa e no meio da hotelaria.  Agradeço e aguardo respostas e retratação.  Rose de Oliveira"
nov. de 2022,3,O climatizador decepcionou,"Estive hospedado no quarto 101 entre os dias 30 e 31/10. Todo o atendimento e serviço foram excelentes, o quarto limpo, bem estruturado, tudo conforme as fotos.    A única decepção foi com relação ao climatizador do quarto, que mesmo estando posicionado em 10º e na velocidade máxima do vento, não gelou o quarto. Isso fez com que a noite de sono fosse muito ruim. Não era nem que gelava pouco. Não gelava nada. Inclusive quando saí do quarto, o ambiente externo estava mais fresco que o quarto.    Ter uma noite ruim de sono invalidou toda a boa experiência que eu teria com o bom atendimento e boa estrutura do hotel."
ago. de 2022,1,Péssimo atendimento durante a estadia.,"O que precisei pedir pela central não funcionou, simplesmente porque ninguém atende. Tive que ligar para o celular do hotel para fazer os pedidos, que também demorava muito, mas muito tempo para serem atendidos."
mai. de 2022,1,Desorganizado e equipe despreparada!,"Ao chegar no hotel pedi para adicionar dois cafés da manhã para mim e minha noiva. Fiz o checkin e pagamento.  No dia seguinte ao chegar no local do café e informar o número do quarto um funcionário informou que o café não estava pago. Então disse que já havia pagado pelo mesmo e não iria pagar novamente, o funcionário então disse que ligaria na recepção e resolveria o problema, ao finalizar o café fomos abordados pelo funcionário e um segurança que nos mandaram ficar sentados na entrada do restaurante enquanto os outros hóspedes passavam e ficavam nos olhando como se fossemos golpistas.  Depois de todo esse constrangimento nos mandaram aguardar no quarto e depois de aguardar até quase o horário do checkout liguei na recepção e nos informaram que não havia nenhum problema com o pagamento do nosso café e que tudo estava certo. Ao indagar sobre o ocorrido agiram como se nada tivesse ocorrido.  Péssima experiência, depois de todo esse constrangimento não recomendo a ninguém."
jan. de 2022,3,Bom Hotel,"Confesso que esperava um pouco mais do hotel. Fiquei em um quarto ""premium"" no 15° andar. A vista era linda, a tv pequena mas com muitos canais a cabo, cama confortável e um sistema de room service muito eficiente. Os problemas: quarto com cheiro de ""lugar fechado, banheiro apertado, café em um espaço muito apertado e barulhento, e muita demora para fazer o check-out. Pelo preço que paguei, esperava mais. É um hotel que me hospedaria novamente, mas sem grandes expectativas. Um hotel normal."
jan. de 2022,3,Decepcionada com a limpeza,"Nossa estadia foi rápida, mais para passarmos a noite mesmo. Porém foi decepcionante, o banheiro estava com cabelos na pia, o chão mal limpo, box manchado, chuveiro sujo e o rejunte com muito mofo. A cama era boa, mas as toalhas e lençol com cheiro de naftalina. Café da manhã bom, piscina interditada( sem nos avisar) , os atendentes são solícitos, uma pena… fique muito chateada, pois limpeza é tudo!!"
jan. de 2022,4,Muito bom,"O hotel é muito bom, quarto amplo, serviço de quarto ótimo e o café da manhã é bem completo. Apenas o ar condicionado que não funcionou direito e quando nos hospedamos, a área da piscina estava interditada. O hotel tb está com algumas reformas mas de modo geral é muito bom."
jan. de 2022,3,"Bom, mas tem pontos a melhorar","PONTOS POSITIVOS:O hotel é lindo, fiz uppgrade para a suíte premium, a vista era deslumbrante, o quarto muito bem equipado, tábua de passar, secador excelente, cama confortável, chaleira elétrica com chazinhos e capuccino, amenidades boas, chuveiro bom, tv com varios canais fechados. O café da manhã era farto e tudo que comi estava bom, só senti falta de café tradicional (só tonha de maquininha). A atendente Mariana no check in foi muito simpática, o Josinei que levou nossa comida no quarto uma simpatia só, Robson tb era muito bacana. Pedi um jantar no restaurante, achei a comida gostosa, não me fez mal. PONTOS NEGATIVOS: O motivo mais sério pelo qual eu não voltaria é o fato dos quartos serem lacrados, as janelas não abrem, ficam fechadas 100%do tempo, para que o quarto ventile você é obrigado a ligar o ar condicionado. Por conta disso, meu marido teve uma crise de rinite e ficamos com a garganta irritada. Fora que alem do fator saúde, chega a ser claustrofóbico, pq vc se sente realmente preso no quarto, o que me deu uma certa agonia várias vezes. Entendo que as janelas são grandes, tem a preocupação com crianças e tal, mas realmente precisam rever isso, e deixar ao menos uma parte aberta, não dá pra ficar num quarto onde não se consegue respirar ar livre. Por esse motivo eu não retornarei. Outra reclamação é com relação a limpeza, o quarto visualmente até estava limpo, mas a poltrona de couro estava cheia de marcas de mofo, embaixo da escrivaninha tinha uma teia de aranha gigante e quando chegamos o lacre de limpeza estava rompido, diferente dos outros quartos desocupados e desinfetados. O preço das refeições no restaurante também é desproporcional, a comida até estava gostosa, mas gastar 120 reais em dois pratos com arroz, fritas e carne + 1 micro porção de mini kibe, sem bebida, sem sobremesa, é muito dinheiro. Também ressalto o preço absurdo da água, 7.50 uma água sem gás de 330 ml (não tinham garrafinhas, só água em lata), se você toma a quantidade normal de água que um ser humano precisa (2 l!), recomendo vir preparado para gastar 50 reais em água por dia por pessoa, ou vai passar sede, a menos que traga água de fora. Por essas razões eu não retornarei ao hotel, ele está num bom caminho, mas precisa rever muita coisa."
dez. de 2021,4,Boa qualidade,"Bom hotel, colaboradores educados. Precisa de atualizações e estão fazendo. No mais os quartos são bons e o restaurante e comida muito boas também. Receção e entrada estão um pouco confusas mas estão em reforma."
dez. de 2021,3,Foi apenas bom,"Ao chegar com o carro não tinha ninguém na porta para informar sobre estacionamento.  Chegamos umas 2 horas depois do horário de check-in, e nós disseram pra aguardar pois iam verificar se o quarto estava pronto. Após demonstrar minha preocupação com isso, liberaram o quarto.  O quarto era no último andar embaixo da cobertura, como tinham mudado o local do café da manhã para a cobertura, a partir de 6h da manhã ou menos já começava o barulho da movimentação do café, arrastando mesas e cadeiras o tempo todo, foi muito desagradável.  O frigobar não funcionava e não recebemos instruções de como funcionava a cafeteira/chaleira que fica no quarto.  Tinha apenas um par de chinelos oferecidos pelo hotel e um roupão.  Mas o quarto é bonito, espaçoso e confortável. A cama é grande e confortável. O ar condicionado funcionou bem e o chuveiro é muito bom.  O café da manhã é razoável, pela faixa de preço, esperava mais."
dez. de 2021,2,Alérgicos sofrem!,"O hotel deixa muito a desejar, principalmente o quarto! Cheiro fortíssimo de mofo, ar condicionado que não funciona e sujo. A limpeza do banheiro, principalmente do box, é quase inexistente. Triste!!!"
dez. de 2021,4,"Hotel muito lindo, silêncio absoluto","O banheiro ainda tinha sabonete do hóspede anterior e estava meio molhado, e não era da limpeza. Café da manhã maravilhoso, estacionamento não sei onde é mas ficou em lugar coberto pq o carro veio frio do manobrista."
dez. de 2021,1,Péssimo atendimento,Profissionais despreparados. As 06:30 acordei com outro hospede correndo na esteira e o barulho parecia de obra. Hotel caro pelos serviços prestados. Recepção fiquei 3 horas esperando e a cada meia hora havia discussões entre hospedes e Recepção
nov. de 2021,5,Ótima estadia,Porém precisa melhorar o estacionamento. Aguardei 30 min para trazerem meu carro e quase perdi uma prova. Do resto foi tudo incrível! Funcionários e local muito muito bons. Com certeza voltarei mais vezes.
nov. de 2021,1,Decadência completa,"Já me hospedei várias vezes neste hotel e um dia foi, sim um 4 estrelas. Hoje, transformou-se num hostel para mochileiros, quando muito!  No chek-in, o mensageiro pega as malas, para receber a gorjeta. Na saída, você que se vire! Nem um carrinho me ofereceram. Eu tenho artrose nos dois joelhos e fiquei no quarto 902, o último do corredor.  O manobrista cobrou gorjeta em voz bem alta, perto de outros hóspedes. Constrangedor!  Na noite do dia 17, após um dia terrível, chego ao hotel cansada, com sede e nem uma água no frigobar. Pedi gelo e a Bruna da recepção (a terceira pessoa a quem eu solicitei) reponde com um sonoro: E COMO VOCÊ VAI PAGAR?  Eu só queria um balde de gelo para beber um drink antes de tomar um banho e pedir a comida. E o hotel que se diz 4 estrelas só me levou o gelo (por R$15,00) quando eu disse que iria descer e buscar.  Pedi um beirute de mignon. Já comi coisa melhor no viaduto do Chá. HORRÍVEL! A carne (que nao era mignon) claramente reaproveitada. Muito ruim. Comi as batatas e tentei ""caçar"" algo comestível no lanche. E ainda a desagradável situação de ter que procurar a carteira para pagar na entrega do quarto.  Esse povo nunca esteve num hotel de verdade? Meu carro estava no estacionamento, eu estava no hotel. Por que não posso pagar no chek out ou, ao menos, no dia seguinte?  Pior que o lanche, só o café da manhã. Ovos mexidos verdes. TODOS os pães e velhos e ressecados. Todos os salgados frios e ressecados. Apenas abacaxi e mamão como oferta de frutas. Por R$ 45,00!!! Saí do hotel e tive que ir a uma padaria, comer algo, pois estava faminta.  Tinha boas lembranças deste hotel. Hoje já avisei a todos os meus contatos profissionais sobre minha experiência e indiquei outro hotel similar, que ainda prezam por alguma consideração com o hóspede."
nov. de 2021,5,Extremamente encantada,"Nunca tinha ido a São Paulo. Tinha um pouco de receio mas ao me hospedar neste hotel todo meu receio se encerrou pois tive tudo proximo que eu precisava, tanto alimentar, lojas e para meu deslocamento como tambem com toda a infraestrutura do hotel q me tranquilizou totalmente. Voltei feliz e relaxada. Amei os funcionários e o café da manhã foi maravilhoso. Não vejo a hora de voltar e ja indiquei a toda minha familia e amigos q me perguntaram."
nov. de 2021,4,Tatuapé - Meliá,"Um bom hotel, com ótima localização e serviços.  Achei que o número de funcinários para o atendimento na recepção é pouco para a demanda, a espera é grande.  Café da manhã muito caro.  A limpeza do banheiro pode melhorar, o espelho estava com mesagem do hóspede anterior."
out. de 2021,5,Cleiton,"Lugar agradável, localização ótima, serviços e atendimentos ótimos. Refeição de primeira e o atendimento de restrição do Covid foi exemplar, distanciamento e tudo mais. Eu e minha namorada pensamos em voltar em breve devido ao ótimo atendimento"
out. de 2021,4,"Excelente, exceto check in/check out","Café da manhã, restaurante e acomodações ótimas. Conforto, higiene e educação dos colaboradores também ok.    O problema é somente a recepção, sistema lento, fila e demora. Fiz check in num domingo, foram pelo menos uns 20 a 30 minutos. Na segunda-feira minha amiga foi fazer o check in e a mesma coisa ocorreu. Precisamos pegar fila para o check out pois na entrada ficaram nos devendo troco, e lá se foram mais 20 minutos pro check out e continuavam sem troco.  Pessoal do estacionamento tão perdido quanto da recepção. Demora para pegar os carros, para levar.  Precisam revisar isso urgente. Está incompatível com a estrutura do hotel."
out. de 2021,5,Voltaria,"Eu e meu companheiro ficamos satisfeitos e voltaríamos, se tivesse quartos com banheiras seria ótimo e faria total diferente na nossa estadia, ótima localização e ótima estrutura. Desejo boa sorte em toda a trajetória do hotel."
out. de 2021,1,PÉSSIMO ATENDIMENTO!,"Muito ruim!! Falta de comunicação e empatia… péssimo atendimento! Não se ajudam.. e muito menos são capazes de ajudar! Não me deixaram entrar, por eu ser de menor, mas também não me avisaram sobre essa situação! Péssimo!! Não recomendo!!!"
out. de 2021,4,"Hotel muito bom, com poucos detalhes a serem ajustados!","Estive hospedada no dia 02/10 no hotel, e realmente o local é de extrema qualidade. O que o estabelecimento oferece vai bem além do valor que é pago, o quarto é espaçoso, limpo, com uma vista bonita, café da manhã honesto e áreas comuns agradáveis.    Dois pontos a serem revistos:    1) O check-in foi extremamente demorado, são apenas 2 funcionários na recepção para atendimento de quem já está hospedado e dos hóspedes novos, o que deixa um pouco confusa a entrada. Considerando que a rotatividade do hotel é grande, principalmente nos horários de proximidade do check-in, acredito que seria interessante investir em um número de funcionários maior ou mais preparado para atender com agilidade.    2) Manutenção dos elevadores, que embora pareçam ser novos e bem bonitos, durante a minha estadia tiveram problemas de funcionamento.    No mias, vale o custo benefício, voltaria sem pensar!"
set. de 2021,5,Ótimo local para estadia profissional,"Confortável, com ótimos funcionários, e um restaurante com pratos saborosos.    Kaleb, um dos recepcionistas foi muito amigável, e ajudou em todas as minhas solicitações e necessidades. Com certeza voltarei!"
set. de 2021,1,"NÃO VÁ A ESTE HOTEL, PRINCIPALMENTE SE FOR NO FERIADO","Ruim, MUUITO RUIM. No feriado, encerra a cozinha mais cedo e que se danem os hospedes. Não tem serviço de lavaderia/ passadeira e tudo se cobra muuito caro.  Precisei de água quente para um chá para gripe e não tem. Água quente, que poderia ser esquentada em microondas, não tem. A única coisa que tem é o funcionário educado da recepção para lhe confirmar o que nao tem e o que não esta funcionando."
ago. de 2021,5,Excelente!,"Já estou me acostumando com a receptividade deste hotel! Recomendo. bem localizado, recepção atenciosa, quartos limpos, banheiro excelente. Programa de fidelidade bem estruturado, e serviço de 0800 eficiente."
jul. de 2021,3,Passei muito frio a noite por falta de cobertores,"Passei muito frio de madrugada por falta de cobertores no guarda roupa assim como a falta do número da recepção no telefone. Agora estou gripado devido a friagem que passei aí, espero que tomem uma providência em relação a isto."
jun. de 2021,1,Péssimo serviço,"Estive com meu marido este fds neste hotel e apesar das boas instalações, o serviço muito ruim. O elevador não obedecia aos comandos, ficando pra cima e pra baixo feito louco, o café da manhã com uma reposição lentíssima dos alimentos (só havia restos praticamente) e das louças e talheres limpos. Pedi um cobertor extra e tive eu mesma que descer pra buscar, pois não havia ninguém pra levar no quarto. O frigobar é ridiculamente minúsculo, No checkout, não havia ninguém pra descer nossa bagagem, tampouco carrinho disponivel pra tal! Precisamos carregar várias malas e ainda por cima nos cobraram por 2 ligações que não conseguimos completar. Não recomendo a ninguém que se hospede no Tryp Sao Paulo Tatuape."
mai. de 2021,5,Satisfação garantida!,"Ótimo atendimento e excelente hotel, recomendo!  Pães produzidos no próprio hotel fazem do café da manhã uma experiência muito agradável.  Quarto muito espaçoso e organizada de forma muito prática, facilitando a a utilização como espaço para trabalho remoto, também."
mai. de 2021,4,Muito bom,"Gostei do hotel. Como pertence ao Meliá, sabia que era um bom hotel. O quarto era muito confortável. O pequeno almoço/café da manhã foi bom. O Room service foi satisfatório também. Bom hotel para quem está a ir para o aeroporto de Guarulhos."
mai. de 2021,3,THIAGO,"favor enviar tenis pelo correio. refeições não tem distinção de vegana ou não vegana. check in lento, boa localização, quando chega o ifood ninguem avisa que chegou, são pequenos detalhes que fazem a diferença"
mar. de 2021,4,"Bom, mas pode melhorar.","Voltarei pois os pecados não foram capitais. Check in lento, toalhas finas, preços no cardapio elevado e poucas opções. No mais, tudo 100%. Atendimento dos funcionários muito bom, café da manhã com bastante variedade."
mar. de 2021,4,Ótima experiência,"Gostei bastante do hotel, do atendimento e da localização.  O cuidado e protocolo COVID muito bem feito.  Atendentes super atenciosos e simpáticos.  O Único ponto fraco foi: o frigobar q não gela absolutamente nada."
fev. de 2021,5,Bom hotel,"Bom hotel, boa infraestrutura, funcionários educados e simpáticos, quarto e banheiro limpos, boa localização. Com certeza, ficarei mais vezes. Bom sinal de wifi e atendendo todas as recomendações de segurança devido á pandemia de COVID19."
fev. de 2021,3,Wi fi deixando a desejar!!!,"Wi fi do meu quarto não conectava, qdo conectava o sinal era péssimo, e eu realmente fiquei sem internet dentro do quarto, o que foi uma tragedia tendo em vista que fui fazer uma prova e tinha que estudar na véspera. O resto, limpeza, recepção , café da manhã, tudo ok."
jan. de 2021,5,Muito bom,"Limpo e espaçoso.  Funcionários atenciosos e atendimento rápido.  Quarto silencioso.  Elevador rápido.  Não precisamos esperar para obter mesa para tomar café da manhã, mesmo com o distanciamento social.  Recomendo!"
