Data da opinião,Nota,Título,Conteúdo
dez. de 2022,1,Não fiquem no Hotel Intercity Berrini - Péssima experiência,"Somos de Brasília, e moramos do lado do Hotel Intercity Taguatinga Sul, sempre que podemos passamos uma noite lá para desfrutarmos de uma noite tranquila e um café da manhã delicioso.    Fomos para São Paulo comemorar nosso aniversário de casamento e decidimos ficar no Hotel Intercity Berrini. Fiquem em qualquer hotel, menos nesse:    1º) Na entrada do hotel fomos surpreendidos com a informação que não seria possível dividir o valor da estadia. Já rodamos o Brasil e essa foi a primeira vez que recebemos uma notícia dessas. O Valor foi de quase R$ 800,00 para 3 noites. Putz, foi um baque grande. Foi informado que não serie parcelar pelo booking.com, pois a booking não parcela (sempre parcelei). Fomos informado que ""deveríamos ter feito a reserva no app Orange"". Rapaiz, isso dá um processo, pois se eu não tiver livre escolha de mercado para reservar com quem eu quiser, para que tantas empresas se esforçam para melhorar a experiência do hóspede? Detalhe: no site do App Orange estava muuuuiiiitttooo mais caro que o Booking.com. Só aí já foi falta de respeito e cordialidade (está tudo gravado).    2º) O café da manhã é o pior do Brasil !!!!!! não tem uma tapioca, um ovo, um nada, nem gelo tinha para colocar nos sucos quentes do hotel. Nem um biscoito ou pãozinho recheado gostoso. Nada, e nada era reposto. Era para o dia e benção. Acabou, acabou, se o café era das 6 às 10hs da manhã, quem chegava às 9h30 não tinha o mesmo direito de comer quem chegasse às 6hs, pois não era reposto a mesma comida. Isso é um Intercity em São Paulo. Que era para ser primeira linha, mas cobrar a estadia na velocidade da luz sabem. Vai vendo.    3º) A cama dos quartos eram muito boas, mas só. Os torneiras dos chuveiros estavam caindo, as torneiras da pia estavam faltando peças, as tomadas e fios da televisão não estavam guardadas dentro da peça de home, podendo causar incêndio, pois estava caindo o tempo todos, e eu tive que limpar as grades do ar condicionado pois estavam muito sujas.    4º) O humor dos colaboradores era nota 10, só que não.    Solicito devolução do valor e cobrança de forma parcelada da nossa estadia.  Em nenhum momento desde da reserva da nossa estadia apareceu alguma informação que não era possível parcelar a estadia.    Recomendo que esse hotel melhore seu fluxo de informações e atenda melhor os hóspedes. E que a rede Intercity revise os procedimentos internos de atendimento.    Na próxima, em outro hotel da rede, por mais chato que seja, irei chamar a polícia local para resolvermos na hora. Vai ser chato para ambos os lados, mas será resolvido, e não da forma que foi dessa vez. Ganharia fácil na 1ª instância, mas é um saco. Mas da próxima já está avisado.    Caro leitor, essa foi a nossa experiência muito ruim com o Hotel Berrini. Nossa sugestão é não se hospedar lá. Fique no Bourbon do Ibirapuera, gostamos demais de lá."
jul. de 2021,4,Confortável,"A localização do hotel é perfeita. A região é muito bonita e segura.  Foi possível estacionar na frente do hotel durante a semana de graça (na rua).  Quarto é confortável e o café da manhã é muito bom.  Fiquei satisfeita com minha estadia no Berrini e com certeza recomendo hotel.  Excelente opção para pessoas que prestação exames na Winner Idiomas, pois é possível ir á escola caminhando."
dez. de 2022,5,Ótima estadia!,"Estive no hotel no início de dezembro/22, gostei bastante da minha estadia de forma geral. Excelente localização, quarto limpo, espaçoso, cama confortável, televisão grande e ótimo atendimento de funcionários.  Voltaria com certeza e recomendo para todos."
dez. de 2022,5,Boa experiência,"Gostei muito das acomodações e da área da piscina. O café poderia ser mais caprichado, mas o restante estava tudo ótimo.  Banheiro grande e cama confortável.  A comida do restaurante do hotel estava uma delícia.  Gostei também do tamanho da televisão do quarto."
nov. de 2022,5,Uma excelente experiência,"Passamos um final de semana com nosso filho e alguns amigos. A estadia foi ótima, todo o pessoal do hotel foi muito atencioso, simpático e prestativo. Fizeram de tudo para nos acomodar bem, desde a localização dos quartos até o lanche que prepararam especialmente para nós. Toalhas e lençóis cheirosos, café da manhã delicioso. O restaurante nos atendeu muito bem de noite e foi muito rápido. Quartos recém- reformados. Recomendo!"
ago. de 2022,5,Execelente Hotel.,"Lolizacao perfeita , limpeza de primeira,cafe da manha sempre Ótimo com atendimento de ultima hora com Jailson e equipe de Garçons Show. Muito bom.recpacao sempre atenciosos. Quartos confortáveis e silenciosos. Comida maravilhosa vale o custo."
jul. de 2022,4,Excelente custo beneficio!,"O hotel é bem localizado em uma rua tranquila e segura, perto de tudo. O quarto estava extremamente limpo, isso me agradou demais. Café da manhã simples e agradável, fui muito bem atendido por toda a equipe, recomendo."
jun. de 2022,3,Experiência Decepcionante,"Experiência Decepcionante. Quarto com uma cama de casal tamanho padrão, café da manhã sem o básico, que é um simples pão francês. Estacionamento pago por fora e não tem a mínima ligação com o hotel. Esqueci e levei a chave comigo. Como o manobrista não sabía o apartamento, o carro ficou na porta do hotel aberto. Por sorte saímos logo depois e o tiramos de lá. Pelo preço pago, não vale o benefício. Não voltaria"
mai. de 2022,4,Boa opção,"Quarto espaçoso, bem decorado, limpo, atendimento muito bom, preco bem razoavel pelas opcoes na regiao, bem localizado (proximo ao D&D).    Recomendo pela facilidade de acesso da regiao e pelo preco bastante razoavel 300 pela diaria de um quarto superior."
mai. de 2022,3,Decepcionante,"O hotel é bem limpo, quartos são bons, porém o café da manhã deixa a desejar e O estacionamento é PÉSSIMO!  No café da manhã, os ovos mexidos estavam verdes, sim... verdes, logo um hóspede já reclamou e eles tiraram do buffet, o leite não estava gelado, a parte de sucrilhos, aveia e granola era mal conservadas pois estavam murchos, não há descrição dos alimentos a mesa, se tiver alergia alguma especiaria tome cuidado.  Agora o estacionamento, vou fazer uma reclamação direto com o hotel e também com a empresa do estacionamento, foram cobradas duas diárias indevidamente, ao chegar já foi cobrado a primeira diária, dizendo que a retirada era até meio dia do próximo dia, tolerância de 2h, nos retiramos o carro às 11h23 e cobraram mais uma diária!!!!!!! Eu está a atrasada para um compromisso e não podia perder tempo discutindo...  Sem contar que não sabiam ligar o carro, tivemos que descer do quarto pra ensinar o manobrista ligar.  Péssimo  Não volto"
abr. de 2022,1,"Não recomendo, lugar velho e mau organizado","Que hotel horrível, tudo velho e administração péssima. Me trocaram de quarto sem motivo. Funcionário mau educados. Cama cheira mofo. Só estou nele porque a empresa ta pagando, se nao fosse isso não estaria aqui."
mar. de 2022,4,"Hotel bom, mas internet não funciona!","Hotel bom, quartos e boa estrutura, porém internet não funciona. Nos dias atuais, como mobilidade de trabalho os hotéis e serviços de hospedagem precisam entender que internet é tão fundamental quanto uma cama!"
jan. de 2022,3,Festas de fim de ano em São Paulo,"Nos hospedamos por 07 diárias no hotel, meu marido e eu. A localização é ótima, pois está próximo à estação Berrini do CPTM, fazendo conexão com o metrô. Também está próximo à Av. Nações Unidas e conta com um supermercado ""express"" nas redondezas, além de algumas lojas. É um hotel para dias de semana, comercial, e não é uma localização para lazer, definitivamente. Não há restaurantes próximos, tampouco shoppings ou parques. A recepção foi cordial e prestativa, os quartos que passaram por reforma recente são espaçosos e funcionais, além de estarem sempre limpos e com todos os itens de banho e higiene repostos todos os dias. Alguns itens dos quartos, mesmo reformados, são antigos e apresentam avarias: as janelas do quarto (tipo Maxim Ar), não vedavam completamente e os puxadores estavam soltos, no banheiro o box estava bem enferrujado e com vazamento e a janela basculante não fechava. O café-da-manhã tem itens básicos, sem muitas opções e, infelizmente, não pareciam frescas ou apetitosas, além do café (bebida) ser bem ruim."
dez. de 2021,3,"Hotel ok, mas poderia ser melhor","O hotel é limpo, inclusive banheiros. O check-in demorou muito. Nos quartos não há nenhuma instrução sobre wifi, tem que ligar para a recepção para pedir. Room service se encerra as 23hs. Café da manhã é muito simples para o nível do hotel, com poucas opções."
nov. de 2021,1,Não escolham esse hotel,"Café da manhã pessimo, sem opções, sem guardanapo, servido em talhes e copos de plastico ( cadê a sustentabilidade??) unico hotel q vc precisa pagar por fora caso queira um ovo frito ou omelete….  A única coisa que presta é a localização, prox a uma estação de metrô    Decepcionante!!"
