Data da opinião,Nota,Título,Conteúdo
out. de 2022,4,"Bom acomodação, com excelente localização","Tivemos uma boa estadia no Intercity, tendo a localização (praticamente na Paulista) e o atendimento da equipe como os pontos mais altos (equipe extremamente cordial).  O quarto é confortável, com bom isolamento acústico. Ar condicionado central funciona bem, de forma silenciosa. A limpeza, não só do quarto, mais de todo o hotel é outro bom destaque.    O que eu destacaria para melhorar seria: a colocação de TVs Smart nos quartos, tomadas ao lado da cama, a qualidade do café da manhã (é bom, mas poderia ser bem melhor), a pressão do chuveiro que é ruim e uma reforma cairia bem, principalmente na pintura. Lembrando que o valor cobrado na diária é alto, muito devido a localização.  Mesmo assim, julgamos ter sido um bom custo x benefício."
set. de 2021,5,Excelente Opção Proximo a Paulista,"O Hotel é excelente . Fica em bem localizado, a duas quadras da Paulista e proximo a estação de Metro e Restaurantes. Aptos com bom tamanho, otimo colchão , ducha maravilhosa e excelente café da manhã. As equipes da recepção e restaurante são extremamente gentis e solicitos."
out. de 2022,2,Péssimo staff,"Semprei achei o hotel um excelente custo benefício para São Paulo. Quartos amplos e limpos apesar de antigos, hall agradável e café da manhã bomz  Todavia, a minha avaliação ruim vai para o atendimento:  - Fomos assaltados em frente ao hotel, na área de desembarque de carros. Os manobristas falaram que está sendo comum. Desta forma, seria prudente o hotel avisar seus hóspedes.  - Além disso, depois do ocorrido nenhum concorrido veio oferecer uma água, perguntar como estávamos ou mesmo cuidar adequadamente do funcionário machucado. Demonstrando um mínimo de humanidade.  Por fim, o ar condicionado não estava funcionando e ninguém foi arrumar e a academia está super mal cuidada e limpa."
out. de 2022,4,A sala do evento era imprópria,"Participei de um evento neste hotel. A sala do evento era pequena, pé direito muito baixo, sem janelas ...em minha opinião, imprópria para manter um grupo de pessoas por mais de oito horas.  O restaurante foi razoável em termos de variedade de opções. Tinha feijoada"
set. de 2022,4,Ponto forte é a localização,"Terceira vez hospedado no hotel, que tem como ponto forte localização. É próximo a Paulista e ao lado da padaria Bela Paulista.  O atendimento e check in um pouco lento. Porém, no mais, o hotel é limpo, café razoável e me hospedaria novamente."
set. de 2022,5,Sensacional,"Sempre que tenho a oportunidade de estar em SP, esse hotel é sempre minha escolha, além do atendimento cordial, as suites do 16° andar são perfeitas para uma noite única e memorável. O ambiente é um excelente tamanho, além da vista única da noite Paulistana e uma jacuzzi pra relaxar! Sempre recomendo!!!!!"
ago. de 2022,1,Péssima experiência desde a entrada,"Quase não tem funcionário, vc chega e tem q se virar com a sua mala , ninguém ajuda, quem me ajudou foi a terceirizado do estacionamento.  O estado do berço era lamentável e não era mancha , pois jamais ia deixar meu filho dormir nessa sujeitos,limpei tudo e saiu.  Tive que trocar de quarto ar n funcionava , o recepcionista falou q dps de atender me ajudava a levar o berço pro outro andar mas me virei sozinho . Tudo isso com uma criança de 1 ano.  Falam q não aceitam animais mas tinha um no meu quarto vizinho."
jul. de 2022,1,Despreparo da equipe para situações de emergência,"Infelizmente, não houve preparo da equipe para situações de emergência. Durante o estouro de um cano no oitavo andar, de madrugada (3h50), do dia 23 para 24 de julho, o alarme de incêndio foi acionado (não se sabe como) e muitos passageiros evacuaram seus quartos pelas escadas e foram até o saguão, onde não havia qualquer informação. Foi um hóspede quem chamou a atenção do atendente sobre água nos elevadores. O funcionário disse não ser nada. O hóspede então chamou bombeiros e polícia. Enquanto isso, a água inundava todos os andares abaixo do oitavo andar, incluindo a escada de emergência por onde não se podia mais transitar. Foram mais de 2h com hospedes pelo chão até que a água fosse desligada, porque nenhum funcionário no hotel sabia dizer onde ficada o registro geral. O dia amanheceu sem que houvesse qualquer esclarecimento às pessoas que se amontoavam no saguão e na rua. Fomos realocados, com a promessa de que seríamos ressarcidos. Hotel ainda não fez contato sobre isso. A equipe também não orientou quanto a pegarmos nossas bagagens que ficaram para trás. Havia muita insegurança. Um dos funcionários orientou uma família a usar o elevador de serviço para eles pegarem os pertences deles e a família ficou presa no elevador em pane até os bombeiros chegarem. Com o registro da água ainda aberturas, uma funcionária chegou a dizer que podiam todos voltar para seus quartos, com exceção dos hóspedes do oitavo andar. O que obviamente não tinha qualquer sentido. E isso foi explicado pelos bombeiros como não aceitável, já que havia risco de choque elétrico pela água por causa dos elevadores em curto circuito. Caos. Foi feito um boletim de ocorrência e os bombeiros questionaram se o hotel tinha alvará de funcionamento. O que não chegamos a ter certeza."
jul. de 2022,1,"Negligência, descaso","Estive com minha família neste hotel julho/2022, e ficamos no 15 andar. Na manhã do último dia, por volta das 9 horas da manhã, percebemos que não havia água quente no banheiro. Ligamos para a recepção, porém o telefone era muito antigo e não conseguimos contato. Percebemos que todos os elevadores estavam desligados. Tentamos novamente contato com a recepção, que atendeu dessa vez. A recepcionista nos avisou que uma tubulação havia estourado no 8 andar, de modo que os elevadores foram desligados. Solicitamos ajuda para descer as malas, porém, em decorrência da demora, resolvemos descer. O estouro foi bem maior que o informado. As escadas estavam completamente alagadas, com restos de reboco do teto no chão e uma verdadeira cachoeira na escada. Mesmo com dificuldade, conseguimos descer. Ao chegarmos na recepção, SÓ ENTÃO, soubemos do tamanho do acidente! O rompimento ocorreu por volta das 4h da manhã. Os hóspedes que souberam ou perceberam desceram em desespero, porque, a priori, o oitavo andar foi tomado por um vapor, que não se sabia se seria um incêndio.  Em nenhum momento, fomos informados do que estava ocorrendo. A administração do hotel, em nenhum momento, procurou garantir a segurança dos hóspedes. DESCOBRIMOS POR ACASO O QUE HAVIA OCORRIDO E SOMENTE QUATRO HORAS APÓS! A administração NÃO evacuou o prédio, NÃO informou prontamente o que tinha ocorrido, NÃO prestou assistência após o ocorrido. Limitaram-se a informar que iriam extornar a diária, o que não ocorreu até o momento."
jul. de 2022,1,Pessimo,"Reservei o hotel por engano com uma diaria a mais. Liguei 1h (60 MINUTOS) apos para corrigir a reserva, porém mesmo assim me foi cobrada a diaria cancelada (480 reais).  Alem disso, estrutura antiga, equipe de limpeza lenta, cartoes para entrar no quarto/elevador funcionsm apenas 1/3 das vezes. Nao recomendo e não voltarei."
jul. de 2022,5,"Ótimo atendimento, localização e custo benefício.
Recomendo 100% !!","O hotel Intercity Paulista é referência quando o assunto é localização. Está em uma das travessas (esquina) da avenida mais famosa de São Paulo: Avenida Paulista. Exatamente na Rua Haddock Lobo com a Avenida Paulista. Além disso, está ao lado da padaria Bella Paulista que é uma das mais famosas da cidade. Mas agora falando do hotel, possui um grande lobby na chegada e grandes salas de eventos. Até o banheiro do andar social (recepção) com muitos passantes é extremamente limpo. Reservei uma das 4 suítes com jacuzzi que eles possuem e tudo muito impecável. Mesmo a jacuzzi sendo na parte externa (onde fatores externos) podem suja-lá, estava limpa. O quarto nos atendeu perfeitamente. Café da manhã é algo que eu quero pontuar, que melhorou 100%. Estive outra vez nesse hotel e comparei com a hospedagem de hoje. MUITAS opções. Inclusive a mesa ao lado estava elogiando também. E inclusive ganhei um brownie de boas vindas DELICIOSO. Ou seja, tudo que lerem em outros comentários, são de pessoas que caçam assunto pra reclamar. De fato o hotel é incrível. E essa moça que reclamou do barulho, mentira, dá pra ouvir nada haha #chata Super recomendo. Aproveitem o hotel pessoal. Vão amar !!"
jun. de 2022,2,Muito barulho,"Ao chegar no hotel tivemos uma ótima impressão, com a limpeza, atendimento e até a aparência geral do quarto. Mas na hora de dormir foi muito ruim, a começar pelos travesseiros que eram super duros, mas o pior de tudo era o isolamento acústico do quarto, acordamos a noite inteira com diversos barulhos. Ouvindo o quarto do lado, inclusive em situação íntima. Mas não parou, tinha muito barulho de obra, gente carregando coisas, máquinas barulhentas, isso tudo durante a madrugada. Fui conseguir dormir depois das 3h da manha.    Outro fator ruim pra mim, foi a televisão. Não era smart, portanto não tinha Netflix, YouTube, e tinham pouquíssimos canais, os mais básicos.    No checkout tinham vários itens de frigobar a serem cobrados, sendo que não consumimos nada. Mas como eu reclamei, eles não cobraram."
jun. de 2022,3,Boa localização,"O melhor do hotel é a sua localização. Perto da avenida Paulista, metrô e muitos restaurantes na proximidade. Quartos antigos, limpeza dos quartos sofrível. Toalhas e roupas de cama muito usadas e precisando de uma renovação. Elevadores inseguros. Café da Manhã razoável. Melhor pagar estadia sem café da manhã. Pessoal atencioso. Preço alto para o que oferece."
jun. de 2022,4,Excelente custo beneficio. Mas leve adaptador de tomadas,"Quarto limpo, atendimento excelente em todos os setores. A tomada próximo a mesa é do modelo antigo e meu computador não tinha como ser ligado, o senhor da manutenção que esteve no quarto foi super atencioso e como não achou um adaptador, ele criou um, ou seja, resolveu o meu problema, fiquei super satisfeito.  O Café da manhã é bom, o serviço de quarto tem pratos bem servidos e saborosos. O serviço de armazenagem de bagagem também foi ótimo e me ajudou a ganhar tempo."
jun. de 2022,5,"Eficiencia, atendimento excelente e muito conforto","Excelente hotel, equipe simpática e muito atenciosa. Apartamentos espaçosos, limpíssimos, café da manhã delicioso e academia organizada.  Parabenizo toda a equipe, em especial a Juliana sempre prestativa e competente, o Rafael, o Paulo e o Bruno pelo bom atendimento no check in e no check out.  Não posso deixar de mencionar a Rose e a Everalda sempre atentas a todos os detalhes, bom chegar e o apartamento estar do jeitinho que eu gosto. Grande abraço ao pessoal do café da manhã, Welligton, Dani, Rafaela, Isnaldo, Ronaldo. Agradeço a atenção especial do Ricardo, sempre simpático e o preocupado com novos projetos. Muito bom ser hospede do Intercity Paulista. Simone Linzmeyer"
jun. de 2022,1,Pior hotel de São Paulo! Fujam!,"Pior experiência de hotel que já tive na vida  Enquanto escrevo essa avaliação estou no quarto 710 onde chegamos dia 01/06 e hoje dia 03/06 começaram uma reforma no apartamento ao lado…são 15:30h da tarde e meu marido ligou várias vezes para recepção para reclamar sendo informado que nada poderiam fazer que iam parar em 20 minutos…não pararam e após vários Contatos inclusive pedindo para falar com o gerente (que não existe) para que pelo menos fôssemos acomodados em outro andar (informaram que o hotel estava lotado) meu marido acionou a polícia!!!! Nunca passamos por uma situação dessas..alegaram que a lei do silêncio só valia após as 22:00h…oi?? Como assim? Você paga caro num hotel que pelo que oferece (só tem de bom a localização) não vale nem a metade… nunca passamos por uma situação dessas, já perdi a conta de quantos hotéis me hospedei e somos os tipos de hóspedes que tratam bem todos os colaboradores, não incomodamos ninguém, não fazemos barulho no quarto, enfim, somos educados!  O tratamento dispensado nesse hotel não existe, falta de profissionalismo e cortesia!! NUNCA MAIS FICAREI HOSPEDADA AQUI E SE ME RESSARCIREM AS DIÁRIAS ATÉ O FINAL DA HOSPEDAGEM QUE É INTEGRALMENTE PAGA QUANDO FAZEMOS O CHECK IN VAMOS PARA UM HOTEL DE VERDADE!"
