Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Próximo a Avenida Paulista,"Quatro noites no Mercure Alamedas, escolhemos por ser próximo a Avenida Paulista, atrás do Conjunto Nacional. Fizemos muitas coisas na região da Paulista, museus, comidas e outros. Fora a localização que é muito boa, tem piscina, academia, que não usamos. O Café da manhã é muito bom, com variedades e diversidade e tudo de muita qualidade. O Quarto tem uma disposição muito boa, o chuvero é ótimo, a cama excelente e bastante espaço. Possivelmente votaremos."
nov. de 2022,3,O menor banheiro de todas as viagens .,"Hotel tem ótima localização , avenida paulista perto e muitas atrações . Atendimento gentil , tudo muito limpo , o quarto tem cama confortável, mas o banheiro e tão pequeno que parece um caixão de defunto ! Os elevadores também são pequenos ."
nov. de 2022,5,Agradecimento,"Boa localização, funcionários atenciosos. Apartamento confortável e limpo. Bom restaurante. Ficamos no décimo sétimo andar. Sentimos falta da abertura do restaurante no domingo à noite. Voltaríamos com certeza. Agradecemos a todos os funcionários pelo atenção recebida."
nov. de 2022,2,Decepção,O hotel mostrava uma coisa no site e foi uma decepção os banheiros espremidos sem conforto alguma o quarteto muito simples As dependências com carpet nos corredores e áreas comuns. Dando um aspecto de sujeito. Não combina com a rede Accor. Pagamos mais caro para estar num mercury e foi decepcionante
set. de 2022,5,Ótimo lugar,"Adorei a hospedagem no Mercure São Paulo Alamedas, fui com meu parceiro e foi ótimo. Ficamos no 1º andar e o quarto era bem espaçoso, aconchegante e organizado. Havia limpeza todos os dias (se desejar), com troca de lençóis e toalhas. A localização também é muito boa, há menos de 5 minutos da Av. Paulista e da estação de metrô."
ago. de 2022,2,Cilada,"O hotel é um improviso que estão chamando de Mercure . Atendimento de albergue , café da manhã seco e mal servido, o elevador é uma comédia constrangedora e ainda só tinha um funcionando. Pense em um arrependimento...fuja dessa cilada , escolha outra opção na região."
ago. de 2022,3,Razoável,"Sem acessibilidade na entrada principal, elevador antigo, pequeno e lento.  Quarto limpo e com um bom tamanho.  Bem localizado. Vários restaurantes, mercados, farmácia perto  Funcionários amigáveis e simpáticos.  Check out um pouco demorado.  Piscina bem gelada  Academia pequena."
jul. de 2022,4,Férias com a família!,"Hotel bem localizado, próximo ao Conjunto Nacional e MASP na Av Paulista. Junto ao Metrô, restaurantes e supermercado. Atendimento dos funcionários muito bom. Ponto negativo são os elevadores sub dimensionados para o fluxo de hóspedes."
jul. de 2022,3,MERCURE ALAMEDAS,"Elevadores pequenos, congestionamento para descer e subir pelos elevadores, chave do apartamento não funciona muito bem para subir para o andar. Academia pequena e com poucos aparelhos, quartos de bom tamanho, vaso sanitário apertado para sentar,"
jul. de 2022,4,Hotel super bem localizado e confortável,"Hotel perto de tudo, super bem localizado e com a qualidade Mercure. A cama é confortável e o banheiro muito bom. Os elevadores são um pouco lentos, mas nada que comprometa. Café da manhã bem gostoso."
