Data da opinião,Nota,Título,Conteúdo
dez. de 2022,2,Bem fraco.,"A nota foi ""2"" em razão da cortesia no atendimento, especialmente café da manhã e recepção (nesta ordem). Os quartos (estivemos num ""premium"") sequer dispõe de decoração ou mesmo um espelho. Quanto menos uma cafeteira...A arrumação ficou a desejar e o frigobar (minúsculo) sequer foi reposto. Banheiro e box apertadíssimos e sem exaustão elétrica. Aparentemente reformado, porém, com materiais e mão de obra bem ruins. Não gostei da experiência e a vontade de trocar de hotel foi bastante grande. Não vale o que cobram por uma ""suite premium"". Preço de 5 estrelas."
mar. de 2022,5,Decepção !,"Estive ai, nesse final de semana.  E mais uma vez me decepcionei com algumas coisas, e pior, uma das minha reclamações eu coloquei na Avaliação do Google há 5 meses atras , ou seja em Out.21, e foi respondido por Samara, e de nada adiantou, so me resta mudar de hotel. Fiz a minha parte, dei uma nova chance, mas vocês..não !  O café da manhã, continua desrespeitoso com o cliente, oferecem bolo velho, pois a textura do mesmo comprova isso, ate um bolo da Pulmann é melhor, pelo menos é macio e tem gosto, numa das bandejas (eram 3) tinha algo muito estranho, parecia pedaços de bolo que não cresceu e colocaram la para ver qual era o doido que ia comer, o aspecto muito feio. Meu esposo pegou um pedaço muito pequeno de um dos bolos, deu a primeira garfada e largou tudo. O café básico dos básicos e ainda ruim, por um reajuste de mais de 70% de tarifa, acho que mereceríamos algo melhor.  Ah...dessa vez nem água colocaram no frigobar....lamentavel. Eu sei que tem outros hotéis, mas sempre fiquei no Intercity da Berrini e quis conhecer o da Ibirapuera, é mais caro e muito ruim.  Coloque isso para quem de interesse, porque eu voltarei a colocar na midia, alguém precisa fazer alguma coisa !!"
nov. de 2022,5,Excelente opção de hotel para viagens de trabalho,"Excelente opção de hotel em São Paulo. Especialmente se a viagem é à trabalho. Hotel bem localizado, excelente estrutura, excelente quarto. A única crítica que eu faria é que achei a qualidade do café da manhã abaixo da qualidade do hotel. Acho que poderia ser um ponto a ser melhorado."
out. de 2022,1,Intercity Ibiraquera está precisando de uma nova direção,"Já havia me hospedado outras vezes neste hotel.  Resolvi voltar pq tinha sido bacana as experiências anteriores.  Porém foi decepcionante o nosso retorno ao Intercity Ibiraquera por diversos motivos.  1. Corredor com mal cheiro, cigarro e mofo. Parecia q estávamos no subsolo.  2. O banheiro tinha cabelos. Não foi limpo.  3. Toalhas velhas e rasgadas. Impressionante!  4. Sabonete, o mesmo para a pia e para o chuveiro. Piada! Dois adultos tendo q dividir 20g de sabonete.  5. Secador funcionou apenas 5 segundos no primeiro dia. Apenas enfeite no banheiro mesmo!  6. Café da manhã: sem reposição, sem pratos e sem talheres! A todo instante os hóspedes tinham q solicitar pratos e talheres para funcionários. Toda hora!!! Sem falar na qualidade..  ah.. a sanduicheira mais parecia uma churrasqueira, de tão suja! Parece q nunca foi limpa. Preta e cheia de pão torrado lá q ela nem fecha. O seu pão sai preto. Nojento!    Mas o pior de tudo, pagar caro por um serviço que não existiu!  Enfim.. experiência péssima!"
set. de 2022,5,Maravilhoso!,"Recepção, quartos, itens, cafe da manha, tudo impecável. Adoro viajar e ficar nos hotéis da rede, e com o do Ibirapuera nao foi diferente. Obrigada pela estadia, e pelo fds maravilhoso que tivemos...."
jul. de 2022,3,Café da manhã apagou o brilho da estadia.,"O Hotel Intercity fica bem localizado, próximo a shoppings, restaurantes, bares. Fiz reserva para pacote casal, onde tem a possibilidade de late check-out, decoração com fotos do casal (enviei por email), garrafa de espumante. A reserva, o contato para envio das fotos, tudo correu muito bem. O quarto agradável , amplo, roupas de cama e banho boas, espumante gostosa. O que tirou um pouco o brilho da estadia foi o café da manhã (incluído na hospedagem). Descemos para o café próximo ao término, eram 09:30hrs e o café era servido até às 10:00, nos deparamos com bandeiras desarrumados, sem reposição de frutas, o pão frances acabou, enfim, parecia que estava meio largado, sem cuidado e acompanhamento. Saliento que o restaurante estava cheio e muitos outros hóspedes chegaram depois de nós. Outro detalhe, mesmo com a pandemia de Covid em outro patamar, acredito que alguns cuidados básicos devem continuar existindo, tipo os talheres serem individualizados com embalagens, álcool nas mesas, e até mesmo luvas para que não fiquemos compartilhando os pegadores das bancadas de self service."
jul. de 2022,4,"Boa localização, staff atencioso.","Localização muito boa, perto de shopping, supermercado , metrô, agências bancárias, farmácia, e do aeroporto de Congonhas. A equipe é cordial e atenciosa. Café da manhã bom, mas pode melhorar no quesito frutas. Quarto limpo e confortável. O senão fica para a necessidade de renovarem o enxoval usado nos quartos, inclusive toalhas."
mai. de 2022,3,Tão básico que falta algo.,"Esse Intercity Ibirapuera segue uma linha austera: um hotel básico, mas tão básico que abre mão do conforto mínimo. Os quartos até são espaçosos, mas em compensação os banheiros são minúsculos. O prédio é antigo e apesar da reforma tem sinais de desgaste. Nos banheiros há vestígios de ferrugem nas portas (vide as fotos). O ar condicionado dos quartos é antigo e não funciona bem. Tive a má sorte de me hospedar em um dia frio e o ajuste de temperatura não funcionou. O isolamento acústico é nenhum, o que é um problema diante da proximidade com o Aeroporto de Congonhas. O hóspede não perde uma decolagem. Para piorar, as janelas estão desajustadas e trepidam com o vento, contribuindo ainda mais para o barulho. Por fim, no dia em que fui o salão do café da manhã estava lotado. Além da dificuldade de encontrar mesa, ainda faltavam itens de alimentação e até pratos. Enfim, o que salva aqui é a localização e o custo-benefício (mais o custo do que o benefício)."
mai. de 2022,3,"Médio, com pontos muito ruins que podem melhorar","Atendimento bom  Estrutura boa  Café da manhã bom (nd maravilhoso, mas com boas opções de frutas, pao de queijo, bolos, bolo sem gluten, sucos, pães, ovos e alguns salgados)  Chuveiro bom    Massss… Eu considero absurdo disponibilizarem toalhas velhas e RASGADAS! Ambas estavam literalmente rasgadas.  O lençol também é ruim, daqueles sem elástico, que saem fácil e fazem você acordar direto no colchão.    Nos incomodou muito a acústica do quarto. As portas dos quartos próximos era extremamente barulhentas, parecia q alguém estava abrindo a nossa porta.    Para quem se incomoda, faz bastante barulho dos aviões também (eu não sabia que passavam tão perto)    Achei que foram pontos muito fortes considerando a região e o valor da diária."
mai. de 2022,3,Bom custo benefício,"Recepção ágil e prestativa, nosso check in e check out foram excelentes, com opções de fazer pelo aplicativo. Quarto confortável, só não há muito isolamento no banheiro que, inclusive, é bem pequeno. Chuveiro ótimo!  Havia uma luz no sensor de fumaça que não parava de piscar, incomodou um pouco.  O ponto negativo é o café da manhã, os funcionários são ríspidos e não atendem pedidos com boa vontade. No primeiro dia de estadia os ovos estavam verdes, secos e com gosto desagradável. Nos demais dias estava ok!  Quando questionei o funcionário não fez questão alguma de ajudar com o problema.  Boa variedade de salgados e bolos, café coado ok.    Em termos gerais, a localização é excelente, o custo benefício é bom."
