Data da opinião,Nota,Título,Conteúdo
dez. de 2022,1,Desconsideração absurda,"Estivemos hospedados no Hotel The Universe Paulista by Intercity em dezembro de 2022. Reservamos 4 diárias, de segunda a sexta feira. Chegamos na madrugada de terça feira. Na manhã seguinte observamos que havia vagado um quarto mais novo e claro proximo, solicitamos a mudança e fomos atendidos. A noite, retornando ao hotel observamos que a TV não atendia ao comando da mudança de canais e solicitamos que alguém fosse ao apartamento para conferir. Como estava demorando, ligamos novamente e dissemos que precisávamos sair e gostaríamos que alguém nos ajudasse com a TV na volta. Qual não foi a surpresa quando a recepção nos informou que talvez nem adiantasse porque as 23 horas faltaria luz. Havia uma manutenção agendada e das 23 até as 5h não haveria luz no hotel,. Ficamos indignados com a desconsideração de sabermos sobre isso literalmente ""por acaso"", porque ligamos sobre a TV. Mesmo com chuva e já sendo noite, procuramos outro hotel e nos mudamos. Considero grave o acontecido."
set. de 2021,5,Apto perfeito. Localização espetacular,Estiver com minha esposa e minha bebe neste final de semana. Nos surpreenderam com mimos carinhosos e o berço todo caprichado. Arrumação com cara de vó.  O apto é excelente amplo. A localização pertinho de tudo. A equipe de recepção foi super receptiva. Super indico.
dez. de 2022,5,Flat em São Paulo,"Conforto e praticidade na medida certa  Tamanho, facilidades e bom gosto excedem expectativas pelo custo.    Verdadeiramente uma experiência extremamente positiva que me leva à este depoimento e minha total satisfação"
set. de 2022,5,Ótimo Flat e excelente localização,"O hotel fica numa rua tranquila e segura, próximo a Paulista, farmácias e cafeterias.  O apto é amplo, possui uma antessala, pequena cozinha: fogão por indução, alguns saches de chá e frigobar abastecido; o banheiro possui amenities. O café da manhã é bem servido, solicitei um jantar no restaurante do hotel e estava bem servido e muito bom.  O hotel também possui piscina e pequena academia.  Funcionários cordiais e gentis.  Voltarei outras vezes."
jul. de 2022,4,Um bom flat em ótima localização,"Pela primeira vez no The Universe Paulista by Intercity, gostamos muito dos flats.  Os quartos são amplos, com ante-sala e pequena cozinha. Banheiro pequeno mas atende perfeitamente.  Enxoval de cama e banho novo e de qualidade.  O café da manhã é bem servido e os lanches que pedimos no room-service nos atenderam em sabor e valor.  Muito próximo da Avenida Paulista, mas num trecho da Rua Pamplona bem silencioso.  Voltaremos!"
abr. de 2022,4,HOTEL BEM LOCALZADO,"O Hotel é bem localizado, os quartos sao amplos, o café da manha é legal, porém tenho que citar o que passamos lá na nossa chegada, com o objetvo de que os profissionais citaos possam melhorar, ou para que alguem acima deles os oriente. Ao chegarmos no hotel fomos atendidos na recepçao e nos entregaram a chave do quarto 1403. e la fomos nós cansados da viagem querendo descansar. chegando no quarto deparamos com o quarto sujo, cama por fazer, lixo no criado, na pequena sala e banheiro com porta aberta o tampo aberto sem descarga do numero 2.exalando o cheiro por toda a acomodaçao. imediatamente ligamos pra recepçao e fizemos a reclamaçao, o atendente disse -nos espere no quarto que levaremos"
jan. de 2022,3,O melhor da estadia foi o café da manhã,"A primeira impressão ao chegar na recepção é que estava no hotel errado. Sinceramente, o lobby parecia muito menor e mais velho do que nas fotos do site, o restaurante logo de cara ao subir do estacionamento para o térreo, recepção pequena... Sei lá foi uma má impressão logo de cara.    O quarto também não era lá grande coisa, levando-se com conta o valor da diária que paguei quase $400 com as taxas.    Parece um flat, mas não tem nenhum item para cozinhar... kkk. Pra que um fogão elétrico de 2 bocas se não tem nenhuma panela?    Localização é próxima da Paulista. Mas tem que subir uma ladeira, que à noite eu não quis arriscar andar.    Os prédios velhos em volta estragam toda a vista.    Bom, pra finalizar, gostei do café da manhã. Só não entendi porque não tinha tapioca doce. Não foi dos mais completos que já comi. Mas as frutas estavam deliciosas!"
nov. de 2021,3,Ótima localização. Pequenos detalhes para melhorar,"Pedi um ferro de passar, demoraram uma hora e não chegou, aí cancelei. Quarto um pouco antigo, mas ainda assim era bom. Localização excelente para quem vai passear na Paulista. Café da manhã bom também, pena que não tem bacon. Poderia melhorar a sala de estar também, não tem TV, só no café tem TV"
out. de 2021,4,Boa experiência em uma boa localidade,"Bom hotel, muito bem localizado, quase atrás do metrô Trianon e Shopping da Cidade. O quarto é bem amplo, estilo flat, com sofá, mesa, cama, pia, frigobar, microondas, etc. Achei o ambiente aconchegante, funcional e confortável, eu gostei do espaço. Como ponto negativo, o colchão não é tão bom, prefiro os ortopédicos, e não há tomadas perto da cama para carregar celular por exemplo. O banheiro, apesar de não ser grande, considero que tem um tamanho bom, com boa ducha. Meu checkin e checkout foram rápidos, mas cheguei num horário que não tinha nenhuma fila, então não sei dizer como seria em horários de pico. Os funcionários foram sempre educados e solicitos, não posso me queixar. Estacionamento cobrado a parte ($25/dia), parece que virou raro em SP ter estacionamento gratuito, a não ser quando o valor da diária é bem alta. Fiquei na duvida sobre contratar o café da manhã, mas diante de tantos comentários negativos aqui no site, fiquei com receio e preferi ficar sem. Fiquei apenas 1 dia hospedado, não sei como seria ficar mais tempo, mas pela boa experiência que tive me hospedaria novamente nesse hotel sem problemas."
set. de 2021,3,Um hotel que já teve dias melhores,"Nota-se que este hotel já foi bom no passado. O quarto é grande e possui uma cozinha razoável. Porém, o hotel pouco investiu em manutenção. O aspecto é velho e largado. Observei que a toalha é datada de 2007 (pela etiqueta). Mas tudo isso faz parte do jogo e está no preço da estadia. O pior, a meu ver, é a postura da maioria dos funcionários de lá. São pessoas sem motivação, de má vontade, que não ligam para os hóspedes. Nas poucas vezes em que tive de interagir com eles, fui tratado de forma fria e seca (eu havia pedido emprestado um simples abridor de garrafa, prontamente negado por eles). Foi uma postura tão ridícula e mesquinha que, a partir daquele momento, decidi restringir as minhas interações com os funcionários ao mínimo possível. Já estive algumas vezes antes nesse hotel, mas não irei mais voltar. A vida é curta demais para ficar em hotéis cujos funcionários mais parecem garçons dos restaurantes do Rio de Janeiro."
