Data da opinião,Nota,Título,Conteúdo
dez. de 2022,1,Pessima experiencia,"Pessima experiencia. Faltou energia elétrica no hotel e a recepção insistia em dizer que era no bairro ,mas ao sair do hotel verifiquei que todas os prédios em volta tinham energia , até mesmo os mais simples . Após passar a noite inteira no calor por nao ter energia elétrica , solicitei o cancelamento de uma das diárias e fui para outro hotel . A recepção me disse que nao haveria problema e deveria entrar em contato com a Hoteis.com que seria resolvido , mas a empresa Hotéis.com me informa que o Hotel é quem deve realizar o reembolso . Enfim , um completo desrespeito ao consumidor."
dez. de 2022,2,"Excesso de ""imprevistos""","Estou hospedado no hotel por 5 diarias. Logo no invio ficamos sem Wi-Fi por dois dias, depois passou cerca de 24h sem energia elétrica nos quartos. Quando a energia voltou ficamos sem os canais de TV e não conseguiram arrumar."
nov. de 2022,4,Hotel confortável ao lado do aeroporto,"O hotel é perfeito para quem tem compromissos em São Paulo e não quer abrir mão da tranquilidade de estar pertinho do aeroporto.  Fui bem recebido pelos colaboradores, fiquei na suíte 1903 com vista para q pista de Congonhas.  Quarto limpo, isolamento acústico apropriado, não ouvimos barulho externo. Ambiente limpo e organizado. Gostei bastante, se em ocasião oportuna tiver algum compromisso na região, com certeza ficarei no hotel novamente.  Destaque para o translado até o aeroporto, muito legal o serviço que sai de 30 em 30 minutos."
nov. de 2022,3,Urgente necessidade de manutenção,"Hotel mal conservado, sujo, com carpetes encardidos, precisando serem trocados, chão do banheiro com limbo, no corredor havia teia de aranha, péssima manutenção.  Fica em frente ao aeroporto de Congonhas, então é prático pra quem for usar o aeroporto, café da manhã básico , com pãozinho bem gostoso.  Muita fila na recepção, mas até que foi rápido o check in, estacionamento pago adiantado em R$30,00 a diária."
nov. de 2022,5,Aconchego e comodidade !,"Local bom , apesar de ser ao lado do aeroporto o barulho do voos não atrapalha, a acústica do quarto é perfeita!  Os quartos são bons, a transfer para o aeroporto funciona bem e tem um ótimo restaurante!  Apesar do movimento os funcionários atendem muito bem"
out. de 2022,2,Avaliação de minha hospedagem,"Começo pelo quarto suíte que ficamos. O quarto simplesmente não tem a tomada de 03 pinos conforme padrão atual brasileiro, estão no modelo antigo ainda, descumprindo a lei e pior, não tinha adaptadores disponíveis!!! Fiquei sem celular e laptop pois não consegui carregar!.    Quarto suíte com carpete ainda, quem for alérgico corra longe.    Café da manhã fraco, com suco de laranja de CAIXA, o que para mim é um absurdo. Garfos de sobremesa, pois não existe o modelo maior. Opções muito pouco variadas, de frutas só mamão e melão.    Enfim não recomendo a hospedagem."
out. de 2022,2,Descaso com o cliente - Falta de higiene e limpeza,"Ao me hospedar no hotel E-Suítes CGH em 27/09/22 acabei ficando no quarto 116, onde encontrei uma manta “hipoalergênica” em péssimo estado, dentro de um saco aberto no roupeiro, com várias manchas marrons.  Acabei usando a mesma pois estava com muito sono. Também visando garantir menos luminosidade no quarto, tapei o olho mágico com papel higiênico, impedindo a entrada de luz.    Eis que no dia 01/10/22, chegando no hotel E-Suites as 13:00, recebo o mesmo quarto 116.  Entrando no local percebo que o olho mágico continua tapado, com o mesmo papel higiênico. Ao buscar uma coberta no armário peguei uma manta de mesma cor e tamanho que na estadia anterior e lá encontro exatamente a mesma manta, com as mesmas sujeiras nojentas que podem ser verificadas nas fotos a seguir.  Eu tento imaginar quantas pessoas podem ter usado a mesma roupa de cama, que deveria seguir estritas normas de higiene e não teve o mínimo de cuidado. Quantas pessoas dormiram lá nos dias 28, 29 e 30/09? E quantos mais talvez já tivessem usado a manta nos dias anteriores ao dia 27?  É um absurdo um hotel não ter o mínimo de higiene com seus hóspedes. Ainda mais com as marcas que encontrei, que deixo a critério da imaginação de quem lê para descrever o que poderiam ser.  No mesmo dia 01/10, ao descer a recepção para fazer uma reclamação formal no Livro de Reclamações, fui informado que o hotel é “sustentável” e não possui livro físico para tal. Ou seja, não fica registro público de nada."
ago. de 2022,1,Atendimento,"Fui transferido para um outro hotel devido ao ESuites apresentar oberbooking. O hotel não prestou nenhum suporte, apenas me transferindo, sem nenhuma atenção ou cuidado. Pelo contrário, o atendimento foi péssimo."
ago. de 2022,5,Viagem a trabalho,"Já fiquei o esuites em uma outra oportunidade, o atendimento é muito bom ,café da manhã delicioso,repetitivo,porém muito bom...e sem muitas opções...perto de tudo... o hotel tem transporte gratuito para o aeroporto de Congonhas que fica na frente,a cada 30 minutos...isso achei maravilhoso! O ponto negativo é que achei o hotel um pouco velho...principalmente a recepção, no mais pra mim foi ótimo!"
ago. de 2022,4,Eu no eSuites,"Reserva feita a contento, pouca disponibilidade de quartos, refeições dentro do aceitável, sono bom, equipe de atendimento excelente. Necessita manutenção em instalações, principalmente nos banheiros. Serviço de TV fraco, pouca opções canais."
jul. de 2022,5,MACARRÃO,"Restaurante muito bom, ele pode ter errado umas vezes mas o funcionário de óculos ele e muito bonzinho, educado, depois de tudo o que aconteceu ele e uma boa pessoa por favor não demita ele por favor ✨"
jul. de 2022,3,"""Razoável""","Positivo: Localização do aeroporto. Pessoal em geral atencioso e prestativo. Café da manhã com variedades.    Negativos:  1)Um outro hospede teve acesso ao mesmo quarto a qual eu estava, um absurdo isso. Informaram que foi falha do sistema.  2) Reservei um quarto para casal, mas a cama de casal que me disponibilizaram nos dois primeiros dias foi duas de solteiro, coberta por dois cobertores e lençol. 3)Extrutura antiga, parece que fieram apenas uma pintura para maquiar por fora. 4)Cartão de acesso ao quarto sempre sendo trocado por não abrir a orta do quarto."
