Data da opinião,Nota,Título,Conteúdo
nov. de 2022,1,Sem estrutura nenhuma,"Estivemos nesse hotel, no feriado de corpus Christ e tivemos vários problemas.  Inicialmente, na primeira noite, nos acomodaram no primeiro andar do hotel e durante a madrugada hóspedes de outro quarto fizeram muito barulho, nos acordando às 2 da manhã e no outro dia tínhamos uma bateria de exames pra fazer.  Foi informado que era uma banda que sempre se hospedava lá e que sempre tinham esse mesmo tipo de problema, depois do ocorrido mudaram nosso apartamento.  Estava com meu filho de 2 anos e no dia seguinte, no café da manhã, pedi ao garçom a possibilidade de fazer dois ovos frito mexido pro meu filho pq o que servem no buffet eles colocam leite e meu filho não come. Depois de um longo período de espera, informei a uma garçonete que tinha solicitado o ovo e se seria possível, a moça com muita ignorância disse que ia providenciar mas teria que ser pago a parte e me cobraram R$ 4,00 por cada ovo frito!  No outro dia a noite, passamos o dia fora e quando cheguei no hotel, solicitei água para fazer o leite do meu filho pq não tinham reabastecido meu frigobar e a recepcionista me informou que não tinha água para repor pq o bar estava fechado! Gente, como pode??? Não colocam agua no frigobar e ainda deixaram o hóspede com sede. A recepcionista me deu duas opções: ou eu sairia pra comprar ou tinha um bebedouro em algum andar que eu poderia ir lá pegar água do filtro!!!! Isso não existe!!!  E pra finalizar com chave de ouro, deixaram meu quarto sem papel higiênico, solicitei na recepção e tô até hoje aguardando a reposição!  A equipe da recepção é atenciosa, teve um rapaz que nos atendeu que era bem simpático. Mas de resto, o hotel não tem estrutura nenhuma para atender nenhum hóspede."
set. de 2022,4,Boa localização,"Hotel localizado próximo da Av Paulista; o quarto eh bom, espaçoso e bem limpo. Café da manhã bom, mas nada especial, atendentes da recepção atenciosos. Uma oportunidade para melhorias esta na recepção dos carros em horário de pico, falta metodologia entrada e saída."
ago. de 2022,4,Ótima Localização,"Ótima Localização!! Ao lado do Top Center Shopping e pertinho do Shopping Cidade São Paulo. Pertinho de excelentes bares e restaurantes!! Quartos espaçosos, mas que precisam de reforma!!O café da manhã eu compreendo a necessidade de manter o básico todos os dias, mas poderiam diversificar em uma ou duas coisas diferentes em alguns dias. Funcionários educados e eficientes!!"
jul. de 2022,4,Muito bom,"Hotel muito bom, super bem localizado, bem pertinho da avenida Paulista. Os quartos são confortáveis , o café da manhã é bom. O chuveiro é um pouco fraco mas nada que atrapalhe. Os funcionários (maioria) atenciosos. Espero voltar!"
jun. de 2022,3,Já foi muito melhor.,"Precisando de algumas reformas, principalmente no restaurante, banheiros e rol de entrada. As poltronas estão bem velhas. E, o atendimento está muito aquém dos que já recebi em outros hotéis da mesma rede."
jun. de 2022,5,Excelente acomodações e atendimento,"Muito bem localizado, 1 quarteirão da Av. Paulista, quartos espaçosos, cama confortável e ótimo atendimento. Adorei a disposição dos itens de higiene, melhor do que em todos os hotéis que já fui. Check in e check out rapidamente processados."
jun. de 2022,4,Ótima localização e conforto,"Ótima localização e conforto. Tivemos uma mobilidade muito boa, fica muito proximo à Paulista e tb de vários locais bom para turistar. Mas tivemos um problema no quarto do hotel, uma pessoa (não funcionária e não identificada) entrou em nosso quarto enquanto estávamos dormindo sem autorização. Ela entrou e saiu rapidamente assim que me avistou. Pedimos para que puxassem as cameras e identificasse a pessoa, mas diz o gerente do hotel afirmou que viu as câmeras e que não entrou ninguém além de nós hospedes. Ficou um clima muito ruim pois ficou parecendo que nós estávamos mentindo o que éramos loucos."
jun. de 2022,4,Bom! Mais precisa melhorar!,"Pontos positivos: localização, piscina e limpeza  Pontos negativos: academia ruim, chuveiro com água fraca, recepcionistas frios e café da manhã fraco (por exemplo o bolo tem gosto de nda). Se melhorar os pontos negativos fica top."
jun. de 2022,2,Problema com a segurança do hotel,"Fui quase atacado por um morador d rua , na esquina do hotel corri para o hotel ele veio atras de mim e ninguem impediu a entrada e tao pouco colocaram ele p fora , um filme de terror a sorte q um hospede e seus amigos depois de muito tempo conseguiram expulsalo , seguranca zero e a porta do hotel nao tem controle para travar e ate mesmo esperar q a policia chegue mas nada foi feito enfim um terror obs: tudo gravado pela camera do hotel"
jun. de 2022,5,Ótima relação custo X benefício,"Hotel bem localizado, limpo, confortável, funcionários educados e prestativos, muito próximo a shoppings, Av. Paulista, restaurantes, farmácias. Café da manhã bom, jantar bom e com preço legal. Vale a pena."
jun. de 2022,5,Recomendo.,"Pode melhorar a qualidade dos travesseiros, mas recomendo com certeza.  Café da manhã com produtos de excelência;  Funcionários do hotel capacitados e gentis;  Localização perfeita, perto de tudo e de fácil acesso."
jun. de 2022,3,"Limpeza horrível, chega a ser nojento!","Eu e minha esposa ficamos hospedados nesse hotel por ser extremamente próximo ao hospital ProMatre pois iriamos ter um neném. Chegando no quarto já notamos algumas coisas estranhas, como frigobar fora do lugar, spot de luz deslocado e outras coisas não tão relevantes. O problema mesmo foi o banheiro, extremamente nojento ( acompanhem nas fotos) o box parecia que nunca havia sido lavado, cheio de musgos nos rodapés e até mesmo nos azulejos, os metais do box enferrujados, sem contar o chuveiro que não tem pressão nenhuma a água, parecendo que estava tomando um banho de chuva. É inaceitável que um hotel que cobra esse valor de diária tenha um serviço de limpeza desses. Aconselho para quem for vir para ProMatre ou até mesmo outro motivo procurar um AirBnB que vão sair mais barato e higiênico."
mai. de 2022,1,Péssima experiência,"Chegamos no dia 21/05 as 19:00hs. A moça do front desk extremamente antipática e querendo dificultar, daquele jeito que não tem interesse em resolver, mas criar obstáculos.  O quarto sujo, chuveiro horrível, tudo muito mal cuidado. Cheiro de humildade. O hotel não vale a pena, e não tem nada de 4 estrelas."
mai. de 2022,5,Excelente localização e conforto,"O quarto é grande, com varanda, e tem um armário grande para roupas e acessórios. O atendimento na recepção é ágil e cortês. O hotel está a uma quadra da Paulista, com vários restaurantes e bares ao redor."
mai. de 2022,5,Avaliação - Aldemir,"Ótima localização, excelente atendimento, excelente acomodação, ótimo conforto, serviços excelente. Toda a equipe está de parabéns! A qualidade está presente diariamente em todos os serviços prestados. Recomendaria a todos!"
mai. de 2022,1,Experiência muito ruim,Reservarmos um quarto de casal e haviam duas camas de solteiro. Não nos trocaram de quarto porque não haviam outros disponíveis. O quarto tinha cheiro de mofo e o banheiro tinha algodão sujo na pia. Os corredores também estão sem manutenção no papel de parede
mai. de 2022,4,Bem localizado e bom serviço,"Boa localização e bons serviços. No geral a permanência no hotel foi boa, serviços e café da manhã são adequados, porém a academia deveria abrir a partir das 6h. Check in foi um pouco lento, mas check out foi ok."
mai. de 2022,2,Decepcionante do início ao fim,"Hotel velho, mal cuidado, limpeza péssima (fiquei por 6 noites e teve um dia que não limparam o box. Soube pq deixaram os cabelos no ralo), chuveiro ruim demais, café da manhã fraquíssimo. Do lado de fora e na recepção parece que o hotel é até novo, mas por dentro tem cheiro de mofo. Trocamos de quarto 2x (a primeira pq a pia do banheiro estava entupida e a segunda pq o quarto estava com tanto cheiro de mofo que chegou a arder meus olhos)."
mai. de 2022,4,Conforto com ótima localização,"Ótima localização, acomodações confortáveis e preço adequado.. Os funcionários são gentis. Os quartos possuem instalações que possibilitam uma estadia bem confortável. O único aspecto que deixou a desejar foi na arrumação e limpeza do quarto, não foi realizada após a primeira noite."
mai. de 2022,4,Paulo,"Ótimo hotel porém chuveiro é péssimo. Quase não sai agua e box é minusculo. Misturador do monocomando do chuveiro é ineficiente, ou a agua é muito quente ou muito frio, acredito que devido a quantidade de agua."
abr. de 2022,4,Bom custo beneficio,Bem localizado e preco de acordo com as instalacoes.  Quartos precisam de reforma mas sao basicos e espacosos.  Café da manha incluido excelente.  Piscina e academia no terraco com vista foram um bonus bem vindo.
abr. de 2022,5,Muito bom,"Gostei bastante do hotel , recepção excelente .  Quarto super confortável e aconchegante.  Café da manhã bem farto ..  Tudo de ótima qualidade e sempre fresco .  Uma delícia está nesse lugar.  Bem localizado ."
abr. de 2022,5,Excelente hotel com bom custo-benefício,"Excelente hotel, com quarto amplo e confortável e preço razoável. Bom café da manhã e ótima localização, no coração da Av. Paulista. O único defeito que vi, foi com relação à manutenção do quarto, pois tinha vazamento no vaso sanitário e a imagem da tv estava com defeito."
abr. de 2022,5,Muito Bom,"Fiquei três semanas no hotel, fui muito bem recebida e atendida nesse período. A localização do hotel é ótima, a uma quadra da Av Paulista, uns 10 min da estação de metrô Trianon - MASP, próximo a shoppings. Restaurante do hotel não atende aos domingos, o que se faz necessário sair para almoço e janta."
abr. de 2022,4,educação dos funcionários,Gostaria que fosse disponibilizado iogurte diet/ sem açúcar  Parceria com passeios turísticos  disponibilizado uma bike ou remo na academia  tomada perto da cama  Uma organização melhor para achados e perdidos
abr. de 2022,4,UM BOM CUSTO E BENEFÍCIO,Muito bom. Uma excelente localização. Parabéns para a funcionária Sra.Fabiana da Governança.e atendimento da Recepção e room service durante toda minha estada. Poderiam incrementar o café da manhã com mais variedades .
abr. de 2022,5,Excelência,"Excelência: boa disposição do pessoal, limpeza sempre presente, check in e chekck out rápido sem tardanza. Localização ótima pretíssimo da Av. Paulista (uma cuadra), lugar seguro e também próximo a padarias, restaurantes e farmacias que poderiam ser precissos."
abr. de 2022,3,Instalações que deixam a desejar pelo preço,"Minha experiência não foi das melhores, o quarto era velho, com ar condicionado de 20 anos atras super barulhento e com porta para varanda quebrada que não fechava. Sem tomadas no padrão brasileiro do lado da cama, tomada na mesa quebrada. Banheiro com gota de xixi na tampa do vaso, cabelo no chão, no estilo que foi limpado por cima só para falar que limparam. No geral, dava para dormir mas não voltaria ao hotel, paguei preço premium para ter um serviço de duas estrelas."
abr. de 2022,3,Bom custo benefício para quem vai passar pouco tempo no hotel,"O hotel tem instalações antigas e que não estão tão bem conservadas, mas nada que gere muito desconforto. O quarto é grande e bom para quem precisa trabalhar ali, com uma mesa boa sem estar na direção da cama."
mar. de 2022,1,Reforma Já,"Estive hospedado no apto 701, apto precisa de uma reforma imediata, moveis laqueando, banheiro com aspecto de sujo, chuveiro gotejante (resposta da reclamação ""é assim mesmo""), era assíduo mas tem melhores na região"
mar. de 2022,4,Pode melhorar,"A limpeza do quarto melhorou mas o café da manhã piorou. Pão frances pouco asssado, frutas que antes eram frescas agora houve queda na qualidade. espero que melhore. Ainda não resolveram o cardárpioque poderia incluir chá ou café da tarde completo para os hóspedes que não optam por jantar."
mar. de 2022,3,"Bom, mas deixa a desejar por ser um Transamérica.","Transamérica é uma rede de qualidade muito bem conceituada, porém, notamos muitas coisas que não condizem com o padrão do mesmo, como paredes descascando, carpetes nos corredores, soltando, botão do elevador quebrado para descer, enfim, precisa de manutenção."
mar. de 2022,5,Hotel Sensacional!,"Hotel muito bem localizado, pertinho da paulista e de outros pontos estratégicos de SP. Comida boa, quarto aconchegante e equipe bem treinada! Me hospedei a negócios e sempre que precise de suporte fui atendido com rápida agilidade e competência."
mar. de 2022,4,Tudo que se espera de um hotel nessa faixa de preço,"Não tive nenhum transtorno. Funcionários educados, prestativos. Localização maravilhosa. Muito limpo, organizado, seguro, roupas de cama boas, bons travesseiros, quarto com tamanho excelente, ar condiocionado, blakout, mesa de trabalho, closet, banheiro tamanho bom. Café da manhã bom. Unica coisa que não me agradou foram as talhas, já meio velhas e gastas, amareladas."
mar. de 2022,4,"Hotel é antigo, porém limpo e conversado","Gostei do hotel. A equipe é atenciosa. Tem academia e piscina o problema é que falta aquecedor na piscina. O quarto tem instalações antigas, porém td funciona perfeitamente e tem uma copa no quarto. O que tem de negativo é a velocidade da internet, muuuuito lenta. A localização é ótima e o café da manhã é bom."
mar. de 2022,5,Excelente experiência!,"Excelente estrutura, quarto grande, silencioso e cama muito confortável, atendimento ótimo, localização perfeita. Café da manhã completo e sem filas, apesar do hotel estar cheio. Excelente custo-benefício!"
fev. de 2022,4,Quarto grande e bem completo,"Fiquei somente uma noite, mas gostei muito! Ótima localização. Chuveiro e cama perfeitos! Internet rápida. Banheiro com amenidades. Café da manhã gostoso. Pedi o jantar no quarto e a comida chegou rápido e estava muito saborosa. Recepção atenciosa e rápida. Indico!"
fev. de 2022,2,"Hotel razoável, atendimento péssimo.","Chegando de longa viagem tive que ficar em pé na recepção em uma fila para ser atendido, por aproximadamente 30 minutos. Só havia uma pessoa atendendo no hotel e realizando o check-in, o que tornou extremamente lento o processo. Eu e outros hóspedes tivemos que aguardar impacientes."
fev. de 2022,4,Localização,"Muito bem localizado, pertinho da Paulista.  A única coisa que precisa melhorar é a questão do café da manhã que não tem variedades, por ser um padrão 4 estrelas poderia melhorar.  Atendimento ótimo da recepção, limpeza boa.  Estacionamento é a parte pois é terceirizado, quem é hospede do hotel tem desconto no estacionamento ao qual pagamos 25,00 a diária.  para se alimentar tem um shopping pertinho que é só atravessar a rua."
fev. de 2022,3,Precisa melhorar,"A localização é maravilhosa, massss.....  Qdo chegamos havia uma fila de umas 8 pessoas p fazer o checkin e só 1 pessoa p atender.  Nosso cofre do quarto estava c problema e demorou quase 1 hr entre chamados, idas e vindas p arrumarem . Atrasamos um compromisso por conta disso!  Passamos 2 noites no hotel e a camareira não arrumou o quarto/cama, nem retirou lixo do banheiro nenhuma vez….após questionamento, disseram que só arrumam após a 3 noite.  Os travesseiros eram horríveis."
jan. de 2022,4,Boa localização e conforto,"Apartamentos amplos, cama boa, limpeza impecável. Café de manhã satisfatório. Necessita de atualização, pois as TVs dos quartos são antigas. Staff cordial atencioso. Localização perfeita a uma quadra da Avenida Paulista, próximo a bons restaurantes e o Shopping Cidade São Paulo."
