Data da opinião,Nota,Título,Conteúdo
8 de dez.,1,FALTA DE RESPEITO - pré julgamento e humilhação por causa de um cartao bloqueado (que era visa infinita),"Eu moro em São Paulo, e estava a quase duas semanas hospedado no hotel por causa de um vazamento no meu apartamento. e houveram dois problemas que eu julgo bem SÉRIOS. - um dos funcionarios, por simples incompetencia quase me fez dormir em outro quarto, por acreditar que minha porta estava sem PILHA, chega a ser comico, e foi super desrespeitoso quando ao concordar com a situação, mesmo achando estranho, pedi que pelo menos fosse um quarto de mesmo padrão, e ele me disse que nao haveria como. (detalhe, minha diária era mais de 1100 reais.), uma falta de educação e treinamento. - na quarta, decidi que ficaria dois dias a mais, mesmo depois de ficar um bom tempo pagando caro, e ao chegar do treino, 00h resolvi por conta própria realizar o pagamento, e por razoes de segurança…"
nov. de 2022,4,Bom hotel em SP!,"Hotel bem localizado, check rápido e eficiente, café da manhã bem variado, quarto confortável e chuveiro excelente! O hotel fica próximo à Avenida Paulista e com bares e restaurantes nas imediações! Ficamos hospedados por duas noites e correu tudo bem na estadia!"
nov. de 2022,4,Bem localizado,Esse hotel é bem localizado próximo à Avenida Paulista. O checkin foi rápido e eficiente. Tem dois elevadores que funcionam com a chave do quarto. A suíte tem bom tamanho. Destaque para o excelente chuveiro. O desjejum é servido no restaurante do hotel junto ao lobby.
nov. de 2022,1,PIORESTADIA EM SÃO PAULO DA MINHA VIDA,"Solicitei um quarto silencioso e me disponibilizaram um terciero andar de frente para avenida movimentada com motos, onibus e carros. Definitivamente um transtorno. Caro, ruim, serviço ruim e quartos mau conservados. NUNCA MAIS."
nov. de 2022,5,Pior hotel para se trabalhar,"não indico de maneira alguma, foram estupido com o agente de viagens, na recepção um tal de Lucas foi bem grosseiro e intolerante, se der não deixem o seu passageiro nesse hotel, tem varios outros proximos que sao bem melhores."
out. de 2022,4,Conforto com localização ótima;,"Estive no Mercure Jardins essa semana e vou ser sincero como sempre sou em minhas avaliações. A chancela All Accor para mim é sinônimo de hotéis de categoria superior e de muito conforto. Ok. Efetuei o check-in normalmente e atendentes foram muito cordiais, subi ao quarto e se trata de um excelente espaço, mas que necessita de alguns reparos, acredito que devido o hotel já ter uma certa idade, se faz necessidade pequenas reformas, parte de madeiras já com desgastes avançados, papel de parede necessário trocar, de resto tudo muito limpo e agradável. Noite perfeita de sono. Café da manhã normal para a categoria. Estacionamento cobrado a parte, achei o custo um pouco elevado. Check out cordial também sem problemas. Gostei da experiência, mas sugiro que os diretores, sócios ou donos façam uma avaliação e vejam que se faz realmente necessário uma reforma do hotel para se retomar a quantidade esperada da rede. Mas recomendo muitíssimo o Mercure Jardins para uma viagem de negócios."
set. de 2022,4,Bom hotel,"Estive com a família por uma noite no hotel. Boa localização, próximo a paulista, funcionários muito atenciosos e quarto bem confortável. Tem uma piscina aquecida, pequena, mas que valeu para as crianças se divertirem. O café da manhã poderia melhorar um pouco a qualidade."
jul. de 2022,3,Estadia razoável,"Boa localização, estadia, quartos e café da  Manha razoável. A crítica a recepção pois na hora de fazer o checkin pq mesmo pagando antecipado a estadia a atendente ainda exigiu q mostrasse a fatura do cartão para liberar o quarto, ora isso a empresa q deveria verificar pois se o cliente não ouvesse pago o sistema informava. Decepcionante essa atitude, nunca vi isso em nenhum hotel q me hospedei. Atitudes como essa afastam clientes de voltar a hospedar nesse hotel ."
jul. de 2022,3,QUASE BOM.,"Para ser classificado como um ótimo custo-benefício faltou apenas incluir o café da manhã na diária. Tem uma excelente localização ( há duas quadras da avenida paulista ), funcionários muito atenciosos e prestativos, bons restaurantes e teatro nas proximidades, ponto de táxi na porta, quarto espaçoso e silencioso."
jul. de 2022,1,Ultima Vez,"reclamar é cansativo e estressante, me dou a fazer isso apenas quando estou extremamente insatisfeito e esse é o caso com o Mercure São Paulo Jardins. Nos últimos dois meses, devo ter feito pelo menos umas 5 hospedagens com eles e em todas elas algo deu errado. As vezes são coisas pequenas, falhas de comunicação e e.t.c, porém, o acúmulo delas torna perceptível uma total falta de qualidade no serviço prestado. Para citar alguns itens, posso incluir alguns exemplos:    Na minha penúltima hospedagem a bateria da fechadura acabou e eu fiquei feito um trouxa subindo e descendo da recepção para o quarto tentando magnetizar o cartão até que alguém se deu conta de que havia algo errado e subiu comigo até o quarto para verificar, que bom né? Seria, se no outro dia ao chegar tarde da noite o problema estivesse sido solucionado, mas não foi, mesmo eu tendo aviso na recepção de manhã antes de sair para o trabalho ninguém arrumou a fechadura.    Na última hospedagem, show de horrores, fiz duas reservas e avisei no check-in que a primeira seria corporativa e a segunda particular, porém, mesmo assim venderam meu quarto a outra pessoa e me fizeram trocar de quarto no meio da noite quando precisei iniciar a segunda hospedagem. Não fosse isso, o novo quarto estava inundando, a pressão do chuveiro estava tão forte que passou o box e vazou no banheiro todo e para finalizar no penúltimo dia de viagem tiveram a coragem de ir conferir o frigobar e não fizeram a arrumação do quarto, ao chegar tarde da noite, mais uma vez cansando me deparo com um quarto bagunçado e o frigobar feito a reposição e ao ligar na recepção, não tiveram nem a dignidade de me fornecer uma toalha limpa.    Cansei Mercure, tchau"
