Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Serviço de excelência,"Um serviço de excelência desde o  momento que você chega, sendo recebido pela simpatia e alegria do Eduardo e do João, funcionário com mais de 30 anos de Copacabana Palace. Além de todo o charme do hotel, o serviço é fantástico, ágil, resolutivo e te faz sentir muito à vontade. Equipe da piscina: Rogério, Cleber, garçons como o Ricardo. O quarto é arrumado duas vezes ao dia, sempre proporcionando um conforto acolhedor. As opções de refeições são saborosas. Foi um final de semana perfeito que superou nossas expectativas."
nov. de 2022,5,Uma experiência e não uma simples hospedagem,"Atendimento, Limpeza e qualidade das instalações são impecáveis. Os preços para o restaurante e para as bebidas são abusivos. O restaurante Pérgula, traz um cardápio muito bom, porém aquém dos valores cobrados."
nov. de 2022,5,Just the best!,"Comemoração de bodas de 20 anos no Copa.  Hotel com quase 100 anos que não perdeu o charme, a elegância e a modernidade.  Fomos recepcionados pela Kaina e nossa experiência começou com excelência.  Realmente o atendimento é o ponto alto do hotel. Equipe nota 10, muito bem treinada, atenciosa, prestativa!  Ficamos no apartamento 513, é sensacional, com vista pro mar, quarto com cama king size e terraço, banheiro gigante, sala e até lavabo.  A feijoada do sábado é imperdível, além de muito gostosa, a animação é garantida com música ao vivo.  O serviço de praia com toalha e água gelada cortesia também é um mimo.  O café da manhã em frente à piscina é delicioso. A quantidade de opções gostosas é surreal.  A nossa surpresa ficou por conta do espumante e do lindo cartão que nos foi presenteado pelo nosso aniversário de casamento.  A equipe ganha nos detalhes. Estão todos de parabéns!"
out. de 2022,4,VOLTARIA COM CERTEZA,"Super recomendo o hotel. Tudo muito limpo e organizado. Funcionários bem solícitos. Comida Maravilhosa. Quero em breve voltar com os meus filhos.... a única coisa que não é bom, seria mesmo a localização.... a praia de Copacabana está muito perigosa...."
out. de 2022,5,O melhor hotel do Brasil,"Melhor experiência possível. Equipe incrível, serviço impecável e equipe muito bem treinada e dedicada, oferecendo o melhor serviço possível em função do bem estar de todos os hospedes.  Voltarei com certeza"
out. de 2022,4,Quarto do Complexo ao lado,"O quarto oferecido do complexo ao lado prédio principal deixou muito à desejar, conseguimos fazer a troca e tudo terminou bem! Sugiro não ter mais apartamentos com carpete. Rio de Janeiro é clima de verão e piso frio é muito mais higiênico."
out. de 2022,5,Instalações excelentes. Staff ainda melhor,Recomendo fortemente a experiência! Funcionários muito atenciosos a todo tempo. Os quartos são bastante completos e confortáveis. A piscina e o seu bar se apresentam como uma excelente opção para desfrutar um dia de sol.
out. de 2022,5,Espetacular,"O quarto, o café da manhã, a piscina, o bar Pérgula no fim de tarde e a noite, o restaurante Cipriani com o menu degustação, a limpeza, enfim, o trabalho de toda a equipe é sensacional, procurei e não achei defeitos, nota 1.000"
out. de 2022,5,Meu Aniversário!,"Gostaria de agradecer imensamente a equipe do café da manhã, todos sem exceção, muito atenciosos e prestativos … Era dia do meu aniversário e fui muito bem acolhido. Obrigado a todos, mas consigo lembrar alguns nomes : Letícia e Stephany ( Hostess ), Luiza , Marcelo, Anderson, Celso e outro de Fortaleza que não lembro o nome, esses todos nos servindo muito bem.. Obrigado a todos vcs !!! 👏🏻👏🏻👏🏻"
out. de 2022,5,Fantástico,"Simplesmente perfeito! Passamos o nosso aniversário de 10 anos de casados neste hotel, ofertaram uma garrafa de espumante, trouxeram lembrancinhas como chocolates e outras coisas, enfim, o hotel é ótimo, quartos amplos e bem ventilados, o atendimento é espetacular, café da manhã fantástico, nota 10."
out. de 2022,5,A minha viagem ao Rio de Janeiro em 2022 pode ter sido uma das melhores da minha vida.,"O Cooacabana Palácio é um hotel lindo e excelente.ele também se destaca na comida incrível,no seu lindo e relaxante SPA e os seus quartos maravilhosos.  Ele também é muito bem localizado,em frente a praia de Copacabana.  O seu teatro também é maravilhoso"
set. de 2022,5,Experiência Copacabana Palace,"Minha experiência no Copacabana Palace foi muito maravilhosa!!! Super recomendo!!!! Foi incrível!!! Tudo, atendimento, comida, spa, acomodação! O hotel é muito lindo!! E a localização do hotel é perfeita!!"
set. de 2022,5,Vista perfeita,"Tiver um imenso prazer de conhecer esse hotel maravilhoso. Hotel luxuoso,funcionários qualificados,por do sol incrível! Me hospedei e voltarei me hospedar em breve! Darei uma volta pelo Brasil e em breve voltarei pra desfrutar desse hotel maravilhoso."
set. de 2022,5,hotel glamoroso,"Hotel muito movimentado principalmente na área de piscina  Se você procura sossego, este não é o hotel indicado    Localização na famosa praia de Copacabana  Apenas um restaurante aberto para o almoço com serviço muito demorado.  para o movimento que tem no hotel com alto indice de visitantes, deveria ter pelo menos mais um restaurante.    Com certeza precisa de reforma em algumas areas"
set. de 2022,5,Uma experiência inesquecível.,"Uma experiência inesquecível, impossível esquecer desse dia, eu amo Copacabana, Eu amo Rio, toda vida que eu vou ao Rio, é como se fosse a primeira vez. amo de paixão super recomendo vocês não vão se arrepender...❤"
set. de 2022,4,Lindo hotel. Localização fantástica. Alguns pequenos deslizes mas a experiência é ótima.,Em geral ótima experiência.  Alguns deslizes não poderiam acontecer (problema de vazamento no banheiro).  Mas foi solucionado.  E um dos elevadores estava quebrado. Apenas um elevador gera inconvenientes.
ago. de 2022,5,Copa cabana palace,"Fomos atendidas pelo caíque no restaurante Pérgula e amamos!! Lugar agradável e bem sofisticado, estamos muito satisfeitas com a comida e voltaremos mais vezes com certeza, também indicaremos pra amigos e familiares"
ago. de 2022,5,Tradição e bom gosto!,"Sempre impecável! Tradição e bom gosto! Serviço excepcional! O hotel está novo, todo reformado! Quarto elegante e confortável! Os restaurantes do hotel são excepcionais! Cipriani com padrão internacional de qualidade! Café da manhã servido ao lado da charmosa piscina! Uma excelente experiência em hotel de luxo!"
ago. de 2022,5,Jantar comemorativo,"Jantar de aniversário no Cipriani é sem dúvida uma experiência gastronômica inesquecível. Um jantar repleto de experiências sensoriais acompanhado de um bom vinho (carta de vinhos espetacular). Atendimento exemplar. Muito atentos para atender o cliente prontamente sem ser exagerado. Opção de sobremesa espetacular. Apesar do custo elevado, ao término da sua experiência você se sente satisfeito e muito feliz com o evento."
ago. de 2022,5,Férias,"Hotel maravilhoso, as pessoas que trabalham são excelente. Na parte da piscina tivemos uma experiência maravilhosa com atendimento 5 estrelas.  Rogério (Piscina) obrigada, Cida no café da manhã, todos os garçons.  Na recepção e na portaria um atendimento excelente.  Comida excelente."
ago. de 2022,5,Ótima experiência em copacabana,"Este ícone da hotelaria merece ser conhecido, não apenas pela história mas também pela qualidade atual de seus serviços. Todos funcionários muito bem treinados e atenciosos sem serem arrogantes por pertencer ao famoso “copa” . Os quartos são muito agradáveis e sem defeitos. O entorno da piscina é o ponto alto do hotel desde o café até o jantar. A praia tem cadeiras , guarda sol e água, mas pouco frequentada( sem serviço de comida ou bebida) . Além do restaurante da pergula , onde é servido o café da manhã, tem o estrelado cipriani ( bom , mas não excelente )e o oriental mee. Reservei direto no site e com uma promoção especial que ficou ainda melhor. É um hotel que merece ser visitado!"
ago. de 2022,5,Copacabana Palace - Experiência memorável!,"Copacabana Palace é um dos lugares que todos que visitam o Rio devem, obrigatoriamente conhecer. Lugar incrível, lindo, de ótimo bom gosto, limpo e com serviço nota 10.    Conhecemos outros hoteis como Fasano e Fairmont mas o Copa é algo ímpar para se conhecer.    Vale muito a pena!"
ago. de 2022,5,Perfeito !,"Simplesmente perfeito ! Atendimento em geral impecável , todo o staff cordial e educado, principalmente o pessoal da piscina, café da manhã maravilhoso e restaurantes excelentes. Nunca tinha estado em um hotel onde a limpeza do quarto é realmente feita com todo o capricho e eficiência. Não dá vontade de sair do hotel em nenhum momento. Pretendo voltar sempre que for possível. Amei !"
jul. de 2022,5,IMPECÁVEL,"TUDO IMPECAVEL! Principalmente o serviço de recepção e governança.  Sempre um prazer me hospedar com vocês. Saber que não terei nenhuma surpresa desagradável, é o melhor que vcs podem oferecer! Parabéns!    OBRIGADO! INDICAREI SEM DÚVIDAS PARA TODOS!"
jul. de 2022,5,Sem palavras! Espetacular!,"Vocês sempre se superam a cada visita!  O que sentimos aí não tem preço, não tem pagamento! A hotelaria de primeira grandeza, torna-se detalhe frente ao atendimento que eu e minha filha Isa recebemos de pessoas tão especiais como Adriely da recepção e Felipe e Taysa do café da manhã!  Parabéns, saibam sempre que o calor humano que vocês emanam todas as vezes, nos faz sentir saudades de verdade! kkk.  Obrigado mais uma vez pelo enorme carinho."
jul. de 2022,5,Café da manhã no Pérgula,"Belmont Copacabana palace, cafe da manha, piscina, praia, spa, atendimento…perfeito! Detalhes que fazem a diferença de toda hospedagem! Destaque para o cafe da manhã incrivel servido a beira da piscina iconica! Funcionários dispostos a servir da melhor forma!"
jul. de 2022,4,Atendentes lentos e atrapalhados,"Quem se hospeda em um hotel desse nível, não espera ter aborrecimentos com questões básicas. Logo no check-in pedem pra reservar “um valor a mais” no seu c4rtão, por suspeita de que você possa dar um “cal0te”. No meu cartão cobraram R$ 2.000,00 a mais e no do hóspede ao lado R$ 4.000,00 com a alegação de que “é um valor por possíveis extras que venham a ter no hotel”, e é devolvido no checkout. Até aí ok. Mas chegamos no quarto e nossas malas não estavam lá! A hostes nos acompanhou até lá e ficou de “corrigir” o sumiço das malas, mas passou-se 20 min e nada! Tive que interfonar na recepção, e lá se foram mais 10 min pra procurar nossas malas sabe-se lá onde estavam, e finalmente levaram até o quarto. O café da manhã tem funcionários lentos e atrapalhados, o que não se espera em um hotel dessa categoria, né? Pois bem, eu pedi uma tapioca, esqueceram de preparar, quando cobrei, me trouxeram um omelete!!! Tiveram que levar de volta pra corrigir e começar a preparar a tapioca. Também pedimos um capuccino, um simples capuccino, esqueceram!! Tivemos que cobrar. Enfim, são coisas básicas que não deveriam acontecer em um hotel desse patamar. Eu esperava uma experiência perfeita. Tirando essas questões do atendimento do restaurante Pérgula que serve o café da manhã e do checkin lento, foi tudo “aceitável”. Mas eu esperava bem mais."
jul. de 2022,5,Bodas de prata,"Adorei passar momentos maravilhosos com a minha esposa, pratos sensacionais, gastronomia ímpar, recomendo a todos os amantes de uma deliciosa refeição. Acolhida e atendimento de primeira, especialmente o João Felipe, que nós recebeu maravilhosamente."
jul. de 2022,5,JANTAR NO PÉRGAMO,Juliana e Fransciso me atenderam maravilhosamente bem em visita para jantar no Pérgamo de ultima hora. A sobremesa de pão de mel e o prato princioal pirarucu são essenciais para uma visita perfeita. Vinho brasileiro para ser fiel ao melhir lugar do rio para jantar. Parabens a todos.
jun. de 2022,5,Perfeito!!!,"O hotel eh excelente e a equipe maravilhosa!  Quando venho ao Rio sempre me hospedo no Copa. Amo a localização,o charme do hotel,os quartos,a piscina e o café da manhã.  Destaque especial para a equipe que nos faz querer voltar. Na piscina,Rogério,faz tudo para nós agradar. No restaurante temos ALEX ,uma morena linda e de sorriso fácil,a que faz direito e trabalha nos fins de semana. Nossa,todos são ótimos,inclusive camareiras e pessoal da recepção  A cama eh deliciosa,macia e roupa de cama e travesseiros de primeira. Os amenites ótimos.  Sempre muito bom ficar no Copa.  Amoooooo!!!"
jun. de 2022,5,Serviço impecável que torna o hotel ainda mais especial - e recebendo muito bem os ciclistas!,"Hospedagem impecável, com serviço excepcional de todo o time, que recebeu e adaptou a rotina do hotel para nosso grupo de ciclismo. A Livia Luci, com sua agilidade, atenção e vontade em sempre deixar a experiência ainda melhor, proporcionou momentos memoráveis com café da manhã especial antes da saída para o pedal, retorno com café da manhã no Pergula e alegria em nos receber."
