Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Fantástico,"Foi uma surpresa incrível ter escolhido o Vivaz Cataratas.  Nós amamos todos os detalhes e cuidados. Atendimento sem igual na recepção e bar da piscina.  Tivemos uma recepção linda no apartamento que além de amplo e limpinho, teve um cuidado especial com uma cartinha e uma flor nos dando as boas-vindas, achei lindo.  O que falar da área de lazer? Ampla, limpa, com muitas opções pra se divertir pra todas as idades, mas aproveitamos mesmo foi a piscina, pois estava muito quente e tinha até um Dj tocando, deixando o ambiente ainda mais alegre.  Obrigada a toda a equipe pelo excelente atendimento 🥰. Indico a todos que queiram passar dias tranquilos sem perder diversão em Foz do Iguaçu, bem como, pretendo voltar e aproveitar ainda mais o hotel."
set. de 2022,5,Praticidade e aconchego num único lugar!,"Uma mistura de resort e pousada. O serviço de um resort e o aconchego e simpatia de uma pousada. Todas as solicitações foram prontamente atendidas: reserva com pedidos adicionais, funcionários educados e simpáticos da camareira, restaurante e recepção.  A agência de turismo dentro do hotel juntamente com os táxis na porta também fizeram a diferença na estadia.  Voltaria!"
uma avaliação Ontem,5,Férias em família,"Excelente café da manhã e espetacular jantar. Carta de drinks boa, porém reduzida. Preços acessíveis. Atendimento depende muito de quem esteja servindo. No mais, tudo muito bom e perfeito. Parabéns por todo o empenho da equipe."
uma avaliação Ontem,5,Ideal pra quem quer descansar!,"Muito bom o lugar, tive a sensação de estar na praia, a alimentação espetacular, café da manhã maravilhoso, almoço e jantar com muitas opções e uma comida deliciosa. O quarto muito bem arrumado e limpo, funcionários super educados e atenciosos, gostei muito e pretendo voltar em breve.  Como sugestão:  > Colocar uma escada de alumínio do outro lado da piscina facilita a saída da agua.  > Ter opções de alimentação sem Glúten e Lactose."
uma avaliação Ontem,5,Resort muito bacana,"Tive a oportunidade de ficar na suíte e em um quarto convencional. A suíte é absolutamente fantástica. Espaçosa, equipada. O banheiro é muito, muito bom. Além do banheiro com a banheira de hidromassagem e chuveiro, a suíte possui um lavabo. O staff nos encheu de mimos (chinelos Ipanema, bolsa de praia, bolinhos de chuva, etc). Para nós valeu a pena contratar meia pensão. O café e o jantar são muito saborosos. A localização do hotel é muito boa para fazer as principais visitas turísticas. A equipe do hotel é muito prestativa e simpática, trataram muito bem a nós e à nossa bebê."
5 de dez.,5,Top,"Não tem muito o que falar, já é a 3ª experiência com o Vivaz e tudo, tudo 100%. Na programação da próxima já! Quartos excelentes, atendimento excelente e a equipe de recreação maravilhosa! Limpeza TOP, restaurante, o melhor de Foz!"
5 de dez.,5,Férias,"Queria parabenizar a toda Equipe do Hotel . Todos são muito atenciosos .  Queria pôr em destaque a alegria e energia incrível do Tio Baiano .  Fez uma aula de dança tanto para os brasileiros, quanto pra os argentinos , atingindo a alegria de todo público. Detalhe, o clima estava muito quente e seco , mas ele não se importava . Parabéns 👏  Só falta mais funcionários no Parque , esperamos muito na fila pra ser atendidos .  Em especial o Hotel e o Parque estão de Parabéns. Viagem satisfatória."
4 de dez.,5,Ótima experiência,"Foram ótimos os dias no Vivaz. O atendimento foi excelente, desde a recepção ao atendimento no restaurante e bar. O melhor de tudo foi receber um bolinho de chuva no quarto em um dia que estava chovendo, foi uma lembrança de casa muito boa.    Não apenas recomendo como pretendo voltar e aproveitar um pouco mais desse cantinho verde."
4 de dez.,5,Ótima experiência,"Hotel aconchegante, bom atendimento, alimentação muito gostosa, sugiro apenas ter mais opções para intolerantes na parte das sobremesas ☺️ porque foi difícil resistir as sobremesas normais. O que falar da recreação, nossos filhos amaram e foi uma choradeira na hora de dar tchau.  Voltaremos com certeza."
4 de dez.,5,Resumo do que é qualidade 🥰,"Imagina chegar em lugar no qual já tem uma energia diferente, assim foi nossa chegada no Vivaz, desde a recepção que nos recebeu calorosamente até o cuidado do gerente em nos recepcionar com uma linda cartinha no apartamento.    O ambiente é incrível, amigável, relaxante e a comida deliciosa. Para os dias quentes, uma piscina ampla e refrescante...  Um lugar pra se investir quando se quer momentos de qualidade e relaxamento.    Obrigada a toda equipe por nos proporcionar ótimos dias!"
