Data da opinião,Nota,Título,Conteúdo
5 de dez.,5,Local pra relaxar e curtir,"Estadia muito boa, tranquila, monitores muito prestativos e animados, meu filho amou. Tia Tatá bem educada, simpática e interagiu conosco e nossos amigos, parabéns para a equipe. O gerente Lucas muito solicito, super prestativo, como também o senhor Jorge, dono do local, esteve no resort durante nossa estadia e conversou conosco, ouviu nossas sugestões. Adoramos tudo, fizemos novos amigos, ótima experiência. Como sugestão poderia estender o horário das apresentações até um pouco mais tarde."
5 de dez.,5,Comemoração do aniversário da minha esposa Fatima Esteves de Morais.,"Resort Vila Gale de Cumbuco, excelente quartos, piscina, limpeza e comida excelente.  Tivemos o privilégio de conhecer dr. Jorge Rabello, pessoa atenciosa educadissima e simpática.  Juliene Bicudo, Gerente Geral do Resort , sempre atenta aos detalhes e com a manutenção da qualidade do hotel, se colocando à todos os momentos a disposição dos hóspedes.  Da mesma forma tecemos elogios aos seguintes funcionários:  Recepção:  Ana Carla e Elias  Mensageiros:  Hilton e Ericles  Limpeza: Rafaela  Segurança: Luciano  Churrasqueiro:  Nonato  Bar Cajuina:  Gleyciana  João Jean  camareira:  Gabriele  Restaurante:  Vera.  animação:  Smile e Stich.  Dr. Jorge A gerente Geral e os funcionários,durante a nossa estada demonstraram elevado espírito de empreendedorismo, capacidade e profissionalismo visando o bom atendimento aos hóspedes.  Voltaremos com certeza."
4 de dez.,5,Animação .,Hotel Top muito Bom .  Parabéns em Especial a equipe de animação Alegria e Felicidade Energia Muito Boa .Tio Peteca o Melhor Atendimento Uma Alegria Fora do Normal eu quê não Faço alongamento saí renovado fa Picina .
4 de dez.,5,Diversão entre amigos,"Muito bom TD serviço, principalmente equipe de animação, ressaltando o peteca pela sua atenção e carinho com os hóspedes !!! E TD equipe está de parabéns. Estrutura show de bola. Cardápio maravilhoso !!!!!!"
3 de dez.,5,"Equipe de animação/entretenimento
Vila Gale Cumbuco","Equipe maravilhosa, super atenciosos, especialmente tio Peteca e tia Magali.  Fomos entretidos com música, alegria, brincadeiras, Aqua dance, hidroginástica aquática,  Super animados e divertidos. Nossa filha amou a energia deles.  Obrigada"
1 de dez.,5,Funcionários excelentes,"Ficamos pela segunda vez no Vila Galé Cumbuco, gostamos muito.Todos os funcionários são muito cordiais,mas quero deixar meu elogio para a camareira Juliana,as recepicionistasMargareth e Kalina.O garçom Lourenço e a garçonete Amanda do Inevitável são muito atenciosos e educados. Voltaremos com certeza!!"
1 de dez.,5,Férias para descansar e relaxar . É namorar ❤️ OBS na avaliação : as recreadoras Tatá e Lili muito boazinhas .,"A experiência foi muito boa porque o hotel não estava muito lotado , e em tempos de COVID isso foi fundamental , reservamos o chalé que era bem confortável , limpinho , o hotel é lindo, bem conservado , com uma natureza exuberante (duna, praia, fauna, flora ) , os funcionários são muito cordiais , educados , e alegres , jantamos uma noite no restaurante Inevitável com uma gastronomia refinada , ótimo atendimento da recepção ao garçom , enfim , foi tudo maravilhoso . Parabéns a todos !"
nov. de 2022,5,Top,"Boa recepção e colaboradores excelentes (Wilton) em especial , uma experiência incrível e já é o terceiro ano que venho com minha família nas férias .  Que continuem sempre assim com inovações para melhor atender"
nov. de 2022,5,SUPEROU E FOI ALÉM DE TODAS AS NOSSA EXPECTATIVAS,"Estivemos no Vila Gale Cumbuco período de 20/11 à 27/11 e fomos realmente surpreendidos com acolhimento, recepção, dedicação, alegria, atenção do resort. Quartos, refeição, bares, limpeza, equipe de recreação, enfim todos foram excelente. Quero ressaltar que aos finais de semana por ter eventos fechado e maior numero de hospedes não pecaram em nada foram excepcionais. Fica nosso agradecimento para todos os funcionários e em especial a equipe de recreação e entretenimento que são maravilhosos, inesqueciveis, surpreendentes, excelentes profissionais e demonstram que amam o que fazem e dão um showwwww (Tia Magali, Tata, Zuzu, Piu Piu, Lili e Big, Tio Panqueca, Dudu, Peteca, Stitch. Gratidão!!!!!!"
nov. de 2022,5,Diversão,"Brincadeiras e atividades com os tios foi muito bom, gostei de tudo, principalmente dos tios, peteca, up, florzinha e Piu Piu, muito divertidos, engraçados, amei conhecer, espero voltar um. Dia !! ❤️❤️"
nov. de 2022,5,recreação,"EQUIPE de recreaçao infantil é excelente, atividade o dia inteiro pra criançada, meu filho amou as brincadeiras, os tios super educados, tio peteca, tia up, tia florzinha e tia piu, todos incriveis, nota 10!"
nov. de 2022,5,Ótima experiência,"Pessoal da recreação são maravilhosos nota 1000! Tios peteca ,UP , florzinha e principalmente a tia Piu piu. Os restaurantes são muito bons e as piscinas também ,pessoal da recreação são nota mil super recomendo"
