Data da opinião,Nota,Título,Conteúdo
2 de dez.,3,Quatro com odor de cigarro e banheiro sujo!,"Há mais de 20 anos frequento o hotel Gran Marquise, sou frequentador desde a época em que o hotel fazia parte da rede Cesar Hoteis.  Tivemos a desagradável surpresa de encontrar um quarto com cheiro de cigarro, chuveiro entupido e sem pressão e banheiro sujo ( lodo nos ladrilhos e no acionamento de descarga)  A troca de quarto foi negada e seria possível apenas após a visita da manutenção.  Realmente é muito desagradável ter um pedido negado após essa inconveniente."
nov. de 2022,5,Está cada vez melhor,"Excelente experiência , todo ano viajamos para Fortaleza e o Gran Marquise é parada obrigatória , infelizmente nos 2 últimos anos não foi possível visitá-lo , mas este ano voltamos e ele está melhor do que nunca , os funcionários lembravam até de nossos nomes !"
nov. de 2022,5,Excelente atendimento,Excelente atendimento da equipe com Welcome drink e ótimo quarto com várias opções de travesseiro e chuveiro maravilhoso. Café da manhã com tapioca deliciosa. Recomendo o hotel e voltarei nas próximas viagens à Fortaleza.
out. de 2022,5,Melhor hotel de fortaleza,"Excepcional! Atendimento incrível, estrutura muito boa, a academia é completa. Café da manhã com muitas opções, incluindo salmao, champanhe, queijos nobres, realmente me surpreendeu!  Voltarei mais vezes."
out. de 2022,5,Boa experiência,"Funcionários muito educados, a cortesia parece fazer parte do DNA do hotel.  Quarto muito bem organizado e limpo e café da manhã repleto de opções. Recebemos até um mimo por ser o aniversário da minha amiga, muito gentil por parte do gerente. Gostamos bastante e será nossa primeira opção ao retornar para Fortaleza."
set. de 2022,5,Perfeito,"Estrutura clássica e típica de um 5 estrelas, serviço me impressionou com atendimento perfeito ✅.  Café da manhã delicioso ❤️ com créditos aos croissant e ovos perfeitos.  Mensageiros muito atenciosos e preparados, limpeza impecável.  Recomendo ✅"
set. de 2022,5,Ótima experiência em Fortaleza,"O pessoal do hotel é muito gentil e atencioso, e considero isto super importante, na medida em que um funcionário mau humorado pode até estragar a estada de um hóspede.  O restaurante é sensacional, inclusive o café da manhã.  Achei a piscina pequenininha, mas a vista do topo para a praia do Mucuripe é linda. O hotel é muito bem localizado, é fácil chamar um Uber ou táxi.  O lobby do hotel é super requintado, um ótimo cartão de visita.  Em resumo, recomendo a todos e prometo voltar a esse estabelecimento para revisitar a linda capital do Ceará."
ago. de 2022,5,Meus 60 anos no Gran Marquise,"Maravilhosa!!! O melhor hotel sem dúvidas de fortaleza. O pessoal é muito profissional e muito humano. Me ajudaram com tudo para minha celebração. Começando com a menina do inhouse Reservations, também Tatiane e Leni (no lembro bem seu nome) do café da manhã até emprestou seu isqueiro pessoal para acender as velas de meu bolo que foi presente do pessoal do hotel. Muito muito obrigado pessoal; voltarei uma e muitas mais vezes."
ago. de 2022,5,Excelente Estadia,"Acomodação super confortável, excelente ambiente, café da manhã espetacular. Restaurante super bom,  Perto de tudo.  Frente para à praia, muito bom para caminhar e praticar esportes.  Vale muito a pena , excelente custo benefício.  Voltarei mais vezes"
ago. de 2022,5,Sensacional,"Hotel lindo e bem localizado, que preza pelo conforto de seus hóspedes. Seus funcionários são cordiais e educados, especialmente o Conrado da recepção que foi extremamente prestativo desde nossa chegada. O café da manhã é ótimo, as acomodações são novas, limpas com todo conforto necessário. Recomendo fortemente este hotel, nossa família adorou e com certeza voltaria. Nossos elogios são à toda equipe de funcionários!"
