Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Experiência no intercity,"Pessoal muito gentil, deram late checkout para minha família! Achei a cama muito macia e gostosa (a cama de casal eram duas de solteiro unidas, mas quase n se percebe) ! Nossa experiência no hotel foi ótima!"
mar. de 2022,5,Melhor hotel de Manaus,"Gostaria de parabenizar todos desse hotel. Tudo Maravilhoso, quartos amplos e novos, piscina no topo da Cidade, melhor vista de Manaus, pessoas atendendo com muito amor e carinho. Recomendo esse hotel. Parabéns pela gestão."
dez. de 2022,5,Hotel em Manaus,"Ótimo atendimento. Café da manhã com grande variedade de alimentos, tudo muito saboroso e farto. Piscina grande, com vista sensacional e acessível. Quartos amplos, limpos e com decoração de bom gosto."
dez. de 2022,5,Hotel muito bom!,"Adorei o hotel, os funcionários são super simpáticos e prestativos. Os quartos são grandes e confortáveis, e adorei a piscina na cobertura.  O café da manhã tem muitas opções.  Tem uma academia com ótimos aparelhos."
dez. de 2022,5,Verão em Manaus com a Família e Amigos,"Localização excelente. Café da manhã amplo, farto e saboroso. Quartos confortáveis e de bom gosto. Piscina com uma vista espetacular e tamanho perfeito. Staff atencioso e muito preparado. Oferece passeios turísticos partindo do próprio hotel."
dez. de 2022,5,"Sempre viajo a negócios para Manaus e tenho preferência para o hotel intercity, pela qualidade e pelos serviços prestado","Melhor café da manhã da região ! Sempre fico aqui neste hotel, pela prestação de serviço de qualidade, alimentação dentro do hotel, mini mercado e com um atendimento de muita qualidade quando falamos dos funcionários"
dez. de 2022,5,"Amazonas, Manaus
16.12.2022","Os quartos bem arrumados, o ar do hotel tem um cheiro único. O atendimento é explendindo, especialmente os recepcionistas Charles e David, o café da manhã apetitoso. Área de lazer e o hotel são confortáveis Com certeza voltarei mais vezes."
dez. de 2022,5,Excelente atendimento,"Excelente atendimento do Ericson, super receptivo, simpático e solícito. As acomodações do hotel são ótimas , o quarto amplo , áreas de lazer de qualidade , academia completa com equipamentos com manutenções em dia."
dez. de 2022,5,Hotel intercity,"Hotel de alta qualidade, com café da manhã muito bom e bem servido com uma alta variedade para todos os gostos. Funcionários muito competentes e atenciosos. Academia e piscina são excelentes para quem deseja passar o tempo."
dez. de 2022,5,A melhor experiência,"A experiência no hotel foi incrível. Serviço ótimo, funcionários super dedicados e atenciosos. Comida excelente. Time que pensa em cada detalhe. O quarto é grande e aconchegante. O funcionário Ericson é incrível! Faz toda a diferença"
