Data da opinião,Nota,Título,Conteúdo
6 de dez.,3,Razoável,"Me hospedei no Seara em novembro e minha colocação seria quanto atendimento da supervisora da recepção Camila, ela foi extremamente grosseira e sem um pingo de tato , fiz um questionamento a mesma no ato do meu checkin pois havia chegado cedo e retornei conforme a orientação repassada pela atendente Julia que foi também extremamente fria e sem nenhum interesse em fazer seu trabalho entendi que entrada seria somente as 14 hs e assim o fiz mas quando cheguei meu apartamento ainda não estava liberado e vi que outras pessoas entraram antes pois haviam feito um pré registro antes , quando questionei a supervisora quanto ao atendimento da recepcionista ela me respondeu em tom grosseiro que atendente não obrigação e de ter feito meu pré registro enfim ela não me deu nenhuma atenção e ainda ficou cochichando com atendente  obs coloquem essa supervisora em outro lugar pois no atendimento de um hotel que se diz 5 estrelas não é lugar dela"
nov. de 2022,3,No máximo 3 estrelas. Decepcionada e frustrante.,"Estive no hotel e fiquei bastante decepcionada. Travesseiros são de péssima qualidade, parece que bateram na maquina de lavar, cobertor não tem nos quartos, quando solicitei eles enviaram dois cobre leitos bem velhos para nós, liguei e reclamei, mandaram uma manta de solteiro que mal me cobria. O chuveiro demora muito pra esquentar, quando esquenta. A acústica do quarto era PÉSSIMA, ouvia todo o barulho do quarto acima. O motor do ar condicionado parecia que estava dentro do quarto de tanto barulho, o clube vizinho fazia tanto barulho que era impossível dormir depois das 7h. A TV do nosso quarto não funcionava o controle remoto, uma luta pra fazer funcionar e a TV não é Smart. Pedi serviço de passadeira e não tinha, mas me emprestaram um ferro com muita cordialidade O café da manhã é ok, nada demais. Fora isso, tive um ótimo atendimento do pessoal da recepção e da limpeza. Esses foram excelentes. Com certeza esse hotel está longe de ser 5 estrelas, não prezaram pela qualidade do sono dos hóspedes, o que é uma falha grave, visto que passamos o dia na praia e quando chegamos no hotel queremos conforto redobrado pra relaxar. Afinal estávamos de férias e procuramos pelo melhor."
nov. de 2022,1,Hotel horrível. Funcionários fazem de tudo para não ajudar os hóspedes.,"Contexto da estadia: Fui a Fortaleza CE para o casamento de minha cunhada. Fui acompanhado de minha namorada, que tem doença celíaca, ou seja, não pode comer gluten sob hipótese alguma.  O hotel foi escolhido por prometer oferecer alternativas para pessoas celiacas se hospedarem confortavelmente. Fomos enganados.    A única exceção era o café da manhã. Era ok. Algumas frutas, bolos e pães disponíveis. Nada demais. Para celiacos era preparado um ovo mexido novo, em panela separada, para não haver contaminação. Isso realmente funcionou.    A recepção do hotel já deixava claro o que estava por vir. Diferentemente do afirmado no site do hotel, os funcionários em sua maioria não usavam máscaras.    O quarto era bom, nada demais. Pegamos um quarto com vista para o mar e foi um arrependimento enorme! O barulho da rua e, principalmente, do Nautico ao lado do hotel, incomodava demais mesmo estando no nono andar. A música, o som alto e o apito começava todos os dias as sete da manhã, sem exceção. Era impossível dormir. Isolamento acústico péssimo.    O banheiro do quarto era um pouco apertado. A pia, ao ser aberta, molhava absolutamente tudo. Era como se fosse um chuveiro baixo. O chuveiro em si era ótimo, mas tem que ter paciência para usar uma vez que a água demora muito, mas muito tempo para esquentar. O box do banheiro não fecha.    Claramente o hotel tem defeito na parte elétrica. A luz cai sem parar ao longo do dia. Aposto que o gerador é subdimensionado. Foi terrível para a noiva e madrinhas se arrumarem e serem maquiadas no escuro. Além disso, as escadas de emergência não possuem iluminação de emergência. Descemos os nove andares no escuro total.    Contrariando o que o hotel afirmou via email, a recepção não cedeu a chave do espaço que continha o microondas para minha namorada aquecer sua comida adequada para celiacos. A recepção afirmou que a chave era somente emprestada para hóspedes com filhos, não tendo exceção. Ou seja, o contato prévio com o hotel não adiantou nada. O descaso foi total. Não tinham alimentos adequados e nem permitiram o aquecimento do que levamos. Fomos obrigados a pedir comida cara de locais seguros para celiacos.    Não usei o wifi do hotel para saber se era bom. Mas como nunca tem energia elétrica, não teria feito diferença tentar usar. Ou seja, vá com um bom plano de Internet móvel.    Outro ponto ruim é que minha namorada foi impedida, no check-in, de ter o nome em duas reservas. Ela chegou antes de mim e foi impedida de entrar no quarto com vista para o mar. O hotel não aceitou que ela abrisse um novo quarto já estando em outro. Cheguei muitas horas depois e esse tempo no quarto que teoricamente era melhor não foi usado por implicância do hotel e insistência em impôr uma regra que não está escrita em lugar algum.    Nos sentimos desrespeitados. Não gostamos da indiferença do hotel com relação à doença celíaca mesmo tudo tendo sido comunicado com meses de antecedência e o hotel ter sido escolhido justamente por, inicialmente, se mostrar um local potencialmente seguro.    Em resumo: Não vá."
nov. de 2022,3,Hotel mediano,"Pontos positivos: localização boa, as meninas da recepção super educadas, camareira do meu andar muito simpática, chuveiro excelente, quarto espaçoso, área da piscina com vista linda.    Pontos negativos: travesseiros horríveis, todos que estavam na minha cama eram muito altos, por causa disso dormi muito mal, colchão ruim, ar condicionado demorava muito para gelar. Pedi prato e talher para comer uma pizza, mas eles demoraram tanto para levar que preferi descer e pegar. No dia anterior a mesma coisa com o copo que pedi. Atendimento do room service não é bom. Pedi um andar alto e a menina me deu o sexto andar sendo que o hotel tem 19. Acho que se eu não tivesse pedido eu ficaria mais alto."
nov. de 2022,3,Hotel 5 estrelas apenas no nome. Está longe disso,"Hotel 5 estrelas apenas no nome, infelizmente. Fiquei hospedado no quarto 407. Primeiro ponto ruim. O colchão é extremamente mole, ruim, desconfortável. O chuveiro molha mais o teto e a parede do que a pessoa. Toalhas, roupas de cama, cobertor velhos. A cortina blackout do quarto é pequena demais e entra luminosidade. O hotel não tem isolamento acústico. De madrugada, escutava rodinhas de malas sendo arrastadas no corredor, o barulho da campainha do elevador é alta e incomoda e dava para ouvir conversas de outros quartos. Ponto positivo é a localização na avenida Beira Mar e o excelente café da manhã."
out. de 2022,4,Ótimo atendimento,"Pontos positivos: O hotel é muito gostoso, atendimento é legal, pessoal é simpático (no geral, achamos as pessoas de Fortaleza muito simpáticas). A localização é excelente. Sério, é perto de tudo que tem de mais legal para turismo em Fortaleza.    Pontos negativos: o chuveiro demora a esquentar, algo que não é um grande problema no calor. A infraestrutura está estranha, tampa da privada desparafusada, por exemplo. A TV não é smart, não tem YouTube ou Netflix. A governança demorou a repor o papel higiênico num momento. E éramos em três e sempre faltava toalha."
set. de 2022,5,Excelente! Valeu a pena ! ! ! ! ! !,"O hotel superou as expectativas que tínhamos. Todos os serviços e acomodações de excelente qualidade.  O atendimento do pessoal foi excelente, muito prestativos, simpáticos e atenciosos. Saliente-se a criatividade do pessoal da governança que, a cada dia, nos surpreendia com uma nova ""escultura"" de toalhas sobre a cama, demonstrando um cuidado especial com os hóspedes (observação essa que fiz na recepção). O café da manhã é excepcional, com muita variedade e atendimento a pedidos diferenciados com muito carinho, tanto para o café com demais refeições. A área da piscina, apesar de parcialmente em reforma, esteve sempre limpa e disponível, com um atendimento de bar excelente. Quanto a localização, é o primordial para férias perfeitas, pois por ser na Beira /mar proporciona todas as opções desejadas, desde a caminhada, compras, restaurantes, etc.  Recomendo a hospedagem no Seara, com a certeza de que voltarei a Fortaleza e ao hotel. Parabéns a todos os colaboradores que tão bem nos atenderam."
set. de 2022,2,Promete um sonho mas entrega um pesadelo.,"As acomodações são boas, exceto pelo barulho. O hotel apesar de ser 5 estrelas não possui isolamento acústico, sequer nas janelas. No primeiro dia de hospedagem, havia uma ação do poder público em frente ao hotel (entre o hotel e o mar), que perdurou até as duas da madrugada, ou seja, ninguém conseguiu dormir e pela manhã houve uma manifestação na rua em frete, ou seja, deitamo-nos as 2 e fomos acordados as 7.  Solicitei um quarto onde pudéssemos dormir, e me foi exigido assinar uma solicitação para downgrade, ao que solicitei o recibo deste, que foi negado, sendo fornecido uma fotocópia somente com minha assinatura.  Na segunda-feira solicitei à responsável o recibo, ao que esta me disse: ""O senhor foi quem solicitou o downgrade e o hotel não tem responsabilidade por isso."", recusando-se determinantemente em me fornecer um recibo do dito formulário."
set. de 2022,5,Atendimento de Excelência,"Estive no Seara hospedado por 02 noites e só tenho agradecer adorei a estadia neste belíssimo hotel parabenizo a todos de sua maravilhosa equipe a começar pelo Sr.Freire a camareira Ana e a equipe da recepção em particular ao Adonis a Ana Julia e a Barbara sempre atenciosa e simpática com todos um líder excepcional , são pessoas como eles que fazem a diferença e tornam o hotel cada vez melhor e com certeza retornarei e irei recomendar o Seara  Deus abençoe a todos"
set. de 2022,5,"Família, tudo perfeito!!","Fomos muito bem recebidos.  O hotel e maravilhoso em termo de tudo, super indico para quem quer relaxar em um hotel lindo, tudo bem organizado, atendimento vip.  Ameiiiiiiiii. Café da manhã excelente, piscina maravilhosa, quarto suíte muito confortável, uma vista maravilhosa!!!"
