Data da opinião,Nota,Título,Conteúdo
20 de dez.,4,Excelente localização,"Hotel muito bom, bem localizado na praia de Ponta Negra, próximo das feirinhas de artesanato e de vários bons restaurantes. Próximo da praia (tem que caminhar um pouco - não muito). Infraestrutura para crianças excelente no ponto de apoio próximo ao mar, com brinquedos aquáticos. Gostamos de praia com ondas um pouco mais fortes e essa praia tem isso! Com relação aos passeios, são obrigatórios. O café da manhã é bom, as frutas aqui são incríveis."
nov. de 2022,5,Praimar Express,"Eu e minha esposa, escolhemos o Praiamar Express por recomendação de amigos,e tivemos a experiência incrível de poder dizer que fomos bem atendido por todos os funcionários. O café da manhã é muito bom o quarto muito limpo. Recomendo para todos que estiverem com família ou amigos ."
17 de dez.,4,The best vacation in our life!!!,"Excelente localização e um excepcional café da manhã, com bastante variedade, tapioca e omeletes feitos na hora e um time muito receptivo, Leidiane sempre muito atenciosa!!! Tivemos um pequeno desconforto com o quarto, mas resolveram rapidamente e nos compensaram com outro de vista para o mar. Então super recomendo!!!"
16 de dez.,5,Melhor hotel para se ficar!,"Simplesmente amamos o Hotel ,sua estrutura e seus funcionários. Todos extremamente educados e prestativos. Sentimos como se fossemos da família. Um destaque para os funcionários da manhã que cuidam da parte do café, em especial a colaboradora Leydianne💕 ,um amor em pessoa, sorriso no rosto toda manhã, também a Daniela muito atenciosa, e todos os outros. . Atenderam nossos pedidos com muita disposição e carinho. Além de muitas opções deliciosas para o café. Quartos limpíssimos, e organizados. Amamos tudo!"
15 de dez.,4,Localização excelente,"Excelente localização. Profissionais muito educados e prestativos, em especial a Sra. Leydianne que deu um show de atendimento. Como estávamos em 4 pessoal eu achei o quarto um pouco apertado, fora isso tudo foi.muito bom"
12 de dez.,5,Férias em Natal,Muito bom e quero registrar o excelente trabalho dos funcionários Leudiane e Richardson que foram muito prestativos Ótima localização Café da manhã excelente com um ótimo atendimento dos funcionários.
12 de dez.,4,Elogios,"Quarto com vazamento no box do banheiro sanado parcialmente. Quero parabenizar em especial o atendimento de Leydianne durante os café matinais, extremante solícita, sorridente, educada, preocupada e prestativa com o bem estar de toda minha família. Também reforço elogios ao serviços de limpeza na pessoa de Antônio mantenedor dos ambientes em perfeita assepsia. Parabéns e desejo que ambos sejam promovidos pela dedicação e profissionalismo aos serviços prestados em suas áreas"
12 de dez.,5,Superou as expectativas,"Café da manhã maravilhoso, a colaboradora da copa Leydianne, é um doce em.pessoa, gentil, amável, prestativa, uma querida, atende e faz as vontades da gente com carinho, um mimo só o Hotel ter pessoas assim como funcionários.! Seu Antônio da limpeza também vou citar, um capricho só com tudo, mto preocupado com a higienizado de tudo. Todos os funcionários mto atenciosos! Na semana que ficamos não podemos usar a piscina pois a mesma estava em manutenção..mas tinh outra opção de se refrescar com um clube bem próximos do hotel que é uma extensão aos hóspedes.. e tb o hotel é maravilhosamente bem localizado ..os melhores restaurantes estão bem.proximos..farmácias, mercadinho etc.. Enfim, tudo mto bom mesmo! Com certeza voltaríamos.!"
12 de dez.,4,Praiamar Express,Equipe super educada e prestativa. E um café da manhã delicioso. Área de lazer maravilhosa para crianças. Fomos muito bem atendidos.as camas são bem confortáveis. Banheiros são grandes. Tudo bem organizado. Recomendo!!
10 de dez.,5,Visita Natal,"Perfeita nossa estadia, o café da manhã do hotel e divino, super bem servido e o atendimento do restaurante é impecável, todos os atendentes sao nota 10, Leydianne (em particular) nos atendeu com muito carinho, muito prestativa e sempre com um sorriso amistoso! Nota 11 pois 10 é pouco! 🥰"
nov. de 2022,5,Gentileza,"A Gabriela,a camareira é muito gentil e perfeita no seu trabalho,quem for ficar no quarto 214 recomendo muito o trabalho dela,e os travesseiro muito bom e macios,quem for ir em Natal,não perca a chance de se ospedar nesse hotel"
nov. de 2022,5,ELIZABETH O Silva,"Tudo perfeito, serviço de recepção MARAVILHOSO.hggggbbbhhbhhnjjjmgszbmljgdxcnkkhfdvjffdhkbcxddbjktdfbjjfddbnklkfzxbmgsfhkgddvjjdfnkfdbmnhkhfjkurfhkirdssvbnmmvxsfjlyffbnncvmkjffv vc njgfvjnffcbmbvbn vc vb"
nov. de 2022,4,Funcionários nota 1000,"Hotel bem aconchegante, café da manhã bem farto, muito limpo e bem localizado. Adoramos o serviço dos funcionários Erick ( sempre prestativo e atencioso), jackson ( muito educado e atencioso), Saiomara ( educada, atenciosa e sempre simpática), Rose ( muito caprichosa na limpeza dos quartos qdo ela limpava notávamos a diferença dela das outras, bem detalhista). Todos são muito prestativos mas esse eu vi que merecia um destaque! Hotel bem família, voltaríamos com certeza!"
nov. de 2022,5,Nota 10,"Hotel excelente, organizar, limpeza, localização,e principalmente o café da manhã,com muitas variedades de comida e bebida,e os funcionários estão com nota 10,pela simpatia,e bons serviços prestados ,sempre prontos a nós servir."
nov. de 2022,5,Voltaremos!,"Café da manhã farto. Equipe simpatica e atenciosa. Em especial, Sayonara e Leidiane que sempre faziam as melhores tapiocas de coco e com os melhores sorrisos pela manhã! Gente que trabalha de bom humor faz toda diferença! Quarto com limpeza impecável."
nov. de 2022,4,Melhor custo benefício...,"Hotel bem localizado.. perto de tudo .. café da manhã muito bom ...atendimento nota 10 ( em especial a SAYONARA , o HICHARDSON , O ERIC e o Bento.. ) .. acomodações boas... só o ar do quarto que é difícil a regulagem....mas o hotel é muito bom..."
