Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,maravilhosa,"Um ótimo lugar para se passar em família recepção maravilhosa experiência incrível. A recreação do Tio Pipoca é pra lá de especial, super divertido, animado, consegue fazer as pessoas interagirem e se sentirem confortáveis nas brincadeiras.  Muito sucesso para ele, tem o dom!!!  Dias felizes e animados tivemos aqui, obrigada e até a próxima!"
6 de dez.,5,Aniversário,"Tudo muito perfeito,desde a recepção para check in até o check out, apartamento super confortável, funcionários super prestativos e educados,o piscinas limpas e com uma temperatura agradável. Com certeza voltaremos mais vezes"
nov. de 2022,1,Não gostei da experiência.,Hotel péssimo  Viemos em 4 famílias e não gostamos de nada.  Algumas pessoas (como eu) estavam trabalhando e a internet é PÉSSIMA.  Nossa turma tem muitas crianças e a piscina infantil do hotel está com o chão todo estragado.  A comida não é boa.  As piscinas não são limpinhas.
nov. de 2022,4,Adorei!,"A única coisa que ficou a desejar foi um bom wi-fi. As refeições deliciosas e temáticas de acordo com os países da Copa Qatar 2022. Piscinas top! Limpeza dos quartos e piscinas excelentes! Atendimento dos funcionários excelente! Tivemos um problema com o ar condicionado do quarto que não funcionava, o que foi resolvido prontamente! Adorei! Espero retornar muitas vezes!"
nov. de 2022,5,Obrigada funcionario Thiago,"Hotel com ótima estrutura, funcionários muito atenciosos e solícitos  Queria agradecer em especial ao Funcionário THIAGO, da recepção, infelizmente não sei o cargo que ele ocupa, mas meu neto estava com dores estimacais, e febre, check-out marcado para as 12 hs, nosso voo apenas as 16 hs, meu marido conversou com THIAGO e prontamente ele nos forneceu late check-out até as 15 hs, sem custo algum  Muito obrigado Thiago, esse tempo será muito importante para recuperação de meu neto, já que ainda estamos no hotel até as 15 hs.  Grata tb a rede Privê .  Eu como agente de viagens sempre indiquei o Riviera Park a todos meus passageiros e mais do que nunca continuarei indicando, principalmente por ninguém saber até então que sou uma agente de viagens, agora com esse depoimento que ficarão sabendo.  Obrigada  Tânia  TS VIAGENS Nacionais e Internacionais"
nov. de 2022,5,Equipe Sensacional,"Todo Staff desse Hotel é sensacional! As meninas e meninos da recepção são um show de competência e dinamismo. A organização do hotel, limpeza dos quartos, limpeza das piscinas e toda equipe recreativa são fenomenais. Meu agradecimento especial a todo Staff da cozinha. Esse pessoal surpreendeu todos os dias com tamanha competência. São muitas coisinhas gostosas que eles fazem para agradar o paladar dos clientes. Muito obrigado ao garçons, atendentes, maitre... Meu muito obrigado a todos vocês,."
nov. de 2022,1,Péssimo,Muito mal atendido parece que os funcionários estão tristes de trabalhar aqui. Sumiu uma almofada de pescoço no quarto. Muito triste já que são três vezes nesse hotel. Precisam melhor muito na minha opinião.
nov. de 2022,5,Otima,"Hotel proximo ao centro. Ótimo atendimento, Kennedy e Junior ótimos recepcionistas, quarto e todos os parques foram ótimos! Ótimos funcionários! A experiência com meu namorado foi incrível, acredito que com familiares também seja!"
nov. de 2022,3,Limpeza precárias das piscinas.,"Desde 2016 que me acomodo neste hotel em todas minhas idas à Caldas Novas e sempre tive uma boa experiência, porém desta vez teve um detalhe que me desagradou bastante.  Fiquei hospedado durante o feriado do dia do servidor público até finados e, logo no primeiro dia, notei que as piscinas não estavam sendo limpas com a frequência que sempre fora.  E ao longo de minha estadia tive a certeza de que as piscinas estavam sendo higienizadas apenas uma vez ao dia, pela manhã.  O resultado, por óbvio, é que as piscinas logo ficavam com um odor muito forte de urina após as 13:00, principalmente a do bar molhado.  Após as 17:00 então, só tendo muita coragem ou um nariz entupido para entrar na piscina.  O odor era tão forte que dava nojo de entrar.  No outro dia, quando era feita a limpeza, era notável a quantidade de sujeira que ficava no fundo da piscina.  Antigamente, a limpeza era feita ao menos 2x ao dia.  Outro ponto que merece ser informado aqui é o cartão de entrada no quarto. No primeiro dia funciona normal, mas do segundo em diante o cartão escolhia se ele iria funcionar ou não. Ou seja, você fica 5 minutos em frente à porta colocando e tirando o cartão até ele resolver abrir a porta.  Não tenho do que reclamar em todo o resto. Localização, café da manhã, atendimento, quartos, tudo continua tão bom quanto sempre foi. Porém, esta questão da higiene nas piscinas é algo muito importante para mim e deixou muito a desejar, de forma que vou procurar outra acomodação de agora em diante."
out. de 2022,1,Pior atendimento,Pior atendimento que já tivemos meu check in era 14:00. Fiz maior esforço para chegar dentro da hora marcada .. fique mais de 1 horas na fila para fazer check in pq não tinha funcionário trabalhando. 6 balcão de atendimento e apenas 2 funcionando . Ainda tive que espera mais 2 horas para limpar o apartamento que ainda não estava nem preparado o gerente não quis me atender .. não fui ressarcido do prazo que ti vê que aguardar .. .. todo mundo atendendo de cara feia .. nunca mais .. e não recomendo a ninguém .. sai de férias para descansar né acaba sendo humilhado e e pelo que tenho visto não e somente eu que estou reclamando do mesmo detalhe ..    Tomara que não tenho suspensão no apartamento !!  Pois já são 17:20 eu cheguei às 14:00 até agora nem pode entra no apartamento !!
