Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Cordialidade da Aline é nota 10,"Atendimento e cordialidade da camareira Aline é bem acima da média !  Parabéns pra Aline.  Hotel muito bom e atencioso, nota 9. Só não ganha o 10 pelo motivo de trocar o valor de crianças. Já reservamos várias vezes e 2 crianças menores de 7 anos não era cobrado. Outra vez cobra, outra não. Falta transparência."
nov. de 2022,5,Atenção e cordialidade dos funcionários a minha família,"Vamos lá!  Essa é a nossa segunda vez aqui no Confort Suites hotel, e os elogios são ainda melhores do que a primeira visita!!!  Amamos as nossas acomodações tanto da primeira como da segunda vez, quartos e banheiros super limpos e espaçosos!  A Cama era muito boa!  Tivemos um pequeno problema com os travesseiros, mas nada que um pedido de troca não resolvesse essa situação!  Tenho intolerância alimentar e a cozinha do hotel se empenhou em preparar as minhas refeições da forma que eu precisava, já para a minha família o café e da manhã era realmente sensacional, alimentos de muito qualidade e fracos!!! Aos amantes de Tapioca e omelete os que eu comi estavam divinos!  A área da piscina tbm é mto boa e limpa!!!  Na nossa segunda visita solicitei uma grande para colocar na cama, mas não estava disponível (esqueci de solicitar na reserva) então para resolver esse problemas eles disponibilizaram uma super acomodação que fez o maior sucesso para as nossas filhas, as fotos vão mostrar a felicidade delas!  Não posso deixar de agradecer aos funcionários da recepção que prontamente pensaram na melhor forma de resolver a falta da grade e ao Jhonatan que com todo o carinho e atenção veio fazer a montagem e ainda trazer para as meninas um pijama de presente!!!  Realmente estamos muito satisfeitos com o hotel, sua estrutura e o atendimento maravilhoso que ele tem!!!"
nov. de 2022,5,Evento BSmix,"Ótimo atendimento do Jonatan que organizou a sala pro evento de 130’pessoas! Organizou a sala e super educado se dispôs a qualquer momento ofereceu bebida. Ajudou na Dinamica da sala, ofereceu mesa pra fora da sala"
nov. de 2022,5,Elogio,"Atendimento ótimo de Ronaldo e Élida, na recepção! Muito educados e atenciosos. Muito obrigada!! Certamente nossa turma de amigos voltará mais vezes! Café da manhã também estava muito bom!! Senti falta apenas de a piscina ser aquecida."
nov. de 2022,4,Muito agradável,"Muito agradável a área da piscina e a piscina com sistema de cascata refresca o ambiente, porém podem manter uma maior rotina de limpeza na água da piscina.  O quarto está em ótimas condições.  Mobiliário da piscina novo.  Café da manhã com muitas variedades."
nov. de 2022,5,cafe da manha em familia,"agradecer o carinho como fomos atendidos pelo time do cafe da manha  em especial Cidileia, Elton e Neide  Fizeram da nossa manha, uma farra. Fomos tomar um cafe da manha em família, um momento para nos. a simpatia e acolhimento do time nos foi impressionante. Atendimento cordial e com muita risada boa  Valeuuuu"
nov. de 2022,4,.,"Quero agradecer a Carol colaboradora responsável pela limpeza do quarto excelente profissional que cuida muito bem da organização e limpeza. Muito obrigada Carol você é demais!  Beijos Bruna, Maytê e Alexandre sentiremos saudades de você ❤️"
out. de 2022,5,Excelente,"Hotel gostoso, quartos confortáveis e espaçosos! Café da manhã excelente, mas o diferencial é o atendimento da equipe, principalmente da funcionária Gyo, que não mediu esforços para atender nossas necessidades e tornar nossa estada perfeita!! Um grande diferencial!!!"
out. de 2022,4,Muito agradável. Com certeza irei recomendar e voltar mais vezess.,"O atendimento do Márcio foi fundamental para a excelência do meu trabalho.  Não mediu esforços para me ajudar.  Excelente colaborador.  Hotel com bia localização, quartos confortáveis e comidas gostosas demais"
out. de 2022,1,PROMETEM E NÃO CUMPREM,"Preço abusivo (pelo fato de cobrarem por uma recreação infantil e não colocar em prática)  Água fria no banho.  Recreação infantil: prometeram brincadeiras de islaime e não teve por falta de produto.  Café da manhã, sem pratos (tive que reclamar 3 vezes para conseguir comer)  Registro da ducha higiênica caída no chão."
