Data da opinião,Nota,Título,Conteúdo
nov. de 2022,4,Hotel REALMENTE excelente!,"Os quartos são tipo flat. Com sala, cozinha e quarto. Excelente qualidade em todo o hotel. Piscinas aquecidas. Restaurante. Bares. Pizzaria. Tudo dentro do hotel. Localização central e de fácil acesso."
nov. de 2022,4,Falta pouco para ficar excelente,"Estive hospedada no período de 28/10 a 03/11.  Pontos negativos: suíte luxo os móveis eram velhos, sofá cama quebrado, lençóis manchados e apartamento sujo. Na sala não tem ar condicionado, meus filhos passaram mal de calor, fora que nos dias 28/10 e 29/10 um barulho absurdo de música alta e muito barulho vindo da rua, ou seja nem a janela dava pra deixar aberta, tentei deixar uma noite e além do barulho meus filhos fora picados por pernilongo.  Pontos positivos: a piscina sempre bem cuidada, muito gostosa de ficar, no segundo dia reclamamos para o gerente e fomos prontamente transferidos do inferno para o céu. Mesmo assim o ar condicionado do novo quarto também não estava funcionando, mas por ser maior o da sala deu conta de deixá-lo climatizado.  Com algumas melhorias pequenas o hotel.se tornaria top, agradeço ao Paulo, Onésio e demais atendentes pelas prontas soluções, lembrando também que o hotel não me cobrou nada a mais pelas trocas."
out. de 2022,5,Atendimento de excelência do colaborador Tiago,"As instalações são boas.a localização excelente ,os funcionários muito simpáticos e prestativos Gostaria de elogiar o funcionário Tiago  Que fica no restaurante principal :sempre muito solícito e pronto para resolver qualquer questionamento.Em duas ocasiões que solicitei um auxílio na parte da alimentação ele não exitou em ajudar e nos deixou muito satisfeito"
out. de 2022,1,"Foi uma experiência terrível, de má fé e desonestidade.","Uma experiência horrível, primeiramente venderam acomodações para o terceiro e quarto integrante do quarto, que deveriam ser cama e de fato eram sofá cama(só descobrimos quando chegamos no hotel), e sem ar condicionado. A limpeza dos quartos não deveria ter essa descrição, pois não era possível andar descalço no quarto, não tinha cheiro de limpeza e nem características de limpeza. Agora, desonestidade é terrível pra mim, acompanhando as faturas, surgiu do nada na fatura da minha irmã, R$ 190,00, descrito que era valor da diária, sendo que estava tudo pago, aí foi aquele transtorno, para tirar uma cobrança indevida e abusiva. Não recomendo à ninguém uma empresa que tem essa conduta de desonestidade."
out. de 2022,5,Impressionado com a felicidade dos hóspedes que se divertem aqui.,"Impressionado com a felicidade dos hóspedes. Serviço de hotelaria perfeito, desde o check-in até o check-out antecipado. Hotel muito limpo com café da manhã almoço e jantar excelentes. Localização perfeita. No entanto, os aparelhos de ar-condicionado são modelo antigo, não são split, por isso, não são silenciosos.."
out. de 2022,2,Viagem de última hora.,"Recepção horrível, totalmente desorganizada, não respeitaram prioridade. Quarto sujo, tivemos que pedir para limpar. Chuveiro caseiro, com os buracos em que sai água quase todos entupidos. Cortina do quarto suja e empoeirada. Pontos positivo, café da manhã bem variado e com pessoal que trabalha neste setor muito receptivo exceto a mulher da recepção do café. Águas das piscinas em temperatura boa e equipe de recreação boa também."
set. de 2022,1,Péssima experiência,"Sou cliente do grupo Prive já algum tempo.. Mas por conta da pandemia tinha uns 2 anos que não viajava. Uma das qualidades do boulevard era o café da manhã e o almoço. Fazia questão de ficar nesse hotel sempre por causa da alimentação. Dessa última vez foi uma vergonha. O café da manhã sempre repetitivo, pães todos duros, pouquíssimas opções de frutas e lotação absurda.. de não conseguir 1 mesa para comer. Foi tamanha a decepção que viemos embora 1 dia antes de vencer nossa reserva porque não aguentava mais café da manhã ruim e a super lotação.E pra nodsa surpresa, no momento do saída, sequer nos perguntaram como foi a experiência ou porque estavamos indo embora 1 dia antes da reserva. Caiu muito a qualidade do hotel. Ficamos decepcionadas demais. Nos hospedamos do dia 10/09 a 14/09"
set. de 2022,5,Muito bom hotel,"Essa foi a segunda vez que me hospedei no Privé Boulevard e gosto muito do local. É perto dos lugares, tem boas piscinas e ótimo parque aquático.  As piscinas são muito quentes para serem usadas durante o dia, mas a noite é muito gostoso ficar nelas, e funciona 24H.  Um ponto negativo é que algumas horas do dia uma das piscinas ficava com o cheiro muito forte de esgoto, que não era dela, mas atrapalhava um pouco a experiência. (Acho que vinha das lixeiras)    O quarto é muito bom e aconchegante. Pegamos um quarto no 11 primeiro andar de frente para as piscinas e como funciona 24H ela tem a luz muito forte que entrava muito no quarto, mesmo com o blackout.    A comida do hotel é muito boa, com um bom café da manhã, com bastante opções de pães e alguns frios.  A comida do hotel para comprar é um pouco cara e acho que não vale o preço que pedem. O mesmo vale para as bebidas."
set. de 2022,5,recreação,"caiçara panda coringa e maranhão são os melhores , hotel perfeito , pessoal do bar simpáticos … Mas a recreação é a melhor que já vi  ……………………. Voltarei com certeza absoluta em breve ………………… recreação maravilhosa"
ago. de 2022,5,Oo,"Tia panda,tio coringa e tio Maranhão são muito legais fazem uma atividade sensacional, camareiras muito atenciosas prestativas  Obs(não gostamos do horário de funcionamento do clube) os animadores são excelentes"
